term,weight
acak,0.019
ada,0.097
adalah,0.039
adams,0.039
admin,0.019
aduh,0.019
agar,0.058
agung,0.019
aib,0.019
ajaib,0.019
ajak,0.019
ajuin,0.019
akan,0.039
akhir,0.039
aku,0.039
akur,0.019
alice,0.019
alright,0.019
aman,0.019
ambil,0.019
an,0.019
anak,0.097
anarkis,0.019
anda,0.253
angi,0.019
angin,0.019
anjing,0.019
anniversary,0.019
anteng,0.019
apa,0.039
aplikasi,0.019
argh,0.019
astaga,0.019
atas,0.039
awal,0.019
ayam,0.019
ayo,0.058
baca,0.039
bagaimana,0.058
bahasa,0.039
bahaya,0.019
baik,0.039
bang,0.019
bangunya,0.019
banyak,0.039
bapak,0.039
barang,0.019
bareng,0.019
barking,0.019
baru,0.019
bas,0.019
bebas,0.019
beda,0.019
begini,0.019
beku,0.019
beli,0.039
belum,0.039
benar,0.058
bentar,0.039
berapa,0.019
beri,0.019
bersih,0.019
biadab,0.019
biasa,0.019
bibir,0.019
bicara,0.039
bilang,0.019
bingung,0.019
bisa,0.058
bodonya,0.019
boleh,0.019
bom,0.019
born,0.019
breathe,0.019
buat,0.078
budak,0.058
budapest,0.019
bukan,0.019
bunuh,0.019
buruk,0.039
cakep,0.019
campur,0.019
cantik,0.019
cara,0.019
cari,0.039
carin,0.019
cc,0.019
celebrate,0.019
cemil,0.019
cerita,0.019
chainsaw,0.019
christmas,0.019
cinta,0.097
cipta,0.019
coba,0.019
coco,0.039
comments,0.019
corona,0.019
corony,0.019
cr,0.019
dakjal,0.019
dan,0.136
dapat,0.019
dapetnya,0.019
dari,0.097
datang,0.019
daun,0.019
delete,0.019
dengan,0.039
depan,0.019
di,0.039
dia,0.117
diam,0.039
did,0.019
dih,0.019
dijedotin,0.019
dimasakin,0.019
diri,0.039
disini,0.019
dogs,0.019
dong,0.039
dorothy,0.019
drama,0.019
duain,0.019
duduk,0.019
duga,0.019
dulu,0.039
edit,0.019
eh,0.117
ehe,0.019
ela,0.019
emosi,0.019
eneg,0.019
engen,0.019
entah,0.019
episode,0.019
euy,0.019
every,0.019
fail,0.019
feelings,0.019
fine,0.019
frestasi,0.019
friends,0.019
friendzone,0.019
gambar,0.039
garengpung,0.019
garfield,0.019
gc,0.019
gemas,0.019
gemesh,0.078
gemini,0.039
getar,0.019
gih,0.019
girlfriend,0.039
gong,0.019
gratis,0.019
guaranteed,0.019
gumball,0.019
gumiho,0.039
gysela,0.019
hairspray,0.019
hanya,0.019
hapus,0.039
harap,0.019
hari,0.078
harry,0.019
has,0.039
hati,0.019
hayoloh,0.019
hebat,0.019
heran,0.019
hibur,0.019
hindar,0.019
his,0.019
hotel,0.039
howling,0.019
ibu,0.097
ijazah,0.019
ikhlas,0.019
in,0.097
indah,0.019
inhales,0.019
ipa,0.019
isi,0.019
istirahat,0.039
itachi,0.019
itu,0.214
iya,0.117
jack,0.019
jadi,0.019
jalan,0.019
jam,0.078
jaman,0.039
janji,0.019
jantung,0.039
jari,0.019
jawab,0.019
jelas,0.019
jiwa,0.039
jo,0.019
jomblo,0.019
jon,0.019
jong,0.019
judul,0.019
juga,0.039
jung,0.019
jwestbros,0.019
kabar,0.019
kaki,0.019
kalau,0.039
kali,0.058
kan,0.117
kaos,0.019
karantina,0.019
kasi,0.019
kati,0.019
kecil,0.019
kelam,0.019
kelas,0.039
keluarga,0.039
kemah,0.019
kembali,0.019
kena,0.039
kenal,0.019
kenapa,0.058
keras,0.019
kereta,0.019
kerja,0.019
ketemu,0.019
khusus,0.019
ki,0.019
kids,0.019
