term,weight
acara,0.012
ada,0.052
adalah,0.006
adan,0.017
admin,0.006
agar,0.04
ah,0.017
air,0.006
ajadeh,0.006
akan,0.04
akhir,0.161
alas,0.012
alasan,0.006
alias,0.023
aman,0.017
ambil,0.006
amin,0.023
anda,0.086
aneh,0.006
antar,0.012
apa,0.086
apakabar,0.006
apalg,0.006
aplg,0.006
aplikasi,0.006
apnya,0.006
arti,0.006
asli,0.006
astaga,0.023
atas,0.012
atau,0.012
awal,0.006
ayam,0.006
ayo,0.012
baca,0.017
bacan,0.012
bagai,0.012
bagaimana,0.023
bagi,0.006
bagus,0.029
bahagia,0.006
bahas,0.012
bahasa,0.006
bahkan,0.017
baik,0.023
baju,0.006
bakso,0.012
balas,0.012
balik,0.023
bangun,0.006
bantu,0.012
banyak,0.075
bapak,0.017
bar,0.006
baru,0.012
batas,0.006
batin,0.017
bau,0.017
bawa,0.012
bayang,0.006
beban,0.006
beberapa,0.006
begadang,0.017
begitu,0.092
beh,0.006
belah,0.006
beli,0.058
belum,0.017
benar,0.029
bentuk,0.012
beranda,0.006
berapa,0.017
berat,0.012
beri,0.006
bersih,0.006
berterimakasih,0.006
besar,0.006
biasa,0.012
bicara,0.017
bilang,0.017
bingung,0.012
bioskop,0.006
bisa,0.012
bising,0.006
biuh,0.006
blueming,0.006
bobok,0.023
bodoh,0.006
bolak,0.012
bosan,0.017
browsing,0.006
brsma,0.006
brusaha,0.006
brusan,0.012
buah,0.006
buat,0.109
buk,0.006
buka,0.035
bukan,0.063
bul,0.006
bulan,0.023
bumbu,0.006
bunga,0.017
busana,0.006
butuh,0.006
cabai,0.006
canda,0.006
candi,0.006
cantik,0.006
cara,0.012
cari,0.017
cemil,0.086
cepat,0.006
cerah,0.006
ceri,0.006
cerita,0.023
chang,0.006
checkout,0.006
cicil,0.006
cinta,0.04
cium,0.012
coba,0.006
corona,0.035
cuci,0.069
cukup,0.006
cuma,0.058
daf,0.017
dafi,0.006
daftar,0.017
dalam,0.017
dan,0.006
dapat,0.023
dari,0.006
daripada,0.006
darurat,0.012
dasar,0.012
datang,0.023
dating,0.006
dbilangin,0.006
dcuekin,0.006
dea,0.006
deh,0.006
dek,0.023
dekat,0.029
dekrema,0.006
del,0.006
demi,0.017
dengan,0.029
depan,0.006
desa,0.012
desek,0.006
desekan,0.006
deskripsi,0.006
di,0.029
dia,0.017
diam,0.006
dibac,0.006
didudukin,0.006
diliatin,0.006
dimafin,0.006
ding,0.006
diri,0.063
disa,0.006
disemangatin,0.006
disko,0.006
disuruh,0.012
dn,0.006
doa,0.012
doang,0.017
doctors,0.006
dokter,0.006
dompet,0.006
dong,0.023
donlotnya,0.006
dosa,0.012
dots,0.006
dotsnya,0.006
download,0.012
dpake,0.012
drama,0.098
drdlu,0.006
drekomendasikan,0.012
drumah,0.012
dsekitar,0.006
dsuru,0.035
dtanya,0.006
dtgnya,0.006
dtgu,0.006
dtgulah,0.006
dtolak,0.012
dua,0.006
duduk,0.006
duga,0.006
dukacita,0.006
dulu,0.023
edar,0.006
ego,0.006
eh,0.012
ekspektasiku,0.006
enak,0.029
eneg,0.006
entah,0.006
episode,0.069
era,0.006
eul,0.006
fans,0.006
fase,0.006
fasilitan,0.006
fasilitas,0.006
fi,0.006
film,0.012
fir,0.012
fira,0.012
fisik,0.006
fitri,0.006
fodfes,0.006
foto,0.006
ft,0.006
gabung,0.006
gagal,0.006
gais,0.006
gakbisa,0.035
gakboleh,0.006
gakjadi,0.006
gakpapa,0.012
gakpeduli,0.006
gaktau,0.006
ganggu,0.006
gapake,0.012
gara,0.029
gembira,0.006
gemuk,0.006
gerak,0.006
gila,0.012
gin,0.052
goblin,0.017
goblinya,0.006
gpa,0.012
gpake,0.006
grup,0.017
gugur,0.006
habis,0.029
hadap,0.017
hade,0.006
hafal,0.006
haha,0.012
hai,0.006
