term,weight
aa,0.028
acara,0.014
ada,0.042
adalah,0.07
adan,0.014
adil,0.028
admin,0.083
aduh,0.056
afrika,0.014
agama,0.042
agar,0.028
ah,0.014
ahli,0.014
akan,0.028
akhir,0.014
aktifitas,0.014
aktivitasnye,0.014
alas,0.014
alir,0.028
alma,0.014
alun,0.028
alur,0.014
ambang,0.014
ambigu,0.014
ambil,0.014
amin,0.028
ampun,0.014
amsyong,0.014
anak,0.028
anda,0.153
anggap,0.014
antar,0.014
antum,0.014
anwar,0.028
ap,0.014
apa,0.195
arght,0.014
arh,0.014
aroma,0.014
asia,0.014
asih,0.014
ata,0.014
atas,0.028
ayo,0.042
baca,0.056
badia,0.014
badiam,0.028
bagaimana,0.097
bagi,0.014
bahagia,0.014
bahas,0.028
bahasa,0.028
baik,0.139
balik,0.014
bang,0.083
bangga,0.014
bangndut,0.014
bantu,0.028
banyak,0.028
bapak,0.014
baru,0.056
basah,0.014
batu,0.014
bawa,0.028
beby,0.014
begini,0.014
begitu,0.056
beh,0.014
belai,0.014
belon,0.014
belum,0.07
bem,0.014
benar,0.042
berani,0.014
berapa,0.014
beri,0.056
berkah,0.014
besar,0.014
beta,0.028
biasa,0.014
bicara,0.014
bikah,0.014
bimbang,0.014
bismillah,0.014
blh,0.014
bogor,0.014
bos,0.014
brngkt,0.014
bromo,0.014
buat,0.097
buatin,0.014
bukan,0.028
bule,0.014
bumi,0.014
buming,0.014
bunuh,0.014
butuh,0.028
cafein,0.014
cahaya,0.042
candu,0.028
cari,0.014
cekup,0.028
cepat,0.042
cinta,0.014
clear,0.014
co,0.014
coba,0.014
cofe,0.014
contest,0.014
cuma,0.014
dan,0.014
dapat,0.014
dar,0.014
darah,0.014
dari,0.014
dasar,0.014
datengnya,0.014
dayu,0.014
deh,0.07
dengan,0.042
dentum,0.014
depan,0.028
desa,0.014
desain,0.014
dewasa,0.028
di,0.056
dia,0.028
diah,0.014
diam,0.056
dian,0.028
dicarin,0.014
dijogja,0.028
dikanwil,0.014
dilema,0.028
dimana,0.042
dines,0.014
direspon,0.014
diri,0.014
distro,0.014
ditelfon,0.014
doa,0.028
domisili,0.042
dong,0.07
dosa,0.014
dtgu,0.014
duduk,0.014
dukung,0.014
dukunganya,0.014
dulu,0.028
dunia,0.014
eh,0.028
enak,0.028
engkau,0.028
english,0.014
erti,0.014
esoyen,0.014
etanol,0.014
evaluasi,0.014
fans,0.014
fisik,0.014
fit,0.014
fitnes,0.014
fitnesnya,0.014
ganbate,0.014
gara,0.028
gaul,0.014
geh,0.014
gelap,0.014
gelato,0.014
gempa,0.014
gerak,0.014
gila,0.028
gilo,0.014
gin,0.014
golo,0.014
gombong,0.028
gosong,0.014
gratis,0.014
grebekan,0.014
gunung,0.014
gws,0.028
habis,0.042
hadap,0.028
haha,0.139
hai,0.028
hakikat,0.014
hal,0.014
hangat,0.028
hanya,0.028
harap,0.014
hari,0.042
harlah,0.014
haru,0.014
harus,0.014
hati,0.07
hebat,0.014
hemodialisa,0.014
hidup,0.028
himika,0.014
hitung,0.014
ho,0.014
hoam,0.014
hoh,0.028
htp,0.014
htps,0.014
hubungin,0.014
hujan,0.028
iam,0.028
ibu,0.042
ih,0.028
ikt,0.014
ikut,0.028
in,0.014
indah,0.028
india,0.014
indonesia,0.042
indonesiaidol,0.014
indonesialoh,0.014
ingat,0.028
ingin,0.028
ini,0.056
inspirasi,0.014
insya,0.014
ira,0.014
iroyudan,0.014
istimewa,0.014
itu,0.014
iya,0.056
izin,0.014
jadi,0.181
jalan,0.028
jam,0.014
janji,0.028
jarang,0.014
jauh,0.014
jawab,0.014
je,0.014
jelang,0.014
jelas,0.028
jgja,0.014
jk,0.028
jl,0.028
juang,0.028
juara,0.014
juta,0.028
kabul,0.014
kado,0.014
kakakakaka,0.014
kakakakakak,0.014
kakanda,0.028
kalau,0.07
kali,0.014
kalium,0.014
kalong,0.014
kamana,0.014
kampus,0.014
kapan,0.056
karawang,0.014
karena,0.014
kasih,0.014
kbr,0.042
keanugrahan,0.014
kecil,0.014
kejut,0.014
kelas,0.014
kemarin,0.028
ken,0.014
kenapa,0.042
kera,0.014
keren,0.042
kertas,0.014
kesan,0.014
kesini,0.014
ket,0.042
ketua,0.014
kikis,0.014
kilogram,0.014
kiskis,0.014
kita,0.028
kon,0.014
konfirmasi,0.014
korea,0.014
kos,0.014
kosong,0.056
ktp,0.014
kucing,0.014
kui,0.014
kuliah,0.014
kumpul,0.014
kurang,0.028
kutip,0.014
kuya,0.028
lagi,0.097
lah,0.056
lahir,0.014
laki,0.083
lama,0.07
lampung,0.111
lancar,0.028
lanjut,0.028
lavya,0.014
lawan,0.014
lebih,0.056
lelah,0.028
libur,0.028
lihat,0.014
lincah,0.014
