term,weight
ac,0.01
acak,0.01
ada,0.01
adalah,0.03
adegan,0.01
admin,0.039
aduh,0.03
afa,0.01
agar,0.039
ah,0.02
ai,0.01
aidzin,0.01
ajaib,0.01
ajar,0.03
akademi,0.01
akan,0.039
akhir,0.039
akhlak,0.01
akun,0.01
album,0.02
alias,0.02
almamater,0.01
amad,0.01
aman,0.02
ambil,0.01
amin,0.01
ampuh,0.01
ampun,0.01
anak,0.03
anda,0.108
andal,0.01
angkutan,0.01
animasi,0.01
anonim,0.01
apa,0.128
apdet,0.01
asa,0.01
asal,0.02
asam,0.01
aselinya,0.01
aselinyah,0.01
asli,0.01
astringen,0.01
ayam,0.01
ayo,0.03
baca,0.02
bada,0.01
badan,0.01
bagaimana,0.01
bagus,0.02
bahagia,0.01
bahkan,0.01
baik,0.079
bajing,0.01
baju,0.02
bakar,0.01
bakmi,0.01
bandung,0.03
bang,0.01
bangkar,0.01
bangun,0.01
banyak,0.039
bapak,0.01
bareng,0.03
baru,0.01
basuh,0.01
baterai,0.01
batin,0.01
batu,0.01
bawang,0.01
bawel,0.01
beban,0.01
bebek,0.02
beberapa,0.01
beda,0.01
begitu,0.039
bekas,0.01
belah,0.02
beli,0.108
belum,0.02
benar,0.039
benarkan,0.01
benda,0.01
berapa,0.01
berat,0.01
berita,0.01
besar,0.02
besok,0.02
betul,0.03
bias,0.01
biasa,0.02
biasana,0.01
bilang,0.03
bisa,0.02
bisik,0.01
biyungku,0.01
blackpink,0.01
bocor,0.01
bodoh,0.01
bola,0.01
bom,0.01
buat,0.049
bujuk,0.01
buka,0.039
bukan,0.039
bulan,0.049
buldep,0.01
bunuh,0.01
buta,0.01
butuh,0.01
cabut,0.01
cakap,0.01
cal,0.01
cantik,0.01
cari,0.01
cemil,0.02
cepat,0.02
ceplos,0.01
cerita,0.02
chilaquiles,0.01
cikarang,0.049
cimahi,0.01
cincin,0.01
cinta,0.01
colokin,0.01
comeback,0.02
comes,0.01
corona,0.01
costs,0.01
cuci,0.03
cukup,0.01
cuma,0.039
cuplikanya,0.01
cuy,0.01
da,0.01
dalgona,0.01
dan,0.069
dapat,0.01
data,0.01
datang,0.01
daya,0.01
decoder,0.01
deh,0.01
dek,0.01
dekat,0.02
del,0.01
dengan,0.01
desa,0.02
deuh,0.01
di,0.039
dia,0.03
diam,0.01
dih,0.01
dihubungin,0.01
dikirain,0.02
diklanin,0.01
dil,0.01
dilakuin,0.01
dilewatin,0.01
diluar,0.01
dimatin,0.01
dipakai,0.01
dipesantrenin,0.01
diri,0.02
displayna,0.01
diwaro,0.01
doa,0.02
doang,0.02
doing,0.01
dong,0.059
dosen,0.02
duduk,0.01
dulu,0.039
dunia,0.01
dystopia,0.01
dzuhur,0.01
efek,0.01
eh,0.02
ekor,0.01
emosi,0.01
enak,0.02
enakeun,0.01
etdah,0.01
euy,0.039
every,0.01
fadjriyati,0.01
faidzin,0.01
fallen,0.01
fasilitas,0.01
film,0.01
fizi,0.01
foto,0.01
gaji,0.01
galak,0.01
gara,0.039
garam,0.01
gatal,0.01
ge,0.049
gelisah,0.01
gem,0.01
gentle,0.01
gerlong,0.01
gin,0.01
goal,0.01
goblin,0.01
godiebag,0.01
goreng,0.02
gula,0.02
habis,0.099
hadir,0.01
haha,0.01
hal,0.01
halah,0.01
halaman,0.02
hampers,0.01
hanya,0.02
hareng,0.01
harga,0.01
hari,0.099
harus,0.03
hasil,0.01
hd,0.01
henti,0.01
heula,0.01
hiburanya,0.01
hidup,0.02
hijau,0.01
hikmah,0.02
hotel,0.01
hubung,0.01
humoris,0.03
ibadah,0.01
ibu,0.118
ide,0.02
igd,0.01
ih,0.059
iklan,0.01
ikut,0.02
ilmu,0.01
imah,0.01
in,0.03
infj,0.01
ini,0.089
inkigayo,0.01
instagram,0.01
isi,0.02
itu,0.148
iya,0.079
jadi,0.108
jaehyun,0.02
jalan,0.01
jaman,0.01
jang,0.01
janji,0.01
jari,0.02
jawap,0.01
jelas,0.01
jen,0.01
jeni,0.01
jeong,0.01
jepang,0.01
juga,0.02
jukujuk,0.01
junghwan,0.01
juri,0.01
kabel,0.01
kaca,0.01
kacamata,0.01
kacana,0.01
kacau,0.03
kadang,0.01
kado,0.01
kait,0.01
kaki,0.01
kalah,0.01
kalaluar,0.01
kalau,0.089
kali,0.02
kalyan,0.02
kamera,0.01
kan,0.02
kangkung,0.01
kaocot,0.01
karantina,0.01
karena,0.02
kasih,0.01
kata,0.039
kayak,0.049
kebahagian,0.01
keburu,0.01
kecewa,0.01
kecoa,0.01
kejut,0.01
kelelawar,0.02
keluarga,0.03
kemudian,0.01
ken,0.02
kena,0.02
kenapa,0.089
kepala,0.02
keren,0.03
kerja,0.049
kesal,0.01
kesitu,0.01
ketika,0.02
kieu,0.01
kilogram,0.039
kira,0.02
kita,0.01
knows,0.01
kolam,0.01
kondangan,0.01
kontaminasi,0.01
kopi,0.02
kos,0.01
ktawan,0.01
kuat,0.01
kuliah,0.01
kulit,0.02
kumat,0.02
kunci,0.01
kurang,0.01
kutil,0.01
kwaci,0.01
lagi,0.02
lagu,0.02
lah,0.049
lahir,0.01
lain,0.01
laki,0.059
lalak,0.01
lalakina,0.01
lalu,0.02
lama,0.01
lambung,0.03
lampu,0.069
langsung,0.039
lavender,0.01
lebaran,0.02
lebih,0.059
lee,0.01
legenda,0.01
lelah,0.059
leueut,0.01
lho,0.01
licik,0.01
lihat,0.039
lindung,0.01
lintah,0.01
lirikna,0.01
lnjut,0.01
lontong,0.01
lucu,0.02
lulus,0.02
luna,0.01
maaf,0.01
mahir,0.01
main,0.01
makanya,0.01
makes,0.01
makin,0.01
mal,0.01
malah,0.02
malam,0.02
malas,0.01
malu,0.02
mana,0.01
manga,0.01
manusia,0.01
marahin,0.02
marini,0.02
masa,0.01
masak,0.02
masih,0.01
masker,0.03
masuk,0.01
matahari,0.01
mati,0.059
matkul,0.01
mau,0.059
megap,0.01
meja,0.01
memang,0.01
menikah,0.02
menit,0.02
merah,0.02
mes,0.01
meureun,0.01
mie,0.02
mikirnya,0.01
milik,0.01
mimpi,0.03
mimpin,0.01
minimarket,0.01
minyak,0.01
misi,0.01
misquenya,0.01
modus,0.01
mohon,0.01
motogp,0.01
motor,0.01
muka,0.02
mulia,0.02
mulut,0.02
mun,0.01
murah,0.02
murudul,0.01
mute,0.01
myself,0.03
naik,0.02
nama,0.02
nanah,0.01
nasi,0.039
nazar,0.01
nct,0.03
neraka,0.02
nescafe,0.01
ngajaran,0.01
ngaji,0.01
ngakaknya,0.01
ngantuk,0.01
ngeliatin,0.01
ngmil,0.01
ngulang,0.01
niat,0.02
nirkabel,0.02
nobu,0.01
nomor,0.02
nu,0.03
nya,0.039
nyak,0.01
nyala,0.02
nyapres,0.01
nyata,0.049
nyetir,0.01
offline,0.02
oiya,0.02
oiyha,0.02
ojek,0.01
old,0.01
online,0.02
orang,0.099
orok,0.01
otak,0.01
over,0.01
pabrik,0.01
pada,0.02
padahal,0.049
padang,0.01
pagi,0.02
paham,0.01
pakai,0.059
pampers,0.01
panas,0.03
pandemi,0.049
panggil,0.01
panik,0.01
pantas,0.01
parabola,0.01
parah,0.01
paralel,0.01
parsel,0.01
pasak,0.02
pasang,0.03
pasar,0.01
pasedek,0.01
pedas,0.01
pedrosa,0.01
pekerjaan,0.01
pengirim,0.039
pensiun,0.01
penuh,0.02
performnya,0.01
pergi,0.02
pernah,0.03
persis,0.01
pertama,0.01
pesan,0.02
pikir,0.039
pilih,0.01
pira,0.01
pis,0.03
planet,0.01
plastik,0.01
polusi,0.01
portabel,0.01
posisi,0.01
prestasi,0.01
promonya,0.01
pulang,0.02
pulsa,0.02
pundung,0.01
pungut,0.01
pungutin,0.01
punya,0.02
pura,0.02
pusing,0.01
putih,0.01
puyo,0.01
quotenya,0.01
raib,0.01
raja,0.02
raksasa,0.01
rakyat,0.02
ramadhan,0.02
ramai,0.01
ramal,0.01
rambut,0.02
ramen,0.01
ranjau,0.01
rapuh,0.01
rasa,0.02
rawat,0.01
rayu,0.01
regards,0.01
rely,0.01
rem,0.01
renang,0.02
repsol,0.01
ribu,0.02
ridin,0.01
rin,0.02
rindu,0.01
ros,0.02
rumah,0.01
rupiah,0.01
rusak,0.01
ryujin,0.01
saat,0.01
sabar,0.01
sahur,0.02
saja,0.128
saking,0.01
sakit,0.03
salah,0.02
salesna,0.01
saling,0.01
salip,0.01
salon,0.01
sama,0.128
sampah,0.01
sampai,0.089
san,0.01
sana,0.01
santi,0.03
santiyunian,0.01
sapu,0.01
sarua,0.01
satisfying,0.02
satu,0.02
saudara,0.079
saya,0.513
sayah,0.01
sayang,0.01
sebagai,0.01
sebentar,0.01
sebuah,0.039
sederhana,0.01
sehat,0.039
sekali,0.207
sekarang,0.039
selalu,0.059
selamat,0.01
seluruh,0.01
semangat,0.01
semangka,0.01
semoga,0.03
semok,0.01
semua,0.02
senang,0.02
sendiri,0.059
sengaja,0.01
sepang,0.01
seperti,0.059
sepoi,0.02
septitanknya,0.01
sering,0.01
sesak,0.01
sesal,0.02
sesap,0.01
sewa,0.01
seyeng,0.02
si,0.049
siapa,0.01
sih,0.069
simpan,0.01
sinar,0.01
sini,0.01
slotnya,0.01
snsd,0.01
snya,0.01
soal,0.039
songs,0.01
sorot,0.01
sp,0.01
spa,0.01
stabil,0.01
suami,0.01
suara,0.01
such,0.01
sudah,0.148
suka,0.059
support,0.01
susah,0.03
syok,0.02
syukur,0.01
tadi,0.03
tahan,0.01
tahu,0.01
tahun,0.079
takut,0.01
tanda,0.01
tangan,0.039
tangungan,0.01
tanya,0.02
tarif,0.01
tawa,0.118
taylor,0.01
teh,0.039
tekuk,0.01
telat,0.03
telepon,0.03
telolet,0.02
teman,0.108
temenya,0.02
tempat,0.01
tengah,0.02
tengok,0.02
tepuk,0.01
terimakasih,0.02
terus,0.049
tetap,0.01
tiang,0.01
tiap,0.01
tiba,0.039
tidak,0.414
tidur,0.049
tikus,0.02
tim,0.01
timjunghwan,0.01
tinggal,0.03
tinju,0.01
titik,0.01
titiq,0.01
toko,0.02
tolong,0.02
tonton,0.039
traktir,0.01
tua,0.01
tuhan,0.02
tujuanya,0.01
tul,0.01
tumpah,0.01
tunggu,0.01
turun,0.03
turut,0.039
tutup,0.01
uang,0.01
ujian,0.01
ulang,0.039
umpan,0.01
umum,0.01
umur,0.02
untg,0.01
untuk,0.069
usah,0.02
utama,0.01
uyuh,0.01
valentine,0.01
ve,0.01
versi,0.01
via,0.01
