term,weight
abur,0.006
ada,0.03
adalah,0.097
addicted,0.006
admin,0.006
adududuh,0.006
afa,0.006
agung,0.006
ajadeh,0.006
ajak,0.006
ajar,0.012
aji,0.006
akal,0.006
akan,0.043
akhir,0.036
akn,0.006
akrab,0.006
alas,0.018
albert,0.006
alf,0.006
alih,0.006
allah,0.006
alma,0.036
although,0.006
ambil,0.036
ame,0.012
amin,0.03
an,0.03
anak,0.012
anda,0.31
angin,0.012
angkutan,0.006
any,0.006
apa,0.079
apatu,0.006
arti,0.012
asep,0.006
asi,0.006
asik,0.006
atas,0.018
atau,0.018
atur,0.006
avenged,0.006
awal,0.006
ayo,0.03
bab,0.018
baca,0.061
bagaimana,0.055
bagus,0.012
bah,0.006
bahagia,0.006
bahaha,0.006
bahanya,0.006
bahas,0.006
bahasa,0.012
bahkan,0.006
baik,0.043
balas,0.018
bangkit,0.018
bangku,0.006
banyak,0.024
barokah,0.006
baru,0.067
bawa,0.012
bebas,0.006
beberapa,0.006
beda,0.018
begadang,0.006
begitu,0.043
belalang,0.006
beli,0.006
belum,0.024
benar,0.018
benda,0.006
bentar,0.006
berapa,0.03
beri,0.018
berkata,0.006
bermanfat,0.006
besok,0.024
biasa,0.024
bicara,0.018
bijaksana,0.006
bilang,0.006
bintang,0.024
bio,0.006
bisa,0.067
bismillah,0.006
blankon,0.006
bodoh,0.018
bohong,0.006
boong,0.006
bosan,0.03
breathe,0.006
brgkt,0.006
buat,0.067
buka,0.012
bukan,0.012
bukber,0.012
buku,0.036
buruk,0.006
butuh,0.024
cakar,0.006
cakupanya,0.006
called,0.006
capai,0.012
cara,0.012
cari,0.049
cause,0.006
celaka,0.018
cepat,0.012
cerita,0.018
chatingan,0.006
chatnya,0.006
cinta,0.024
cline,0.006
co,0.024
comes,0.006
congrats,0.006
cosplay,0.012
cring,0.006
cuma,0.024
cuti,0.006
dan,0.073
dapat,0.024
dari,0.043
dasi,0.006
datang,0.006
deh,0.024
dekat,0.006
dengan,0.018
dengar,0.006
dep,0.006
depa,0.006
depan,0.03
desember,0.006
di,0.055
dia,0.006
diah,0.012
diahnya,0.006
diam,0.006
diangap,0.006
dicharge,0.006
dihubungin,0.006
dikit,0.006
dingin,0.012
dinginya,0.006
dion,0.006
disini,0.006
diskriminasi,0.006
dituker,0.006
doa,0.006
doang,0.006
doh,0.006
doing,0.006
dong,0.03
dulu,0.006
dunia,0.006
dwi,0.012
each,0.006
eaglesmansasi,0.006
eaklo,0.006
ecie,0.006
ed,0.006
eh,0.024
ehehehe,0.006
einstein,0.006
elah,0.006
else,0.006
empat,0.006
enak,0.012
enakya,0.006
enough,0.024
et,0.006
euw,0.006
euy,0.006
every,0.006
fa,0.006
facebook,0.006
fajar,0.006
fast,0.012
fi,0.018
film,0.018
fir,0.006
fira,0.006
fisika,0.012
fmpkfpc,0.006
foto,0.006
friends,0.006
gadis,0.006
gagal,0.006
gaksih,0.006
gandeng,0.006
gapapadeh,0.006
garis,0.018
gempor,0.006
gerak,0.006
ghosts,0.006
gila,0.006
gin,0.012
goal,0.006
gratis,0.006
gravitasi,0.006
guiding,0.006
habis,0.012
hadir,0.006
haha,0.018
hanya,0.049
happens,0.006
hardest,0.006
hari,0.055
harus,0.018
hati,0.012
header,0.006
headernya,0.006
heleh,0.006
hercules,0.006
hf,0.006
hidup,0.043
hih,0.006
hilang,0.012
hnghng,0.006
hoho,0.006
hormonal,0.018
hotel,0.006
htohtewgw,0.006
htp,0.024
hua,0.018
hujan,0.012
hurts,0.006
hwax,0.006
ibu,0.024
id,0.006
ignored,0.006
iklan,0.006
ikut,0.018
imam,0.006
iman,0.006
in,0.036
inbox,0.006
indonesia,0.012
ingat,0.018
inge,0.018
ingin,0.012
ini,0.073
internet,0.006
ipad,0.006
iri,0.006
isi,0.006
islamic,0.006
isn,0.006
istirahat,0.012
itu,0.207
iya,0.079
iyaya,0.012
jadi,0.182
jadikeun,0.006
jahit,0.006
jakarta,0.012
jaket,0.006
jalan,0.018
jam,0.036
jaman,0.012
jauh,0.012
jawa,0.012
jesie,0.006
jika,0.03
juga,0.043
jumat,0.006
kabarin,0.006
kadang,0.049
kakel,0.006
kalah,0.006
kalau,0.061
kali,0.043
kan,0.061
