term,weight
acara,0.014
ada,0.084
adalah,0.014
admin,0.014
aduh,0.042
agar,0.028
ah,0.042
akame,0.014
akan,0.014
akhir,0.014
akhlak,0.014
alami,0.014
alda,0.014
alias,0.028
anak,0.084
anda,0.111
angka,0.014
angkat,0.014
angliyak,0.014
anime,0.028
apa,0.084
apaka,0.014
apalagi,0.014
apaqa,0.014
artos,0.014
ashiap,0.014
asli,0.028
astaga,0.042
asw,0.014
awak,0.014
awkwkwkwk,0.028
awkwkwkwkwk,0.014
awokawoakwowkakwk,0.014
ayam,0.042
ayo,0.028
baca,0.028
bagaimana,0.07
bagus,0.014
baik,0.028
bajing,0.014
balas,0.042
balasan,0.014
balik,0.028
bangga,0.014
bangun,0.042
banyak,0.028
baru,0.111
baterenya,0.014
batiba,0.014
bawa,0.028
bawah,0.014
beatles,0.014
beberapa,0.014
beda,0.014
begitu,0.028
beli,0.056
benar,0.098
bening,0.014
bentar,0.028
berapa,0.014
berisik,0.014
bersih,0.014
betah,0.014
betul,0.042
bilang,0.028
bingung,0.028
bisa,0.098
bk,0.014
blok,0.014
bodoh,0.028
bola,0.014
bon,0.014
bonus,0.014
boruto,0.014
bruh,0.014
buah,0.028
buat,0.098
budak,0.014
buka,0.014
bukan,0.028
bulan,0.014
bungkus,0.014
bunuh,0.014
busur,0.014
cakep,0.014
cara,0.014
cari,0.014
cemil,0.028
cepat,0.014
cerewet,0.014
cerita,0.028
chicks,0.014
chiki,0.014
cina,0.014
cinta,0.028
cmtik,0.014
coba,0.014
cocok,0.042
cok,0.014
coklat,0.028
coldplay,0.014
concat,0.014
corona,0.014
cuaca,0.014
cuma,0.014
daftar,0.014
dan,0.028
data,0.014
deh,0.014
dengan,0.014
depan,0.028
dewasa,0.014
di,0.028
diabisin,0.014
didik,0.014
direstart,0.014
diri,0.014
disingung,0.014
disini,0.014
doang,0.056
doanh,0.014
doesn,0.014
dokter,0.014
dong,0.042
dosa,0.014
dpr,0.014
dude,0.014
duka,0.042
dulu,0.07
dunia,0.028
edtech,0.014
efek,0.014
eh,0.014
eheh,0.014
enak,0.042
enjet,0.028
entar,0.014
episode,0.084
es,0.014
faktorial,0.014
fokus,0.014
gagal,0.014
galak,0.014
gara,0.042
gelisah,0.014
gila,0.028
gin,0.056
godzila,0.014
grup,0.028
gugup,0.028
gulir,0.014
gunung,0.014
gurih,0.014
habis,0.056
haduh,0.014
hai,0.014
haku,0.014
halah,0.014
hancur,0.014
hani,0.014
hari,0.111
has,0.014
hati,0.028
henti,0.014
heran,0.028
hijau,0.014
hilang,0.014
histeris,0.014
hlh,0.014
hoalah,0.014
homan,0.014
hujan,0.056
humoris,0.056
ikut,0.014
in,0.014
ingat,0.014
ini,0.056
inovatif,0.014
instruksi,0.014
internet,0.014
inuyasha,0.014
isi,0.014
isone,0.014
itu,0.125
iya,0.223
iyah,0.014
iyak,0.014
jadi,0.139
jail,0.014
jalan,0.014
janji,0.014
jatim,0.014
jelek,0.014
jenis,0.014
jiwa,0.014
jovi,0.014
judul,0.014
juga,0.042
julid,0.014
kadita,0.014
kalau,0.098
kali,0.056
kamar,0.028
kampus,0.014
kan,0.028
kapan,0.042
kasi,0.014
kasih,0.014
kasma,0.014
kasus,0.042
kata,0.056
kawai,0.014
ke,0.014
keburu,0.014
kecil,0.014
kecintan,0.014
kedistract,0.014
kejar,0.014
kejut,0.07
kelas,0.014
kelelawar,0.014
keluar,0.014
kembali,0.014
kembang,0.014
kembung,0.014
ken,0.042
kena,0.028
kenapa,0.084
keramas,0.014
keri,0.014
kesal,0.014
kesan,0.014
ketawa,0.014
ketika,0.014
ketrampilan,0.014
kim,0.014
kira,0.014
kirim,0.014
klen,0.014
kohama,0.014
konohamaru,0.014
kopi,0.07
kore,0.014
koronamaru,0.014
kota,0.014
kotor,0.014
koukou,0.014
kuliah,0.014
kunci,0.014
kuota,0.014
kurang,0.014
la,0.014
labil,0.014
lagu,0.028
lah,0.042
laki,0.014
lalu,0.014
lama,0.056
langsung,0.028
lapang,0.014
laptop,0.014
lawan,0.014
layar,0.028
lebih,0.042
lemah,0.014
lepas,0.014
lewat,0.042
libra,0.014
lihat,0.042
logika,0.014
loh,0.042
luar,0.014
luas,0.014
lucu,0.028
lumayan,0.014
lupa,0.014
maaf,0.014
macam,0.014
magelang,0.014
mahouka,0.014
makin,0.084
maksud,0.028
malah,0.014
malam,0.014
mana,0.028
mande,0.014
mandi,0.014
mantulnya,0.014
manusia,0.014
marah,0.028
marahin,0.014
masa,0.014
matang,0.014
matematika,0.014
mati,0.028
mau,0.125
media,0.014
memang,0.111
menangys,0.028
mentok,0.014
mes,0.014
microsoft,0.014
mie,0.07
mil,0.014
milenial,0.028
minat,0.014
mincot,0.014
mingat,0.014
minimum,0.014
minum,0.028
mobil,0.014
modal,0.014
modboster,0.014
moments,0.014
momoshiki,0.014
muda,0.014
mudah,0.014
mulai,0.014
mumet,0.014
muntah,0.014
murah,0.014
nan,0.014
natsuo,0.014
ndang,0.014
ndas,0.014
ndase,0.014
negatif,0.014
nembus,0.014
netflix,0.014
netral,0.014
ngabisin,0.014
ngapapa,0.014
ngawur,0.014
ngecek,0.014
ngelukis,0.014
niat,0.028
nikmat,0.014
nongkrong,0.014
normal,0.084
numpang,0.014
nyala,0.014
nyaman,0.014
nyenyak,0.014
obrol,0.014
oke,0.028
omaigat,0.014
online,0.014
orang,0.098
ospek,0.014
otak,0.028
overrated,0.014
pada,0.014
padahal,0.014
pagi,0.042
pagy,0.014
paham,0.028
pakai,0.056
pala,0.014
paling,0.014
pandang,0.014
pandemi,0.014
panjang,0.014
pecah,0.014
peduli,0.014
pelangi,0.014
penasaran,0.014
pengaruh,0.028
penting,0.014
percaya,0.014
pergi,0.014
periksa,0.014
perintah,0.028
peristiwa,0.028
permanently,0.014
pernah,0.028
peron,0.014
pertama,0.014
peta,0.014
piece,0.014
pikir,0.125
pindah,0.014
pinjam,0.014
pintu,0.014
pohon,0.014
pokok,0.014
pola,0.014
poseng,0.014
potong,0.028
prahu,0.014
prestasi,0.014
pribadi,0.014
pricey,0.014
profesi,0.014
ps,0.014
psikopat,0.014
pundak,0.014
punya,0.028
pusing,0.056
putar,0.014
qren,0.014
rajin,0.014
rakyat,0.014
ramal,0.014
rambut,0.014
rasa,0.014
ratu,0.014
rayu,0.014
redit,0.014
rekor,0.014
retousei,0.014
rindu,0.014
romantis,0.014
romantisasi,0.014
rumah,0.084
rupa,0.014
ryota,0.014
saja,0.028
salah,0.014
saldo,0.014
salting,0.014
sama,0.042
sampai,0.07
sana,0.014
sandaime,0.014
sangat,0.042
satu,0.014
saudara,0.07
saya,0.279
sebar,0.014
sebuah,0.014
sedang,0.028
sekali,0.167
sekarang,0.084
sekolah,0.014
selamat,0.028
selesai,0.014
semangat,0.042
semua,0.014
sen,0.028
sengaja,0.042
senja,0.028
sepatu,0.014
sepeda,0.014
seperti,0.056
serap,0.014
seri,0.014
sesunguhnya,0.014
shigatsu,0.014
sial,0.014
siap,0.014
siapa,0.028
sih,0.07
simak,0.014
singkong,0.014
sini,0.014
soklat,0.014
sore,0.014
sosial,0.028
spotifart,0.014
srsly,0.014
standar,0.014
stengah,0.014
suasana,0.014
suatu,0.014
sudah,0.167
suka,0.014
sumber,0.028
sumpah,0.014
sumpit,0.014
sungguh,0.014
susu,0.028
tadi,0.042
tahan,0.014
tahu,0.07
tahun,0.014
takut,0.028
tangapanya,0.014
tangis,0.014
tanya,0.014
tawa,0.07
tayang,0.014
tekan,0.014
telepon,0.056
telur,0.014
teman,0.014
tenki,0.014
teriak,0.028
terima,0.014
terus,0.028
tiap,0.028
tiba,0.014
tidak,0.543
tidur,0.056
tindak,0.014
tingalkan,0.014
tinggi,0.014
tiramisu,0.014
tolong,0.042
tonton,0.014
tren,0.028
tsubasa,0.014
tuhan,0.056
tulis,0.014
tunggu,0.042
turunin,0.014
tutup,0.014
tweets,0.028
twitter,0.014
uang,0.014
ulah,0.014
umur,0.014
untuk,0.042
upacara,0.014
urus,0.014
usah,0.056
use,0.014
uso,0.014
uw,0.014
uwah,0.014
uwuphobia,0.014
wagu,0.014
wahai,0.014
wanita,0.028
wanjeng,0.014
wanpis,0.014
warga,0.014
wasalam,0.014
whatsapp,0.042
whut,0.014
wifi,0.014
wih,0.014
wili,0.014
wonosari,0.014
wordpres,0.014
ya,0.014
yampon,0.014
yang,0.084
yaps,0.014
yeu,0.028
yey,0.014
yogyakarta,0.028
youka,0.014
zaitun,0.014
zealand,0.014
zumpa,0.014
zumpah,0.014
