term,weight
acara,0.014
ada,0.071
adalah,0.007
agar,0.014
agung,0.007
ain,0.007
ajar,0.021
akan,0.029
akhir,0.043
akre,0.014
alesanya,0.007
along,0.007
aman,0.043
amatsih,0.007
ambil,0.014
ambyar,0.007
an,0.043
anak,0.021
anda,0.014
aneh,0.007
angkat,0.014
antem,0.007
anteng,0.007
antre,0.007
apa,0.093
apd,0.007
aplikasi,0.007
arti,0.014
artis,0.014
asal,0.007
asli,0.007
atas,0.007
atau,0.007
atur,0.007
awal,0.014
ayah,0.021
baca,0.029
badan,0.007
bagaimana,0.064
bagus,0.007
bahkan,0.007
baik,0.021
bakso,0.007
balas,0.014
balik,0.014
balita,0.007
bantu,0.014
banyak,0.029
bapak,0.021
baperan,0.014
barang,0.007
bareng,0.007
baru,0.093
batu,0.007
bawa,0.036
bawang,0.007
bayang,0.007
bayar,0.007
bayi,0.014
bcl,0.007
beberapa,0.021
beda,0.021
begini,0.036
begitu,0.043
belah,0.007
belakang,0.007
beliau,0.007
belum,0.029
benang,0.007
benar,0.071
bengong,0.007
beranda,0.007
berani,0.007
berapa,0.007
berita,0.007
berkah,0.007
bersih,0.007
betapa,0.007
betul,0.007
bias,0.007
biasa,0.05
bilang,0.021
bimbing,0.007
bimbinganya,0.007
bingung,0.043
bisa,0.014
bodoh,0.05
bohong,0.007
bolak,0.007
bonus,0.007
boro,0.007
bosan,0.007
boyolali,0.007
brended,0.007
brewok,0.007
buat,0.121
budak,0.014
bude,0.007
buka,0.021
bukan,0.021
bulan,0.014
canda,0.007
cantik,0.007
cara,0.014
cari,0.007
cemil,0.05
cemilan,0.007
cengang,0.007
cepat,0.007
cerdas,0.007
cerewet,0.021
cerita,0.029
cinta,0.021
coba,0.014
contek,0.007
corona,0.014
cpns,0.007
ct,0.007
cuci,0.014
cuek,0.007
cuma,0.043
daftar,0.021
daging,0.007
dan,0.029
dapat,0.007
dapur,0.014
dar,0.007
darah,0.007
dari,0.014
darimana,0.007
daripada,0.007
daritadi,0.014
dasar,0.029
datang,0.007
daud,0.007
deh,0.007
dekat,0.021
deketan,0.007
dengan,0.007
dengar,0.007
depan,0.021
depo,0.007
diajarin,0.007
diam,0.021
dibantuin,0.007
diginian,0.007
dikagetin,0.007
dikos,0.007
dingin,0.007
diomelin,0.007
dion,0.007
dipangil,0.014
dipenuhin,0.007
direktur,0.007
diri,0.064
diselingkuhin,0.007
ditanyain,0.021
ditwiter,0.014
dk,0.007
doang,0.029
dokter,0.007
dosbing,0.014
dosen,0.007
dpnya,0.007
drama,0.079
duka,0.007
dulu,0.064
duluan,0.007
dunia,0.021
edit,0.014
eh,0.007
enak,0.021
endang,0.007
endap,0.007
fakboi,0.007
fakta,0.007
farmasi,0.007
fi,0.007
film,0.007
flu,0.007
formalitas,0.007
foto,0.014
fredly,0.007
frs,0.007
game,0.007
ganda,0.007
gandeng,0.007
gara,0.007
garuda,0.007
gatal,0.007
gel,0.007
geli,0.007
gemas,0.007
gerombolanya,0.007
giat,0.007
gin,0.121
ginjal,0.007
ginu,0.007
glodakan,0.007
gobloqan,0.007
gods,0.007
gosip,0.007
greget,0.007
gregetan,0.007
grup,0.007
gugup,0.021
habis,0.036
hai,0.007
halaman,0.007
halusinasi,0.007
hampir,0.021
hancur,0.007
hanya,0.014
hapus,0.007
hari,0.05
haru,0.021
harus,0.007
hasil,0.007
hati,0.021
hawa,0.007
henti,0.007
hidup,0.029
hilang,0.014
hindar,0.014
hobi,0.007
horor,0.007
hubung,0.007
hujan,0.007
