term,weight
ac,0.014
acak,0.014
ada,0.096
admin,0.014
administrasi,0.014
adonai,0.014
agar,0.014
ah,0.027
air,0.014
ajaib,0.014
akan,0.027
alas,0.014
alhamdililah,0.014
anak,0.041
anda,0.137
andro,0.014
anggota,0.014
angkotnya,0.014
angkutan,0.014
apa,0.11
aromating,0.014
asli,0.027
astaga,0.014
atas,0.027
atm,0.027
ayam,0.041
ayo,0.027
baca,0.014
bahagia,0.041
baik,0.055
baiq,0.014
bakar,0.014
bakso,0.027
banyak,0.082
bapak,0.055
barang,0.014
baros,0.014
baru,0.055
bawa,0.014
bayang,0.014
beberapa,0.027
beda,0.027
begini,0.014
beli,0.041
belum,0.027
benar,0.027
bentol,0.014
ber,0.014
berapa,0.027
beri,0.041
besar,0.014
besok,0.027
beud,0.014
biasa,0.041
bilang,0.041
biore,0.027
bisa,0.014
bodoh,0.014
bogor,0.027
bosan,0.014
buah,0.014
buat,0.069
bubur,0.014
bukan,0.014
bukit,0.014
bulan,0.055
bung,0.014
bunga,0.014
butuh,0.014
cahaya,0.014
cari,0.041
cemil,0.027
cepat,0.014
cerita,0.027
cetak,0.014
cianjur,0.027
cikancana,0.014
cinta,0.027
coba,0.055
coban,0.014
coklat,0.041
coklatny,0.014
cukup,0.014
cung,0.014
dagu,0.014
dekat,0.027
dengan,0.014
depan,0.014
di,0.014
dibekelin,0.014
dikos,0.014
diri,0.014
disimpen,0.041
disimpenya,0.014
ditangal,0.014
ditawarin,0.014
dokumen,0.014
dompet,0.014
dong,0.041
dulu,0.069
dunia,0.014
dus,0.027
ehe,0.027
enak,0.041
eyeliner,0.014
eyeshadow,0.014
facebok,0.014
fau,0.014
favorit,0.014
fess,0.014
foto,0.014
gadis,0.014
gaji,0.014
galon,0.027
garpu,0.014
gendut,0.027
gin,0.027
goreng,0.014
greget,0.014
guna,0.014
habis,0.041
hadap,0.014
hadju,0.014
haduh,0.014
hai,0.014
hangat,0.014
hapal,0.014
hari,0.041
hati,0.014
headset,0.014
hebat,0.014
hidup,0.096
hijabic,0.014
hijau,0.014
hilang,0.055
ho,0.014
hujan,0.027
hula,0.014
humoris,0.041
hwuhu,0.027
ibu,0.027
ikut,0.027
ingat,0.041
inginya,0.014
ini,0.041
inituh,0.014
input,0.014
isi,0.014
istri,0.014
isya,0.014
itu,0.027
iya,0.206
jadi,0.055
jalan,0.055
