term,weight
aa,0.004
acak,0.004
ada,0.016
adan,0.004
adil,0.012
aduh,0.016
agak,0.004
agama,0.008
agar,0.033
ah,0.004
air,0.016
ajar,0.008
akal,0.004
akan,0.004
akar,0.004
akhir,0.021
akhirat,0.008
akrab,0.012
aktivitas,0.004
akun,0.029
akut,0.004
al,0.004
ala,0.008
alae,0.004
alami,0.004
alat,0.004
aman,0.008
ambil,0.008
ampun,0.008
an,0.008
anak,0.049
anda,0.074
aneh,0.004
angkat,0.004
angking,0.004
animalfes,0.004
anpon,0.004
antem,0.004
antivirusnya,0.004
anugerah,0.004
apa,0.115
apel,0.008
aplikasi,0.004
april,0.004
arsip,0.004
arti,0.008
asal,0.016
asam,0.004
atas,0.029
atau,0.004
atur,0.004
awal,0.008
ayo,0.004
babi,0.004
bablas,0.004
babu,0.004
baca,0.029
badan,0.008
bagai,0.004
bagaimana,0.037
bagi,0.016
bagus,0.004
bah,0.004
bahagia,0.004
bahaya,0.012
baik,0.066
baju,0.004
bakar,0.012
balas,0.008
balasan,0.008
balikpapan,0.004
banding,0.004
bantu,0.004
banyak,0.041
bapak,0.016
baru,0.041
basa,0.004
basi,0.004
batam,0.004
bau,0.004
bawa,0.012
bawah,0.004
bawang,0.004
bayang,0.004
bayi,0.008
bebas,0.025
bebek,0.004
beberapa,0.004
beda,0.004
begini,0.008
begitu,0.058
bekas,0.004
bel,0.004
belakang,0.008
belanja,0.004
beli,0.041
beling,0.004
benar,0.029
benci,0.021
berani,0.008
berapa,0.021
beri,0.008
bersih,0.012
bersihin,0.004
besar,0.041
biadab,0.004
biasa,0.029
biaya,0.008
bicara,0.008
biji,0.004
bilang,0.025
bingung,0.008
bini,0.004
bio,0.008
bisa,0.016
bisnis,0.008
blog,0.008
blokin,0.004
bn,0.004
bodoh,0.012
boleh,0.004
bom,0.033
british,0.004
buah,0.004
buang,0.008
buat,0.103
bubuk,0.004
bubur,0.016
bude,0.004
bujang,0.004
buka,0.021
bukan,0.008
buku,0.016
bulan,0.008
buras,0.004
butir,0.004
butuh,0.012
cabai,0.004
cakap,0.004
camat,0.004
campur,0.004
cara,0.008
cari,0.012
cat,0.004
catatanya,0.004
celaka,0.004
cemil,0.045
ceng,0.004
centang,0.004
cepat,0.012
cerita,0.029
cerna,0.004
cetak,0.004
chatime,0.004
chuka,0.004
cinta,0.004
cipika,0.004
cipiki,0.004
cium,0.004
coba,0.012
cocok,0.004
coon,0.004
coret,0.004
corona,0.012
coto,0.016
cuci,0.008
cukup,0.004
cukur,0.004
cuma,0.021
curah,0.004
curhat,0.004
curhatan,0.004
cus,0.008
dadak,0.004
daging,0.012
damai,0.004
dampak,0.004
dan,0.021
dana,0.004
dandan,0.004
daniel,0.004
dapat,0.012
dari,0.029
daripada,0.004
data,0.004
datang,0.004
datengnya,0.004
debu,0.004
deh,0.021
dekat,0.008
dengan,0.012
dengar,0.004
depan,0.004
depok,0.004
derita,0.004
detoks,0.004
dewasa,0.004
df,0.008
di,0.021
diajarin,0.004
diam,0.012
diapain,0.004
dibilangin,0.008
diceramahin,0.004
diceritain,0.004
dichat,0.008
digital,0.004
dih,0.004
dikit,0.008
dilapin,0.004
dimakanin,0.004
dimasukin,0.004
diminimalisir,0.004
dimintain,0.004
dingin,0.004
diomelin,0.004
diomongin,0.004
dipangil,0.004
dipanjangain,0.004
diprotect,0.004
diri,0.021
dispenser,0.004
ditriger,0.004
doang,0.008
dong,0.008
drama,0.012
dryfod,0.004
dsbg,0.004
dst,0.004
dua,0.004
dulu,0.029
earphone,0.004
ego,0.004
eh,0.004
eka,0.004
elah,0.004
emaknya,0.004
ember,0.004
emoh,0.008
emosional,0.008
emot,0.008
enak,0.008
energi,0.004
engaklah,0.004
enggan,0.004
entah,0.008
episode,0.008
erti,0.004
esiv,0.004
euy,0.004
feedback,0.004
fitur,0.004
flores,0.004
folowermu,0.004
folowingku,0.004
foto,0.004
friendzone,0.004
fy,0.008
gagak,0.004
gajah,0.004
gaji,0.004
game,0.004
ganggu,0.004
ganti,0.021
garis,0.004
gatal,0.004
gataunya,0.012
gausa,0.004
gejala,0.004
gelar,0.004
gelas,0.004
gembar,0.004
gembor,0.004
gendong,0.004
ges,0.004
getar,0.004
gigi,0.004
gila,0.012
gin,0.012
giveaway,0.004
goba,0.004
gompal,0.004
gondrong,0.004
googling,0.008
goreng,0.012
gosip,0.004
gosong,0.004
gratis,0.004
grup,0.016
gula,0.004
gulir,0.004
gulung,0.004
gumpal,0.004
gurita,0.004
gym,0.004
habis,0.025
hadir,0.004
hadu,0.004
haduh,0.004
hai,0.029
hakim,0.008
hal,0.012
hampir,0.012
hangus,0.004
hanya,0.021
hapus,0.004
harap,0.021
harga,0.008
hari,0.025
harta,0.004
harus,0.025
hasil,0.008
hati,0.029
hemat,0.012
henti,0.012
hewan,0.004
hibah,0.004
hidung,0.004
hidup,0.033
hilang,0.008
hotel,0.004
humoris,0.004
huruf,0.004
ibu,0.062
idako,0.004
ikan,0.004
ikut,0.037
ikuti,0.008
impor,0.004
imun,0.008
inalilahi,0.004
indonesia,0.004
info,0.012
ingat,0.021
ingin,0.004
ini,0.004
inspirasi,0.004
instagram,0.008
instansi,0.004
instruksi,0.004
introspeksi,0.004
isi,0.016
istad,0.004
istri,0.008
itu,0.062
iya,0.062
jadi,0.111
jaga,0.012
jagain,0.004
jahe,0.004
jakarta,0.004
jaket,0.004
jalan,0.012
jam,0.012
jamah,0.004
janicok,0.004
jantung,0.004
jarak,0.004
jarang,0.004
jari,0.004
jatuh,0.004
jauh,0.016
jawab,0.016
jebak,0.004
jelang,0.004
jelas,0.016
jeli,0.004
jendela,0.008
jengkal,0.004
jenis,0.004
jepang,0.004
jerawat,0.012
jeroan,0.004
jijik,0.004
jml,0.004
jual,0.012
juang,0.004
juga,0.025
jujur,0.004
jumat,0.004
jus,0.004
kacau,0.004
kadang,0.016
kafe,0.004
kaki,0.004
kalah,0.004
kalau,0.259
kali,0.021
kalian,0.004
kambuh,0.008
kamera,0.004
kan,0.045
kanan,0.004
kanker,0.004
kantor,0.054
kapan,0.021
karena,0.016
kartu,0.004
kasa,0.004
kasar,0.004
kasi,0.008
kasih,0.025
kasus,0.012
kata,0.029
kayak,0.054
ke,0.004
kebahagian,0.004
kebal,0.004
kecil,0.012
kedap,0.004
kelaperan,0.004
kelinci,0.008
keliru,0.004
keluar,0.012
keluarga,0.025
kemarin,0.012
kembali,0.008
ken,0.021
kena,0.008
kenal,0.016
kenan,0.004
kenapa,0.074
kendali,0.008
kenyat,0.004
kepala,0.012
kepercayan,0.004
keras,0.004
kerja,0.016
kerjain,0.004
kerudung,0.004
kerumun,0.004
kesal,0.008
kesalahanya,0.004
keseleo,0.004
ketik,0.004
ketika,0.004
khalid,0.004
kilo,0.008
kilogram,0.004
kim,0.004
kinclong,0.004
kira,0.016
kiri,0.012
kirim,0.008
kita,0.008
kitcat,0.004
klip,0.004
koda,0.004
kol,0.004
kolok,0.004
komentar,0.004
komoditas,0.004
konro,0.008
konsekuensi,0.004
konspirasi,0.025
kopi,0.004
kor,0.004
korban,0.004
korbanya,0.004
krisis,0.004
kuah,0.012
kuat,0.004
kucing,0.033
kukus,0.004
kuliah,0.004
kulit,0.004
kulkas,0.008
kunamain,0.004
kuning,0.008
kunjung,0.004
kuping,0.008
kurang,0.008
kutu,0.021
la,0.004
label,0.004
labil,0.004
labu,0.004
lagi,0.012
lah,0.049
lahir,0.008
lain,0.004
laki,0.025
laku,0.004
lalu,0.012
lama,0.054
langanan,0.008
langsung,0.025
lanjur,0.004
lanjut,0.008
lapar,0.008
laperan,0.004
laptop,0.004
larantuka,0.004
laris,0.004
launcher,0.004
laut,0.004
layan,0.004
lebaran,0.012
lebih,0.033
lebur,0.004
ledak,0.004
legenda,0.004
lelah,0.016
lelaki,0.004
leleh,0.008
lem,0.004
lemah,0.004
lembut,0.004
lempar,0.004
lepas,0.004
lewat,0.012
lgs,0.004
liar,0.008
libat,0.004
lihat,0.049
lilin,0.004
lima,0.004
lin,0.004
linu,0.004
liter,0.004
loh,0.004
lublub,0.004
lupa,0.016
maaf,0.016
macam,0.004
mafan,0.012
mahal,0.004
main,0.004
maine,0.004
makanya,0.012
makasar,0.016
makin,0.016
maksud,0.008
malah,0.012
malam,0.008
malas,0.016
malu,0.008
mampu,0.008
mana,0.029
mangil,0.004
mangkok,0.004
mantan,0.004
manusia,0.012
marahin,0.004
marsmalow,0.004
masa,0.004
masak,0.025
masakanya,0.004
masalah,0.021
masih,0.012
masing,0.008
masuk,0.041
mata,0.008
mati,0.016
mau,0.103
media,0.016
mei,0.004
memang,0.045
memberi,0.012
memories,0.004
menangos,0.004
mengunakan,0.004
