term,weight
absolutely,0.013
abu,0.013
ad,0.013
ada,0.04
adalah,0.013
adel,0.013
adil,0.013
admin,0.027
agak,0.013
akrab,0.013
alias,0.04
aman,0.013
amin,0.013
ampun,0.013
an,0.013
anak,0.027
anda,0.267
aneh,0.013
anya,0.013
apa,0.08
apas,0.013
apatu,0.013
aplikasi,0.013
arief,0.013
arif,0.027
asa,0.013
asik,0.013
asli,0.027
astaga,0.04
atas,0.04
awoakwokwowkw,0.013
awoekwowkwowkwokwok,0.013
awowkw,0.013
awowkwowkwkwowk,0.013
ayah,0.013
ayo,0.027
azab,0.013
baca,0.013
baekyeolist,0.013
bagaimana,0.013
bagi,0.013
bahasa,0.027
bahaya,0.013
baik,0.027
bajing,0.013
baju,0.04
balak,0.013
balas,0.027
balek,0.013
bangun,0.04
banyak,0.053
bareng,0.013
baru,0.067
bau,0.013
bawa,0.027
bayi,0.013
beaten,0.013
beby,0.013
beda,0.027
begitu,0.08
belakang,0.013
belum,0.013
benar,0.067
benda,0.013
berapa,0.027
beras,0.027
berita,0.013
besar,0.04
besok,0.013
bicara,0.04
bilang,0.027
binge,0.013
bingung,0.013
biru,0.013
bisa,0.04
bixby,0.013
bodoh,0.027
boi,0.013
boleh,0.013
bolela,0.013
boong,0.013
bos,0.013
brti,0.013
buat,0.093
budiawan,0.013
buka,0.013
bukan,0.04
buntu,0.013
cabai,0.013
cahaya,0.013
cakep,0.027
canda,0.013
cantik,0.013
cari,0.013
cemil,0.067
cepat,0.013
cerita,0.013
childhoods,0.013
cinta,0.053
coba,0.013
cogan,0.013
congrats,0.013
cpt,0.013
cryin,0.013
cuma,0.027
dae,0.013
dajal,0.013
dakjalmu,0.013
dalam,0.013
dan,0.053
dapat,0.013
dari,0.027
datang,0.027
debat,0.013
defensif,0.013
dekat,0.013
del,0.013
detektif,0.013
dgr,0.013
di,0.053
dia,0.027
diam,0.027
diapus,0.013
diledekin,0.013
dilock,0.013
dipa,0.04
doa,0.013
does,0.013
donasi,0.013
dong,0.04
dosa,0.013
drama,0.027
drums,0.013
dufan,0.013
duluan,0.013
duri,0.013
edit,0.013
egois,0.013
ejek,0.013
elo,0.013
email,0.027
enak,0.013
episode,0.013
erat,0.013
exo,0.013
fakta,0.013
fangirling,0.013
fitnah,0.013
fiturnya,0.013
fizi,0.013
flexing,0.013
flis,0.013
format,0.013
foto,0.04
gadis,0.013
galak,0.013
gambar,0.027
gaya,0.013
gerutu,0.013
gila,0.027
gin,0.04
goreng,0.013
gunain,0.013
habis,0.027
hafal,0.013
hajar,0.013
hakim,0.013
hantu,0.013
hanya,0.04
hapy,0.013
hari,0.013
harus,0.013
hati,0.013
hijau,0.013
hilang,0.013
hornie,0.013
hpnya,0.013
hujan,0.013
humoris,0.027
ibu,0.013
ih,0.027
imigrasi,0.013
in,0.027
indonesia,0.013
indostrugle,0.013
ingin,0.027
ini,0.08
insecurities,0.013
iri,0.027
istipar,0.013
istri,0.013
itu,0.187
iya,0.093
iyasi,0.013
jadi,0.133
jah,0.013
jalan,0.013
jam,0.067
jaman,0.027
jamet,0.027
jantung,0.013
jasa,0.013
jatuh,0.013
jawa,0.013
jerawat,0.013
jika,0.013
jm,0.013
jodoh,0.013
joget,0.013
jongdae,0.013
jongin,0.013
juga,0.04
justru,0.013
jutekin,0.013
kaca,0.013
kadang,0.013
kai,0.013
kalau,0.093
kale,0.013
kali,0.027
kalian,0.027
kamera,0.013
kan,0.04
kantor,0.013
kapan,0.027
karena,0.053
kasih,0.027
kata,0.013
kaw,0.013
kawean,0.013
ke,0.013
kebab,0.013
kecil,0.04
kejadian,0.013
kelock,0.013
keluar,0.013
kembali,0.013
ken,0.093
kenapa,0.133
kentut,0.013
keren,0.013
kering,0.013
kesal,0.013
ketawa,0.04
ketika,0.013
kids,0.013
kira,0.027
kirim,0.027
klaim,0.027
kojie,0.013
kola,0.013
komputer,0.013
konfirmasi,0.013
kopi,0.013
korban,0.013
korea,0.013
ksl,0.013
kso,0.013
kuah,0.013
kudung,0.013
kulkas,0.027
kumpul,0.013
kurang,0.013
kw,0.013
lagi,0.013
lagu,0.04
lah,0.053
laki,0.133
laku,0.013
lambe,0.013
lampung,0.013
langsung,0.027
lantai,0.013
lapar,0.013
latar,0.013
laughed,0.013
lawak,0.027
lebaran,0.013
lebih,0.053
ledekin,0.013
lelah,0.013
lelang,0.013
lihat,0.053
lingkar,0.013
loh,0.013
lontong,0.013
maafin,0.013
main,0.013
majikan,0.013
malam,0.04
malas,0.013
mana,0.027
mandiri,0.013
marah,0.013
mas,0.013
masa,0.027
masker,0.013
masuk,0.013
mata,0.013
mati,0.027
mau,0.133
mbah,0.013
mcr,0.013
melayu,0.013
memang,0.133
members,0.013
membutuhkanya,0.013
memories,0.013
menang,0.027
meni,0.013
mentang,0.013
mer,0.013
merah,0.013
mereka,0.013
mereun,0.013
mertua,0.013
meski,0.013
mg,0.013
mgnya,0.013
mie,0.053
minimal,0.013
minum,0.013
mirip,0.027
muak,0.013
muda,0.013
muka,0.013
muncul,0.013
mungil,0.013
musikal,0.013
musuhin,0.013
mute,0.013
nama,0.013
nanem,0.013
nang,0.04
ne,0.013
ngakaknya,0.013
ngeliatnya,0.013
ngesave,0.013
ngomongnya,0.013
ngp,0.013
ngtwet,0.013
nila,0.013
nmr,0.013
normalize,0.013
nostalgic,0.013
nya,0.013
nyala,0.013
nyamnyam,0.013
nyata,0.027
nyautin,0.013
nyiram,0.013
oke,0.013
omong,0.053
once,0.013
online,0.013
oo,0.013
orang,0.053
os,0.013
ovo,0.013
pacar,0.027
padahal,0.04
pagi,0.027
paham,0.027
pakai,0.027
pala,0.013
paling,0.027
pamungkas,0.013
panen,0.013
pantas,0.013
papan,0.013
parah,0.013
paramore,0.013
parsel,0.027
pecah,0.013
peganganya,0.013
peluk,0.013
pempek,0.013
pengirim,0.027
perbarui,0.013
pergi,0.013
periksa,0.013
perkara,0.013
perna,0.013
pernah,0.013
pertama,0.04
peta,0.013
pikir,0.013
pilih,0.013
pisang,0.013
pku,0.013
podcast,0.013
potong,0.013
pt,0.013
pukul,0.013
pulang,0.013
punya,0.013
ramai,0.013
rambut,0.013
rapi,0.013
rasa,0.04
rawamangun,0.013
rendah,0.013
ribu,0.027
rumah,0.067
sa,0.013
sabar,0.013
sadar,0.013
sahabat,0.013
saja,0.12
sakit,0.013
sama,0.12
sampai,0.013
samsung,0.013
san,0.027
sapa,0.013
satu,0.013
saudara,0.133
saya,0.427
sebuah,0.04
sedang,0.013
sedih,0.013
segera,0.013
sekali,0.173
sekarang,0.027
sekitar,0.013
sekolah,0.013
selamat,0.013
selesai,0.013
seminggu,0.013
semoga,0.013
semua,0.053
sendiri,0.027
senyebelin,0.013
seperti,0.053
sepi,0.013
seru,0.04
set,0.013
setan,0.027
setuju,0.013
shay,0.013
shopee,0.013
si,0.013
sial,0.027
siang,0.013
siapa,0.027
sih,0.053
sindir,0.013
sini,0.027
smw,0.013
soal,0.013
sobat,0.013
sok,0.013
songs,0.013
spotify,0.027
stasiun,0.013
stgh,0.013
sucks,0.013
sudah,0.2
suho,0.027
suka,0.053
suportnya,0.013
surat,0.013
susah,0.013
swami,0.013
syaf,0.04
tahu,0.027
tahun,0.027
takbir,0.013
takut,0.027
tampan,0.013
tanjung,0.013
tapi,0.08
tawa,0.04
tekwan,0.027
telat,0.013
teman,0.053
tempat,0.013
temu,0.013
tengorokan,0.013
tentang,0.013
terasa,0.013
teriak,0.013
terimakasih,0.04
terlalu,0.013
terus,0.027
tetangga,0.027
thanku,0.013
tiap,0.027
tiba,0.013
tidak,0.413
tidur,0.027
tinggal,0.013
tolong,0.027
tonton,0.053
tot,0.013
triggered,0.013
trims,0.013
truf,0.013
tuhan,0.04
tuju,0.013
tukik,0.013
tulis,0.013
tulisan,0.013
tunggal,0.013
tunggu,0.04
turun,0.013
turunin,0.013
tutup,0.013
tweet,0.027
twtnya,0.013
uang,0.013
ulang,0.027
ultang,0.013
untuk,0.067
usma,0.013
usul,0.013
utama,0.027
uzma,0.04
vila,0.013
viu,0.013
waktu,0.027
warna,0.013
whoops,0.013
wkwkwkwkwkekwk,0.013
wkwkwkwkwkwk,0.053
wkwkwkwkwkwkw,0.013
wkwowow,0.013
woke,0.013
workoutnya,0.013
wowkwowk,0.013
ya,0.027
yad,0.013
yah,0.013
yang,0.147
yed,0.013
yola,0.013
yudi,0.013
yuhu,0.013
