term,weight
acara,0.006
ada,0.017
adalah,0.006
addicted,0.006
adegan,0.006
adegita,0.006
admin,0.011
aduh,0.028
agam,0.017
agama,0.006
agar,0.045
ah,0.017
aibon,0.006
ajak,0.039
ajar,0.006
akh,0.006
akhir,0.023
akikah,0.017
aktif,0.006
al,0.006
alami,0.006
alat,0.011
alhasil,0.006
alias,0.006
alih,0.017
alit,0.006
alokasi,0.006
along,0.006
aman,0.011
ambyar,0.006
amin,0.017
ampun,0.006
an,0.011
anak,0.073
anda,0.107
anet,0.006
anggar,0.006
anggota,0.006
angkat,0.006
ani,0.017
apa,0.073
apadaya,0.011
apain,0.006
apel,0.006
aplagi,0.006
aplikasi,0.006
arah,0.006
armada,0.006
arti,0.006
asli,0.006
atas,0.017
atau,0.006
atid,0.006
atlet,0.006
atribut,0.011
aura,0.006
awal,0.028
awas,0.006
ayahanda,0.006
ayam,0.011
ayo,0.011
azab,0.011
babang,0.006
babe,0.006
baca,0.023
backsongnya,0.006
bagai,0.006
bagaimana,0.034
bagi,0.006
bahan,0.006
bahasa,0.011
baik,0.039
baju,0.006
bak,0.006
bang,0.056
bangga,0.006
bank,0.011
bantu,0.085
banyak,0.028
banyu,0.006
bapak,0.09
bar,0.011
barang,0.017
baru,0.034
bas,0.006
bau,0.006
bayangin,0.006
bayar,0.006
bda,0.006
bebas,0.006
beberapa,0.006
bedain,0.006
begini,0.011
begitu,0.085
bejat,0.006
bekel,0.006
belaka,0.006
belakang,0.006
belanja,0.006
beli,0.011
belio,0.006
belum,0.023
benang,0.006
benar,0.073
bencana,0.006
benda,0.006
berita,0.017
bermangpat,0.006
bersih,0.006
besar,0.023
besi,0.006
biadab,0.006
biarin,0.006
biaya,0.006
bicara,0.006
bihalal,0.006
bijak,0.011
bikoz,0.011
bilang,0.011
biru,0.011
bisik,0.006
blanja,0.006
blow,0.006
bobot,0.006
bodong,0.006
boleh,0.006
bom,0.028
boneka,0.006
boong,0.006
bpjs,0.006
brnafsu,0.006
brondong,0.006
buat,0.118
bubar,0.011
bubur,0.011
budaya,0.006
buk,0.028
buka,0.011
bukan,0.034
bulan,0.006
bumn,0.006
butuh,0.017
cakep,0.017
candu,0.006
cangkemku,0.006
cangkemu,0.006
cantik,0.006
cantum,0.006
cara,0.011
carane,0.006
cari,0.028
casbackpoint,0.006
casenya,0.006
cashback,0.006
cashless,0.011
catat,0.006
cc,0.006
cemara,0.006
cemil,0.023
centang,0.011
cepat,0.006
ceramah,0.006
cerita,0.011
cerna,0.006
ci,0.006
ciapa,0.006
cinta,0.011
cium,0.006
coba,0.023
cocok,0.006
conan,0.006
corona,0.011
crazysale,0.006
cubit,0.006
cukup,0.006
cuma,0.051
curiga,0.006
cus,0.006
cutmeyriska,0.006
dajal,0.011
dalam,0.028
dana,0.017
dapat,0.023
dapetin,0.006
dapur,0.011
dari,0.034
daripada,0.006
dasar,0.006
dedy,0.017
defisit,0.006
deh,0.034
dekat,0.006
demo,0.011
dengan,0.011
dengar,0.006
depan,0.006
deret,0.006
detektif,0.006
dewasa,0.006
di,0.011
dibatalin,0.006
dibawain,0.006
didi,0.011
dikit,0.006
dinjek,0.006
dipikirin,0.006
direncanain,0.006
diri,0.017
disalahgunakan,0.006
disituh,0.006
disusahin,0.006
ditopup,0.006
doang,0.023
dokter,0.017
dong,0.039
dosa,0.006
drama,0.006
dri,0.028
dukung,0.006
dulu,0.011
eah,0.006
edukasi,0.006
efek,0.006
eh,0.062
elok,0.006
emaknya,0.006
emaku,0.006
emosi,0.006
endus,0.011
enjelelega,0.006
enskripsi,0.006
es,0.006
et,0.011
faedah,0.006
faktany,0.006
fasilitas,0.011
faskes,0.006
ferguso,0.006
film,0.023
flash,0.006
flashsale,0.006
fokus,0.017
foto,0.011
gagal,0.011
gaji,0.006
ganti,0.017
gara,0.011
garuda,0.017
gas,0.006
gaul,0.006
gedein,0.006
gelut,0.006
