term,weight
ada,0.061
admin,0.015
aduh,0.03
agar,0.03
ah,0.015
ajak,0.015
ajar,0.015
akhir,0.061
akoe,0.015
ambil,0.015
an,0.046
anda,0.106
angin,0.015
ani,0.03
apa,0.167
apase,0.015
asyhadu,0.015
awal,0.015
ayo,0.091
badai,0.015
bagaimana,0.046
bagus,0.015
baik,0.03
baju,0.03
bala,0.03
balik,0.015
bang,0.015
bangun,0.061
banting,0.03
banyak,0.076
bapak,0.03
bareng,0.015
baru,0.03
batam,0.046
bawa,0.03
bayar,0.03
beban,0.015
beberapa,0.015
begini,0.015
begitu,0.061
bejalan,0.015
bela,0.015
beli,0.03
belum,0.015
benang,0.015
benar,0.015
beranda,0.015
berani,0.015
berapa,0.015
beri,0.015
besok,0.015
bide,0.015
bingung,0.015
biru,0.015
bisa,0.091
blow,0.015
bola,0.015
buah,0.015
buat,0.015
buka,0.061
bukan,0.015
buku,0.015
burok,0.015
butuh,0.015
caci,0.015
cak,0.015
celaka,0.015
cemil,0.076
cepat,0.03
cerita,0.03
cilok,0.046
cinta,0.015
coba,0.015
coda,0.015
coklat,0.015
cuma,0.015
cuy,0.015
da,0.015
dadak,0.015
dapat,0.015
dasar,0.015
datang,0.015
deh,0.015
dekat,0.015
dengan,0.015
dengar,0.015
depan,0.015
di,0.03
diam,0.061
dieman,0.015
dikit,0.03
dolo,0.015
dong,0.03
dosene,0.015
drama,0.015
duduk,0.015
enak,0.061
etika,0.015
film,0.03
gelap,0.015
gila,0.122
gin,0.03
gugup,0.061
gusti,0.015
guwe,0.015
gwk,0.015
habis,0.015
hai,0.122
hanya,0.046
hari,0.091
harus,0.046
hasil,0.015
hati,0.015
henti,0.015
heran,0.015
hidup,0.03
hitung,0.015
hiyahiyahiya,0.015
hizt,0.015
humoris,0.03
ibu,0.015
ihiy,0.015
ikut,0.046
ikuti,0.015
in,0.03
indonesia,0.015
ini,0.122
instagram,0.015
isi,0.015
istri,0.015
itu,0.03
iya,0.167
jadi,0.091
jalan,0.046
jam,0.046
jatuh,0.015
jauh,0.015
judul,0.015
juga,0.076
jumanji,0.015
jumat,0.015
jungkir,0.015
kabar,0.015
kalau,0.091
kali,0.03
kalian,0.015
kamoe,0.03
kan,0.015
kapan,0.015
ke,0.015
kejut,0.076
kelas,0.015
keluarga,0.015
kemarin,0.03
kembali,0.03
ken,0.061
kenapa,0.091
keren,0.015
keringetan,0.015
kerja,0.015
kesal,0.046
kirim,0.015
kos,0.046
kriuk,0.015
ktm,0.015
kuaci,0.015
kuat,0.03
kuliah,0.061
kulyah,0.015
kulyeah,0.015
kwkwk,0.015
kwkwkw,0.015
lah,0.015
laki,0.015
lalu,0.015
lama,0.046
lampu,0.015
lan,0.015
langka,0.015
langsung,0.122
lanjut,0.015
laptop,0.015
lebih,0.046
lego,0.015
lelah,0.061
lemas,0.015
lembar,0.015
lihat,0.03
lingkung,0.015
loh,0.015
lucu,0.046
lup,0.015
lupa,0.015
mabuk,0.015
makas,0.015
maki,0.015
malam,0.015
malang,0.03
malu,0.015
manusia,0.015
maraton,0.015
maren,0.015
marjan,0.015
mas,0.015
masa,0.03
mashalah,0.015
mati,0.015
mau,0.091
mei,0.015
memang,0.046
menarique,0.015
mentah,0.015
mie,0.076
minggu,0.061
minta,0.015
minum,0.015
mobil,0.015
mudah,0.015
muka,0.015
mulai,0.03
muncul,0.046
nafsu,0.015
nama,0.015
nangung,0.015
nethink,0.015
ngantuk,0.015
ngapapa,0.015
nge,0.015
ngeblokir,0.015
ngebuka,0.015
ngelewatin,0.015
ngeprint,0.015
nongki,0.015
nya,0.122
nyata,0.015
oke,0.015
oleh,0.03
online,0.015
onok,0.015
orang,0.091
otomatis,0.03
padahal,0.03
pagi,0.152
paham,0.046
pajak,0.015
pakai,0.015
pala,0.015
panas,0.015
paprika,0.03
pecah,0.015
pelakor,0.015
pengirim,0.015
pengirimanya,0.015
peras,0.03
periksa,0.03
peristiwa,0.015
pernah,0.015
pesan,0.091
pikir,0.03
pilih,0.015
pintu,0.015
pita,0.015
presiden,0.015
pula,0.015
pulang,0.015
punya,0.03
pusing,0.03
rada,0.03
raden,0.015
rap,0.015
rasa,0.061
rauf,0.015
resor,0.015
ribut,0.015
rindu,0.015
rumah,0.015
rutinitas,0.015
sadar,0.046
saja,0.076
salah,0.03
sama,0.076
sampai,0.061
sana,0.03
santai,0.015
satu,0.03
saudara,0.198
saya,0.35
sayang,0.015
sayur,0.015
se,0.015
sebentar,0.03
sedih,0.091
sedikit,0.015
sejutu,0.015
sekali,0.198
sekarang,0.03
selalu,0.03
selesai,0.015
selip,0.03
semangat,0.046
semangt,0.015
semester,0.015
seminggu,0.015
semoga,0.03
sempat,0.015
semua,0.03
sendiri,0.015
seperti,0.046
serah,0.015
sering,0.046
shay,0.015
si,0.015
sial,0.015
sih,0.046
simpen,0.015
siniwey,0.015
sirup,0.015
sistem,0.015
skripsi,0.015
sohib,0.015
soto,0.015
suasana,0.046
sudah,0.152
suka,0.015
syukur,0.046
tadi,0.03
tagih,0.015
tahan,0.015
tahu,0.015
takut,0.015
tanam,0.015
tanda,0.076
tanya,0.015
taruh,0.015
tatap,0.015
tawa,0.289
tawar,0.015
tega,0.015
temu,0.015
teras,0.015
terbaik,0.015
terimakasih,0.015
terlalu,0.015
terus,0.091
tiap,0.03
tiba,0.046
tidak,0.395
tidur,0.03
tik,0.015
tiur,0.015
tlogomas,0.015
tok,0.015
tolong,0.046
tonton,0.046
tren,0.015
tugas,0.061
tuhan,0.091
tulis,0.015
tunda,0.015
tunggu,0.03
tunjukin,0.015
twitr,0.015
twitter,0.015
ulan,0.015
ululu,0.015
upaya,0.015
usah,0.015
video,0.015
wadu,0.015
wah,0.046
wak,0.015
wanita,0.03
waras,0.015
weci,0.015
yah,0.03
yaileh,0.015
yak,0.061
yang,0.015
yarabi,0.015
yoi,0.015
yono,0.015
yudhoyono,0.015
