term,weight
acak,0.009
ada,0.057
adalah,0.009
adaptasi,0.009
admin,0.019
agama,0.009
agar,0.028
ah,0.009
air,0.019
ajak,0.019
ajar,0.038
ajeng,0.009
ajib,0.009
akan,0.009
akhir,0.028
aktif,0.009
akun,0.028
al,0.009
alamatin,0.019
alergi,0.009
ambil,0.019
ambilin,0.019
ambyar,0.009
amel,0.009
amin,0.009
amplaz,0.009
an,0.009
anak,0.076
anake,0.009
anda,0.047
angin,0.028
angkat,0.009
angklung,0.009
antem,0.028
antiseptik,0.009
apa,0.123
aplikasi,0.009
arah,0.019
asli,0.009
asline,0.009
astaga,0.019
atas,0.038
atur,0.009
awal,0.038
awet,0.009
ayam,0.009
ayo,0.057
babeh,0.009
baca,0.019
badan,0.028
badut,0.009
bagai,0.019
bagaimana,0.019
bagus,0.009
bahan,0.038
bahanya,0.009
bahas,0.009
baik,0.028
bain,0.009
baju,0.009
bakso,0.009
balesnya,0.009
balik,0.076
bandung,0.009
bang,0.009
banjir,0.009
bantal,0.009
bantu,0.019
banyak,0.095
bapak,0.047
barang,0.028
bareng,0.028
baru,0.057
basa,0.009
basi,0.009
batas,0.009
bathuke,0.009
bathukmu,0.009
batin,0.009
batu,0.009
bawa,0.019
bebek,0.009
beberapa,0.028
becandan,0.009
beda,0.028
begini,0.019
bekal,0.009
bekas,0.009
bekerjasama,0.009
bel,0.009
bela,0.009
belah,0.028
belai,0.038
belakang,0.009
belanjan,0.009
beli,0.019
belum,0.009
ben,0.019
benar,0.009
bendahara,0.009
bentar,0.009
bentuk,0.019
berangapan,0.009
berapa,0.028
beri,0.019
bersih,0.019
beruang,0.009
besar,0.019
besok,0.028
betean,0.009
bias,0.019
biasa,0.038
biasane,0.009
bijak,0.028
bisa,0.038
bojone,0.009
bolak,0.009
botak,0.009
botol,0.009
bruntusan,0.009
buah,0.019
buat,0.236
bubuk,0.009
buka,0.038
bukan,0.009
buku,0.028
bulan,0.047
bumi,0.009
buru,0.009
butuh,0.009
byar,0.009
cahaya,0.009
cakep,0.009
calon,0.009
cang,0.009
cara,0.019
cari,0.038
cc,0.009
ce,0.009
cegah,0.009
celaka,0.009
cemil,0.066
cemilan,0.009
cen,0.009
cendol,0.009
cengkeh,0.009
cepat,0.028
cerita,0.028
ceroboh,0.009
cicak,0.009
cilik,0.019
cilok,0.009
cincau,0.009
cleo,0.019
coba,0.038
corona,0.028
corong,0.009
corongya,0.009
cowk,0.009
cs,0.009
cuci,0.009
cuil,0.009
cuma,0.019
cuti,0.009
dadi,0.009
daftar,0.038
dagel,0.009
dahi,0.019
dalgona,0.009
dan,0.028
dangdut,0.009
dapat,0.019
dar,0.009
dasar,0.009
data,0.028
datang,0.028
daun,0.009
dawet,0.009
dbd,0.009
dekat,0.047
dengan,0.066
depan,0.047
desa,0.019
desak,0.019
desember,0.009
desinfektan,0.009
dewi,0.009
di,0.019
dia,0.009
diare,0.009
dibercandain,0.009
dibukain,0.009
diceritain,0.009
dichek,0.009
dihapusin,0.009
dikabarin,0.009
dikatain,0.009
dilihatin,0.009
dimsum,0.009
dinginya,0.009
diomongin,0.009
dipangil,0.009
dipeperangan,0.009
diri,0.038
disiplin,0.009
disko,0.009
diusapin,0.009
diuyak,0.009
doang,0.009
dong,0.028
dower,0.009
drama,0.019
dua,0.009
dudududu,0.009
dulu,0.028
dusun,0.009
efek,0.019
eh,0.038
ejek,0.009
embah,0.009
enak,0.028
enem,0.009
episode,0.009
es,0.009
facebook,0.009
fakta,0.009
film,0.009
fokus,0.009
foto,0.019
gabung,0.009
ganti,0.009
garda,0.009
garpu,0.009
gataunya,0.009
gebyar,0.009
gedeg,0.019
gemas,0.009
genah,0.009
genteng,0.009
gerbang,0.009
giat,0.019
gilir,0.009
gin,0.019
ginuk,0.019
gmbr,0.009
goda,0.009
googling,0.009
goreng,0.019
grabfod,0.009
greget,0.009
grup,0.019
gugah,0.009
gugup,0.028
gugur,0.009
gula,0.009
guru,0.009
habis,0.066
habus,0.009
hadap,0.009
hadiah,0.009
hal,0.009
handsanitizer,0.009
handsanitizernya,0.009
hani,0.009
hanya,0.019
hapus,0.009
harap,0.019
harga,0.009
hari,0.076
harus,0.038
hasil,0.028
hati,0.009
hazmat,0.009
hebat,0.009
helm,0.009
henti,0.009
heu,0.009
hibur,0.009
hidup,0.009
hijau,0.009
hikmah,0.009
hilang,0.019
himbauan,0.028
ho,0.009
holywod,0.009
hubung,0.009
hudu,0.019
hujan,0.047
humoris,0.009
huni,0.009
ibadah,0.009
ibu,0.066
ibukos,0.009
ide,0.009
ideal,0.009
ikut,0.047
inap,0.009
informasi,0.028
ing,0.009
ingat,0.057
ini,0.057
instagram,0.009
instalasi,0.009
instan,0.028
ipal,0.009
isi,0.028
itu,0.019
iya,0.038
izin,0.019
jadi,0.217
jadwal,0.009
jaga,0.009
jail,0.009
jalan,0.038
jam,0.047
jamin,0.009
jarang,0.038
jari,0.009
jas,0.009
jathilan,0.009
jauh,0.009
jawab,0.009
jembar,0.009
jemur,0.009
jerawat,0.019
jobdesk,0.009
jual,0.009
juang,0.057
juara,0.009
juga,0.028
juluk,0.009
juragan,0.009
kabel,0.009
kadang,0.066
kait,0.009
kakek,0.009
kaki,0.009
kalau,0.104
kaleng,0.009
kali,0.028
kalian,0.019
kamar,0.019
kampus,0.009
kanan,0.009
kangkung,0.009
kantor,0.057
kapan,0.009
kapok,0.019
karena,0.028
karepe,0.009
kasih,0.028
kasur,0.009
kasus,0.019
kata,0.038
kawasan,0.009
ke,0.019
kebun,0.009
kecil,0.019
keji,0.009
keju,0.009
kejut,0.019
kelak,0.009
kelas,0.038
kelelawar,0.009
keliling,0.019
keluar,0.019
keluarga,0.028
kembang,0.009
kemudian,0.009
ken,0.019
kena,0.009
kenal,0.009
kenang,0.009
kenapa,0.019
kenyang,0.009
kepala,0.009
kereta,0.009
keripik,0.009
kerja,0.057
kes,0.009
ketawa,0.009
ketemu,0.019
ketik,0.009
ketinggalan,0.009
ki,0.019
kibas,0.009
kira,0.009
kiri,0.009
kirim,0.038
kita,0.009
komunikasi,0.009
konseling,0.009
konsep,0.009
kontak,0.009
kopi,0.019
kopinang,0.009
kos,0.009
kosong,0.009
kota,0.047
kpsn,0.009
kucing,0.009
kui,0.009
kuliah,0.038
kumat,0.009
kumuh,0.009
kunjung,0.019
kurang,0.038
kurir,0.009
kuti,0.009
lagi,0.047
lahir,0.019
lain,0.009
laki,0.038
laku,0.009
lakuin,0.009
lama,0.047
lambat,0.019
lampir,0.009
lampung,0.009
langkah,0.009
langsung,0.019
lanjur,0.009
lapang,0.009
lapar,0.028
lapis,0.009
lapor,0.019
laron,0.009
latih,0.009
lawan,0.009
layan,0.009
layang,0.009
lebaran,0.009
lebih,0.076
legenda,0.009
lelep,0.009
lentang,0.009
lepas,0.009
lestari,0.009
lewat,0.019
lha,0.009
libur,0.028
lihat,0.028
limbah,0.009
lingkar,0.009
lingkung,0.009
link,0.009
lintas,0.009
lipo,0.009
listrik,0.019
loc,0.009
loncat,0.009
luar,0.009
lucu,0.009
lulus,0.009
lupa,0.028
maaf,0.009
macam,0.009
mafkan,0.009
mahasiswa,0.009
mak,0.009
makanya,0.009
makin,0.047
malah,0.038
malam,0.009
malas,0.019
maling,0.009
malioboro,0.009
