term,weight
aba,0.008
ada,0.008
adalah,0.104
adan,0.016
adaptasi,0.008
adayeo,0.008
adeq,0.008
adududuh,0.008
aduh,0.048
agar,0.024
agenya,0.008
ajar,0.016
akan,0.08
akhir,0.048
akhirat,0.008
aksi,0.008
aku,0.008
akun,0.016
akyu,0.008
alam,0.008
alami,0.008
alas,0.016
alir,0.008
aman,0.008
amarah,0.016
america,0.008
ampun,0.016
an,0.024
anak,0.008
analisa,0.008
analisaku,0.008
anda,0.209
anime,0.016
apa,0.072
apung,0.008
argumentasi,0.008
arnold,0.008
arti,0.008
artis,0.008
asa,0.016
asah,0.008
asiap,0.008
asing,0.016
astaga,0.016
atas,0.032
atau,0.024
atur,0.008
autoimun,0.008
awal,0.016
ayo,0.016
baca,0.113
bagai,0.008
bagaimana,0.064
bagaimna,0.008
bagendang,0.008
bagi,0.024
bahahaha,0.008
bahan,0.016
bahas,0.016
bahaya,0.008
bahkan,0.024
baik,0.008
balasan,0.008
bandara,0.008
banding,0.048
bangga,0.008
bangkit,0.008
bank,0.016
bantu,0.024
bantuanya,0.008
banyak,0.048
bapak,0.016
barang,0.008
baru,0.032
based,0.008
batin,0.008
batuk,0.008
bawa,0.008
bayar,0.008
bayi,0.008
bcs,0.032
bebas,0.016
beberapa,0.008
beda,0.008
begitu,0.016
belah,0.008
belai,0.008
beli,0.008
believes,0.008
beludru,0.008
belum,0.032
benar,0.04
benci,0.008
bentak,0.008
berangapan,0.008
berani,0.008
berbkat,0.008
berhasil,0.008
beri,0.016
berita,0.008
berkat,0.008
berontak,0.008
bersih,0.008
beruang,0.008
besar,0.032
besok,0.016
betul,0.008
beuh,0.008
bgmn,0.016
biasa,0.032
biggest,0.008
bingung,0.008
bisa,0.064
bli,0.008
bodoh,0.016
borang,0.024
bosan,0.008
bri,0.008
britama,0.008
buat,0.113
bukan,0.032
buku,0.008
bulan,0.008
bungkus,0.008
bunuh,0.008
buruk,0.024
butuh,0.032
cangkir,0.008
capai,0.008
cara,0.016
cekik,0.016
cemumut,0.008
cerah,0.008
cerita,0.024
cimi,0.008
cinta,0.032
cita,0.032
ciye,0.008
coba,0.008
comeback,0.008
complaining,0.008
confused,0.008
controlled,0.008
controlling,0.008
copas,0.008
corona,0.008
couldn,0.008
creating,0.008
cs,0.016
cuci,0.016
cuek,0.008
cukup,0.008
cuma,0.032
cups,0.008
curang,0.008
daftar,0.024
dalam,0.008
dan,0.072
dapat,0.032
dari,0.104
dasar,0.016
datang,0.008
deactive,0.008
deh,0.008
dek,0.008
dekat,0.008
dekorasi,0.008
dengan,0.032
dengar,0.024
depan,0.008
detektif,0.008
dewasa,0.008
di,0.016
dia,0.04
diam,0.008
did,0.016
didn,0.008
dimana,0.008
dinonton,0.008
dintervensi,0.008
dipangil,0.016
diri,0.048
disini,0.008
diza,0.008
dorong,0.008
dpe,0.008
drama,0.008
dsitu,0.008
dulu,0.016
dunia,0.032
edar,0.008
edukasi,0.008
eh,0.016
eheheheh,0.008
either,0.008
ejek,0.008
ekwkwkwk,0.016
elus,0.008
emosi,0.008
emosyenel,0.016
entah,0.008
episode,0.008
erti,0.016
etika,0.008
every,0.008
exagerating,0.008
fangirl,0.008
fangirling,0.008
favorit,0.016
ferb,0.008
ferguso,0.008
film,0.024
financially,0.008
fisik,0.008
fitnah,0.008
focused,0.008
foto,0.008
gabung,0.008
gagal,0.008
game,0.008
gartic,0.008
gelap,0.008
gerak,0.016
getar,0.008
getting,0.008
gila,0.032
giys,0.008
goal,0.008
golong,0.008
goreng,0.008
gores,0.008
gosip,0.008
growing,0.008
gud,0.008
gugup,0.008
gumam,0.016
guna,0.008
habis,0.008
hadap,0.032
hai,0.008
hal,0.008
halusinasi,0.008
hambar,0.008
hampir,0.032
hantu,0.016
hanya,0.032
happens,0.008
haram,0.008
harap,0.04
harus,0.024
hasil,0.016
hati,0.032
hebat,0.008
heheheh,0.008
hehehehe,0.008
hendak,0.008
henti,0.008
hibis,0.008
hidup,0.048
highlight,0.008
hilang,0.016
hindar,0.008
hints,0.008
hiri,0.008
hits,0.008
hitung,0.008
hugs,0.008
hujan,0.008
hurts,0.008
ibu,0.032
ibukota,0.016
idiot,0.008
ijazah,0.008
ikut,0.008
ilihrigi,0.016
ilmu,0.016
imut,0.016
in,0.064
indihome,0.008
inferior,0.008
informasi,0.016
ingat,0.016
ingin,0.008
ini,0.032
insecurities,0.008
instagram,0.032
instead,0.008
intervensi,0.008
invasi,0.008
iship,0.016
isi,0.008
istri,0.008
itu,0.273
iya,0.056
iyasih,0.008
izin,0.008
jadi,0.281
jadwal,0.048
jaehyun,0.016
jaehyuni,0.016
jaeyong,0.008
jaga,0.016
jalan,0.048
jalur,0.008
jam,0.008
jantung,0.008
jarak,0.008
jari,0.008
jaringanya,0.008
jatuh,0.008
jauh,0.024
jawab,0.016
jay,0.008
jelajah,0.008
jelas,0.048
jelek,0.008
jengkel,0.008
jeong,0.008
jerawat,0.008
jiwa,0.048
juang,0.008
juda,0.008
juga,0.024
kadaluarsa,0.008
kadang,0.016
kait,0.008
kaki,0.008
kalau,0.08
kali,0.016
kamar,0.016
kampus,0.008
kan,0.016
kantor,0.008
kapan,0.016
karena,0.032
kartun,0.008
kasi,0.008
kasih,0.024
kasus,0.008
kata,0.04
kaum,0.016
kecil,0.008
kecoa,0.008
kejar,0.008
kejut,0.024
kelah,0.008
keliling,0.008
kelola,0.008
keluar,0.032
keluarga,0.008
kemarin,0.008
kembali,0.008
kemudian,0.008
kena,0.024
kenapa,0.032
kendaran,0.008
kenyat,0.008
kepala,0.008
kept,0.008
keras,0.016
keren,0.008
kering,0.008
kerja,0.056
ketampananya,0.008
ketik,0.008
ketika,0.032
ketrampilan,0.008
kidi,0.008
kindhearted,0.008
kira,0.008
kirim,0.008
kita,0.024
kode,0.008
komunikasi,0.008
kontemplasi,0.008
kontroversi,0.008
korea,0.008
kos,0.008
kota,0.008
kpop,0.016
krusial,0.008
kualitas,0.008
kuasa,0.008
kuat,0.016
kuatir,0.008
kumpul,0.008
kurang,0.024
kyknya,0.024
lagi,0.032
lagu,0.024
lah,0.008
lain,0.024
laju,0.008
laki,0.008
laksanankan,0.008
lalu,0.008
lama,0.064
lampias,0.008
lang,0.008
langsung,0.016
lapor,0.008
lari,0.008
latih,0.008
lawan,0.016
least,0.008
lebih,0.096
lega,0.008
lewat,0.024
liang,0.008
libur,0.016
lihat,0.032
lindu,0.008
lindung,0.016
ling,0.008
lingkung,0.008
loading,0.008
log,0.008
lokasi,0.008
luar,0.008
luas,0.008
lucu,0.008
lum,0.008
lumayan,0.016
lupa,0.008
macam,0.008
mahluk,0.008
maka,0.008
makeover,0.008
makes,0.008
maksud,0.008
malah,0.008
malam,0.024
malas,0.016
