term,weight
abses,0.019
acara,0.01
ada,0.01
adegan,0.01
admin,0.105
adminya,0.01
ados,0.01
ajeng,0.01
aji,0.01
akhir,0.048
akun,0.01
aljo,0.01
alquran,0.019
anak,0.019
anake,0.019
ancen,0.01
anda,0.095
antinge,0.01
apa,0.057
apresiasi,0.01
arti,0.01
asam,0.01
asbes,0.01
awa,0.01
awak,0.019
awal,0.019
ayo,0.019
baca,0.019
bagai,0.01
bagaimana,0.01
bagus,0.019
baik,0.029
balas,0.01
bandara,0.01
bandel,0.01
bangga,0.01
banyak,0.105
bapak,0.057
barang,0.01
baru,0.019
batagor,0.01
batin,0.01
batrene,0.019
bau,0.01
bawa,0.01
bayang,0.01
bayar,0.01
beberapa,0.01
bedane,0.01
begini,0.019
begitu,0.038
belah,0.01
beli,0.019
belum,0.01
benar,0.086
benarkan,0.01
benci,0.019
bengkak,0.038
bentuk,0.01
berani,0.019
berapa,0.019
berat,0.019
berpa,0.01
besar,0.01
besok,0.01
betah,0.01
beterai,0.01
biasa,0.019
bicara,0.01
bijak,0.01
bila,0.01
bisa,0.019
bismillah,0.01
bkd,0.01
blok,0.01
bodoh,0.01
bosan,0.019
broadcas,0.01
buat,0.086
buka,0.019
bulan,0.01
buruk,0.019
butir,0.01
cabut,0.019
cadar,0.019
cbt,0.01
celah,0.01
cemas,0.01
cemil,0.124
cenut,0.01
cerewet,0.01
cerita,0.01
cetak,0.01
cinta,0.019
ciri,0.019
ckck,0.01
coba,0.01
copot,0.01
cuci,0.01
cukup,0.019
cuma,0.019
dan,0.019
dapat,0.019
dari,0.029
dasar,0.01
debu,0.01
dekat,0.01
depan,0.01
dewe,0.029
di,0.019
dia,0.01
diam,0.019
dibalikpapan,0.01
didik,0.029
diemnya,0.01
dikit,0.019
dikumpulin,0.01
dimana,0.029
dipakein,0.01
dipalakin,0.01
dipangil,0.01
dipangir,0.01
diri,0.019
doang,0.029
dokter,0.038
dong,0.01
dugem,0.01
dukcapil,0.01
dulu,0.029
dusta,0.01
duta,0.01
egois,0.01
eh,0.01
elon,0.01
elono,0.01
enak,0.048
entok,0.01
entutku,0.01
es,0.01
etc,0.01
euy,0.01
fedback,0.01
fik,0.01
fokus,0.019
folowersnya,0.01
formal,0.01
gadis,0.01
gado,0.019
gaib,0.01
galak,0.01
gambar,0.01
game,0.019
ganti,0.019
gara,0.01
gardenscapes,0.01
gb,0.01
gedene,0.01
gedhang,0.01
gel,0.01
gelegekan,0.01
gelem,0.01
gendeng,0.01
gendut,0.01
gigi,0.057
gin,0.029
gincu,0.01
goreng,0.01
gratis,0.01
guru,0.01
habis,0.086
hafal,0.019
hafalanya,0.01
hafalin,0.01
hal,0.01
hampir,0.019
hanya,0.01
harap,0.029
hari,0.076
hati,0.01
henti,0.067
heran,0.019
hilang,0.038
hitung,0.01
ho,0.01
hobi,0.01
horor,0.01
ibu,0.038
ih,0.019
iku,0.048
ikut,0.114
ikuti,0.057
ikutin,0.01
imbang,0.01
imlek,0.01
in,0.01
inc,0.029
info,0.019
ingat,0.01
ingin,0.01
ini,0.067
interaksi,0.01
isya,0.01
itu,0.01
iya,0.038
jadi,0.057
