term,weight
abadi,0.007
acak,0.007
acara,0.007
ada,0.043
adalah,0.014
adan,0.014
admi,0.007
admin,0.092
agama,0.007
agar,0.028
ah,0.007
air,0.021
aisyah,0.007
ajaib,0.014
ajar,0.064
akan,0.05
akane,0.007
akhir,0.014
akhirat,0.007
akses,0.021
aktif,0.007
aktifin,0.007
al,0.014
alam,0.014
alamat,0.007
alami,0.007
alhasil,0.007
alih,0.007
aman,0.007
ambil,0.007
ambyar,0.007
amin,0.021
an,0.035
anak,0.078
ancang,0.014
anda,0.064
andrea,0.007
aneh,0.007
anggota,0.007
apa,0.106
api,0.014
aplicable,0.007
aplikasi,0.021
arti,0.014
asal,0.007
asli,0.021
asumsi,0.007
atas,0.021
atisiri,0.021
atsiri,0.007
atur,0.007
aturanya,0.007
audit,0.007
awal,0.028
awet,0.007
ayah,0.007
ayam,0.007
ayo,0.021
az,0.007
babah,0.028
baca,0.064
bagai,0.021
bagaimana,0.035
bagi,0.007
bahagia,0.035
bahkan,0.021
baik,0.035
baju,0.007
balap,0.007
balas,0.021
balik,0.014
banding,0.007
bang,0.014
bantu,0.007
banyak,0.05
bapak,0.085
bara,0.007
barang,0.007
baru,0.028
basah,0.007
basic,0.007
bata,0.014
batang,0.007
batas,0.007
batin,0.007
bawa,0.007
bawah,0.007
bawain,0.007
beberapa,0.014
beda,0.014
begini,0.007
begitu,0.071
beh,0.007
belakang,0.007
beli,0.014
beliau,0.021
belum,0.014
benang,0.014
benar,0.064
berani,0.007
berapa,0.021
beri,0.007
berkah,0.007
bermanfat,0.007
besar,0.014
besok,0.021
betina,0.007
bias,0.007
biasa,0.014
biaya,0.007
bicara,0.007
bidang,0.007
bilang,0.014
bimbing,0.014
biokim,0.007
biologi,0.007
bisa,0.071
bisaitu,0.007
bismillah,0.021
blog,0.021
boarding,0.014
bodoh,0.007
boga,0.007
bolak,0.007
bom,0.007
botol,0.014
bptba,0.007
buah,0.007
buat,0.128
buatin,0.007
bucketnya,0.007
buka,0.021
bukan,0.021
buku,0.007
bulan,0.043
bunga,0.007
butet,0.007
butuh,0.007
buya,0.007
cahyo,0.007
cakap,0.007
camil,0.014
cangkir,0.007
cara,0.021
cari,0.021
celah,0.007
cemil,0.014
cengeng,0.007
ceplok,0.007
cerita,0.035
cerpen,0.007
cetak,0.014
christie,0.007
ci,0.007
cia,0.007
cinta,0.021
coba,0.007
cokelat,0.014
congrats,0.007
copot,0.007
cukup,0.007
cuma,0.057
cv,0.014
dada,0.014
daddies,0.021
dae,0.007
daging,0.007
dan,0.043
dapat,0.035
dari,0.014
daripada,0.007
dasar,0.014
data,0.007
datang,0.007
degdegan,0.007
dekat,0.021
dengan,0.014
dengar,0.021
depan,0.014
der,0.007
detik,0.007
dewi,0.007
di,0.035
dia,0.021
diam,0.014
dibagin,0.007
dibutuhin,0.007
didik,0.028
dimana,0.007
dinterview,0.007
dipangil,0.021
direct,0.007
direktur,0.007
diri,0.05
disi,0.007
dititipin,0.007
doa,0.014
domisili,0.007
dong,0.014
doraemon,0.007
dorong,0.007
dosbing,0.007
dosen,0.014
drama,0.007
dua,0.007
duka,0.007
dulu,0.057
duwurku,0.007
dwi,0.007
eh,0.007
ehehe,0.007
ekspresi,0.007
el,0.007
ela,0.028
elpeng,0.007
email,0.014
emosi,0.007
enak,0.014
engkau,0.014
entah,0.007
era,0.007
esfp,0.007
evaluasi,0.007
fajar,0.007
favorit,0.007
fisika,0.007
fokus,0.014
formal,0.007
foto,0.007
freshgraduate,0.007
fungsional,0.007
gadis,0.007
gang,0.014
ganggu,0.007
gara,0.021
gas,0.007
gaya,0.007
gelas,0.007
gengsi,0.007
gerbang,0.007
ghifari,0.007
giat,0.007
gideon,0.007
gila,0.007
gin,0.007
ginting,0.057
gizi,0.007
goreng,0.007
grebek,0.007
grup,0.014
gunung,0.014
gunungkidul,0.007
guru,0.007
habiburahman,0.007
habis,0.064
hadap,0.014
hadiah,0.014
hadir,0.007
hafal,0.007
haha,0.028
halal,0.007
hamba,0.007
hamka,0.007
hampir,0.007
handphone,0.007
hanya,0.007
harap,0.021
harga,0.007
hari,0.021
harus,0.014
hasan,0.007
hasil,0.007
hati,0.028
hehew,0.007
heleh,0.007
hemat,0.007
hidayah,0.007
hidup,0.05
hikmah,0.007
hirata,0.007
his,0.007
hoalah,0.007
hrd,0.057
hubung,0.007
ibu,0.05
idealis,0.007
idola,0.007
ikhlas,0.007
iku,0.007
ikut,0.007
ikutin,0.007
ilmu,0.035
iman,0.007
in,0.028
indonesia,0.007
indonesian,0.007
induk,0.007
industri,0.007
informasi,0.007
ingat,0.021
ini,0.071
inspiring,0.007
instagram,0.014
insya,0.007
intelijen,0.007
intern,0.021
intrvw,0.014
intrvwnya,0.007
intvw,0.021
isi,0.007
islam,0.014
istora,0.007
istri,0.007
itu,0.099
itungan,0.007
iwan,0.014
iya,0.05
jadi,0.184
jadwal,0.007
jail,0.007
jalan,0.007
jam,0.014
jantan,0.007
jarang,0.021
jasa,0.007
jateng,0.007
jauh,0.014
jawa,0.007
jawab,0.021
jenang,0.007
jepang,0.007
jiayo,0.014
jobseker,0.021
jonathan,0.007
juang,0.007
juga,0.064
juli,0.007
juluk,0.007
jurus,0.007
justru,0.007
kab,0.007
kabupaten,0.007
kadang,0.007
kado,0.007
kagum,0.007
kai,0.021
kait,0.007
kala,0.007
kalau,0.099
kali,0.014
kampus,0.014
kan,0.035
kantor,0.007
kapal,0.007
kapur,0.007
karanganyar,0.007
karena,0.021
kasali,0.007
kasih,0.007
kasihan,0.007
kayak,0.007
ke,0.007
kebun,0.007
kecewa,0.007
kecil,0.035
kehaluanya,0.007
kejurdun,0.007
kejut,0.007
kelas,0.021
keluarga,0.035
kemas,0.007
kembali,0.014
kembang,0.007
ken,0.014
kena,0.007
kenal,0.007
kenang,0.021
kenapa,0.007
kento,0.007
kepada,0.028
kepanitian,0.007
keren,0.007
kereta,0.007
kerja,0.028
kertas,0.007
ketawa,0.014
ketemu,0.043
ketika,0.007
ketrampilan,0.007
ketua,0.007
