term,weight
abu,0.009
activities,0.009
ada,0.043
adain,0.009
adalah,0.085
admin,0.043
agar,0.043
ah,0.009
ajak,0.026
ajar,0.009
akan,0.026
akhir,0.094
akhirnta,0.009
akhirul,0.009
akibat,0.009
aktif,0.009
aktip,0.009
akun,0.017
alam,0.009
alami,0.009
alumni,0.009
alus,0.009
alusin,0.009
ambil,0.009
amin,0.009
ampun,0.009
amunisi,0.009
an,0.009
anak,0.077
ancam,0.017
anda,0.205
aneh,0.009
angkut,0.026
anies,0.009
antara,0.017
antisosial,0.009
ap,0.009
apa,0.085
apagitu,0.009
arab,0.009
arcgis,0.017
aron,0.009
astaga,0.009
astaghfirulahaladzim,0.009
atau,0.026
awal,0.017
ayah,0.009
ayam,0.009
ayo,0.017
baca,0.009
bagai,0.009
bagaimana,0.085
bagi,0.009
bahas,0.017
bahaya,0.009
bahkan,0.017
baik,0.034
baju,0.009
bakar,0.009
balik,0.017
bandung,0.034
bang,0.009
bangga,0.017
bangun,0.009
banjir,0.009
banteng,0.009
bantu,0.034
banyak,0.068
bapak,0.026
barangsiapa,0.009
barat,0.009
bareng,0.009
baru,0.043
bathtub,0.009
baturnya,0.009
bawa,0.017
bayar,0.009
bc,0.009
bebas,0.017
beda,0.026
begini,0.017
begitu,0.034
bekas,0.026
belakang,0.009
beli,0.017
belum,0.009
benang,0.009
benar,0.017
benci,0.009
berapa,0.017
berita,0.009
berkah,0.009
bermanfat,0.017
besar,0.026
besok,0.009
betul,0.009
bgadang,0.009
bgmn,0.009
bias,0.009
biasa,0.017
biaya,0.009
bicara,0.068
bil,0.009
bilang,0.009
bimbing,0.009
bingung,0.009
bis,0.009
bisa,0.034
bismillah,0.034
bledug,0.009
blok,0.017
boleh,0.009
bom,0.017
bosan,0.017
bosq,0.009
bowo,0.009
bpjs,0.009
bps,0.009
buah,0.009
buang,0.009
buat,0.103
buka,0.043
bukan,0.017
bulan,0.026
bumi,0.009
bunuh,0.009
buruk,0.009
butuh,0.026
cabang,0.009
canda,0.009
cangih,0.009
cara,0.026
cares,0.009
cari,0.017
cc,0.009
cedera,0.009
cengkareng,0.009
cepat,0.017
ceritain,0.017
choices,0.009
chukae,0.009
ciduk,0.009
cincin,0.009
cinta,0.034
ciye,0.017
coba,0.017
coban,0.009
cocok,0.009
consument,0.009
contoh,0.017
contributing,0.009
corona,0.017
cuaca,0.009
cucu,0.009
cui,0.009
cukup,0.009
cuma,0.043
curi,0.009
cuy,0.009
daebak,0.009
daftar,0.009
dahi,0.009
dahulu,0.017
dalam,0.009
damai,0.009
dan,0.034
danish,0.009
dar,0.009
dari,0.034
daripada,0.009
dasar,0.009
data,0.009
datang,0.026
daya,0.009
deadline,0.009
debat,0.009
deh,0.051
dekat,0.009
dengan,0.017
dengar,0.034
densus,0.009
depan,0.043
depok,0.009
desa,0.009
detik,0.009
dewasa,0.009
di,0.034
dia,0.017
diam,0.009
dibangain,0.009
dibaperin,0.009
didesign,0.009
didiemin,0.009
dihubungin,0.009
dijadin,0.009
dikit,0.034
dikomen,0.009
dil,0.009
diladenin,0.009
dimana,0.009
dimandin,0.009
diri,0.077
dishot,0.009
doing,0.009
dokter,0.017
dolar,0.009
domino,0.009
dong,0.017
dorm,0.009
dosen,0.017
downgrade,0.009
drama,0.009
dua,0.009
duduk,0.009
dulu,0.068
dzikr,0.009
efek,0.009
efortnya,0.009
eh,0.017
ehehe,0.009
ekonomi,0.017
enak,0.026
eskapisme,0.009
fa,0.009
fans,0.009
fasilitas,0.009
fi,0.034
fleksibel,0.009
foto,0.009
francisco,0.009
fransisco,0.009
freport,0.009
gabung,0.009
gadateng,0.009
gaenakan,0.009
gaji,0.009
gapenting,0.009
garansi,0.009
garut,0.009
gatal,0.009
gausa,0.009
gawl,0.009
gedung,0.009
gel,0.009
gelar,0.009
gelud,0.009
gemas,0.017
gembira,0.009
geng,0.009
geser,0.009
gets,0.009
gila,0.009
gilir,0.009
gils,0.009
gin,0.017
global,0.009
google,0.009
grabfod,0.009
grebek,0.009
greget,0.009
grup,0.009
gugup,0.009
guru,0.017
habis,0.009
hacker,0.009
hadeuh,0.009
hafal,0.009
hai,0.034
hak,0.009
hal,0.009
halsuiseo,0.009
hamba,0.009
hambat,0.009
harap,0.017
hari,0.034
harus,0.026
hasil,0.009
haters,0.009
hati,0.017
hatur,0.009
helm,0.009
hendak,0.009
hengpon,0.009
heres,0.009
het,0.026
hewan,0.009
hidung,0.009
hidup,0.009
hilal,0.009
hilang,0.017
hingga,0.017
hitam,0.009
ho,0.009
hujan,0.017
humoris,0.009
hurairah,0.009
ibu,0.085
idih,0.009
ied,0.009
ikan,0.009
ikut,0.009
il,0.026
ilmiah,0.009
ilmu,0.009
iluy,0.009
imam,0.009
iman,0.009
impor,0.017
impuls,0.009
in,0.051
indah,0.009
indonesia,0.043
info,0.009
infrastruktur,0.017
ingat,0.06
ingin,0.009
ingris,0.009
ini,0.103
insya,0.009
integrasi,0.009
internasional,0.009
inti,0.009
intinyamah,0.009
intoleransi,0.009
involved,0.009
isi,0.017
islam,0.009
istighfar,0.034
istri,0.009
itb,0.009
itenas,0.017
itu,0.085
iya,0.026
jadi,0.154
jaga,0.009
jail,0.009
jalan,0.026
jam,0.009
jamah,0.017
jari,0.009
jatinewyork,0.009
jauh,0.017
jebak,0.009
jelasin,0.009
jemput,0.009
jenis,0.009
jijik,0.009
jika,0.017
jimayu,0.009
jorok,0.017
jual,0.009
juang,0.009
juga,0.043
jujur,0.009
jumat,0.009
jumlah,0.009
justified,0.009
juta,0.009
kabiro,0.009
kaburo,0.009
kait,0.009
kaji,0.017
kaki,0.017
kaku,0.009
kalah,0.009
kalau,0.171
kali,0.051
kalian,0.009
kalimat,0.043
kamar,0.009
kan,0.017
kandung,0.009
karakter,0.009
karantina,0.009
karena,0.034
kartu,0.009
karya,0.009
kasar,0.051
kata,0.077
kaum,0.009
kawan,0.009
ke,0.009
kecil,0.009
kecut,0.009
kedaluarsa,0.009
kedengeran,0.009
kejut,0.043
kelas,0.009
kelelawar,0.017
keliru,0.009
kemari,0.009
kemarin,0.017
kemudian,0.009
ken,0.009
kena,0.009
kenapa,0.111
keras,0.009
keren,0.017
kereta,0.009
kerja,0.017
kesal,0.043
kesan,0.009
kesana,0.009
kesi,0.017
ketawa,0.017
ketemen,0.009
ketemu,0.009
ketika,0.009
ketinggalan,0.009
khairul,0.009
kicep,0.009
kini,0.009
kira,0.026
kirim,0.009
kitose,0.009
klakuan,0.009
kliatan,0.009
klik,0.009
kn,0.009
knows,0.009
komentar,0.009
komitmen,0.009
kompor,0.009
komunikasi,0.009
konteks,0.009
kontes,0.009
koriya,0.009
kos,0.017
kosong,0.009
kota,0.06
kp,0.009
kpopers,0.009
krama,0.009
kranji,0.009
