term,weight
aah,0.008
acara,0.015
ada,0.03
adalah,0.023
admin,0.008
agama,0.03
agar,0.023
ah,0.008
air,0.015
ajak,0.015
ajar,0.015
akan,0.015
akhir,0.038
akrab,0.008
alasan,0.008
alat,0.008
alih,0.008
alis,0.023
alpara,0.008
aman,0.03
ambil,0.008
amn,0.008
ampun,0.008
an,0.015
anak,0.045
anda,0.106
aneh,0.023
angkat,0.008
anjing,0.008
anku,0.008
antara,0.015
apa,0.136
apotek,0.038
arep,0.008
arti,0.008
asah,0.008
asal,0.008
asli,0.008
aslik,0.008
asn,0.008
asw,0.008
atasanya,0.008
atau,0.015
atm,0.008
atur,0.03
avatar,0.008
awal,0.015
ayah,0.008
ayam,0.03
ayo,0.053
babay,0.015
bablasen,0.008
baca,0.083
bacok,0.008
badan,0.008
bagai,0.008
bagaimana,0.038
bagianya,0.008
bahas,0.008
bahasa,0.023
baik,0.015
baju,0.015
bakar,0.008
bakoh,0.008
balas,0.008
balikin,0.015
bangun,0.023
bank,0.008
banya,0.008
banyak,0.075
bapak,0.015
baru,0.068
basah,0.008
batin,0.008
bawang,0.008
bebs,0.008
becefort,0.008
becom,0.008
becomzet,0.008
begadang,0.008
begini,0.045
begitu,0.038
bekas,0.015
belakang,0.008
beli,0.015
ben,0.015
benang,0.008
benar,0.023
benarkan,0.008
benci,0.008
bentuk,0.008
bep,0.008
berantakanya,0.008
berapa,0.023
berat,0.038
bercandain,0.008
berita,0.008
besok,0.023
betul,0.008
biadab,0.008
biasa,0.023
bicara,0.008
bidang,0.008
bingung,0.015
biru,0.008
bisa,0.045
biskuit,0.008
bisya,0.008
blackmores,0.008
bmi,0.008
bobok,0.008
bojo,0.015
bojone,0.008
boleh,0.008
bos,0.008
bpjs,0.008
brainstorming,0.008
brompton,0.008
broto,0.008
buah,0.008
buat,0.113
bude,0.008
buk,0.008
buka,0.053
bukan,0.03
buku,0.008
bulan,0.008
burjoan,0.008
butuh,0.015
cadar,0.008
cahaya,0.008
calon,0.008
cara,0.008
cari,0.015
catat,0.008
celaka,0.008
cemil,0.068
cerita,0.008
cinta,0.023
clueless,0.008
coba,0.015
com,0.008
cuci,0.015
cukup,0.008
cuma,0.038
cumi,0.008
curhatan,0.008
cus,0.008
dada,0.008
dadak,0.015
dadi,0.008
dalam,0.008
damai,0.008
dan,0.008
dapat,0.023
darah,0.008
dari,0.015
datang,0.03
datar,0.008
deh,0.03
deng,0.008
dengdam,0.008
detik,0.008
dewe,0.008
di,0.015
diangap,0.008
dibagin,0.008
dibersihin,0.008
dibiasain,0.008
didapet,0.008
dikandani,0.008
dikasihin,0.008
dikon,0.008
dimasukin,0.015
dingin,0.008
dingo,0.008
disampirke,0.008
disko,0.008
dismenorenya,0.008
distributor,0.008
diunlike,0.008
doang,0.008
dodol,0.008
dong,0.015
dorprize,0.008
dot,0.015
doyan,0.008
drama,0.015
duka,0.008
dulu,0.045
duluan,0.008
dunia,0.008
durung,0.008
dus,0.008
ealah,0.008
edar,0.008
eh,0.023
ekspektasimu,0.008
emosi,0.015
enaq,0.008
endhog,0.008
endog,0.008
energi,0.023
enervon,0.015
enol,0.008
entah,0.008
erti,0.008
euy,0.008
faedah,0.008
fir,0.008
fisika,0.008
fokus,0.008
formulir,0.008
forum,0.008
foto,0.008
gabuts,0.008
gairah,0.008
gais,0.015
gambar,0.008
ganguan,0.008
gara,0.023
gedhang,0.008
gek,0.008
gemas,0.008
geprek,0.008
gereja,0.008
gerejane,0.008
geser,0.015
geto,0.008
ghibah,0.008
gigi,0.008
gila,0.008
gin,0.023
gizi,0.008
godhog,0.008
goreng,0.03
gosend,0.008
grail,0.008
gremet,0.008
grup,0.008
gudeg,0.008
gugup,0.015
gulir,0.008
gundul,0.008
gur,0.008
habis,0.03
hadiah,0.008
haf,0.008
hai,0.038
haid,0.008
hakim,0.008
halus,0.008
halusinasi,0.008
hamil,0.008
hampa,0.008
hampir,0.008
hanya,0.015
haram,0.008
harap,0.008
hari,0.06
harus,0.023
hasil,0.008
hati,0.03
hayolo,0.008
heboh,0.015
hemat,0.008
henti,0.015
heran,0.008
hibur,0.008
hidup,0.038
holiwing,0.008
hormat,0.008
hpmu,0.008
hubung,0.008
humoris,0.008
hutang,0.008
ibadah,0.038
ibu,0.06
ikat,0.008
ikhlas,0.008
ikut,0.008
ilusi,0.008
iman,0.008
imbang,0.008
in,0.023
indah,0.008
ingat,0.038
ingetnya,0.008
ingin,0.038
inhaler,0.008
ini,0.053
inponyah,0.008
instansi,0.008
intunal,0.008
iqro,0.008
ironi,0.008
isah,0.038
isi,0.015
istri,0.008
isya,0.015
itu,0.045
iya,0.09
iyes,0.008
jabat,0.008
jadi,0.098
jaga,0.015
jaguar,0.008
jakal,0.008
jakarta,0.008
jalan,0.03
jam,0.09
jaman,0.015
jarak,0.008
jare,0.008
jari,0.015
jauh,0.008
jawab,0.008
jebul,0.023
jelang,0.008
jelek,0.008
jemput,0.015
jeneng,0.008
jenguk,0.008
jeruk,0.015
jijik,0.008
jl,0.008
jodoh,0.015
jok,0.008
juang,0.008
juga,0.053
jumpa,0.008
jupe,0.008
kacamata,0.008
kadang,0.03
kait,0.008
kaitin,0.008
kaki,0.008
kalau,0.151
kale,0.008
kalean,0.008
kali,0.038
kalian,0.008
kalimat,0.008
kamar,0.008
kampul,0.023
kan,0.053
kandung,0.008
kantor,0.015
karena,0.038
karir,0.008
kartu,0.008
karyawanpun,0.008
kasar,0.015
kasih,0.03
kata,0.038
kayak,0.045
ke,0.008
kebablasen,0.008
kebal,0.008
kebut,0.008
kecewa,0.008
kejut,0.015
kelanjutane,0.008
kelompok,0.008
kelon,0.008
