term,weight
acara,0.007
ada,0.056
admin,0.46
aduh,0.014
agak,0.007
agar,0.021
agustus,0.007
ain,0.007
air,0.007
ajaib,0.007
aju,0.014
akan,0.028
akhir,0.028
akhirat,0.007
akreditasi,0.021
akses,0.014
aktif,0.014
akumulasi,0.007
akun,0.007
alam,0.007
alamat,0.014
alarm,0.007
alias,0.007
aloh,0.007
aman,0.007
ambil,0.007
amin,0.014
ampuh,0.007
an,0.028
anak,0.056
anda,0.014
aneh,0.007
anggota,0.014
angkat,0.007
anjing,0.007
anjog,0.007
antar,0.028
anti,0.021
antisosial,0.014
antre,0.014
any,0.007
apa,0.07
apik,0.007
apk,0.014
aplikasi,0.084
apresiasi,0.007
arah,0.021
arif,0.007
arti,0.007
asam,0.007
asi,0.007
asip,0.021
asisten,0.007
askes,0.007
atas,0.035
atau,0.014
atm,0.014
awal,0.014
baca,0.007
bagai,0.049
bagaimana,0.042
bagus,0.007
bahari,0.007
baik,0.035
balap,0.007
balik,0.007
balita,0.007
balut,0.007
ban,0.007
bang,0.007
banjir,0.007
bank,0.007
bantu,0.056
banyak,0.021
bapak,0.021
baru,0.056
batal,0.007
batu,0.007
bau,0.007
bawa,0.007
bayar,0.07
bayi,0.035
beberapa,0.014
beda,0.014
begini,0.007
begitu,0.056
bekas,0.007
belah,0.007
belakang,0.014
belarus,0.007
beli,0.042
belum,0.028
benang,0.007
benar,0.028
benda,0.007
bendahara,0.007
berang,0.014
berapa,0.042
beri,0.007
berkat,0.007
berlanganan,0.014
besar,0.014
bhaiq,0.007
biasa,0.035
bicara,0.007
bijak,0.007
bilang,0.007
bilangin,0.007
biling,0.007
billing,0.007
bisa,0.098
blokir,0.007
boarding,0.014
boba,0.021
bojoku,0.007
bos,0.007
bpjs,0.049
brebes,0.007
bri,0.007
brizi,0.007
buat,0.077
buka,0.007
bukan,0.028
bukopin,0.007
buku,0.007
bulan,0.014
bumi,0.007
bungkus,0.007
buru,0.007
busui,0.007
butuh,0.021
cabang,0.028
cahaya,0.056
called,0.007
cara,0.049
cari,0.007
cemil,0.021
cepat,0.007
ceper,0.007
cerdas,0.007
ceria,0.007
cerita,0.007
cetak,0.042
children,0.007
cilebut,0.007
cina,0.007
cinta,0.007
ck,0.007
coba,0.021
cso,0.007
cukup,0.007
daftar,0.021
dan,0.007
dana,0.007
dapat,0.021
dari,0.014
data,0.007
datar,0.007
debet,0.007
debu,0.007
deh,0.007
dekat,0.063
dengan,0.007
desa,0.007
deteksi,0.007
