term,weight
abai,0.006
ada,0.012
adalah,0.012
agar,0.024
ah,0.041
air,0.018
akan,0.012
akhir,0.018
akhrnya,0.006
alam,0.006
alami,0.006
alir,0.012
alis,0.006
amin,0.012
amur,0.006
anak,0.006
anda,0.195
aneh,0.006
anfa,0.006
anggap,0.018
ani,0.006
anisa,0.006
aniv,0.018
antem,0.006
antepin,0.03
apa,0.041
arisandi,0.012
arti,0.024
asa,0.006
asal,0.006
asli,0.006
atas,0.006
ath,0.095
awon,0.012
ayo,0.012
ba,0.006
badan,0.006
bagaimana,0.053
bagus,0.012
bahagia,0.012
baik,0.024
bakeshope,0.006
bal,0.006
baleg,0.006
bamboe,0.006
banding,0.006
bandung,0.053
bang,0.006
bantal,0.006
banyak,0.077
barang,0.012
baru,0.006
bawa,0.006
bayang,0.024
beda,0.006
begitu,0.035
belum,0.024
benar,0.006
benda,0.006
bensin,0.006
bento,0.006
bersih,0.006
bertangung,0.006
besok,0.024
betein,0.006
betul,0.012
biasa,0.018
bicara,0.006
bigger,0.006
bilang,0.012
bio,0.006
bisa,0.006
blokir,0.012
bnr,0.006
bohong,0.024
bojongloa,0.006
bonus,0.006
bos,0.018
bosan,0.018
br,0.012
buat,0.035
buka,0.006
bukan,0.012
buru,0.006
butuh,0.006
ca,0.006
camat,0.006
cantik,0.006
cara,0.012
cari,0.006
catat,0.006
cc,0.006
celetot,0.012
cepat,0.018
cetak,0.006
cicil,0.006
cilaki,0.006
citylink,0.006
classy,0.006
co,0.018
coba,0.012
contoh,0.006
cuma,0.012
da,0.006
dan,0.089
dari,0.012
daripada,0.006
dasar,0.006
dealt,0.006
deh,0.024
dengan,0.148
depan,0.006
dewasa,0.006
di,0.213
dilema,0.006
dimn,0.012
dini,0.006
dipatiukur,0.006
dipke,0.006
diremed,0.03
diri,0.006
dojgh,0.006
dompet,0.006
dong,0.018
doraemon,0.006
dosa,0.018
drt,0.006
dulu,0.03
dunia,0.006
edit,0.012
eh,0.018
emon,0.012
enak,0.006
eoh,0.012
eri,0.006
es,0.006
euh,0.006
evolusi,0.006
fabulous,0.006
farmasi,0.006
faya,0.012
febiratnas,0.006
festival,0.006
fi,0.024
fifi,0.006
fina,0.006
firasat,0.006
flwd,0.006
foto,0.018
gagal,0.006
gais,0.006
galaksi,0.006
geletakin,0.006
gendut,0.006
gerbang,0.006
gil,0.006
gila,0.012
gilir,0.006
gin,0.006
gojek,0.006
graha,0.006
gula,0.012
habis,0.018
hai,0.012
hal,0.006
hamster,0.006
hanya,0.035
harga,0.006
hari,0.041
harus,0.006
hati,0.024
hbh,0.006
hbsrt,0.006
hdl,0.006
henti,0.006
hermansyah,0.03
hidup,0.012
hilang,0.012
hinyai,0.006
hoka,0.012
hotel,0.006
htp,0.018
humoris,0.006
huni,0.006
ibu,0.124
ih,0.053
ikut,0.03
in,0.006
indah,0.012
indonesia,0.018
ingat,0.018
ingin,0.024
ingris,0.012
ini,0.006
isi,0.012
istigfar,0.012
isyana,0.006
itu,0.024
iya,0.26
jadi,0.13
jam,0.006
jamber,0.006
janji,0.006
jatiluhur,0.006
jawab,0.006
jdnya,0.006
jih,0.006
jika,0.006
juang,0.018
juga,0.018
jungkok,0.006
jurus,0.006
kadang,0.012
kalau,0.065
kaler,0.006
kali,0.018
kalian,0.03
kamar,0.006
kan,0.041
kantor,0.006
kapan,0.006
kartu,0.012
kasih,0.012
kata,0.024
keba,0.006
keburu,0.018
keiptek,0.006
kekecewan,0.006
kel,0.006
kelapa,0.006
