term,weight
acak,0.014
acil,0.028
acqua,0.014
ada,0.042
adalah,0.014
aduh,0.014
agar,0.028
ah,0.014
ahjusi,0.014
airmata,0.014
ajar,0.014
akhir,0.014
al,0.014
ala,0.014
alam,0.014
alat,0.014
alias,0.014
ambil,0.014
ambyar,0.014
amin,0.014
ams,0.014
anda,0.252
angka,0.014
anut,0.014
apa,0.098
arif,0.014
ary,0.084
asik,0.014
asli,0.014
astaga,0.028
ayat,0.028
ayo,0.056
baca,0.028
bagaimana,0.056
bagi,0.014
bahkan,0.014
bahu,0.014
balas,0.014
bang,0.028
banjir,0.014
bantu,0.014
banyak,0.014
bareng,0.014
baru,0.056
bau,0.014
bawa,0.014
beban,0.014
bediam,0.014
begitu,0.014
bel,0.098
beli,0.014
belum,0.014
benapas,0.014
benar,0.056
bening,0.014
betapa,0.014
biasa,0.014
bibah,0.028
bicara,0.014
bilang,0.014
bisa,0.014
bismillah,0.014
bla,0.056
bn,0.014
bosque,0.014
bp,0.014
buah,0.014
buat,0.112
budak,0.042
buka,0.014
bukan,0.056
bukbernya,0.014
bukti,0.014
bulan,0.014
bumi,0.014
buruk,0.014
cahaya,0.112
cari,0.056
cerah,0.014
cerita,0.028
cinta,0.098
cintik,0.014
ckck,0.014
coba,0.014
cocok,0.014
cuci,0.042
cukup,0.028
cuma,0.028
cus,0.014
cutie,0.014
daftar,0.014
dalam,0.014
dan,0.014
dari,0.028
dasar,0.014
degdegan,0.014
deh,0.028
dengan,0.07
depan,0.014
di,0.028
dia,0.014
diam,0.014
dighostingin,0.014
diheranin,0.014
dinas,0.014
dingat,0.014
dinotice,0.014
dipath,0.014
diprotect,0.014
diri,0.014
dokter,0.014
domba,0.014
dong,0.014
dosen,0.014
drama,0.014
dukung,0.014
dulu,0.028
dunia,0.028
eh,0.014
enak,0.014
euy,0.014
fikri,0.014
foto,0.056
frekuensi,0.014
friends,0.014
gaksih,0.014
gara,0.042
gasabar,0.014
gd,0.014
ghoster,0.014
gigit,0.014
gin,0.028
gwenchana,0.014
gws,0.014
habis,0.014
hai,0.014
haluan,0.014
halunya,0.014
halus,0.014
hampir,0.014
hangat,0.014
hanya,0.014
hapus,0.014
harga,0.014
hari,0.014
hasbunalah,0.014
hasil,0.014
hati,0.028
henti,0.014
heran,0.014
hilang,0.028
hubung,0.014
ibadah,0.014
ibu,0.028
ihiy,0.014
iklan,0.014
imbang,0.014
in,0.014
indah,0.014
indonesia,0.028
ingat,0.028
ingin,0.028
ini,0.07
ir,0.028
istri,0.014
itu,0.154
iya,0.14
jadi,0.14
jae,0.014
jaehyun,0.014
jail,0.014
jalan,0.056
jebal,0.014
jelas,0.014
jerome,0.014
jesie,0.014
jiahaha,0.014
juang,0.014
juga,0.014
jujyur,0.014
jumbo,0.014
kacau,0.028
kafe,0.014
kaja,0.014
kakaku,0.014
kalau,0.084
kali,0.056
kalian,0.07
kan,0.014
kapan,0.014
karamel,0.014
karena,0.028
karya,0.014
kasi,0.014
kasih,0.028
kata,0.028
kayak,0.014
