term,weight
ada,0.011
adan,0.011
adoeh,0.011
agar,0.043
ajak,0.032
ajar,0.053
akan,0.011
akhir,0.032
alas,0.011
alpukat,0.011
alur,0.011
aman,0.011
amarah,0.011
ambil,0.021
amin,0.011
an,0.021
anda,0.107
anti,0.011
antre,0.011
apa,0.309
asik,0.011
asin,0.011
asli,0.011
astaga,0.011
astaghfirulohaladzim,0.011
ayo,0.011
baca,0.011
bagus,0.021
bahagia,0.021
bahas,0.021
bahkan,0.011
bahu,0.011
baik,0.043
baju,0.011
bakpao,0.011
balas,0.032
bangun,0.043
bantal,0.011
banyak,0.011
bareng,0.043
beberapa,0.011
beda,0.032
begini,0.011
begitu,0.043
beli,0.043
belok,0.011
benar,0.032
benci,0.011
ber,0.021
berapa,0.021
bercengkrama,0.011
betul,0.011
bias,0.021
biasa,0.032
bicara,0.043
bilang,0.043
bisa,0.021
bom,0.021
boro,0.021
btul,0.011
buat,0.064
buka,0.021
bukan,0.032
bukber,0.011
buku,0.053
bulan,0.011
buruk,0.021
buyar,0.011
cari,0.021
cemil,0.021
cengeng,0.011
cepat,0.021
cerita,0.043
cita,0.021
cocok,0.011
coklat,0.021
colok,0.011
cuma,0.032
curhat,0.011
dadi,0.011
dandan,0.011
dapat,0.021
dari,0.021
dasar,0.011
dekat,0.053
demi,0.011
dengan,0.011
di,0.011
dia,0.011
dil,0.011
dilakuin,0.011
diri,0.011
doa,0.021
dokter,0.011
dolan,0.011
dosen,0.043
dospemku,0.011
drama,0.011
dulu,0.032
duluan,0.011
efek,0.011
efektif,0.011
egois,0.011
eh,0.043
emange,0.011
enak,0.021
entah,0.021
fik,0.011
film,0.011
filsafat,0.011
foto,0.043
gabung,0.011
gagal,0.021
ganti,0.011
gara,0.011
gaya,0.011
gelintir,0.011
genep,0.011
giat,0.011
gibah,0.011
gonta,0.011
goriorio,0.011
gosip,0.011
gratis,0.011
grup,0.032
gubrak,0.011
habis,0.011
haha,0.043
hai,0.021
hak,0.011
hal,0.011
han,0.011
harap,0.011
harga,0.011
hari,0.096
hati,0.011
hela,0.011
henti,0.011
heran,0.021
hft,0.011
hidup,0.021
hijau,0.011
ibu,0.064
ikut,0.021
ilmu,0.011
ingat,0.075
ingin,0.043
ini,0.043
internet,0.011
itu,0.021
iya,0.053
izin,0.021
jadi,0.096
jaga,0.011
jalan,0.011
jam,0.085
jamur,0.011
jatah,0.011
jelas,0.011
jembatan,0.011
jero,0.011
jodoh,0.021
juga,0.021
jumlah,0.011
jurus,0.021
jus,0.011
kacamata,0.032
kacang,0.011
kadang,0.021
kakean,0.011
kalah,0.011
kalau,0.117
kalem,0.043
kali,0.043
kalian,0.011
kamar,0.032
kamo,0.011
kan,0.043
kapan,0.053
kata,0.032
kayak,0.011
kebahagian,0.011
keju,0.011
kelas,0.032
kemarin,0.043
kembang,0.011
kemudian,0.011
ken,0.021
kena,0.011
kenapa,0.032
keras,0.011
kereta,0.011
kerja,0.064
ketemu,0.011
ketika,0.021
killer,0.011
kini,0.011
kira,0.021
kire,0.011
kiri,0.011
klub,0.011
komentar,0.011
komunikasi,0.011
kos,0.011
kota,0.021
kowe,0.011
krispi,0.011
kuasa,0.011
kuat,0.053
kuliah,0.064
kuota,0.011
kur,0.011
kurang,0.011
kutubuku,0.011
kuwe,0.011
la,0.011
lagi,0.021
lah,0.053
laki,0.032
lama,0.085
langkah,0.011
langsung,0.011
laptop,0.011
laris,0.011
lasmbuh,0.011
lebih,0.032
lega,0.021
leker,0.011
lelah,0.011
lewat,0.021
lihat,0.011
luar,0.011
lulus,0.011
maaf,0.032
mahasiswa,0.011
makin,0.021
maksud,0.011
malah,0.011
malaikat,0.011
malas,0.011
malu,0.032
malumalu,0.011
mana,0.064
mandi,0.011
mangil,0.011
manis,0.011
martabak,0.021
masa,0.011
masalah,0.011
masuk,0.011
mata,0.011
materi,0.011
mau,0.075
mboh,0.011
media,0.011
melajari,0.011
memang,0.128
mendoan,0.011
meni,0.011
menikah,0.011
menit,0.011
mikirnya,0.011
mobil,0.011
modal,0.011
motor,0.011
mudah,0.053
mudik,0.011
muka,0.011
mulai,0.011
mungkin,0.043
murah,0.021
nah,0.021
nang,0.011
nanti,0.011
napas,0.011
nasi,0.021
nasihat,0.011
ndil,0.011
nemuin,0.011
ngaliyan,0.011
ngantri,0.011
ngecas,0.011
ngecek,0.011
ngechat,0.011
ngekei,0.011
ngerepotin,0.011
ngerubah,0.011
ngetwet,0.011
ngrayain,0.011
niat,0.011
nikmat,0.011
nilai,0.011
nis,0.032
nomor,0.021
non,0.011
nyambung,0.011
nyebeli,0.011
nyemangatin,0.011
obrol,0.043
offline,0.011
oke,0.032
online,0.032
operasi,0.011
optimis,0.011
orang,0.171
oreo,0.011
pacar,0.021
padahal,0.021
pagi,0.032
paham,0.021
pait,0.011
pakai,0.032
pakenya,0.011
paksa,0.011
paling,0.043
panas,0.011
pancen,0.011
pantau,0.011
parkir,0.011
parsel,0.011
pegang,0.011
pekerjan,0.011
penginya,0.011
pengunan,0.011
peras,0.011
percaya,0.021
pergi,0.011
perlu,0.032
pernah,0.043
pertama,0.011
pikir,0.043
pikiranya,0.011
pilih,0.064
pintu,0.021
pisah,0.011
plinplan,0.011
pokok,0.021
pol,0.011
pramuka,0.011
proposal,0.021
puasa,0.011
pulang,0.107
puluh,0.011
punya,0.043
ra,0.043
ramenya,0.011
rampung,0.011
rapat,0.011
rasa,0.043
realitas,0.011
rencanain,0.011
rendam,0.011
rezeki,0.011
ribu,0.011
rindu,0.064
ros,0.011
rumah,0.032
saat,0.043
sabar,0.021
sadar,0.011
saja,0.128
sakit,0.021
salah,0.085
saling,0.021
sama,0.171
sambal,0.011
sampai,0.075
sana,0.011
sangat,0.011
santai,0.011
sante,0.021
satu,0.043
saudara,0.075
saya,0.192
sayang,0.011
sebisane,0.011
sebuah,0.011
sediakala,0.011
sedih,0.011
segala,0.011
segar,0.011
sehat,0.064
sekadar,0.011
sekali,0.075
sekarang,0.021
sekeluaraga,0.011
sekolah,0.011
selalu,0.064
selamat,0.021
selesai,0.011
selonjor,0.011
semangat,0.032
semarang,0.011
semester,0.021
seminar,0.021
semoga,0.053
semua,0.043
sendiri,0.043
sengit,0.011
seperti,0.032
serah,0.021
serba,0.011
sesal,0.011
sesunguhnya,0.011
setuju,0.011
sht,0.021
si,0.053
siap,0.011
siapa,0.043
sih,0.011
sikap,0.011
sini,0.021
smrng,0.011
soal,0.032
status,0.032
sudah,0.149
suka,0.032
sulit,0.011
susah,0.011
syukur,0.011
tadi,0.011
tahu,0.043
tahun,0.053
takut,0.011
tapi,0.021
tarik,0.011
tawa,0.043
tegan,0.011
tegas,0.011
teh,0.011
telat,0.011
telepon,0.032
teman,0.053
temenya,0.011
tempat,0.011
temu,0.053
tenang,0.011
teriak,0.011
terima,0.011
terimakasih,0.021
terlalu,0.032
teroz,0.011
terus,0.085
tetap,0.053
tiada,0.011
tiap,0.021
tiba,0.032
tidak,0.587
tidur,0.085
tiket,0.011
titik,0.011
toko,0.021
tonton,0.021
topik,0.011
tua,0.021
tugas,0.064
tunjuk,0.011
turu,0.011
tw,0.021
twetnya,0.011
twitter,0.021
uang,0.011
ubah,0.011
ujare,0.011
ukt,0.011
ultang,0.011
unggah,0.032
untung,0.021
usah,0.011
usaha,0.032
utama,0.011
vi,0.021
vidcal,0.011
wajar,0.011
waktu,0.011
wala,0.011
wanita,0.032
warteg,0.021
whatsap,0.011
whatsapp,0.011
whatshap,0.011
wifi,0.011
wis,0.011
ya,0.021
yah,0.011
yak,0.021
yang,0.203
yaoudah,0.011
yeay,0.011
yodah,0.011
youtube,0.011
