term,weight
ada,0.036
adalah,0.016
admin,0.036
adon,0.005
aduh,0.021
aduk,0.005
agar,0.005
air,0.01
akan,0.01
akhir,0.057
akses,0.005
alam,0.005
alamat,0.005
alias,0.005
allah,0.005
along,0.005
aman,0.01
ambil,0.01
ambyar,0.01
amit,0.01
amizah,0.005
ampun,0.021
an,0.036
anak,0.031
anda,0.067
aneh,0.01
anet,0.005
anggota,0.005
anya,0.005
anymore,0.005
apa,0.125
apalagi,0.005
apotek,0.01
arief,0.005
asa,0.01
asal,0.005
aselinya,0.005
asli,0.01
astaga,0.026
atas,0.021
awak,0.005
awal,0.016
awet,0.005
ayah,0.01
ayam,0.016
ayo,0.031
baca,0.036
badan,0.005
bagai,0.01
bagaimana,0.026
bagi,0.005
bagus,0.005
bah,0.005
bahagia,0.031
bahas,0.005
baik,0.036
bajing,0.021
bang,0.021
bangan,0.005
bangga,0.01
bangun,0.005
banking,0.005
bantu,0.005
banyak,0.026
bareng,0.005
baru,0.047
batin,0.005
bau,0.005
bawa,0.016
bayang,0.01
bayi,0.005
bayik,0.005
bcl,0.016
beberapa,0.005
beda,0.005
bedah,0.005
begini,0.021
begitu,0.057
bekas,0.005
belah,0.005
belakang,0.005
beli,0.021
beliau,0.01
benar,0.01
benci,0.016
bentar,0.005
bentuk,0.005
benyek,0.005
berapa,0.01
berat,0.026
berduan,0.005
berfikir,0.005
beri,0.005
berita,0.016
berterimakasih,0.005
besar,0.026
besok,0.016
betina,0.005
betul,0.005
biadab,0.005
biasa,0.026
bicara,0.005
bilang,0.005
bindeng,0.005
bingung,0.01
bisa,0.078
bisah,0.005
bisnis,0.005
blio,0.005
blog,0.026
bodoh,0.016
boleh,0.01
bolong,0.005
bosan,0.016
both,0.005
bpjs,0.005
bri,0.005
buah,0.016
buat,0.057
budak,0.005
budaya,0.005
buka,0.026
bukan,0.026
bukber,0.005
bukbernya,0.005
buku,0.005
bulan,0.016
butuh,0.01
cahaya,0.021
campur,0.005
cantik,0.005
capai,0.01
cara,0.01
cari,0.005
cc,0.005
cemas,0.005
cemil,0.026
cepat,0.005
cerita,0.01
cermin,0.005
chatnya,0.005
checkout,0.005
cinta,0.016
cipta,0.005
cita,0.016
cium,0.005
clubbing,0.005
coba,0.01
coban,0.005
cocok,0.01
comeback,0.005
compared,0.005
corona,0.01
cs,0.005
cukup,0.01
cuma,0.026
cyin,0.005
daftar,0.016
dalam,0.005
dampak,0.005
dan,0.005
dapat,0.01
dari,0.031
dasar,0.005
datang,0.016
deh,0.042
delima,0.005
dengan,0.021
dengar,0.021
dengki,0.005
depan,0.016
di,0.016
dia,0.016
diangap,0.005
diapelin,0.005
dibecandain,0.005
dibersihin,0.005
dicairin,0.005
didi,0.01
difikir,0.005
dikasihin,0.005
dikit,0.005
dilema,0.005
diomongin,0.016
dipangil,0.005
dipisahin,0.005
dipudingin,0.005
dirasain,0.005
direply,0.005
diri,0.042
dishare,0.005
disimpen,0.01
diskon,0.01
disterilin,0.005
ditanyain,0.005
ditelfon,0.005
ditingalkan,0.005
ditunguin,0.005
doang,0.036
doesnt,0.005
doing,0.005
dominasi,0.005
dompet,0.005
dong,0.016
dor,0.005
drama,0.021
dua,0.01
dududu,0.005
duduk,0.01
dulu,0.016
dunia,0.016
dwngan,0.005
eceng,0.005
egois,0.005
eh,0.01
emosi,0.005
empat,0.01
enak,0.016
episode,0.026
everythings,0.005
exicted,0.005
favorit,0.005
fikiran,0.005
foto,0.016
founding,0.005
fwb,0.005
gadis,0.01
gagal,0.005
gajah,0.005
gajelas,0.005
game,0.01
ganggu,0.016
garpu,0.005
gayut,0.005
gemesh,0.005
geprek,0.005
getting,0.005
gin,0.073
goa,0.005
gofar,0.005
gondok,0.005
gone,0.005
gosip,0.005
grabfod,0.005
grup,0.016
gulunganya,0.005
gurita,0.005
habis,0.026
haha,0.067
hai,0.036
haid,0.01
hak,0.005
hamba,0.005
hampers,0.016
hampir,0.026
hanya,0.036
harassment,0.005
hari,0.062
haru,0.01
harus,0.021
hasil,0.016
hati,0.026
heran,0.01
hidung,0.01
hidup,0.031
hilang,0.01
hilman,0.005
homescape,0.005
hubung,0.016
hubungan,0.005
hubunganya,0.005
hujan,0.016
humoris,0.005
ibu,0.016
ih,0.016
ikan,0.01
ikanya,0.005
ikhlas,0.005
ikut,0.021
imut,0.005
in,0.01
indah,0.016
ingat,0.021
ini,0.104
inspirasi,0.016
instagram,0.01
instastory,0.021
interviewnya,0.005
introvert,0.005
iqra,0.005
iri,0.005
isi,0.01
isin,0.005
istri,0.01
itu,0.135
iur,0.005
iya,0.026
jadi,0.135
jadwal,0.005
jaga,0.005
jajan,0.01
jak,0.005
jalan,0.005
jam,0.01
jaman,0.005
janji,0.005
jantan,0.005
jantung,0.005
jarak,0.005
jarang,0.01
jasa,0.005
jauh,0.026
jebak,0.005
jenis,0.005
jenuh,0.005
jnt,0.005
jorok,0.005
jual,0.01
juang,0.005
juara,0.01
juga,0.005
jumat,0.01
jumbo,0.005
jutekin,0.005
kabar,0.005
kalau,0.104
kali,0.026
kalian,0.016
kamar,0.005
kamera,0.005
kan,0.01
kapan,0.005
karantina,0.005
karen,0.005
karena,0.016
kasar,0.005
kasi,0.005
kasih,0.005
kasuari,0.005
kasus,0.005
kata,0.021
katro,0.005
ke,0.01
kecamuk,0.005
kecewa,0.01
kecil,0.01
kedok,0.005
kelak,0.005
kelelawar,0.005
keliling,0.01
keluar,0.005
keluarga,0.01
kemarin,0.021
kembali,0.01
kemesran,0.005
kempot,0.005
kemudian,0.01
ken,0.01
kena,0.01
kenal,0.01
kenang,0.005
kenapa,0.067
kencan,0.005
kentut,0.005
keorg,0.005
kepala,0.005
kera,0.01
kerja,0.005
kesal,0.005
ketawa,0.016
keteranganya,0.005
ketinggalan,0.005
ketrampilan,0.01
ketriger,0.005
kira,0.01
kirimin,0.005
kisah,0.016
kisar,0.016
kita,0.005
klean,0.005
kn,0.01
konsep,0.005
korban,0.01
korea,0.01
kos,0.005
kota,0.016
krisis,0.005
kualat,0.005
kuat,0.01
kulit,0.01
kumpul,0.005
kurang,0.005
lagi,0.01
lagu,0.016
lah,0.021
lahir,0.005
lain,0.005
laki,0.088
laku,0.005
lalu,0.021
lama,0.036
langanan,0.005
langsung,0.078
lanjur,0.005
lanjutanya,0.005
lapar,0.005
larang,0.005
lasagna,0.01
later,0.005
lawan,0.005
layan,0.005
ldm,0.005
lebaran,0.016
lebih,0.036
ledig,0.005
lega,0.005
lelah,0.01
lembah,0.01
lengkap,0.005
lepas,0.01
lewat,0.01
lezat,0.005
lihat,0.067
lingkar,0.021
lingkung,0.005
lipcream,0.005
lirik,0.016
livenya,0.005
ll,0.005
loh,0.005
luar,0.016
lucu,0.005
lucuk,0.005
luka,0.01
lumayan,0.005
lupa,0.026
macam,0.005
mafkan,0.005
maghrib,0.005
maghriban,0.005
mahir,0.005
makananya,0.005
makanya,0.005
makes,0.005
makeupnya,0.005
makin,0.01
malah,0.021
malam,0.031
malen,0.005
malu,0.01
mampet,0.01
mampu,0.01
mana,0.031
mandi,0.005
mandiri,0.005
mangung,0.005
manis,0.005
manta,0.005
mantan,0.005
mantap,0.005
manusia,0.005
marah,0.01
maret,0.005
masa,0.016
masak,0.005
masalah,0.016
masalalu,0.005
masih,0.016
masuk,0.031
mata,0.016
matang,0.005
matengnya,0.005
mati,0.005
mau,0.114
meja,0.005
memang,0.067
memar,0.01
menang,0.01
mendengarkan,0.005
mendung,0.005
meng,0.005
mengangu,0.005
meni,0.01
meningalkan,0.005
mental,0.005
meried,0.005
mes,0.005
mesem,0.01
mewek,0.005
milik,0.01
mimpi,0.005
minggu,0.026
minguan,0.005
minum,0.005
mobil,0.016
mobile,0.005
model,0.01
mon,0.01
motor,0.005
mual,0.005
mudah,0.016
mudik,0.005
muka,0.026
mulai,0.026
mumpung,0.005
mumut,0.005
muncul,0.005
murka,0.005
musim,0.01
musingin,0.01
mutualan,0.005
nadin,0.005
naha,0.005
naik,0.016
nakar,0.005
nama,0.01
nang,0.005
naung,0.005
negara,0.01
negatif,0.005
nenek,0.01
neraka,0.005
nerima,0.005
newbie,0.005
ngambek,0.005
nge,0.005
ngebentuk,0.005
ngebuat,0.005
ngecek,0.005
ngehapus,0.005
ngehargain,0.005
ngepoin,0.005
ngerepotin,0.005
ngesharenya,0.005
ngetwet,0.005
ngingetnya,0.005
ngobrol,0.005
ngukur,0.005
ngumpul,0.01
niat,0.005
nimbrung,0.005
notes,0.005
ntah,0.01
nya,0.021
nyala,0.01
nyaman,0.005
nyanyi,0.005
nyata,0.052
nyemplung,0.005
nyisain,0.005
nyonyot,0.005
nyut,0.01
obat,0.005
oiya,0.005
oka,0.01
oke,0.01
online,0.01
ooh,0.005
orang,0.13
otak,0.005
ovo,0.005
pacar,0.036
pada,0.005
padahal,0.042
pagi,0.031
paham,0.01
pakai,0.031
pakde,0.01
paksa,0.005
pala,0.01
paling,0.026
palsu,0.005
pamit,0.005
pana,0.005
panam,0.005
panas,0.005
pandemi,0.005
panggung,0.005
panjang,0.016
pap,0.005
paparazzi,0.005
pasang,0.016
pasar,0.005
pasti,0.005
pasuk,0.005
patah,0.01
pecah,0.005
pegang,0.005
pekanbaru,0.021
pelan,0.005
peluang,0.005
pena,0.021
pengirim,0.052
per,0.005
perahu,0.005
peras,0.005
perbarui,0.005
percaya,0.016
performnya,0.005
pergi,0.026
periksa,0.021
pernah,0.026
pertama,0.005
perut,0.005
pesan,0.031
peta,0.01
petembuh,0.005
piay,0.005
pic,0.005
pikir,0.016
pilih,0.016
pindah,0.005
pipi,0.005
podkesmas,0.01
pokok,0.005
porsi,0.016
pos,0.005
posko,0.005
potek,0.005
praktikum,0.005
pribadi,0.005
proyek,0.005
puasa,0.01
pula,0.005
pulang,0.021
punya,0.031
puruk,0.005
putar,0.01
ra,0.021
racun,0.01
radang,0.005
rajin,0.005
rambut,0.005
ramean,0.005
rara,0.005
rasa,0.088
raup,0.005
rebah,0.005
rela,0.005
rem,0.01
responsif,0.01
retweet,0.005
rewatch,0.01
rim,0.005
rin,0.005
rindu,0.047
risih,0.005
romantis,0.005
roti,0.005
rsj,0.005
ruang,0.005
rumah,0.036
rusak,0.005
saat,0.016
sabar,0.01
sabtu,0.005
sadar,0.005
sahabat,0.01
sahur,0.005
saja,0.145
sakit,0.031
saksi,0.005
salah,0.016
sama,0.083
sambat,0.01
sambil,0.005
sampah,0.005
sampai,0.088
sangat,0.005
sangka,0.005
satu,0.021
saudara,0.135
savingan,0.005
sawah,0.005
sawo,0.005
saya,0.493
sayang,0.005
se,0.005
sebar,0.005
sebentar,0.01
seblak,0.01
sebuah,0.005
sebut,0.005
sedang,0.005
sedih,0.031
sedikit,0.01
segala,0.01
sehat,0.005
sejak,0.016
sejuk,0.005
sekali,0.249
sekarang,0.036
sekian,0.005
selalu,0.026
selamat,0.021
selesai,0.052
semester,0.005
seminggu,0.01
semua,0.052
senang,0.016
sendiri,0.047
sendu,0.005
sensus,0.01
sentuh,0.005
seperti,0.067
sepupu,0.005
seri,0.005
sering,0.016
sesal,0.005
sesuatu,0.005
sesunguhnya,0.005
setan,0.01
setuju,0.01
sexual,0.005
si,0.026
siap,0.005
sibuk,0.01
sifat,0.005
sih,0.104
sik,0.036
siklus,0.005
silaturahmi,0.005
sinetron,0.005
sinus,0.005
sisa,0.005
skripsi,0.005
soal,0.01
solat,0.005
soleh,0.005
solihun,0.005
sorak,0.005
sore,0.005
soundcloudnya,0.005
stasiun,0.005
stayaway,0.005
stok,0.005
stretchmark,0.005
suami,0.016
suamik,0.01
suara,0.005
suasana,0.005
suatu,0.005
sudah,0.125
suka,0.052
sukses,0.01
sultan,0.005
sungguh,0.026
susah,0.005
syok,0.036
tabung,0.005
tadi,0.021
tae,0.005
tahan,0.005
tahu,0.057
tahun,0.052
tai,0.005
tajir,0.005
takut,0.026
tampak,0.005
tangis,0.042
tanpa,0.005
tanya,0.01
tapi,0.01
tarawih,0.005
tawa,0.052
tears,0.005
tega,0.005
tegang,0.005
tekan,0.005
telepon,0.021
teler,0.005
teliti,0.005
teman,0.073
temn,0.005
tempat,0.005
template,0.005
tenang,0.005
tenggelam,0.005
tentang,0.005
tentu,0.005
tepi,0.005
teri,0.005
terimakasih,0.005
terlalu,0.021
terubuk,0.005
terus,0.052
tetap,0.021
thn,0.005
thrombophob,0.005
tiap,0.031
tiba,0.021
tidak,0.482
tidakah,0.005
tidur,0.016
tilang,0.005
timun,0.005
tinggal,0.036
tingkat,0.005
tipang,0.005
tipe,0.005
titi,0.005
titik,0.005
todong,0.005
toga,0.005
tolong,0.016
tomat,0.005
tonton,0.067
topup,0.01
touring,0.005
traumatik,0.005
tuhan,0.016
tulis,0.016
tulus,0.021
tunggu,0.021
tunguin,0.005
turut,0.016
tusuk,0.005
tutup,0.021
twitter,0.021
twom,0.01
ubah,0.005
uji,0.005
ujung,0.005
ukur,0.005
ulang,0.01
uli,0.005
ulin,0.005
umbar,0.005
umum,0.005
umur,0.01
undang,0.005
unri,0.005
untuk,0.083
untung,0.01
upacara,0.016
uptodate,0.005
uring,0.005
usia,0.005
utama,0.026
utuh,0.005
vc,0.005
versi,0.005
viay,0.016
video,0.005
vincent,0.01
virtual,0.005
wajah,0.005
wajar,0.016
waktu,0.016
wanita,0.042
warga,0.005
warna,0.005
wasap,0.005
webnya,0.005
whatsapp,0.005
wisuda,0.01
wop,0.005
ya,0.036
yah,0.031
yak,0.01
yang,0.166
yaudh,0.005
youtube,0.005
youtubenya,0.005
