term,weight
ad,0.006
ada,0.018
adalah,0.006
admin,0.006
adolfnya,0.006
agama,0.012
agar,0.018
air,0.006
ajar,0.031
aji,0.006
aka,0.006
akan,0.024
akhir,0.031
akhlak,0.006
akrab,0.006
al,0.006
alas,0.006
album,0.006
alias,0.018
alir,0.006
alur,0.006
ambil,0.006
anak,0.037
analogi,0.006
anda,0.086
andai,0.006
anna,0.006
antar,0.006
anti,0.006
antum,0.006
anyeong,0.006
apa,0.086
aplikasi,0.006
arah,0.006
aroma,0.006
asa,0.006
asli,0.018
astaga,0.006
atas,0.031
atau,0.006
audio,0.006
ayam,0.006
ayo,0.067
baca,0.098
badan,0.006
bagaimana,0.024
bagi,0.018
bagus,0.012
bahas,0.006
bahkan,0.012
baik,0.037
bajing,0.006
baju,0.018
balik,0.018
banding,0.006
bang,0.006
bangun,0.018
bantu,0.037
banyak,0.079
bapak,0.018
bapake,0.006
barang,0.006
bareng,0.006
baru,0.049
batozar,0.006
bawa,0.006
bawah,0.006
bawang,0.031
bayar,0.012
beban,0.006
become,0.006
beda,0.024
begini,0.031
begitu,0.061
bekas,0.006
beli,0.049
belum,0.037
benar,0.049
benci,0.012
bengong,0.006
bening,0.006
beranda,0.006
berapa,0.012
berat,0.006
berekspetasi,0.006
besar,0.012
betewe,0.012
bicara,0.024
bik,0.006
bilang,0.018
bilim,0.006
bincang,0.006
bintang,0.006
bisa,0.031
blablabla,0.006
blok,0.006
bnci,0.006
bodoh,0.006
bonding,0.006
bos,0.006
bosan,0.006
bosenya,0.006
bpknya,0.006
braun,0.006
brng,0.006
brtnya,0.006
bstruktur,0.006
buat,0.177
budak,0.018
buka,0.043
bukan,0.006
buku,0.165
bulan,0.012
bumi,0.012
bunuh,0.006
buruk,0.006
bw,0.006
cahaya,0.012
campur,0.006
cantik,0.006
cara,0.012
cari,0.012
catat,0.006
celah,0.006
celana,0.006
cemil,0.031
cepat,0.006
cepetan,0.006
cerita,0.012
cerna,0.006
ceroz,0.006
cha,0.006
chatan,0.006
chingu,0.018
cicil,0.006
ciduk,0.006
cimol,0.006
cincin,0.006
cinta,0.018
cireng,0.006
claustrophobia,0.006
coba,0.037
cocok,0.012
colyeah,0.012
comeback,0.006
cpt,0.006
cukup,0.006
cuma,0.043
curently,0.006
dada,0.006
daftar,0.006
dalam,0.012
dan,0.012
dapat,0.018
dari,0.018
daripada,0.006
datang,0.012
deadline,0.006
deh,0.006
dekat,0.006
demotivasi,0.006
dengan,0.024
dengar,0.012
detail,0.018
dia,0.006
dichat,0.006
didlm,0.006
digirip,0.006
dijadin,0.006
dijelasin,0.006
dikit,0.006
diliatin,0.006
dimainin,0.006
dimana,0.006
dimasukin,0.006
dimenangkam,0.006
dionline,0.006
dipap,0.006
diplay,0.006
diri,0.018
disamperin,0.006
diselesain,0.006
diselingin,0.006
dishope,0.006
ditaro,0.006
ditayangin,0.006
dititipin,0.006
diumumin,0.006
divlog,0.006
diwarteg,0.006
doang,0.024
domisil,0.006
dompet,0.006
dong,0.018
dosa,0.006
dosen,0.024
dou,0.006
drama,0.024
dreams,0.006
duduk,0.006
duka,0.012
dulu,0.018
duluan,0.006
dunia,0.024
ebok,0.006
edu,0.006
efek,0.006
eh,0.006
ekspetasi,0.006
emosi,0.006
en,0.012
enak,0.018
english,0.006
enk,0.006
entah,0.012
enwo,0.006
episode,0.018
erat,0.006
eva,0.006
facewash,0.006
fairish,0.006
fakultas,0.006
fatihah,0.006
favorit,0.024
film,0.024
fisik,0.006
fitur,0.012
fokus,0.006
font,0.006
forensik,0.006
foto,0.006
fresh,0.006
fucek,0.012
gabteng,0.006
gambar,0.006
ganti,0.006
gapeka,0.006
gara,0.024
garing,0.006
gaya,0.006
gemas,0.006
gemuruh,0.006
getar,0.006
giat,0.012
gila,0.018
gin,0.043
goa,0.171
goglearth,0.006
gogtrans,0.006
google,0.006
grak,0.006
gramed,0.006
gramedia,0.006
gratis,0.012
gugup,0.012
gui,0.006
guratanya,0.006
guru,0.006
hadir,0.012
hadju,0.006
hai,0.006
halaman,0.006
hamba,0.006
hampir,0.018
hantu,0.006
hanya,0.006
harga,0.012
hari,0.055
harus,0.006
hasil,0.012
hehehdhe,0.006
heheheh,0.006
hehehehe,0.006
henti,0.012
hepi,0.006
hewan,0.006
hidup,0.037
hihix,0.006
hikmah,0.006
hilang,0.049
hitung,0.006
hubung,0.024
hubunganya,0.006
humor,0.006
hutang,0.006
ibadah,0.006
ibu,0.012
ide,0.006
ii,0.006
ikhlas,0.006
ikut,0.012
ilmu,0.006
imajinasi,0.006
inap,0.006
indah,0.012
indihome,0.006
indonesia,0.012
ingat,0.018
ingetan,0.006
ingin,0.018
ini,0.061
instagram,0.031
intai,0.006
internasional,0.006
ipin,0.012
iris,0.012
istigfar,0.006
item,0.024
itu,0.049
iya,0.116
jadi,0.098
jagung,0.006
jaket,0.006
jalan,0.006
jam,0.031
jari,0.006
jauh,0.018
jawab,0.043
jelek,0.006
jempol,0.006
jika,0.012
jm,0.006
john,0.006
jual,0.006
judul,0.018
juga,0.061
jujur,0.006
jurus,0.006
justru,0.006
kadang,0.006
kaepci,0.006
kaki,0.006
kalau,0.159
kali,0.061
kalimat,0.024
kamar,0.006
kampus,0.006
kan,0.018
karakter,0.006
karena,0.024
karsa,0.006
karya,0.006
kasih,0.018
kasus,0.006
kata,0.018
kecil,0.012
kejut,0.018
kelas,0.055
keliling,0.006
kelogin,0.006
kelompok,0.018
keluar,0.024
keluarga,0.012
kembang,0.006
kemeja,0.012
ken,0.006
kena,0.018
kenal,0.006
kenapa,0.061
kepala,0.006
kera,0.006
keras,0.006
kerja,0.012
kertas,0.006
kerudung,0.012
kesan,0.006
kesini,0.006
ketawa,0.012
ketemu,0.012
ketimbang,0.006
khawatir,0.006
kiamat,0.012
kim,0.006
kimbab,0.006
kindly,0.006
kira,0.024
kirim,0.037
kisah,0.006
klan,0.006
klmpk,0.006
knl,0.006
koin,0.006
komentar,0.006
komet,0.012
kompetisi,0.006
komputer,0.012
komunikasi,0.031
konflik,0.006
korea,0.012
koreyah,0.006
kosong,0.061
kristen,0.006
kualitas,0.006
kuat,0.012
kuh,0.006
kuli,0.006
kuliah,0.049
kulon,0.006
kulot,0.006
kupas,0.006
kurang,0.012
kurekomendasin,0.006
kuti,0.006
kw,0.024
lagi,0.079
lagu,0.006
lah,0.018
lain,0.006
laki,0.037
laku,0.006
lalu,0.024
lama,0.031
lampir,0.006
lampu,0.006
langit,0.006
langsung,0.049
lanjut,0.018
