term,weight
ac,0.01
ada,0.04
adalah,0.02
adat,0.01
admin,0.08
adsense,0.01
aduh,0.01
agana,0.01
agar,0.04
ah,0.01
ajaib,0.02
ajar,0.01
aji,0.01
akan,0.03
akhir,0.03
akhirqu,0.01
aktif,0.01
aktipis,0.01
akun,0.03
al,0.01
alam,0.02
alas,0.01
alih,0.01
alir,0.01
alumni,0.01
amad,0.01
amin,0.04
ampas,0.01
an,0.01
anak,0.02
anakn,0.01
anda,0.139
andal,0.01
angkasa,0.01
angkat,0.01
antek,0.01
anti,0.01
anto,0.01
apa,0.139
aplikasi,0.01
archdaily,0.01
archi,0.01
ariel,0.01
arsitek,0.01
arung,0.01
asal,0.01
asap,0.02
asli,0.01
astaga,0.02
atas,0.01
aura,0.01
awa,0.01
awal,0.02
awkoarin,0.01
ayah,0.02
ayam,0.01
babang,0.01
baca,0.03
backsound,0.01
bacod,0.01
bagai,0.01
bagaimana,0.05
bah,0.02
bahanya,0.01
bahas,0.01
baik,0.04
baiq,0.01
bajaj,0.01
bakar,0.01
baku,0.01
bal,0.01
balas,0.02
bambu,0.01
bang,0.03
bango,0.01
bangun,0.01
banking,0.01
bantu,0.01
banyak,0.04
bapak,0.04
baperan,0.01
barang,0.01
baru,0.08
batu,0.01
bau,0.01
bawa,0.02
bd,0.01
beberapa,0.01
begitu,0.02
bekraf,0.01
belah,0.01
belakang,0.01
belanga,0.01
beli,0.02
belum,0.03
benah,0.01
benang,0.01
benar,0.01
benarkan,0.02
beranda,0.03
berapa,0.05
beri,0.01
berry,0.01
besar,0.02
besi,0.02
bhn,0.01
bias,0.01
biasa,0.04
biaya,0.01
bicara,0.03
billionaires,0.01
bisa,0.04
bismillah,0.02
bisu,0.02
blams,0.01
bni,0.01
boba,0.01
bodoh,0.02
bola,0.01
bos,0.04
bp,0.01
brt,0.01
buat,0.129
bugis,0.02
buka,0.01
bukan,0.04
bulan,0.03
bumi,0.02
bunuh,0.01
buruk,0.01
butuh,0.02
buzmatch,0.02
called,0.01
calon,0.01
campur,0.01
cangkir,0.01
cara,0.01
cashzine,0.01
cc,0.02
ce,0.01
celaka,0.01
cemburu,0.01
cemil,0.02
cendol,0.01
cepat,0.01
cerita,0.01
cie,0.01
cinta,0.05
coba,0.07
cocokji,0.01
coeg,0.01
coegh,0.01
cogan,0.01
comot,0.01
corona,0.01
coto,0.01
coveran,0.01
covers,0.01
cukup,0.01
cuma,0.03
curi,0.01
cuss,0.01
cuy,0.01
daeng,0.01
dalil,0.01
dan,0.02
dana,0.02
dangdut,0.02
dapat,0.09
darah,0.01
dari,0.01
daripada,0.02
datang,0.03
dedeh,0.01
deh,0.02
dekat,0.01
deng,0.01
dengan,0.03
depan,0.02
der,0.01
desain,0.01
detected,0.01
di,0.02
dia,0.01
dilema,0.01
dimensi,0.01
diri,0.02
ditiruh,0.01
dlatih,0.01
dluan,0.01
dlue,0.01
dmarahi,0.01
doa,0.01
doang,0.01
dokter,0.01
dolby,0.01
dong,0.02
dorong,0.01
dosen,0.01
dri,0.04
drive,0.01
dtnya,0.01
dtungu,0.01
dua,0.01
duduk,0.01
dukung,0.01
dulu,0.05
dunia,0.01
duniawi,0.01
duren,0.01
durian,0.01
dwaktu,0.01
eh,0.04
ekspresi,0.01
elo,0.01
em,0.01
emaknya,0.01
empat,0.01
enak,0.04
enakh,0.01
endorse,0.01
eng,0.02
entah,0.01
eos,0.01
etang,0.02
evolusi,0.01
facebook,0.01
fajar,0.01
faktor,0.01
fasilitas,0.01
fatihah,0.01
favorit,0.01
feedback,0.01
ferari,0.01
fisika,0.01
fitur,0.02
fokhus,0.01
fokus,0.01
following,0.01
formworknya,0.01
fucek,0.01
fufu,0.01
fungsi,0.01
gabung,0.01
gaji,0.01
gambar,0.01
game,0.02
ganguan,0.01
gara,0.01
gaya,0.02
geblek,0.01
geli,0.01
gengs,0.01
genjeh,0.01
geprek,0.01
gerak,0.01
gerbang,0.01
getar,0.01
ghoib,0.01
gin,0.02
giveaway,0.01
goib,0.01
gondrong,0.01
gopro,0.01
gor,0.01
goreng,0.01
gps,0.01
gubernur,0.01
gyampyang,0.01
habisas,0.01
hadap,0.01
haduh,0.02
haha,0.03
hai,0.03
hak,0.01
halte,0.01
hamil,0.01
hampir,0.03
hantam,0.01
hanya,0.01
hapus,0.01
harga,0.01
hari,0.05
hasil,0.01
hati,0.01
headphones,0.01
hebat,0.02
hello,0.01
henti,0.02
hidup,0.05
hijau,0.01
hitam,0.01
hours,0.01
humoris,0.02
ibu,0.1
ignya,0.01
ii,0.01
iklan,0.02
ikut,0.05
ilustrasi,0.01
impi,0.01
in,0.04
indah,0.01
indonesia,0.03
info,0.01
ing,0.01
ingat,0.03
ini,0.05
instagram,0.03
insya,0.05
internet,0.02
isi,0.01
istri,0.02
item,0.01
itu,0.07
iya,0.09
izin,0.01
ja,0.01
jadi,0.119
jagain,0.01
jahe,0.01
jajan,0.01
jakarta,0.01
jalan,0.02
jalur,0.02
jam,0.01
janda,0.01
jangeng,0.01
janji,0.01
jantan,0.01
januari,0.01
jarang,0.01
jaring,0.01
jawab,0.01
jelajah,0.01
jelas,0.01
jeno,0.01
jhagoan,0.01
ji,0.06
jika,0.02
jk,0.01
jki,0.01
jl,0.01
jokowi,0.02
jorok,0.01
jrx,0.01
jual,0.02
juga,0.139
jujur,0.01
jumlah,0.01
jutah,0.01
jwarah,0.01
kabar,0.02
kaca,0.01
kagum,0.02
kaks,0.01
kalau,0.06
kali,0.05
kaltara,0.01
kamera,0.01
kampret,0.01
kampus,0.03
kan,0.01
kanan,0.02
kanon,0.01
kaos,0.01
kapal,0.01
kapang,0.01
karamel,0.01
karebosi,0.01
karena,0.02
kasih,0.04
kata,0.03
kayu,0.01
kecap,0.01
kecil,0.01
kegabutan,0.01
keluarga,0.01
kemarin,0.03
kembali,0.03
kena,0.01
kenapa,0.05
keras,0.01
keren,0.03
kerja,0.01
kesan,0.01
ketawa,0.01
ketika,0.01
khayal,0.01
khotimah,0.01
khusnul,0.01
khusus,0.02
ki,0.02
kimia,0.01
kiri,0.04
klub,0.01
kode,0.04
koin,0.02
komandan,0.01
kompas,0.01
kondisi,0.01
kondro,0.01
konsep,0.01
konstruksi,0.01
konten,0.01
kopi,0.06
kosong,0.04
kota,0.06
kotak,0.01
krja,0.01
kt,0.03
kuat,0.01
kue,0.01
kulit,0.01
kulkas,0.01
kuning,0.01
kuota,0.01
kurang,0.01
kw,0.01
la,0.01
lade,0.01
lagi,0.07
lagu,0.03
lah,0.03
lahir,0.01
laki,0.02
laku,0.01
lalu,0.01
lama,0.04
lambar,0.01
lambat,0.01
lancar,0.01
landak,0.01
langsung,0.04
lanjot,0.01
lanjut,0.03
lanjutqanlah,0.01
lantai,0.01
lapar,0.01
latar,0.01
latih,0.01
lawan,0.01
le,0.01
lebih,0.08
lecet,0.01
lemah,0.01
lempar,0.01
lengkap,0.01
leteringnya,0.01
libur,0.02
lidah,0.01
lihat,0.06
listrik,0.02
logo,0.01
luar,0.03
lucu,0.01
lulus,0.01
lupa,0.01
lurus,0.02
maaf,0.02
macam,0.02
macet,0.04
mahasiswa,0.01
