term,weight
acara,0.009
ada,0.017
adalah,0.043
adeknya,0.009
admin,0.009
ah,0.017
aile,0.009
akhir,0.009
akun,0.009
alam,0.009
aman,0.026
ambyar,0.017
an,0.026
anak,0.017
anda,0.173
aneh,0.017
anggota,0.009
angin,0.052
antar,0.009
apa,0.069
apalagi,0.009
apalg,0.009
aplikasi,0.009
apps,0.009
arti,0.009
asdfghjkl,0.009
asik,0.017
asli,0.017
astaga,0.026
atas,0.009
atur,0.017
ayah,0.026
ayo,0.009
baca,0.017
bagaimana,0.043
bagus,0.009
bahasa,0.009
baik,0.035
bajing,0.009
balap,0.009
bandung,0.069
bang,0.026
bangga,0.017
bangtan,0.009
bantu,0.009
banyak,0.026
baru,0.017
batas,0.009
batuk,0.009
bawa,0.009
bayi,0.009
bcs,0.009
beban,0.009
beda,0.009
bedain,0.009
begitu,0.009
bela,0.009
belikan,0.009
belum,0.026
benar,0.026
benci,0.026
bentar,0.009
bentur,0.017
ber,0.017
beranda,0.009
berapa,0.035
beri,0.009
berkah,0.009
besar,0.009
besok,0.009
biadab,0.026
bias,0.009
bicara,0.009
bilang,0.009
bingung,0.017
bisa,0.009
bnr,0.009
bodoh,0.009
bosan,0.026
buat,0.086
budak,0.009
bukan,0.026
bukti,0.009
bulan,0.009
butuh,0.009
cahaya,0.009
cari,0.009
caring,0.009
caritakeun,0.009
celi,0.009
cemil,0.026
cerca,0.009
cerita,0.017
cetak,0.009
chingu,0.009
christmas,0.009
cinta,0.078
ck,0.009
comeback,0.009
comes,0.009
complete,0.009
congratulation,0.009
cukup,0.009
cuma,0.043
cuteness,0.009
cuy,0.009
daebak,0.009
daftar,0.009
dalam,0.009
dan,0.06
dapat,0.026
dari,0.069
darth,0.009
dasar,0.009
debat,0.009
deh,0.009
demam,0.009
dengan,0.052
dengar,0.017
depan,0.009
detik,0.009
di,0.009
dia,0.017
diam,0.009
dian,0.009
dicekokin,0.009
difolback,0.009
difolow,0.009
dikit,0.009
diksih,0.009
dinget,0.009
diomongin,0.009
diri,0.009
ditunguin,0.009
dntfym,0.009
doang,0.009
dom,0.026
dong,0.017
dosa,0.009
doyoung,0.009
dugun,0.009
dulu,0.017
dunia,0.017
duyung,0.026
dyanhwang,0.009
each,0.009
edan,0.009
eh,0.017
ehe,0.009
ehehe,0.009
emozi,0.009
