term,weight
ada,0.027
adalah,0.013
agar,0.013
agys,0.007
ah,0.02
ahahahahaha,0.007
ahahahahahahahahahahahaha,0.007
ahahahahahahahahahahahahahahah,0.007
aiko,0.007
ajar,0.054
ajeng,0.007
akan,0.013
akhir,0.007
akhlak,0.007
akudenis,0.007
alam,0.013
alhamdulila,0.007
alir,0.007
alya,0.02
aman,0.013
amatin,0.007
ambil,0.007
amin,0.04
an,0.02
anak,0.013
anda,0.187
andin,0.007
angkat,0.007
anjink,0.007
apa,0.161
apansih,0.007
aplikasi,0.013
arti,0.007
asa,0.013
asli,0.027
astaga,0.02
atau,0.007
aturanya,0.007
awal,0.007
ayam,0.013
ayo,0.04
azoy,0.007
azura,0.007
baca,0.007
bagai,0.007
bagaimana,0.02
bagus,0.013
bahasa,0.013
bahkan,0.007
baik,0.04
bajing,0.013
bakar,0.013
balas,0.007
bang,0.007
bangat,0.007
banyak,0.027
barang,0.007
bareng,0.007
baru,0.067
basah,0.007
bata,0.007
bau,0.02
bayi,0.007
beban,0.007
beda,0.013
begitu,0.06
bekal,0.007
beli,0.033
belum,0.007
benang,0.007
benar,0.06
bentar,0.007
beranta,0.013
bertangung,0.007
besar,0.027
besok,0.007
betul,0.013
bgts,0.013
biasa,0.013
bicara,0.007
bila,0.007
bilang,0.033
binder,0.02
bisa,0.06
bli,0.013
bodoh,0.027
bom,0.007
bonceng,0.007
brououo,0.007
brououou,0.007
browser,0.007
brsabar,0.007
buang,0.007
buat,0.074
buaya,0.007
buka,0.02
bukan,0.027
bund,0.007
bunuh,0.007
buset,0.013
busuk,0.007
cabai,0.007
cakep,0.007
canda,0.013
cara,0.013
cari,0.007
catat,0.007
cava,0.007
cavalegra,0.007
cayank,0.013
celana,0.007
cemas,0.007
cemil,0.02
cepat,0.013
cerewet,0.013
cerita,0.007
chairmateku,0.007
cibubur,0.007
cinta,0.033
cita,0.007
cium,0.007
coba,0.007
congrats,0.007
copot,0.007
corona,0.007
cukur,0.007
cuma,0.02
daerah,0.007
daftar,0.02
dan,0.02
dapat,0.007
dapetinya,0.007
dari,0.013
debar,0.007
dedeng,0.007
deh,0.027
dekat,0.007
dengar,0.007
depan,0.007
dia,0.007
diam,0.013
dicarin,0.007
dimasukin,0.007
dinda,0.007
diri,0.013
diskon,0.007
doa,0.007
doang,0.02
dokter,0.007
donald,0.007
dong,0.013
dulu,0.013
duluan,0.007
dunia,0.007
duren,0.013
echa,0.007
eh,0.013
eiya,0.007
eko,0.007
emgnya,0.007
enak,0.02
episode,0.007
et,0.007
favorit,0.013
fi,0.007
fizi,0.013
fk,0.007
fokus,0.007
foto,0.02
frens,0.007
frik,0.007
gadapet,0.013
gadibolehin,0.007
gadipake,0.007
gadis,0.007
gaenak,0.013
gaikutan,0.007
gajelas,0.013
gaksih,0.007
gambar,0.007
gangerti,0.013
ganti,0.007
gapapah,0.007
gara,0.013
garis,0.007
gasabar,0.013
gasengaja,0.007
gatal,0.007
gemas,0.007
gembira,0.007
gerd,0.007
gigi,0.007
gigit,0.007
gin,0.033
gntenk,0.007
gojali,0.007
gram,0.007
gratis,0.007
gtgt,0.007
gugup,0.007
guyur,0.007
gys,0.007
habis,0.027
hampir,0.013
hanya,0.007
harfiah,0.007
hari,0.027
haru,0.007
hati,0.007
helminthes,0.007
henti,0.013
hihu,0.007
hijau,0.007
hilang,0.027
hnya,0.007
hoi,0.007
ibu,0.06
idih,0.007
ih,0.007
ikhlasin,0.007
ikut,0.027
ikuti,0.013
in,0.013
ingat,0.007
ingetnya,0.007
ingris,0.007
ini,0.054
instagram,0.007
iri,0.007
isan,0.007
isi,0.02
istirahat,0.007
itu,0.047
iya,0.054
iyaw,0.007
jadi,0.087
jam,0.033
jamet,0.007
jantung,0.007
jasa,0.007
jawab,0.013
jelek,0.007
jengkol,0.007
jijik,0.007
jokes,0.007
jual,0.007
juga,0.147
kabar,0.007
kacamata,0.007
kacau,0.007
kadaluarsa,0.007
kalah,0.007
kalau,0.167
kali,0.013
kalian,0.007
kalimat,0.007
kamar,0.013
kan,0.033
kantin,0.007
kapan,0.007
karena,0.054
kasi,0.02
kasih,0.007
kasus,0.007
kata,0.02
kayak,0.007
kayu,0.007
ke,0.007
kebelet,0.007
