term,weight
acara,0.009
achiles,0.009
ada,0.094
admin,0.225
agar,0.038
ah,0.009
ahli,0.019
ajar,0.028
aju,0.009
akan,0.009
akhir,0.019
aksi,0.009
aktif,0.009
al,0.019
alahumaghfirlahu,0.009
alam,0.009
alamat,0.009
alasan,0.009
alat,0.009
alir,0.009
almarhum,0.009
alternatif,0.009
aman,0.009
ambil,0.009
ameri,0.009
amin,0.019
ampuh,0.009
anak,0.038
anatomi,0.009
anda,0.009
anggota,0.019
angka,0.009
anhu,0.009
ani,0.009
anies,0.009
antre,0.009
apa,0.028
apik,0.009
ariston,0.009
arti,0.009
asal,0.009
asih,0.028
atas,0.009
atlet,0.009
audit,0.009
auditor,0.009
autodebet,0.009
ayo,0.009
baca,0.009
bagaimana,0.075
bagus,0.009
bahaya,0.009
baik,0.075
balas,0.009
bang,0.056
bangsa,0.009
banh,0.009
banjir,0.019
bank,0.009
bantuanya,0.009
banyak,0.113
bapak,0.122
bapuk,0.009
barang,0.009
baru,0.066
batal,0.019
batas,0.009
batik,0.009
batubara,0.009
bawa,0.028
bawah,0.009
bayang,0.009
bayi,0.009
beberapa,0.019
beda,0.009
begini,0.009
begitu,0.019
bekas,0.009
beken,0.009
bel,0.009
belakang,0.019
beli,0.028
belum,0.009
benah,0.009
benar,0.085
benarkan,0.019
bendrat,0.009
bentol,0.009
bentuk,0.009
berangapan,0.009
berani,0.009
berapa,0.019
beri,0.019
berita,0.009
bersihin,0.009
besok,0.009
betul,0.019
biasa,0.028
biat,0.009
bijak,0.009
bisa,0.066
bismillah,0.009
bodoh,0.009
boleh,0.019
bruh,0.009
buah,0.019
buat,0.075
bubut,0.009
bukan,0.019
bukti,0.009
bulan,0.019
bumn,0.019
bung,0.009
busi,0.009
busuk,0.009
cabang,0.009
cahaya,0.113
cair,0.019
calon,0.009
campazo,0.009
canteng,0.009
cara,0.019
cari,0.019
catat,0.009
cc,0.019
cedera,0.019
cegah,0.009
cepat,0.047
ceramah,0.009
cerdas,0.009
cetak,0.009
coba,0.028
cocok,0.019
conti,0.009
contra,0.009
copas,0.009
corona,0.009
daftar,0.019
dakwah,0.009
dalam,0.019
dapat,0.009
daritadi,0.009
data,0.009
datang,0.019
deh,0.019
dekat,0.009
delizia,0.009
demi,0.009
dengan,0.009
dengar,0.009
depan,0.009
depok,0.009
desa,0.009
di,0.047
didatengin,0.009
dikit,0.009
dilipatgandakan,0.009
dimention,0.009
dipantengin,0.009
direfund,0.009
direspon,0.038
diri,0.009
dirubungin,0.009
dirut,0.009
disi,0.009
doa,0.009
dokday,0.056
dokter,0.038
dong,0.019
dpr,0.019
drama,0.009
duduk,0.009
dukacita,0.019
dulu,0.038
editor,0.009
efisien,0.009
ekonomi,0.009
eksekusi,0.009
emyu,0.009
energi,0.009
eror,0.056
eslen,0.009
ex,0.009
fakta,0.009
fanatisme,0.009
fatihah,0.019
florentino,0.009
fokus,0.009
foto,0.019
fr,0.009
fup,0.009
gajah,0.009
gaji,0.019
galak,0.009
galo,0.009
gambaranya,0.009
game,0.019
ganda,0.009
ganguan,0.009
ganjar,0.009
ganti,0.009
gatal,0.009
gb,0.009
gedung,0.009
gelincir,0.009
gera,0.009
gerak,0.009
gin,0.009
global,0.009
gofar,0.009
gontaganti,0.009
grogol,0.009
gsw,0.009
guna,0.009
gunung,0.009
gus,0.038
habibie,0.019
habis,0.009
hadir,0.019
hak,0.009
harap,0.028
harga,0.009
hari,0.066
harus,0.019
hasil,0.009
hayolo,0.009
helm,0.009
henti,0.009
hidayah,0.009
hilang,0.038
hormat,0.019
hubung,0.019
hukum,0.019
husnul,0.019
hutang,0.009
ibu,0.028
ichinose,0.009
idola,0.009
ikut,0.028
ilaihi,0.019
ina,0.028
inalilahi,0.009
indonesia,0.009
infografis,0.009
ingih,0.009
ini,0.056
inspirasi,0.009
instan,0.009
insya,0.009
iq,0.009
isi,0.009
italia,0.009
itu,0.019
izin,0.028
jadi,0.066
jaga,0.009
jalan,0.047
jangkrik,0.009
jasa,0.009
jati,0.028
jatibasih,0.009
jauh,0.009
jawa,0.009
jb,0.009
jdid,0.009
jelek,0.009
jenius,0.009
jerat,0.009
jika,0.019
jokowi,0.009
jor,0.009
jual,0.028
juang,0.009
juga,0.009
jujur,0.019
jumlah,0.009
kahwi,0.009
kala,0.009
kalau,0.085
kali,0.038
kan,0.028
kanan,0.009
kante,0.009
kantor,0.009
kaos,0.009
kaosne,0.009
kapan,0.019
karena,0.075
kartu,0.019
karyawan,0.019
kasih,0.122
kaum,0.009
kawat,0.009
kayak,0.009
kd,0.009
kebel,0.009
kelak,0.009
kelelawar,0.009
keluarga,0.019
keluh,0.028
kemarin,0.009
kemudian,0.009
ken,0.009
kena,0.009
kenapa,0.085
kepesertan,0.009
keramas,0.009
keranjang,0.009
keren,0.066
kerja,0.047
ketangkep,0.009
ketua,0.009
khotimah,0.019
kings,0.009
kira,0.009
kiri,0.009
kirim,0.028
kitchenart,0.009
kolom,0.009
komang,0.009
kompetitor,0.009
komplain,0.019
konsentrasi,0.009
kontra,0.009
korban,0.009
korpri,0.009
korsel,0.009
krucil,0.009
ktp,0.009
kuat,0.009
kufur,0.009
kuliah,0.009
kulit,0.009
kulo,0.009
kumpul,0.009
kuning,0.009
kuota,0.009
kusam,0.009
lae,0.009
lah,0.019
laki,0.347
laknat,0.009
