term,weight
abot,0.013
ada,0.013
adalah,0.013
adit,0.027
aduh,0.013
ajar,0.04
ajok,0.027
akan,0.013
akhir,0.027
akun,0.013
alas,0.013
aman,0.013
ambil,0.013
ambyar,0.013
ampun,0.013
an,0.013
anak,0.013
anda,0.121
anti,0.013
anyone,0.013
apa,0.161
apaje,0.013
arti,0.013
asdfghjklxlxbheieoamal,0.013
asek,0.013
asing,0.04
asli,0.013
astaga,0.013
atas,0.04
atut,0.013
ayo,0.107
ayun,0.013
bagaimana,0.054
bagus,0.013
baik,0.04
balik,0.04
banyak,0.054
bapak,0.013
bapake,0.013
batas,0.013
bawa,0.054
beban,0.013
begini,0.04
begitu,0.054
belum,0.04
benar,0.094
benci,0.013
bengong,0.013
berangapan,0.013
berani,0.013
berat,0.013
berita,0.027
bersih,0.013
bingdo,0.013
bingung,0.013
birds,0.013
biru,0.013
bisa,0.054
bise,0.013
bodoh,0.013
bohong,0.013
boleh,0.013
boneka,0.013
bopung,0.013
bosan,0.027
bosque,0.013
bts,0.013
buat,0.081
buka,0.013
bukan,0.013
bukune,0.013
bumi,0.013
burung,0.013
butuh,0.013
buwanget,0.013
cara,0.027
cari,0.013
cemungudh,0.013
cerita,0.013
ceritane,0.013
checkout,0.013
cicil,0.013
coba,0.027
cocok,0.013
contoh,0.013
cosrx,0.013
couse,0.013
cpt,0.013
crusial,0.013
cuma,0.054
cuman,0.013
cus,0.013
cuy,0.013
dabes,0.013
dadi,0.027
dampak,0.027
dan,0.04
dapat,0.027
dari,0.094
degdegan,0.013
deh,0.027
dekat,0.013
detik,0.013
dewe,0.013
di,0.054
dia,0.054
dijak,0.013
dikerjain,0.013
dimna,0.013
dinding,0.013
dis,0.013
disebul,0.013
diskon,0.013
does,0.013
dong,0.067
dorong,0.027
drive,0.027
dsri,0.013
duah,0.013
duin,0.013
dulu,0.027
eaps,0.013
egois,0.013
eh,0.013
ekwkwk,0.013
eleng,0.013
emosi,0.013
enak,0.054
endi,0.013
endinge,0.013
entah,0.027
episode,0.013
fakgirl,0.013
fisika,0.013
fokus,0.013
gabung,0.013
gagal,0.013
gajelas,0.013
gaknok,0.013
ganggu,0.013
gaopo,0.013
gembira,0.013
gendong,0.013
ges,0.04
gigi,0.013
gila,0.027
gin,0.054
gokan,0.027
gradakan,0.013
habis,0.04
hampir,0.013
hana,0.013
hanah,0.013
hancur,0.027
hanya,0.027
harap,0.04
harfiah,0.013
hari,0.067
harus,0.013
hasrat,0.013
hati,0.067
hayo,0.013
hilang,0.013
humoris,0.027
hun,0.054
hunsky,0.013
ih,0.027
iku,0.013
imut,0.027
indonesia,0.013
info,0.013
ingin,0.027
ini,0.081
instal,0.013
inti,0.013
istirahat,0.013
itu,0.134
iya,0.107
jadi,0.255
jakarta,0.013
jam,0.027
jamber,0.013
jantung,0.027
jaring,0.013
jauh,0.04
jawa,0.013
jelas,0.013
jembek,0.027
jenenge,0.013
jerawat,0.013
jogrok,0.013
juang,0.013
jujur,0.013
kabarin,0.013
kacamata,0.013
kadang,0.013
kalau,0.121
kamar,0.013
kambuh,0.013
kan,0.027
kantin,0.013
kapan,0.013
karantina,0.013
kasep,0.013
kasih,0.013
keindahanya,0.013
kelas,0.013
kembali,0.013
kemudian,0.013
ken,0.013
kenal,0.013
kenapa,0.027
kepala,0.013
kerangkeng,0.013
keras,0.013
keren,0.013
kereta,0.013
kerja,0.013
kesal,0.013
ketemu,0.013
ketinggalan,0.013
ketriger,0.013
khusus,0.013
kills,0.013
kimia,0.013
kiro,0.013
kloning,0.013
kosku,0.013
kotak,0.013
kriting,0.013
krucil,0.027
ksel,0.013
kuliah,0.013
kulon,0.013
kumpo,0.013
la,0.013
lagi,0.013
lah,0.067
lak,0.013
lalak,0.013
lalu,0.013
lama,0.054
langsung,0.013
lanjut,0.027
leala,0.013
lebaran,0.04
lebih,0.054
lek,0.054
lewat,0.013
libur,0.013
lihat,0.067
literely,0.013
log,0.027
loncat,0.013
lucu,0.04
lumayan,0.013
lupa,0.027
lyf,0.013
mager,0.013
makin,0.081
malah,0.054
mamsky,0.013
mana,0.054
mandi,0.013
mandiri,0.013
mangsa,0.027
mantap,0.027
manusia,0.04
mapel,0.013
masing,0.027
matem,0.013
mati,0.013
mau,0.134
maujian,0.013
mbek,0.013
memang,0.054
membosankanya,0.013
menghayal,0.013
mesti,0.04
midsomar,0.013
mikro,0.013
milik,0.013
mimpi,0.013
minggu,0.013
mjk,0.013
mobil,0.013
modnya,0.013
mojokerto,0.04
moments,0.013
momogi,0.013
mosok,0.04
mozarela,0.013
mulai,0.013
mumpung,0.013
muncul,0.013
mungkin,0.04
musim,0.027
naga,0.013
nagih,0.013
nang,0.013
nat,0.013
nay,0.013
neh,0.013
neraka,0.013
ngantuk,0.013
ngatur,0.027
ngawe,0.027
ngerundel,0.013
ngkok,0.013
ngulang,0.013
niat,0.013
nich,0.013
nilai,0.013
ningalin,0.013
notif,0.013
nyata,0.013
nyempil,0.013
nyender,0.013
nyut,0.027
omong,0.013
orang,0.054
ouh,0.013
over,0.013
padahal,0.027
pagi,0.027
pakai,0.013
paling,0.027
panjang,0.013
pap,0.013
parah,0.013
pelangi,0.013
pena,0.013
penutupanya,0.013
pepet,0.013
pergi,0.04
periksa,0.013
pernah,0.027
pharsa,0.013
pikir,0.054
pindah,0.013
pis,0.013
pj,0.04
pliz,0.013
podo,0.013
possessive,0.013
pro,0.013
puding,0.013
pul,0.013
punya,0.027
pusing,0.04
ragu,0.027
rahmat,0.013
ramah,0.013
ramai,0.027
rare,0.013
rasa,0.04
realitas,0.013
rekom,0.013
relasi,0.013
renang,0.027
renj,0.013
rezeki,0.013
rindu,0.013
rodok,0.013
rollercoaster,0.013
ros,0.013
ruang,0.013
rumah,0.054
rumit,0.013
saat,0.107
saf,0.013
saja,0.107
sajo,0.013
saking,0.013
sakit,0.027
salah,0.013
saling,0.013
salju,0.013
sama,0.081
sampai,0.054
sampek,0.013
sana,0.013
sangat,0.027
sangu,0.013
satu,0.027
saudara,0.094
saya,0.39
sayang,0.013
sayap,0.027
sby,0.013
se,0.013
sebentar,0.027
sebuah,0.013
sedih,0.013
sedikit,0.027
sekali,0.242
sekarang,0.067
selain,0.013
selalu,0.04
semangat,0.067
semoga,0.027
sempat,0.027
semua,0.027
semwa,0.013
seng,0.013
sengojo,0.013
seperti,0.094
serius,0.013
si,0.027
sial,0.107
siap,0.027
siapa,0.013
sih,0.013
silah,0.013
silkus,0.013
situ,0.013
skinkeran,0.013
sore,0.013
suasana,0.04
suatu,0.013
sudah,0.134
sulit,0.013
sumpah,0.094
sungguh,0.013
super,0.013
surabaya,0.013
suruh,0.013
susah,0.013
tadi,0.013
tahu,0.067
tahun,0.067
tak,0.013
takde,0.013
takut,0.081
