term,weight
abai,0.011
abain,0.011
ada,0.043
admin,0.022
ah,0.065
akan,0.022
akhlakles,0.011
aktor,0.011
alir,0.011
aman,0.022
amanda,0.011
an,0.022
anak,0.011
anda,0.119
android,0.011
anya,0.011
ap,0.011
apa,0.119
arti,0.011
asli,0.011
asus,0.011
atau,0.011
autopcy,0.011
awokwkwkw,0.054
ayam,0.011
baca,0.022
bagaimana,0.054
bagus,0.022
bahagia,0.011
bajing,0.011
bakso,0.011
bandingin,0.011
bangga,0.011
banyak,0.032
barang,0.011
barbar,0.011
baru,0.011
bawa,0.011
bawah,0.011
bawain,0.011
begini,0.043
begitu,0.065
bekal,0.011
belah,0.011
beli,0.022
benarkan,0.011
berapa,0.011
berita,0.011
betina,0.011
biasa,0.022
bilang,0.022
bio,0.011
bioskop,0.011
bisa,0.011
bjsa,0.011
bocor,0.011
bodoh,0.022
boleh,0.011
bom,0.032
bosan,0.022
bosenin,0.022
brti,0.011
buah,0.011
buat,0.108
buaya,0.011
budak,0.022
buka,0.022
bukan,0.032
bulan,0.011
buruk,0.011
butuh,0.011
cahaya,0.022
cakep,0.011
camil,0.011
cara,0.011
cari,0.011
cemil,0.011
ceria,0.011
cerita,0.011
cha,0.032
cinta,0.022
cium,0.011
cjr,0.022
co,0.011
coba,0.032
cokelat,0.011
cuma,0.022
curhat,0.011
daftar,0.022
dakjal,0.011
dal,0.011
dan,0.011
dapat,0.032
darah,0.022
dari,0.022
data,0.011
deh,0.022
denamark,0.011
dengan,0.011
di,0.043
dia,0.011
dijauhin,0.011
dokter,0.011
dong,0.032
dosa,0.011
drama,0.043
dua,0.011
duga,0.011
dulu,0.032
eh,0.022
em,0.011
emosyen,0.011
enak,0.032
episode,0.011
ernest,0.011
eun,0.011
fitnah,0.011
fodfes,0.011
freong,0.011
gabung,0.011
gadis,0.022
gais,0.011
gakaya,0.011
gakuat,0.011
galak,0.011
gantung,0.011
gara,0.011
garap,0.011
gas,0.022
gb,0.022
gemas,0.076
geraldine,0.011
gere,0.011
gi,0.011
gin,0.011
gratis,0.011
greget,0.022
gty,0.011
guan,0.011
gumiho,0.011
guru,0.011
hai,0.011
halusinasi,0.011
hana,0.011
hantar,0.011
hanya,0.011
hari,0.011
harta,0.011
hehwhw,0.011
hehy,0.011
hidup,0.011
hours,0.011
hua,0.011
hwhw,0.011
hwhwhwh,0.011
hyun,0.011
ibu,0.097
ige,0.011
ih,0.129
ikan,0.011
ikhlas,0.011
ikut,0.011
in,0.011
indah,0.032
indonesia,0.011
ingat,0.011
ini,0.043
iqbal,0.011
iris,0.011
isi,0.032
itu,0.108
iya,0.076
iyha,0.011
izin,0.011
jadi,0.151
jajan,0.011
jane,0.011
jateng,0.011
jawab,0.011
jefri,0.011
jelek,0.011
jenius,0.011
jesica,0.011
jichang,0.011
jiho,0.011
jin,0.011
jing,0.011
jm,0.011
jne,0.011
jong,0.011
jual,0.011
judul,0.011
juga,0.032
juseyo,0.011
kalah,0.011
kalau,0.173
kali,0.022
kalian,0.011
kalyan,0.011
kan,0.032
kapan,0.011
kasih,0.022
kastil,0.022
kata,0.022
kayak,0.011
kejut,0.011
kelas,0.011
kelinci,0.011
kelompok,0.011
kemarin,0.022
ken,0.043
kenapa,0.065
kendal,0.011
kepala,0.011
kepingin,0.011
kera,0.011
keren,0.011
kereta,0.011
kering,0.011
kerupuk,0.011
kesal,0.011
ketawa,0.011
ketik,0.011
keuwuan,0.011
khong,0.011
kiki,0.011
kim,0.011
kimia,0.011
kira,0.011
kirim,0.022
kisah,0.011
kod,0.011
kode,0.043
koko,0.011
kontak,0.011
konten,0.011
korea,0.011
kotak,0.022
kulit,0.011
kumpul,0.011
labrak,0.011
lah,0.032
laiya,0.011
laku,0.022
lama,0.011
langit,0.022
langsung,0.032
lazmal,0.011
lee,0.011
libur,0.011
lihat,0.043
lingkung,0.011
linknya,0.011
lipat,0.011
loreal,0.022
luar,0.011
luber,0.022
lucu,0.032
lumayan,0.011
maaf,0.011
macam,0.011
mahal,0.011
mahram,0.011
main,0.011
makanya,0.011
malah,0.011
malas,0.011
malu,0.022
mana,0.065
mangilnya,0.011
masa,0.011
masing,0.022
mata,0.022
mati,0.011
mau,0.14
memang,0.076
menang,0.011
menye,0.011
mereka,0.011
mie,0.011
mika,0.011
mila,0.011
milik,0.011
minggu,0.011
minum,0.011
modus,0.011
morgan,0.011
mungkin,0.022
murah,0.032
nafsu,0.011
nah,0.011
nama,0.011
nang,0.022
nde,0.011
netflix,0.011
ngabarin,0.011
ngebanding,0.011
nichol,0.011
nila,0.011
nomor,0.022
novel,0.011
ns,0.032
nunjukin,0.011
nya,0.043
nyebutin,0.011
oke,0.097
omong,0.022
ongkirnya,0.011
orang,0.065
pacar,0.022
pakai,0.022
paksa,0.011
palembang,0.011
pangeran,0.011
pasang,0.011
pasanganya,0.011
patebon,0.011
pengirim,0.065
penting,0.011
penuh,0.011
percaya,0.011
pernah,0.065
pesa,0.011
pesan,0.011
pesona,0.011
peta,0.032
pety,0.011
phd,0.011
pilih,0.022
pk,0.011
potong,0.011
povider,0.011
pria,0.011
produk,0.011
provinsi,0.011
punya,0.043
pusing,0.022
pusta,0.011
putar,0.011
putra,0.011
raja,0.011
ramenya,0.011
rangkak,0.011
rapot,0.011
rasa,0.011
rawles,0.011
redmi,0.011
renti,0.011
resmi,0.011
restock,0.011
revolusi,0.011
ribut,0.011
rindu,0.011
ringan,0.022
rotasi,0.011
roti,0.011
rsud,0.011
ruang,0.011
rumah,0.032
rumput,0.011
sageuk,0.011
saja,0.173
salad,0.011
salah,0.032
sama,0.129
sampah,0.011
sampai,0.043
sana,0.011
sang,0.011
sangkut,0.011
satu,0.032
saudara,0.097
saya,0.561
sebar,0.032
sebentar,0.011
sebuah,0.022
sedikit,0.011
sejak,0.022
sekali,0.076
sekarang,0.011
sekolah,0.011
selamat,0.011
selera,0.011
selesai,0.022
sembunyi,0.011
seminggu,0.022
sempat,0.011
semua,0.011
sen,0.011
senang,0.011
sendernim,0.011
sendiri,0.011
seperti,0.022
sepupu,0.011
seriesnya,0.011
sering,0.043
seung,0.011
sg,0.011
shopi,0.011
si,0.022
siapa,0.011
sih,0.162
sik,0.022
singa,0.011
sini,0.032
sj,0.011
solusi,0.011
stasiun,0.011
suasana,0.011
sudah,0.097
suka,0.032
suruh,0.011
sw,0.022
syukur,0.011
tagih,0.022
