term,weight
ada,0.019
admin,0.019
aduh,0.009
agar,0.047
agung,0.019
ah,0.019
air,0.009
airpods,0.009
ajar,0.009
akang,0.009
akhir,0.047
akrab,0.019
akun,0.019
alas,0.009
alis,0.009
alkohol,0.009
ambil,0.009
ambisius,0.009
ambyar,0.009
anak,0.028
anda,0.294
angan,0.019
angkat,0.009
angkring,0.009
anjerlah,0.009
anjg,0.009
anjic,0.019
anjinc,0.009
anjing,0.009
anjirt,0.009
anyar,0.009
ap,0.009
apa,0.076
apus,0.009
ardiles,0.009
arif,0.009
arti,0.009
asal,0.009
astronot,0.009
atas,0.009
atau,0.019
awokawok,0.009
awokawokawok,0.028
ayam,0.009
ayo,0.038
babi,0.028
bablas,0.009
badut,0.047
bagai,0.009
bagaimana,0.019
bahas,0.019
baik,0.009
balas,0.009
balesnya,0.009
balik,0.009
bangunin,0.009
bantet,0.009
banyak,0.028
bapak,0.019
baru,0.038
bayangin,0.009
begini,0.038
begitu,0.028
beli,0.009
belle,0.009
belok,0.009
belum,0.028
bem,0.019
benar,0.057
bentar,0.009
bentuk,0.009
beranda,0.009
berapa,0.009
beringas,0.009
berita,0.009
besok,0.009
betadin,0.009
bhak,0.009
bicara,0.009
bidan,0.009
bilang,0.076
bisa,0.019
bjir,0.009
bka,0.009
bo,0.009
bodoh,0.038
bojo,0.009
boleh,0.019
bos,0.019
bot,0.009
bronzer,0.009
buang,0.019
buat,0.066
budak,0.009
buffering,0.009
buka,0.047
bukan,0.028
bukber,0.009
bulan,0.009
busa,0.009
butuh,0.019
cahaya,0.009
campur,0.009
canda,0.009
cara,0.009
cari,0.019
celaka,0.009
cemil,0.038
ceng,0.009
cepat,0.019
cerewet,0.019
ceri,0.009
cerita,0.009
churos,0.009
cinta,0.038
cinte,0.009
cipta,0.009
ciu,0.009
cocok,0.009
corona,0.028
croco,0.019
cuba,0.009
cuma,0.047
daging,0.028
dalam,0.009
damar,0.009
dapat,0.019
dari,0.019
daripada,0.009
daritadi,0.009
datang,0.009
deh,0.009
dengan,0.019
dengar,0.009
deptalk,0.009
dermatix,0.009
di,0.009
dia,0.019
diapus,0.009
didengerin,0.009
digiding,0.009
diging,0.009
dikatain,0.009
dikirimin,0.009
dikit,0.019
dilapisin,0.009
dingiding,0.009
dipangil,0.019
diri,0.019
donee,0.009
dong,0.028
dongeng,0.009
dulu,0.028
duren,0.009
eh,0.038
ehe,0.009
enak,0.028
fiuh,0.009
foto,0.028
fuckboi,0.009
fujifilm,0.009
gadibales,0.009
gakya,0.009
ganti,0.019
gantung,0.009
gasopan,0.009
gc,0.009
gebetan,0.009
gemas,0.019
gembok,0.009
gez,0.009
giding,0.009
gila,0.009
gilir,0.009
gin,0.019
godfather,0.009
goler,0.009
goreng,0.009
greget,0.009
grup,0.009
habis,0.019
hadap,0.009
haduh,0.009
haha,0.009
hai,0.047
hancur,0.066
hantu,0.028
hanya,0.038
harama,0.009
hareudang,0.009
hari,0.028
hasil,0.009
hati,0.019
hebat,0.009
hidup,0.019
hilang,0.009
hilih,0.009
himpun,0.019
hua,0.009
huahahaha,0.009
hujat,0.009
humoris,0.009
ibu,0.009
ih,0.009
ikhlas,0.009
ikut,0.047
ikuti,0.009
imarta,0.009
imasta,0.009
indah,0.009
ingat,0.009
ingetin,0.009
ini,0.038
inimah,0.009
insyinyur,0.009
ish,0.009
isi,0.009
isilop,0.019
istirahat,0.009
istri,0.009
itu,0.057
iya,0.066
jadi,0.142
jalan,0.019
jalur,0.009
jantan,0.009
jantung,0.019
jari,0.019
jasa,0.009
jatinangor,0.009
jauh,0.047
jelas,0.009
jelek,0.009
jodoh,0.009
joki,0.009
juga,0.038
junet,0.019
justru,0.009
kabur,0.009
kaca,0.009
kado,0.009
kafe,0.009
kahan,0.009
kaki,0.009
kalau,0.057
kali,0.009
kampus,0.009
kan,0.066
kao,0.009
kapan,0.009
karena,0.009
karir,0.009
kartu,0.028
karuan,0.009
kasih,0.028
kasur,0.009
kata,0.019
kayak,0.057
keduluan,0.009
kejar,0.019
kelas,0.019
keluar,0.009
keluh,0.009
ken,0.057
kenal,0.019
kenapa,0.066
kendara,0.019
kepala,0.009
keren,0.009
kerja,0.009
kertas,0.009
ketemu,0.009
ketinggalan,0.009
kintil,0.009
kira,0.009
kita,0.019
knpsi,0.009
kntlo,0.009
koh,0.009
komporin,0.009
konser,0.009
kontak,0.009
kontol,0.009
kos,0.009
kosong,0.009
koyo,0.009
kritis,0.009
kualitas,0.009
kuat,0.009
kulit,0.019
kuota,0.009
kurang,0.028
lagak,0.009
lagi,0.047
lagu,0.009
lah,0.009
lain,0.009
laki,0.038
lalu,0.009
lama,0.028
langanan,0.009
langsung,0.009
lari,0.009
lawak,0.009
lebaran,0.019
lebih,0.038
leluasa,0.009
lepas,0.009
lewat,0.019
lho,0.009
liatin,0.009
lihat,0.028
lilakno,0.009
lokal,0.009
loncat,0.009
lucu,0.019
luka,0.019
lupa,0.028
maaf,0.009
maafin,0.009
mager,0.009
mai,0.009
mak,0.009
makanya,0.009
makin,0.009
malah,0.009
malam,0.028
malu,0.076
mangan,0.009
mapin,0.009
masa,0.019
masak,0.009
masalah,0.009
masuk,0.009
mata,0.009
mau,0.104
maw,0.009
memang,0.047
mendengarkan,0.019
menikah,0.009
mg,0.009
mie,0.019
milik,0.028
mimpi,0.009
minta,0.009
minyak,0.009
mnding,0.009
mosok,0.009
muasal,0.009
mulai,0.009
mundor,0.009
mungkin,0.019
musik,0.009
mustahil,0.009
nah,0.019
naik,0.009
nakal,0.009
nama,0.019
nandang,0.009
nangkepnya,0.009
nasi,0.028
nebeng,0.009
nenek,0.009
neraka,0.019
netflix,0.009
ngajakin,0.009
ngelanjutin,0.009
ngelike,0.009
ngelirik,0.009
ngelus,0.019
ngeri,0.019
ngetitnya,0.009
ngmongnya,0.009
nikung,0.009
niqmat,0.009
nisa,0.009
normal,0.009
nusuk,0.009
nya,0.028
nyanyi,0.019
nyata,0.019
nyimak,0.009
nyocokinya,0.009
nyomot,0.009
obrol,0.019
ojek,0.009
omong,0.038
online,0.009
orang,0.104
ospek,0.009
otak,0.019
over,0.009
ow,0.019
pacar,0.019
pada,0.019
padahal,0.009
paham,0.009
pakai,0.095
paksa,0.009
pamit,0.009
panas,0.009
pandai,0.009
panggil,0.009
pantas,0.009
pao,0.019
parah,0.019
pascakerja,0.009
pasin,0.009
pasti,0.009
patah,0.009
payah,0.028
peach,0.009
pearls,0.009
pelajarinsampe,0.009
pelan,0.019
pengirim,0.028
per,0.009
peras,0.009
pergi,0.028
perlu,0.009
pernah,0.009
perut,0.009
pesimis,0.009
pevita,0.009
pi,0.009
pikir,0.047
pis,0.009
plastik,0.009
pler,0.009
podo,0.009
poin,0.009
popcorn,0.009
positip,0.009
prakerja,0.009
pria,0.009
puasa,0.009
punya,0.076
pusing,0.009
rambut,0.009
rapih,0.009
rasa,0.009
ratatouille,0.009
ratus,0.009
rawat,0.009
rayu,0.009
rem,0.009
rindu,0.019
riuh,0.019
rumah,0.028
rusak,0.009
sabar,0.009
sahur,0.028
saja,0.076
sakit,0.019
saklek,0.009
salah,0.009
sama,0.209
sampai,0.009
sangat,0.009
santet,0.009
satu,0.019
saudara,0.095
saya,0.589
sebagai,0.009
seblak,0.009
sebuah,0.009
sedih,0.009
sedikit,0.009
segera,0.009
sekali,0.18
sekarang,0.038
sekolah,0.009
selamat,0.019
selesai,0.009
sembuh,0.028
semester,0.009
semua,0.019
sendiri,0.038
senyum,0.009
sepeda,0.019
seperti,0.038
serit,0.009
setan,0.009
si,0.038
sial,0.076
siapa,0.019
sih,0.057
sini,0.009
sipu,0.009
siwon,0.009
skali,0.009
soal,0.009
sodaran,0.009
sok,0.009
sombong,0.009
sring,0.009
status,0.028
strawberry,0.009
suami,0.009
sudah,0.133
suka,0.038
supermon,0.009
suri,0.009
suruh,0.019
susah,0.009
syar,0.009
syok,0.019
syukur,0.009
syur,0.009
tadi,0.038
tahan,0.009
tahu,0.066
tahun,0.047
tai,0.009
takut,0.009
tambah,0.009
tanjung,0.009
tanya,0.009
tapi,0.076
tawa,0.209
tawar,0.009
tebel,0.009
teliti,0.009
teman,0.076
tempel,0.009
tentang,0.009
terima,0.009
terimakasih,0.019
terus,0.028
testimoni,0.009
tetap,0.009
tg,0.009
tidak,0.323
tiga,0.009
tikung,0.009
timur,0.009
tindas,0.009
tingkah,0.009
tobat,0.009
tolong,0.009
tonton,0.019
topik,0.009
tri,0.019
tugas,0.009
tumben,0.009
tumpah,0.009
tunggu,0.009
tunjuk,0.009
turun,0.009
twitter,0.028
uang,0.028
ubah,0.009
ucapanya,0.009
uduk,0.009
ujan,0.019
ujung,0.019
ukm,0.009
untuk,0.009
unyu,0.009
usah,0.009
usaha,0.009
usia,0.019
utama,0.038
video,0.019
viu,0.009
wakakak,0.019
waktu,0.019
walaupun,0.009
wanita,0.047
waxing,0.009
wejang,0.009
whatsap,0.019
whatsapp,0.019
wil,0.019
wili,0.009
wks,0.009
woku,0.009
xixixi,0.009
yaela,0.009
yah,0.009
yakult,0.009
yan,0.019
yang,0.133
zoom,0.019
