term,weight
acak,0.007
ada,0.028
adalah,0.035
adan,0.007
admin,0.007
aduh,0.028
agar,0.042
ah,0.014
aidzin,0.014
airlanga,0.007
ajar,0.021
akan,0.035
akhir,0.063
alarm,0.007
allow,0.007
amazed,0.007
ampun,0.021
an,0.021
anak,0.014
ancen,0.007
anda,0.148
aneh,0.021
apa,0.197
apakabar,0.007
aquarius,0.007
arap,0.007
arayan,0.007
arnold,0.007
arti,0.007
asik,0.007
asing,0.007
astaga,0.021
atas,0.014
atau,0.007
awas,0.007
awesome,0.014
ayah,0.014
ayam,0.007
ayo,0.028
babi,0.014
babibu,0.007
baca,0.049
bagaimana,0.049
bagus,0.014
bahagia,0.007
bahasa,0.014
baik,0.113
bakso,0.007
balas,0.014
balik,0.028
bandel,0.007
bang,0.035
bangun,0.014
bantal,0.007
banyak,0.028
bapak,0.007
bareng,0.007
baru,0.035
basics,0.007
batas,0.007
bawa,0.014
bawan,0.007
bebas,0.007
begadang,0.007
begitu,0.092
belum,0.014
benar,0.106
berak,0.007
berani,0.007
berapa,0.007
bercandan,0.007
bersih,0.014
besar,0.007
betul,0.014
biadab,0.007
biasa,0.035
bicara,0.028
bijaksana,0.014
bilang,0.035
bingung,0.007
bisa,0.049
bisikin,0.007
bismillah,0.014
bodoh,0.007
bohong,0.007
boleh,0.014
bosan,0.007
botol,0.007
bruh,0.007
buat,0.071
budak,0.007
bukan,0.049
bulan,0.007
bulu,0.007
bululawang,0.007
bumbu,0.007
bungkus,0.007
buru,0.014
buruk,0.007
butuh,0.014
cabut,0.007
campur,0.007
cantik,0.007
cara,0.035
catat,0.007
cause,0.007
cemil,0.035
cepat,0.021
cerita,0.021
chef,0.007
ci,0.007
cidera,0.007
cin,0.007
cinta,0.035
cob,0.007
coba,0.021
cokelat,0.007
corona,0.014
critical,0.007
cuek,0.007
cuma,0.028
curhat,0.007
curi,0.007
curigan,0.007
daging,0.014
dan,0.014
dapat,0.028
dari,0.028
datang,0.007
dayat,0.007
debat,0.007
deh,0.014
dekat,0.007
dengan,0.028
dengernya,0.007
dengki,0.014
depan,0.007
detected,0.007
di,0.021
dia,0.028
diagnosa,0.007
diam,0.028
dibanyakin,0.007
dibercandain,0.007
dijalanin,0.007
dijelasin,0.007
dikerjain,0.007
dikit,0.021
dilaporin,0.007
dimarahin,0.007
dinding,0.007
diri,0.007
ditanyain,0.007
does,0.007
doing,0.007
dom,0.007
dong,0.035
dosa,0.014
dosen,0.014
doyan,0.007
drama,0.007
dua,0.014
duapuluh,0.007
dulu,0.028
each,0.007
effected,0.007
ega,0.007
eh,0.014
ekspetasi,0.007
emulsi,0.007
enak,0.028
energi,0.007
enough,0.007
es,0.014
faidzin,0.014
fanart,0.014
fokus,0.014
foto,0.007
frame,0.007
friends,0.014
ft,0.007
gadis,0.021
gado,0.007
gakuat,0.007
gambar,0.007
gampar,0.007
gas,0.007
gelap,0.007
gemas,0.007
gerak,0.021
ghosting,0.007
giat,0.007
gila,0.014
gin,0.106
gina,0.014
goa,0.007
gombal,0.007
gorila,0.007
growing,0.007
habis,0.021
hadir,0.007
haha,0.007
hai,0.007
hampir,0.007
hancur,0.007
hanya,0.049
harap,0.021
hari,0.056
haru,0.007
harus,0.007
has,0.007
hasil,0.007
hati,0.014
hatihati,0.007
hebat,0.007
hidup,0.049
hilang,0.021
hiv,0.007
hok,0.028
hormat,0.014
hujan,0.007
hujanya,0.007
humans,0.007
humoris,0.021
ibarat,0.007
ibu,0.035
ikut,0.021
imajinasi,0.007
iman,0.007
imsyak,0.007
imut,0.014
in,0.042
indonesia,0.007
infeksi,0.007
ingat,0.007
ini,0.071
instagram,0.014
insya,0.007
inti,0.007
iri,0.014
istirahat,0.007
isu,0.007
itu,0.176
iya,0.085
iyain,0.007
jadi,0.205
jaga,0.007
jalan,0.007
jam,0.014
jamin,0.007
jantung,0.007
jauh,0.007
jawa,0.007
jawab,0.014
jebak,0.007
jedot,0.007
jelas,0.014
jenis,0.014
jika,0.021
juga,0.028
kabar,0.007
kadang,0.035
kadet,0.007
kakaku,0.007
kalau,0.113
kali,0.021
kamar,0.007
kampret,0.007
kan,0.007
kantuk,0.014
karena,0.049
kasih,0.028
kasus,0.007
kata,0.014
kayak,0.021
kecil,0.007
kelas,0.014
keluarga,0.007
keluh,0.014
kemari,0.007
kemarin,0.021
kena,0.049
kenal,0.007
kenapa,0.049
kenyal,0.007
kenyang,0.007
kepala,0.007
keras,0.014
kerja,0.028
kesana,0.007
kesandung,0.007
kesini,0.014
ketawa,0.007
ketika,0.007
kilat,0.007
kingnya,0.007
kira,0.007
kirim,0.014
kita,0.014
koh,0.007
kompleks,0.007
kong,0.007
kram,0.007
kuah,0.007
kuat,0.014
kurang,0.014
la,0.021
lagi,0.007
lah,0.007
lahir,0.014
lain,0.007
laki,0.042
laku,0.014
lalu,0.007
lama,0.028
lancar,0.007
langsung,0.035
lanjut,0.007
lantung,0.007
lapar,0.014
lapo,0.007
larang,0.007
later,0.007
leaves,0.007
lebih,0.028
lembah,0.007
lewat,0.007
lihat,0.049
lius,0.007
loh,0.028
look,0.007
luama,0.007
luar,0.007
lubang,0.007
lucu,0.014
lumayan,0.007
luntang,0.007
lutut,0.007
maaf,0.014
made,0.007
mai,0.007
makin,0.021
maksimal,0.007
maksud,0.014
mal,0.014
malah,0.007
malam,0.014
malang,0.035
malas,0.007
malu,0.007
mana,0.014
mantul,0.007
manusia,0.014
marahin,0.014
marahmarah,0.007
marathon,0.007
masalah,0.042
masih,0.007
masker,0.007
mata,0.007
mati,0.021
matin,0.007
mau,0.078
mawik,0.007
memang,0.063
memberi,0.007
menang,0.014
mendengarkan,0.014
menit,0.021
mereka,0.014
meski,0.014
mie,0.007
mikirnya,0.014
milik,0.021
mimpi,0.007
minta,0.007
minum,0.014
misal,0.028
mobil,0.014
mode,0.007
mon,0.014
monday,0.007
most,0.007
movies,0.007
mudik,0.007
muka,0.014
mulai,0.007
mulut,0.014
mungkin,0.028
mustahil,0.007
mute,0.007
myself,0.014
naik,0.007
nama,0.007
nan,0.007
napas,0.007
nasib,0.007
nasional,0.007
needed,0.007
negatif,0.007
neraka,0.007
ngangur,0.007
ngobrol,0.007
ngolah,0.007
ngos,0.007
niat,0.007
nicest,0.007
nicholas,0.007
nick,0.007
nilai,0.014
nipu,0.007
nomor,0.007
normal,0.007
notes,0.014
nunjukin,0.007
nya,0.035
nyala,0.007
nyaman,0.014
nyamanya,0.007
nyanyi,0.007
nyaring,0.007
nyata,0.021
nyebelin,0.007
nyebrang,0.007
nyeletuk,0.007
oalah,0.007
obrol,0.028
offline,0.007
ohmygod,0.007
oke,0.007
oleh,0.014
omong,0.014
omonganya,0.007
online,0.007
orang,0.155
ot,0.014
otak,0.007
otaku,0.007
pacar,0.007
padahal,0.028
pagi,0.049
pahala,0.007
paham,0.007
pais,0.007
pakai,0.021
paling,0.014
panah,0.007
panjang,0.007
pantat,0.007
papan,0.014
parno,0.014
pasar,0.007
pasuk,0.007
pedas,0.007
pegang,0.007
peluk,0.014
penasaran,0.007
pendekatan,0.007
pengirim,0.007
penting,0.021
penuh,0.007
perang,0.007
peras,0.014
percaya,0.007
pergi,0.014
periksa,0.007
peringkat,0.007
pernah,0.042
pertama,0.014
peta,0.014
petir,0.007
pict,0.007
pikir,0.056
pikiranya,0.007
pilih,0.021
pingsan,0.007
pintar,0.007
pol,0.014
pola,0.007
pos,0.007
positif,0.021
pov,0.007
protes,0.007
puasa,0.021
pula,0.007
pulang,0.014
punya,0.049
pusing,0.007
pustakawan,0.007
rada,0.007
radit,0.007
rahasia,0.007
ramai,0.007
ramashok,0.007
rambut,0.007
rangin,0.007
rapat,0.007
rasa,0.063
rawan,0.007
rebah,0.021
relain,0.007
rezeki,0.014
ribut,0.007
rindu,0.014
