term,weight
aa,0.014
able,0.014
acak,0.007
aci,0.014
ada,0.02
adalah,0.088
admin,0.034
agar,0.007
agen,0.007
ajar,0.007
akan,0.048
akhir,0.034
aku,0.007
ala,0.007
alas,0.007
alice,0.007
aliens,0.007
alir,0.007
aman,0.007
ambil,0.014
an,0.02
anak,0.027
anda,0.17
anime,0.007
animes,0.007
any,0.014
apa,0.082
aplikasi,0.007
ariel,0.007
arti,0.007
asa,0.007
asdfkhkdleomeodhbeizn,0.007
asik,0.007
asli,0.007
atas,0.048
atau,0.007
attacks,0.007
awal,0.007
awas,0.007
ayah,0.007
ayo,0.048
baca,0.048
bagaimana,0.082
bahan,0.007
bahasa,0.007
bahkan,0.014
baik,0.014
bakso,0.007
balik,0.007
bangga,0.014
bangun,0.007
banyak,0.054
bar,0.014
barbie,0.007
baru,0.007
batas,0.007
bawa,0.007
bawah,0.007
bayang,0.007
bayar,0.007
bayi,0.014
becoming,0.007
beda,0.02
bedan,0.007
begitu,0.082
beli,0.034
belle,0.007
belum,0.054
benang,0.007
benar,0.027
benda,0.014
bentang,0.007
beranda,0.007
berani,0.007
berapa,0.007
berita,0.027
bersih,0.007
betapa,0.007
betol,0.014
betul,0.007
bgn,0.007
bias,0.007
biasa,0.041
biru,0.007
bisa,0.034
bismillah,0.014
blablabla,0.007
blok,0.007
bnr,0.007
bodoh,0.014
bok,0.007
boneka,0.007
bong,0.007
bongkok,0.007
buah,0.007
buat,0.068
bubuk,0.014
buka,0.027
bukan,0.014
bulu,0.007
bumbu,0.007
buta,0.007
butuh,0.02
cabai,0.014
cahaya,0.014
campur,0.007
capai,0.007
capeugahwhwhwhwhw,0.007
cara,0.027
cari,0.007
cartoons,0.007
cat,0.007
cc,0.007
cemil,0.007
cepat,0.007
cerita,0.014
challenges,0.014
chan,0.007
cherished,0.007
chikin,0.007
chiko,0.007
cilok,0.014
cin,0.014
cinderela,0.007
cini,0.014
cinta,0.014
coba,0.014
complexities,0.007
conan,0.007
cookie,0.007
corona,0.027
cpt,0.007
creating,0.007
crita,0.007
cuci,0.007
culik,0.014
cuy,0.007
dalam,0.014
dan,0.02
dapat,0.014
dari,0.102
daripada,0.014
dasar,0.007
days,0.014
deep,0.007
definitely,0.02
dekat,0.014
dengan,0.048
dengar,0.007
depends,0.014
desain,0.007
detik,0.007
dhahar,0.007
di,0.054
