term,weight
abc,0.008
ac,0.008
ada,0.046
adalah,0.023
adha,0.008
agar,0.03
air,0.046
ajaib,0.008
akan,0.023
akhir,0.053
akibat,0.008
ala,0.038
alamin,0.008
alhasil,0.008
almarhum,0.008
almond,0.015
alright,0.008
amad,0.008
amal,0.008
ambon,0.008
amin,0.015
amore,0.008
ampuh,0.008
ampun,0.008
an,0.061
anak,0.015
anda,0.061
anginya,0.008
angkutan,0.008
anies,0.008
anymore,0.008
apa,0.053
armada,0.008
arti,0.023
asar,0.008
asbes,0.008
asih,0.008
asn,0.008
aspal,0.008
atap,0.008
atas,0.008
atau,0.008
atm,0.008
awal,0.03
ayah,0.008
ayam,0.038
ayo,0.008
baca,0.03
baco,0.008
bada,0.023
badan,0.008
bagaimana,0.015
bagi,0.008
bagus,0.023
bahkan,0.008
baik,0.046
baju,0.015
bakar,0.008
bakwan,0.008
balik,0.023
balon,0.008
banding,0.008
bangka,0.015
bangun,0.008
banjir,0.03
bank,0.015
bantal,0.008
banyak,0.061
bapak,0.046
bareng,0.023
baru,0.076
basah,0.008
basic,0.008
basim,0.008
batas,0.015
batuk,0.015
bau,0.03
bawa,0.008
bawah,0.015
bayi,0.008
bayik,0.008
beda,0.008
begah,0.008
begitu,0.015
belah,0.008
belai,0.023
belakang,0.008
belatung,0.015
beli,0.015
belia,0.008
belum,0.015
ben,0.008
benar,0.053
benda,0.008
bengong,0.008
bensin,0.008
ber,0.008
berapa,0.023
berexpresi,0.008
beri,0.008
berisik,0.008
bersihin,0.008
besok,0.015
biawak,0.008
bicara,0.008
bidik,0.008
bika,0.008
bilang,0.023
bingung,0.023
biru,0.008
bisa,0.023
bising,0.008
bismillah,0.008
bla,0.008
blender,0.008
bodoh,0.008
boiled,0.015
boleh,0.008
bom,0.046
bombay,0.008
breaks,0.008
brutal,0.008
buah,0.015
buat,0.122
bubuk,0.008
bubur,0.03
budak,0.008
budhi,0.008
bufat,0.008
bukan,0.038
buku,0.015
bulan,0.03
bulat,0.023
bumbu,0.008
bunga,0.008
bunuh,0.008
bunyi,0.015
buruk,0.008
butuh,0.015
cabai,0.008
calon,0.008
campur,0.008
cantik,0.008
captionya,0.008
capucino,0.008
cara,0.008
cari,0.008
cawang,0.015
cebur,0.008
cemil,0.099
cepat,0.015
ceplok,0.008
cie,0.008
cinemax,0.008
cing,0.008
cinta,0.008
cium,0.008
coba,0.015
coklat,0.03
comberan,0.008
combro,0.008
crawling,0.008
cried,0.008
crunchy,0.008
cuaca,0.008
cuci,0.015
cuma,0.061
dadah,0.008
dahak,0.008
dalam,0.008
damai,0.015
dan,0.015
dapat,0.023
darah,0.015
dari,0.023
daripada,0.046
dasar,0.008
datang,0.015
daya,0.008
debu,0.008
deh,0.008
dekai,0.008
dekat,0.03
deketin,0.008
delicioso,0.008
dengar,0.023
depan,0.038
desa,0.008
desah,0.008
di,0.061
dia,0.015
dibanyakin,0.008
dikeluarin,0.015
diket,0.008
dikit,0.015
dinding,0.008
dingin,0.03
diomongin,0.008
dipangil,0.015
dipatokin,0.008
dipoto,0.008
direktur,0.008
diri,0.015
disamperin,0.008
disemutin,0.008
ditaro,0.008
ditempatin,0.008
ditetesin,0.008
djiwa,0.008
doa,0.008
doang,0.015
doel,0.008
doing,0.015
dokter,0.015
dong,0.008
doni,0.008
dorong,0.008
dosa,0.015
drama,0.008
duck,0.008
duduk,0.038
dulu,0.038
duluan,0.008
dunia,0.023
dwonks,0.008
edisi,0.015
efek,0.015
eh,0.015
ek,0.008
ekor,0.008
elah,0.008
eling,0.008
enak,0.046
enakjadianak,0.008
eneg,0.008
engap,0.008
enyak,0.008
era,0.008
erisman,0.008
erlanga,0.008
es,0.008
ex,0.008
exekusi,0.008
exists,0.008
faktor,0.008
film,0.008
fine,0.008
flu,0.008
gadis,0.008
gaji,0.008
ganti,0.03
gantung,0.008
gara,0.046
gaya,0.008
gejolak,0.008
gelas,0.008
geli,0.008
gelombang,0.015
gendong,0.015
gengam,0.008
gerimis,0.015
gigi,0.008
gigit,0.008
gila,0.008
gin,0.015
goreng,0.023
gosip,0.008
gtkm,0.008
gudey,0.008
gugup,0.008
guru,0.008
habibie,0.008
habis,0.046
hadap,0.008
hadiah,0.008
hadir,0.008
haflah,0.008
haha,0.008
hahahihi,0.008
haid,0.015
hal,0.008
halal,0.008
halus,0.008
hampir,0.015
handai,0.008
hangat,0.008
hanya,0.008
harap,0.03
hardest,0.008
harga,0.015
hari,0.076
harta,0.008
harus,0.046
haryono,0.008
hasil,0.023
hati,0.015
hayati,0.008
helm,0.023
heny,0.015
herbal,0.023
hidung,0.008
hilang,0.015
ho,0.008
hoh,0.008
hohoho,0.015
hujan,0.038
hurts,0.008
huruf,0.008
ibadan,0.008
ibrahim,0.008
ibu,0.053
ibukota,0.008
idul,0.008
iftitah,0.008
ihiy,0.023
ihram,0.008
ikut,0.023
ilayhi,0.008
iman,0.008
in,0.046
ina,0.008
inalilahi,0.008
indah,0.015
indonesia,0.008
infus,0.008
ingat,0.008
ini,0.03
inner,0.008
insani,0.008
instagram,0.008
interaxi,0.008
item,0.008
itu,0.114
iya,0.038
jadi,0.175
jadin,0.008
jaga,0.008
jahe,0.015
jaket,0.008
jalan,0.053
jalur,0.008
jam,0.015
james,0.008
janji,0.008
jantung,0.008
jarang,0.008
jari,0.038
jas,0.008
jauh,0.023
jawab,0.008
jawap,0.008
jaya,0.008
jedar,0.008
jelang,0.015
jendela,0.008
jepang,0.008
jerawat,0.008
jeu,0.008
ji,0.008
jijik,0.008
jin,0.008
jiwa,0.015
joe,0.008
jorok,0.008
jual,0.008
judule,0.008
juga,0.038
jus,0.015
kabar,0.008
kacang,0.015
kae,0.008
kakek,0.015
kaki,0.03
kalau,0.145
kali,0.053
kalimat,0.008
kamar,0.023
kamis,0.008
kan,0.023
kana,0.008
kapan,0.015
kapital,0.008
kardus,0.008
karena,0.03
kartu,0.008
kasar,0.015
kasi,0.03
kasih,0.015
kata,0.061
kayak,0.008
ke,0.008
kecil,0.015
kecoa,0.008
kedengeran,0.008
kelas,0.015
kelelawar,0.008
keluar,0.023
keluarga,0.008
kemarin,0.046
kemaruk,0.008
kembung,0.008
kena,0.015
kenapa,0.03
kencang,0.015
kenceran,0.008
kendara,0.008
kenya,0.008
kepala,0.008
keran,0.008
keras,0.008
kerendem,0.008
kering,0.015
kerja,0.015
kesal,0.008
ketawa,0.015
ketemu,0.023
ketik,0.008
ketika,0.008
khusyuk,0.008
kini,0.008
kira,0.015
kiri,0.008
kjp,0.008
knalpot,0.008
komik,0.008
kompak,0.008
komplain,0.008
kondangan,0.008
konde,0.008
kongsumsi,0.008
kontainer,0.008
kopi,0.008
koran,0.008
korban,0.008
korea,0.008
koreksi,0.015
ktupat,0.008
kuah,0.023
kuatir,0.008
kucing,0.076
kulit,0.008
kuning,0.008
kunyit,0.008
kurang,0.008
kurleb,0.008
kurma,0.023
kursi,0.023
labu,0.015
lagi,0.008
lagu,0.008
lah,0.038
lain,0.008
laki,0.046
lala,0.008
lama,0.046
lambung,0.008
langkah,0.008
langsung,0.023
lanjut,0.015
lapar,0.023
lari,0.008
later,0.008
least,0.008
lebaran,0.008
lebih,0.091
lekat,0.008
lelah,0.008
lem,0.008
lembab,0.008
lembut,0.008
lempar,0.008
lengos,0.008
lepas,0.008
lewat,0.008
libur,0.008
lihat,0.053
lim,0.008
liur,0.015
lontong,0.008
luang,0.008
luar,0.008
lulus,0.008
lupa,0.023
lurah,0.008
maaf,0.008
madu,0.008
magicom,0.008
majelis,0.008
majikan,0.015
makan,0.023
makin,0.008
makmal,0.008
maksimal,0.008
malah,0.03
malam,0.038
malu,0.008
mana,0.03
manis,0.008
manpat,0.008
manusia,0.008
marah,0.008
marmer,0.023
masa,0.023
masak,0.03
masalah,0.008
masih,0.023
masuk,0.008
mata,0.008
matang,0.008
mati,0.03
matin,0.008
mau,0.099
max,0.008
maxud,0.008
mayan,0.008
mbok,0.008
mcu,0.008
mecin,0.008
megang,0.008
melek,0.023
memang,0.015
menamakanya,0.008
menclok,0.008
mentah,0.008
menu,0.008
mereka,0.008
mesen,0.008
miara,0.008
mie,0.008
mindahin,0.008
minggu,0.008
mins,0.008
minta,0.008
minum,0.023
minyak,0.015
miskol,0.008
misuh,0.008
mk,0.008
ml,0.008
molor,0.008
most,0.008
mr,0.008
mt,0.008
mts,0.008
mudah,0.008
muji,0.008
mukena,0.015
mulai,0.03
mulut,0.023
mungkin,0.03
muntah,0.008
murid,0.008
muterin,0.008
nabi,0.008
nabungnya,0.008
nafsu,0.008
nah,0.008
naik,0.023
najis,0.008
nakes,0.008
nama,0.015
nang,0.015
naronya,0.008
nasi,0.038
nasional,0.008
nasip,0.008
nebeng,0.008
needed,0.008
nempel,0.008
ngadep,0.015
ngaji,0.008
nganterin,0.008
ngantri,0.015
ngatjo,0.008
ngebolang,0.008
ngelakuin,0.008
ngelakuinya,0.008
ngeliatin,0.008
ngemil,0.008
ngerawat,0.008
ngos,0.008
ngurangin,0.008
ngurus,0.008
ngusir,0.008
niat,0.008
nipu,0.008
noi,0.008
nongki,0.015
nongkrong,0.015
ntah,0.008
numpang,0.015
nya,0.076
nyala,0.015
nyaman,0.015
nyanyi,0.008
nyarap,0.008
nyaring,0.008
nyata,0.038
nyempil,0.008
nyender,0.008
nyerep,0.008
nyetel,0.015
nyiahaha,0.008
obrol,0.008
observasi,0.008
offline,0.008
ogut,0.008
oke,0.023
oleh,0.008
omad,0.015
omong,0.008
online,0.008
operasi,0.008
orang,0.069
oren,0.008
pacar,0.023
padahal,0.03
pagi,0.03
pagin,0.008
pakai,0.069
paksa,0.008
paling,0.015
pam,0.008
panas,0.038
panci,0.008
panggil,0.008
panik,0.008
panjang,0.015
papas,0.015
papoy,0.061
parkir,0.015
paro,0.008
pasar,0.008
pegang,0.008
pegangin,0.008
pekerjaan,0.008
pena,0.008
penasaran,0.008
penting,0.015
penuh,0.008
penvil,0.008
penyet,0.008
percaya,0.008
pergi,0.008
periksa,0.008
perlu,0.008
pernah,0.046
pertama,0.008
perut,0.023
pesan,0.008
peta,0.008
phubing,0.008
pidio,0.03
pikir,0.038
pilih,0.008
pindahin,0.008
pinggir,0.03
pintu,0.008
pipi,0.008
pisang,0.008
pj,0.008
plastik,0.008
podo,0.008
pohon,0.008
pom,0.008
pompa,0.008
posisi,0.008
positif,0.008
potokopi,0.008
pria,0.008
proses,0.008
pukul,0.008
pula,0.015
pulang,0.023
pulling,0.008
puluh,0.008
punya,0.008
pur,0.015
pusing,0.008
puskes,0.008
putih,0.015
putri,0.008
rabu,0.008
rada,0.008
radang,0.008
ram,0.008
ramadan,0.015
ramadhan,0.008
ramai,0.008
ramayana,0.008
rambut,0.008
rapet,0.008
rapopo,0.008
rasa,0.076
raung,0.008
raya,0.008
rebu,0.008
rebus,0.008
rekap,0.008
responsif,0.008
ribu,0.03
rindu,0.015
ro,0.008
robal,0.008
roji,0.008
rosela,0.015
roti,0.008
ruang,0.008
rumah,0.038
rupa,0.008
sadar,0.008
saja,0.122
sajah,0.015
sakit,0.038
salah,0.038
saldo,0.008
saling,0.008
sama,0.175
sampai,0.122
samping,0.015
sana,0.023
sandman,0.008
sanggup,0.008
sangka,0.023
saos,0.008
saran,0.008
sariawan,0.008
satu,0.023
saudara,0.061
saya,0.351
sayang,0.008
sayur,0.008
scan,0.008
sdm,0.023
sebagai,0.008
sebentar,0.008
seblak,0.015
sebuah,0.053
sec,0.008
sedang,0.008
sedih,0.038
seems,0.008
sehat,0.008
sejak,0.015
seka,0.008
sekali,0.046
sekarang,0.03
sekian,0.015
sekolah,0.015
sel,0.008
selalu,0.015
selamat,0.008
selesai,0.008
selfreminder,0.008
selimut,0.008
seluruh,0.008
semangat,0.008
sembah,0.008
semoga,0.038
sempat,0.008
sempit,0.008
semprot,0.008
semua,0.038
semur,0.015
semut,0.008
senang,0.008
sendiri,0.015
senyum,0.023
seperti,0.084
sepupu,0.008
serial,0.008
serius,0.008
sesi,0.008
setrika,0.008
setuju,0.03
sholat,0.015
si,0.038
siang,0.008
siapa,0.008
sidang,0.008
sih,0.046
simpen,0.008
simpul,0.008
sini,0.008
sirine,0.008
sisir,0.008
siswa,0.008
situ,0.023
skroling,0.008
smesco,0.008
smuti,0.008
sok,0.008
sore,0.008
sphink,0.008
spool,0.008
stengah,0.008
steril,0.008
stroller,0.008
suara,0.015
sudah,0.213
suka,0.061
sumbang,0.008
sunahin,0.008
suplemen,0.008
suruh,0.008
susah,0.008
susu,0.008
suyitno,0.008
syawal,0.008
syukur,0.091
tadi,0.038
tahan,0.008
tahu,0.069
tahun,0.023
takar,0.008
takbiratul,0.008
tali,0.008
tambal,0.008
tampol,0.008
tanah,0.015
tanam,0.015
tangan,0.015
tanggung,0.008
tangis,0.015
tanjung,0.008
tanya,0.046
tao,0.008
tas,0.015
tata,0.008
taul,0.008
tawa,0.03
tebak,0.008
tebet,0.008
tekan,0.008
telepon,0.023
telunjuk,0.008
telur,0.046
teman,0.015
tempat,0.015
tempuh,0.008
temu,0.008
tenaga,0.008
tengah,0.023
tepar,0.015
terbang,0.015
teri,0.008
terima,0.03
terimakasih,0.008
terpangil,0.008
tersebut,0.008
terus,0.008
tetap,0.008
thok,0.008
tidak,0.503
tidur,0.015
tik,0.023
tiktok,0.008
tikus,0.008
tips,0.008
tiru,0.008
tj,0.015
tnr,0.008
tofu,0.015
toko,0.03
tomat,0.008
tongkrong,0.008
tonton,0.023
topi,0.008
tor,0.008
total,0.008
tragedi,0.008
trakea,0.008
tronton,0.008
tuan,0.008
tugas,0.008
tuhan,0.008
tukang,0.053
tukar,0.008
tum,0.008
tumben,0.008
tumpang,0.008
tumpuk,0.015
tunai,0.008
tunggu,0.015
tunjuk,0.008
turunya,0.008
ubi,0.008
ujian,0.008
ujung,0.008
ukg,0.008
ulas,0.008
umi,0.008
umum,0.015
untuk,0.076
urus,0.015
usah,0.008
usyam,0.008
vaksin,0.008
viral,0.008
visitasi,0.008
wah,0.008
waktu,0.03
walikota,0.008
wanita,0.008
watt,0.008
whatsapp,0.008
widyaiswara,0.008
wudhu,0.008
wujud,0.008
xixixi,0.008
ya,0.008
yaeyalah,0.008
yak,0.038
yakin,0.008
yang,0.29
yasudalah,0.015
yayam,0.008
yeay,0.008
yiha,0.008
zaitun,0.008
zona,0.008
zuhur,0.008
