term,weight
aa,0.007
acak,0.007
acne,0.007
ada,0.029
adalah,0.014
admin,0.014
adopsi,0.007
agar,0.014
ah,0.021
ahli,0.007
ajak,0.014
ajar,0.014
akan,0.014
akhir,0.014
akibat,0.007
akun,0.029
alam,0.014
alas,0.007
alis,0.007
aman,0.007
ambil,0.007
ampun,0.014
an,0.014
anak,0.05
anda,0.171
antara,0.007
antem,0.007
anyeong,0.007
apa,0.057
argumen,0.014
arti,0.021
arwah,0.007
asal,0.014
asin,0.007
asli,0.007
aspal,0.007
atas,0.007
awas,0.014
ayah,0.007
ayo,0.043
baca,0.021
bagai,0.007
bagaimana,0.021
bagus,0.007
bahagia,0.014
bahagiain,0.007
bahan,0.007
bahasa,0.007
bahkan,0.029
baik,0.036
bajing,0.021
bak,0.007
bala,0.007
balai,0.007
balik,0.029
banding,0.014
bansa,0.007
banyak,0.036
baperin,0.007
bareng,0.007
baru,0.014
batal,0.007
batas,0.007
batu,0.007
bawa,0.021
bawain,0.007
bebal,0.007
beban,0.007
bebas,0.007
beberapa,0.014
beda,0.014
begini,0.057
begitu,0.021
behind,0.007
belakang,0.007
belanja,0.007
beli,0.057
belum,0.014
benang,0.007
benar,0.057
benci,0.014
beras,0.007
beri,0.014
besar,0.007
betul,0.014
biadab,0.007
biarin,0.007
bias,0.007
biasa,0.036
biaya,0.014
bicara,0.007
bilang,0.036
binatang,0.007
bingung,0.014
bisnis,0.021
bkal,0.007
blok,0.007
bnding,0.007
bnsat,0.007
bodoh,0.007
bohong,0.007
bosq,0.014
brarti,0.007
brubah,0.007
buang,0.014
buat,0.1
budak,0.014
buka,0.007
bukan,0.043
bukti,0.007
bunga,0.007
butuh,0.021
ca,0.007
cantik,0.007
cara,0.014
cari,0.036
celaka,0.007
cemil,0.036
centil,0.007
cerita,0.021
chanwo,0.007
chatime,0.007
cicil,0.007
cinta,0.007
coba,0.007
cokelat,0.007
cukup,0.007
cuma,0.021
cuy,0.014
daftar,0.014
dahi,0.014
dalam,0.007
dan,0.021
dari,0.007
data,0.007
deh,0.021
dekat,0.029
dengki,0.007
depan,0.014
di,0.036
dia,0.036
diam,0.007
didik,0.007
dijalankn,0.007
dilike,0.007
dimana,0.007
dingetin,0.007
dingin,0.014
diri,0.029
disini,0.007
ditangung,0.014
ditawarin,0.007
doang,0.007
dong,0.029
dosa,0.007
dosen,0.007
drama,0.014
dukung,0.014
dulu,0.014
elah,0.007
enak,0.029
eneg,0.007
engkau,0.007
erti,0.007
es,0.007
fandom,0.007
fans,0.007
fansnya,0.007
fcking,0.007
finansial,0.007
fokus,0.007
fresh,0.014
fungal,0.007
gadis,0.007
gais,0.014
gakpapa,0.007
gambar,0.007
game,0.007
ganti,0.007
gapai,0.007
gara,0.021
garis,0.007
gb,0.007
gendut,0.007
gensi,0.007
geram,0.007
gereja,0.007
gery,0.014
gigi,0.007
gila,0.007
gin,0.007
gituan,0.014
gonta,0.007
gosok,0.014
grup,0.007
guna,0.007
guru,0.007
habis,0.014
hadap,0.007
hai,0.007
hak,0.007
hal,0.007
haliday,0.007
hancur,0.007
hanya,0.014
harap,0.007
harga,0.014
hari,0.007
harus,0.014
hasil,0.007
hebat,0.007
hello,0.007
henti,0.014
hianat,0.007
hidup,0.029
hilang,0.007
hina,0.014
hindar,0.014
his,0.007
hits,0.007
hobi,0.007
hormat,0.007
hubung,0.007
hukum,0.007
humoris,0.021
hutang,0.014
ibu,0.029
ichi,0.007
idola,0.014
ii,0.007
iklanya,0.007
ikon,0.007
ikut,0.014
in,0.014
india,0.007
individu,0.007
indonesia,0.029
ingetin,0.014
ingin,0.057
ini,0.1
ipa,0.007
ips,0.007
iri,0.014
isi,0.007
itu,0.021
iya,0.021
jadi,0.207
jail,0.007
jajan,0.021
jalan,0.021
jalur,0.007
jam,0.007
jarak,0.007
jarang,0.021
jauh,0.021
jawab,0.036
jebak,0.007
jelas,0.014
jika,0.007
jiwa,0.014
jlas,0.007
jt,0.014
juang,0.007
juga,0.007
jujur,0.007
jutek,0.007
kadang,0.007
kalah,0.014
kalau,0.1
kali,0.021
kalian,0.014
kampus,0.007
kan,0.021
kanan,0.007
karena,0.043
karung,0.007
kasih,0.014
kata,0.021
kebahagian,0.029
kecil,0.014
kelak,0.007
kelas,0.007
kelerenya,0.007
keluar,0.007
keluarga,0.007
kena,0.007
kenal,0.007
kenapa,0.036
kendaran,0.007
keren,0.007
keringet,0.007
kerja,0.029
ketat,0.007
ketriger,0.007
khu,0.007
kicep,0.014
kira,0.021
kiri,0.007
kirim,0.007
klau,0.007
kloset,0.007
kmi,0.007
kondisi,0.007
korban,0.007
korea,0.021
kota,0.007
kpop,0.007
krim,0.007
kritik,0.007
krystal,0.007
kualitas,0.007
kue,0.007
kulit,0.007
kulkas,0.007
kuota,0.014
kurang,0.014
kurus,0.007
kwkwkwkwkwkwkwk,0.007
lagi,0.029
lah,0.043
laki,0.007
lama,0.007
lancar,0.007
langgar,0.007
langsung,0.014
layak,0.007
layan,0.014
layar,0.021
least,0.007
lebih,0.014
lelah,0.007
lena,0.014
lep,0.007
les,0.007
lihat,0.064
lingkung,0.014
linknya,0.007
log,0.007
lokal,0.014
lulus,0.007
lupa,0.007
maaf,0.007
maafin,0.007
mabar,0.021
macam,0.007
malah,0.05
mampu,0.007
mana,0.029
mandi,0.007
mantap,0.014
masa,0.007
masak,0.007
masalah,0.029
masih,0.014
masing,0.007
masker,0.007
mata,0.007
mati,0.021
mau,0.143
meanwhile,0.014
media,0.021
memang,0.029
menarique,0.007
mengunakan,0.014
menikah,0.007
merah,0.007
mereka,0.007
mie,0.007
milik,0.007
mimi,0.007
minder,0.021
mini,0.007
minta,0.021
minum,0.014
mitra,0.007
mlah,0.007
mobile,0.007
modal,0.007
mopy,0.007
moral,0.007
motivasi,0.014
mrt,0.014
mudah,0.021
muka,0.007
mulut,0.007
muncul,0.007
mungkin,0.014
murid,0.014
nah,0.007
nama,0.014
naruto,0.007
nasi,0.014
nasib,0.007
negara,0.021
negur,0.007
nerima,0.007
netizen,0.007
ngamuk,0.007
ngangur,0.007
ngantar,0.007
ngebayangin,0.007
ngebuly,0.014
ngefoto,0.007
ngehargai,0.007
ngelike,0.007
ngemute,0.007
ngeperoleh,0.007
ngepet,0.007
ngerendahin,0.007
ngerp,0.021
ngertin,0.007
ngeteh,0.007
ngetg,0.007
ngetik,0.007
ngumpulin,0.007
ngurangin,0.007
nikmat,0.007
nolak,0.007
nongkrong,0.007
nongol,0.007
nt,0.007
nya,0.014
nyata,0.029
nyimak,0.007
obesitas,0.007
obsesi,0.007
ogah,0.007
ojek,0.014
oke,0.014
omong,0.014
online,0.014
opa,0.014
opini,0.007
orang,0.193
ortuku,0.007
ortuny,0.007
otak,0.007
otomatis,0.007
pabji,0.007
pacar,0.007
pada,0.007
padahal,0.043
paham,0.029
pakai,0.057
pamer,0.007
panas,0.007
pancasila,0.007
pandang,0.007
parah,0.007
pasar,0.007
paslon,0.021
pasti,0.007
patok,0.007
pegal,0.007
pekerjaan,0.014
pelembab,0.007
pelit,0.007
penganguran,0.007
pengaruh,0.007
pengirim,0.029
penting,0.014
penuh,0.007
perang,0.007
perhati,0.007
periksa,0.021
perlu,0.014
permintan,0.007
pernah,0.007
peron,0.007
persegi,0.007
pertama,0.007
pesan,0.014
pijak,0.007
pikir,0.05
pilih,0.036
pindah,0.014
pinkhitam,0.007
pintar,0.007
pisah,0.007
pola,0.007
poni,0.007
pria,0.029
pribadi,0.014
punya,0.029
pusat,0.007
putar,0.007
putusin,0.007
racun,0.014
racunya,0.007
rakyat,0.007
ramah,0.007
rasa,0.014
rata,0.014
rawat,0.007
rebah,0.007
redmi,0.007
rek,0.007
rekam,0.007
rendah,0.014
rep,0.007
repotin,0.007
responsif,0.014
rindu,0.007
roda,0.007
rp,0.014
rugi,0.007
rumah,0.029
rusak,0.007
saat,0.029
sabar,0.007
sadar,0.014
saing,0.007
saja,0.129
sakura,0.007
salah,0.029
sama,0.114
sampah,0.007
sampai,0.007
samping,0.007
sangat,0.007
sangkin,0.014
santai,0.014
saraf,0.007
