term,weight
aa,0.009
acak,0.009
ada,0.061
adaptasi,0.009
aduh,0.035
agar,0.044
ah,0.035
ajar,0.018
akan,0.009
akb,0.009
akhir,0.114
akhlak,0.026
alias,0.009
amarahnya,0.009
an,0.018
anak,0.079
anda,0.14
angaran,0.009
angka,0.009
angkasa,0.009
angkat,0.009
angur,0.009
antero,0.009
apa,0.105
apalagi,0.009
apas,0.009
arip,0.018
aroma,0.009
arti,0.009
asik,0.018
asli,0.044
astaga,0.009
atas,0.026
atoga,0.009
ayah,0.026
ayam,0.009
ayo,0.035
bab,0.026
baca,0.009
bacok,0.009
bagaimana,0.035
bagi,0.009
bagus,0.018
bahan,0.009
bahas,0.009
baik,0.009
bain,0.009
bak,0.009
balas,0.009
bandung,0.026
bang,0.009
bantu,0.018
banyak,0.07
bar,0.009
bari,0.009
baru,0.035
baso,0.009
batal,0.009
bau,0.018
bawan,0.009
bayang,0.009
bayangin,0.009
bayi,0.018
begadang,0.018
begitu,0.079
beguru,0.009
beku,0.009
bela,0.009
belakang,0.009
beli,0.018
benar,0.018
benul,0.009
beranda,0.026
berapa,0.009
beri,0.009
bersih,0.009
besar,0.009
bias,0.009
biji,0.009
bilang,0.026
bimbing,0.009
bimbinganya,0.009
bisa,0.018
bisabisanya,0.009
bismaku,0.009
bodoh,0.009
bom,0.035
bosan,0.026
brisik,0.009
buat,0.158
buka,0.035
bukan,0.026
buru,0.009
caca,0.009
cahaya,0.009
cakep,0.009
cangkir,0.009
cara,0.018
cari,0.035
cause,0.009
celaka,0.009
cemil,0.018
cenat,0.009
cenut,0.009
cepat,0.035
cerita,0.035
cikupi,0.009
cinta,0.018
cipta,0.009
cium,0.009
coba,0.026
coban,0.009
cocok,0.009
comeon,0.009
congrats,0.009
corona,0.009
cukup,0.009
curi,0.009
cus,0.009
dada,0.018
dakjal,0.009
dalam,0.009
dalgona,0.009
dasar,0.009
datang,0.026
deh,0.009
delisa,0.009
dengar,0.018
dev,0.009
di,0.035
dia,0.009
diam,0.009
dikit,0.009
dimanatuh,0.009
dimsum,0.026
dingin,0.009
dipijitin,0.009
diri,0.009
dismenore,0.009
ditambahin,0.009
ditanyain,0.009
doa,0.009
dokter,0.009
dompet,0.009
dong,0.131
drama,0.044
dua,0.018
duduk,0.009
dudukanya,0.009
dukun,0.009
dulu,0.088
edisi,0.009
eh,0.035
elus,0.018
enak,0.026
episode,0.061
estetik,0.009
euy,0.009
film,0.009
fizi,0.009
fokus,0.009
foto,0.009
frame,0.009
gadis,0.018
gaikutan,0.009
gaklo,0.009
galak,0.009
gambar,0.018
ganemu,0.026
gangerti,0.009
gantung,0.009
ganx,0.009
gapaham,0.009
garpu,0.009
gasih,0.009
ge,0.009
gedung,0.009
gemas,0.009
gemoy,0.009
gendong,0.009
geus,0.018
gila,0.035
gin,0.026
gsk,0.009
gtgt,0.009
gudlak,0.009
guludug,0.009
gumuy,0.009
habis,0.018
hadiah,0.009
hafal,0.009
hai,0.053
hajat,0.009
haji,0.009
hamba,0.009
hamil,0.018
hancur,0.009
hangat,0.026
hanya,0.018
hapus,0.009
hari,0.079
harus,0.009
heboh,0.018
heu,0.009
heula,0.009
hidayat,0.009
hilih,0.009
hoream,0.009
hubung,0.018
hujan,0.009
humor,0.009
ibrahim,0.009
ibu,0.096
idih,0.009
ih,0.035
ijinkan,0.009
ikut,0.018
indihome,0.009
indonesia,0.009
ini,0.053
instagram,0.026
instastory,0.009
isi,0.044
itu,0.088
iw,0.009
iya,0.07
izin,0.009
jadi,0.14
jagad,0.009
jalan,0.009
jam,0.026
jari,0.009
jauh,0.018
jawab,0.009
jawat,0.009
jelas,0.035
jelasin,0.009
jendela,0.009
jiga,0.018
joki,0.009
juang,0.009
juga,0.018
justru,0.009
kaki,0.009
kalau,0.079
kali,0.035
kalian,0.026
kamana,0.009
kamar,0.009
kami,0.009
kampus,0.009
kamus,0.009
kan,0.009
kanan,0.009
kantongin,0.009
kantuk,0.009
kapasitanya,0.009
karena,0.009
kasar,0.009
kasi,0.018
kasianya,0.009
kasih,0.026
kata,0.026
kawin,0.009
kebagean,0.009
keburu,0.009
kecil,0.009
kegabutan,0.009
kehareudangan,0.009
kejang,0.018
kejar,0.009
kejut,0.009
kelak,0.009
kelas,0.009
keluar,0.018
keluarga,0.009
kemarin,0.035
kembali,0.009
kembang,0.009
kemudian,0.018
ken,0.009
kenapa,0.07
kepala,0.018
keras,0.009
kerja,0.088
kesal,0.044
ketika,0.009
ketinggalan,0.009
kieu,0.009
kita,0.009
kitu,0.009
klarifikasi,0.009
kocok,0.009
korea,0.026
kuat,0.009
kuda,0.009
kulit,0.035
kumpul,0.009
kurang,0.009
labrak,0.018
lagi,0.018
lagu,0.009
lah,0.053
laki,0.061
laleleus,0.009
lalu,0.009
lama,0.035
langsung,0.009
least,0.009
lebih,0.035
lelang,0.009
lemah,0.009
lewat,0.009
lihat,0.053
lilin,0.009
lipet,0.026
loh,0.035
loncat,0.009
lucu,0.035
luku,0.009
lulus,0.009
lupa,0.018
maaf,0.009
madrasah,0.009
mafkan,0.009
makan,0.009
makanya,0.018
makin,0.009
maksa,0.009
maksud,0.009
malam,0.053
malas,0.018
malu,0.026
mampir,0.009
mampu,0.009
mana,0.035
mantul,0.009
manual,0.009
manusia,0.009
manusya,0.009
marah,0.009
masa,0.018
masak,0.009
masakan,0.009
masdim,0.009
masuk,0.009
mata,0.009
mati,0.009
mau,0.061
mcd,0.009
media,0.009
medis,0.009
mekar,0.009
mekara,0.009
memang,0.061
menang,0.009
menit,0.009
menstruasi,0.009
mentari,0.009
merah,0.009
merem,0.009
mewek,0.018
mie,0.018
milkuat,0.009
mindahin,0.009
mingdep,0.009
mini,0.009
minta,0.018
minum,0.018
misi,0.009
mixer,0.009
mniez,0.009
mohon,0.018
momen,0.009
morgan,0.009
movienya,0.009
mual,0.009
mulai,0.018
mungkin,0.009
mutualisme,0.009
nah,0.018
naha,0.009
najis,0.009
nakutin,0.009
nama,0.009
napas,0.009
nea,0.018
needed,0.009
newbie,0.009
ngabuburit,0.018
ngantuk,0.009
ngawur,0.009
ngebaso,0.009
ngebuka,0.009
ngebut,0.009
ngedrakor,0.009
ngetwit,0.009
ngumpulin,0.009
ngurus,0.009
niat,0.026
nis,0.009
nisa,0.009
nkcthi,0.009
non,0.009
nontonin,0.009
nu,0.009
nurun,0.009
nya,0.026
nyata,0.053
nyusahin,0.009
obat,0.009
olahraga,0.009
oleh,0.009
omded,0.009
omong,0.018
ongkang,0.009
online,0.044
orang,0.061
orangtua,0.009
orgnya,0.009
otak,0.009
pacar,0.026
pacaranya,0.009
padahal,0.053
pajang,0.009
pakai,0.026
paling,0.026
pamit,0.009
pangilanya,0.009
pangsit,0.026
panik,0.009
panjang,0.009
pantas,0.009
pantau,0.018
parah,0.009
pasti,0.018
pecah,0.009
pecut,0.009
pegang,0.009
peh,0.009
pekerjaan,0.009
pelakor,0.035
pelik,0.009
penasaran,0.009
penuh,0.009
perawan,0.009
percaya,0.018
percuma,0.009
pergi,0.026
perkara,0.009
pernah,0.018
pertama,0.009
petir,0.009
pikir,0.009
pintar,0.009
podcast,0.009
podcastnya,0.009
poin,0.009
poltekes,0.009
pos,0.009
positif,0.009
pria,0.018
produktif,0.018
profil,0.009
psikopat,0.009
puasa,0.009
pusing,0.009
qonit,0.009
quotesnya,0.009
rahasia,0.009
ramadhan,0.009
rambut,0.009
rasa,0.035
raya,0.009
redam,0.009
rek,0.009
rekening,0.009
rem,0.018
replika,0.009
resep,0.009
ribut,0.009
rilis,0.018
rindu,0.035
rokok,0.018
rumah,0.026
rumit,0.009
saat,0.009
sabar,0.018
saja,0.079
sakit,0.018
salah,0.018
sama,0.105
sampai,0.044
samping,0.009
sangat,0.009
saranin,0.009
sarinah,0.009
satu,0.026
saudara,0.254
saya,0.42
sayang,0.018
se,0.009
sebentar,0.009
sedang,0.009
sederhana,0.009
sedih,0.009
sedikit,0.009
sehat,0.009
sekali,0.228
sekarang,0.009
sekolah,0.009
selalu,0.009
selamanya,0.009
selamat,0.009
selebtwit,0.009
selera,0.009
selesai,0.009
seliwer,0.018
seluruh,0.009
semangat,0.026
sembuh,0.009
semester,0.009
semi,0.009
seminggu,0.018
semoga,0.009
semua,0.044
sendiri,0.009
sendok,0.009
sengol,0.009
seperti,0.079
sepi,0.009
serasa,0.009
sering,0.009
seta,0.009
setor,0.009
shareloc,0.009
sholat,0.009
si,0.035
sial,0.044
siang,0.026
siap,0.044
siapa,0.009
sidang,0.018
sih,0.219
sikap,0.009
simpan,0.009
sini,0.018
sistur,0.009
sisy,0.009
smpku,0.009
soapku,0.009
softlens,0.009
sok,0.009
sombong,0.009
sore,0.009
sosial,0.009
spoiler,0.009
stiker,0.009
suasana,0.009
subank,0.009
subs,0.009
sudah,0.245
sugan,0.009
suka,0.009
suket,0.009
tadi,0.009
tahan,0.026
tahu,0.061
tahun,0.035
takuasa,0.009
tali,0.009
tamat,0.009
