term,weight
aa,0.005
abai,0.005
acak,0.014
acara,0.01
ada,0.014
adam,0.005
admin,0.024
aduh,0.005
afgan,0.005
agar,0.024
agatha,0.005
ah,0.005
ahli,0.005
air,0.01
ajak,0.01
ajar,0.019
aju,0.005
akan,0.014
akhir,0.01
akses,0.005
alami,0.005
alat,0.005
alergi,0.005
ambil,0.014
american,0.005
amin,0.024
ampela,0.005
ampun,0.019
an,0.024
anak,0.014
anda,0.038
andal,0.005
aneh,0.01
anggota,0.005
antara,0.005
antioksidan,0.005
antioksidanya,0.005
antum,0.005
apa,0.096
aplikasi,0.014
arah,0.005
arsitek,0.005
arti,0.024
asin,0.01
asosiasi,0.005
atas,0.005
atau,0.005
atur,0.005
aurat,0.005
awal,0.014
ayam,0.005
ayo,0.005
bab,0.014
baca,0.019
badan,0.005
bagaimana,0.019
bagus,0.024
bahas,0.005
bahaya,0.005
baik,0.038
baju,0.005
bak,0.005
balas,0.01
balik,0.005
bam,0.005
bandung,0.014
bang,0.005
bantu,0.005
banyak,0.072
bapak,0.005
barang,0.01
baru,0.053
batin,0.005
bawa,0.024
bawah,0.005
bayar,0.005
bazar,0.005
beban,0.005
bebas,0.005
becek,0.01
beda,0.029
begini,0.01
begitu,0.053
beli,0.048
belum,0.019
benang,0.005
benar,0.096
benci,0.014
bentar,0.005
bentuk,0.005
beranda,0.019
berapa,0.014
berat,0.005
berkat,0.005
bersih,0.005
besar,0.019
betul,0.01
bgmn,0.005
bi,0.024
biasa,0.048
bibi,0.01
bicara,0.005
bikhair,0.005
bilang,0.014
bingung,0.005
bintang,0.01
biologi,0.005
biru,0.005
bis,0.005
bisa,0.005
blender,0.005
blyton,0.005
boba,0.01
bogor,0.014
boikot,0.005
bola,0.005
bolos,0.019
bom,0.005
boros,0.005
buah,0.01
buat,0.096
bubur,0.053
buka,0.019
bukan,0.038
bukti,0.005
buku,0.014
bulan,0.034
bule,0.005
bulu,0.005
bunut,0.01
bunyi,0.005
buruk,0.005
butuh,0.014
bw,0.034
cabang,0.01
cakep,0.005
cakwe,0.005
camil,0.005
cantik,0.01
capai,0.005
cara,0.014
cari,0.024
cc,0.005
cela,0.005
cemil,0.058
cepat,0.024
chef,0.005
chi,0.014
choipan,0.005
christie,0.005
cianjur,0.005
cisauk,0.005
cita,0.005
ck,0.005
coba,0.014
colek,0.005
conelo,0.005
corona,0.024
coronanya,0.005
cuek,0.01
cuekin,0.005
cuma,0.034
dadak,0.005
daerah,0.005
dago,0.014
dai,0.005
dalam,0.034
damping,0.005
dan,0.019
dandan,0.005
dapat,0.034
darah,0.005
dari,0.091
daripada,0.014
darwin,0.005
dasar,0.005
datang,0.01
daur,0.005
deh,0.048
dekat,0.01
dengan,0.043
depan,0.01
dering,0.005
dewasa,0.005
di,0.019
dia,0.005
diabetes,0.005
dialasin,0.005
dicancel,0.005
dilakuin,0.005
dilema,0.01
dilewatin,0.005
diliburin,0.005
dimana,0.014
dingatkan,0.005
dingin,0.01
dino,0.005
dinosaurus,0.005
dipangil,0.005
diri,0.024
diributin,0.005
disebutin,0.005
disimpen,0.005
diskon,0.01
disumbangin,0.005
ditunjukin,0.005
ditutupin,0.005
diza,0.005
doang,0.01
dokter,0.072
dollars,0.005
domino,0.005
dong,0.062
dpr,0.005
drh,0.005
drmn,0.005
duet,0.005
dulu,0.11
duluan,0.005
dunia,0.005
ecie,0.005
edar,0.01
eh,0.024
ekspektasi,0.01
elah,0.005
ember,0.005
enak,0.034
engsel,0.005
enid,0.005
era,0.005
erni,0.005
es,0.005
eskrim,0.005
eskrimnya,0.005
etem,0.01
evolusi,0.014
favorit,0.014
feb,0.005
fisioterapi,0.005
fitri,0.005
fk,0.024
fokus,0.005
foto,0.024
furnitur,0.01
gabung,0.005
gadis,0.01
gambar,0.005
gang,0.005
gapa,0.005
gb,0.005
gelap,0.005
gelisah,0.005
gertak,0.005
gin,0.019
gizi,0.005
glico,0.01
glikemiknya,0.005
google,0.014
gr,0.019
grabike,0.005
grogi,0.005
gugup,0.005
habis,0.019
hadir,0.01
haduh,0.005
haha,0.038
hak,0.005
halus,0.005
hampir,0.014
hanya,0.019
harap,0.005
harga,0.024
hari,0.062
harry,0.01
harus,0.029
hati,0.01
havermut,0.005
heran,0.005
hidup,0.01
hil,0.024
hilang,0.01
hindar,0.005
hk,0.01
hormat,0.005
hrsnya,0.024
hukum,0.01
humoris,0.019
ibu,0.058
icu,0.005
ide,0.005
idul,0.005
ikan,0.01
iklan,0.005
iklanya,0.005
ikut,0.024
ilegal,0.005
ilfel,0.005
imigrasi,0.005
in,0.024
indah,0.01
indeks,0.005
indonesia,0.019
influencer,0.005
info,0.01
informasi,0.005
ingat,0.01
ingetnya,0.005
ingin,0.014
ini,0.034
insentif,0.005
inspirasi,0.005
internet,0.005
inti,0.005
intoleransi,0.005
ipk,0.005
ira,0.01
isolasi,0.005
itu,0.053
iya,0.139
izin,0.005
jadi,0.125
jaga,0.005
jah,0.005
jajan,0.01
jajananya,0.005
jakarta,0.038
jala,0.005
jalan,0.034
jam,0.01
jaman,0.019
jamin,0.005
jantan,0.005
jantung,0.005
jarak,0.01
jarang,0.005
jari,0.005
jatah,0.01
jauh,0.014
jawab,0.005
jawat,0.005
jdnya,0.005
jek,0.005
jelas,0.005
jelek,0.005
jendela,0.005
jenis,0.005
jenius,0.005
jer,0.014
jl,0.014
jokes,0.005
jual,0.029
juga,0.101
jujur,0.005
jurus,0.014
jutek,0.005
jwbnya,0.005
kabar,0.005
kabur,0.01
kacau,0.005
kafe,0.005
kagum,0.005
kai,0.014
kakek,0.005
kaki,0.005
kalau,0.226
kali,0.043
kalian,0.014
kampus,0.01
kan,0.048
kanan,0.01
kandung,0.005
kantor,0.005
kapan,0.005
kapok,0.01
karantina,0.005
karena,0.048
karir,0.005
kartu,0.005
kas,0.014
kasi,0.005
kasianya,0.005
kasih,0.01
kasir,0.005
kasus,0.005
kata,0.005
kbr,0.005
ke,0.005
keamananya,0.005
kecepatanya,0.005
kecil,0.029
keingetan,0.005
kejar,0.005
kejut,0.019
kelam,0.005
kelas,0.014
kelilip,0.005
kelola,0.005
keluar,0.01
keluarga,0.014
kemarin,0.014
kemas,0.005
kena,0.024
kenal,0.005
kenapa,0.062
