term,weight
abisin,0.015
absensi,0.008
abu,0.015
ada,0.03
admin,0.038
adminya,0.008
agar,0.015
ajar,0.015
akan,0.023
akhir,0.06
aktifin,0.008
akun,0.023
akyu,0.008
al,0.008
alhamdulilh,0.008
alhasil,0.008
alkohol,0.008
aman,0.008
ambil,0.008
ampun,0.023
an,0.015
anda,0.075
apa,0.188
apus,0.008
asal,0.008
astaga,0.008
atas,0.015
atay,0.008
atur,0.015
aurot,0.008
autentikasi,0.008
awowkwowkwok,0.008
axisnet,0.008
ayah,0.023
ayo,0.053
baca,0.015
bagaimana,0.03
bagi,0.023
bagus,0.008
bahagia,0.008
bahasa,0.008
bahkan,0.03
baik,0.053
balas,0.038
balik,0.008
bang,0.015
banking,0.008
banting,0.008
bantu,0.008
banya,0.008
banyak,0.045
bapak,0.015
bar,0.008
bareng,0.008
baru,0.008
batin,0.008
bawa,0.038
bawah,0.008
beban,0.015
beda,0.03
begini,0.008
begitu,0.075
bekas,0.015
belah,0.008
beli,0.015
beliau,0.008
benang,0.015
benar,0.03
beranda,0.008
berapa,0.008
berita,0.008
bertemu,0.008
besok,0.008
bias,0.008
bibir,0.008
bijak,0.008
biji,0.008
bilang,0.008
bimbing,0.008
bisa,0.105
blibli,0.008
blok,0.008
bluwekan,0.008
bocor,0.023
bodoh,0.015
boleh,0.008
bonyok,0.008
bosan,0.008
brkali,0.008
buat,0.068
buka,0.038
bulan,0.008
bundir,0.008
buru,0.008
buta,0.008
butuh,0.008
bvwkwkw,0.008
cahaya,0.015
calon,0.008
cantik,0.008
cara,0.008
cari,0.015
carike,0.008
cat,0.008
catat,0.023
celup,0.008
cemil,0.015
cepat,0.023
cepetin,0.008
cerdas,0.008
cerita,0.008
chanel,0.008
cilok,0.015
cinta,0.008
cnth,0.008
coba,0.038
cocok,0.008
cokpad,0.008
corona,0.008
cowonya,0.008
cuci,0.015
cukup,0.015
culke,0.008
culno,0.008
cuma,0.09
dalam,0.008
dan,0.015
dapat,0.008
data,0.008
datang,0.008
deloke,0.008
dengernya,0.008
depan,0.015
detail,0.008
di,0.023
dia,0.03
diajakin,0.015
diam,0.008
diangap,0.015
dibangunin,0.008
did,0.008
dijadin,0.008
dik,0.008
dikit,0.015
dingin,0.008
dipangang,0.008
diri,0.03
doang,0.023
dokter,0.008
dominasi,0.008
dong,0.023
dosa,0.015
dosen,0.008
drama,0.023
dulu,0.015
edit,0.008
eg,0.023
eh,0.008
em,0.008
ember,0.008
emosi,0.008
enak,0.023
engal,0.008
episode,0.008
estes,0.008
extracurricular,0.015
fokus,0.008
folowersnya,0.008
font,0.008
foto,0.015
gaberasa,0.008
gambar,0.008
game,0.015
gang,0.008
ganti,0.015
gantin,0.008
gara,0.008
gayung,0.008
gb,0.023
gendong,0.015
gerobak,0.008
gilir,0.008
gin,0.045
golekane,0.008
gonku,0.008
gratis,0.008
grup,0.008
guru,0.038
guyon,0.008
habis,0.045
haduh,0.008
hafal,0.008
hai,0.015
hairdryer,0.008
hak,0.008
hampers,0.008
handphone,0.008
hangat,0.008
hari,0.015
harus,0.015
hasil,0.015
hayo,0.015
hendak,0.008
henti,0.03
heran,0.008
hewan,0.008
hibur,0.008
hidup,0.015
hilang,0.008
hingga,0.008
his,0.008
hubung,0.008
hujan,0.015
humoris,0.008
hutang,0.008
huwo,0.008
ibadah,0.008
ibu,0.023
ikram,0.008
