term,weight
ada,0.04
adalah,0.013
aduh,0.013
agar,0.04
ah,0.02
ai,0.007
air,0.007
ajadeh,0.007
ajar,0.007
ajib,0.007
akad,0.007
akakaka,0.007
akan,0.007
akhir,0.04
ala,0.007
alam,0.007
alamat,0.007
aldian,0.007
amazed,0.007
amin,0.02
ampun,0.007
an,0.007
anak,0.04
anda,0.054
aneh,0.02
apa,0.208
aplikasi,0.007
april,0.007
argh,0.007
arti,0.007
asap,0.007
aselik,0.02
ashar,0.007
asin,0.007
asli,0.007
astaga,0.02
atas,0.02
awal,0.013
baca,0.054
bagai,0.007
bagaimana,0.033
bahan,0.013
baik,0.013
bain,0.007
bak,0.007
bakar,0.007
bakmi,0.007
balasan,0.007
balik,0.007
bandara,0.007
banding,0.013
bang,0.007
bangetbanget,0.007
bangets,0.007
bangun,0.013
bantu,0.007
banyak,0.107
bareng,0.013
baru,0.047
bas,0.007
bassist,0.007
bawa,0.007
bayik,0.007
beban,0.02
begini,0.013
begitu,0.06
bekap,0.007
bela,0.007
beli,0.013
belum,0.007
benar,0.02
benda,0.007
bengkak,0.007
beranda,0.007
beranta,0.013
berantemin,0.007
berat,0.007
berita,0.007
besok,0.007
betah,0.007
betsih,0.007
beudh,0.02
biasa,0.027
bibir,0.007
bicara,0.027
bidadari,0.007
bikian,0.007
bingung,0.033
bioskop,0.007
bis,0.007
bisa,0.02
bismillah,0.007
bodoh,0.02
bogor,0.007
bokingan,0.013
bosan,0.013
brengsek,0.007
bts,0.007
buah,0.007
buat,0.114
bubur,0.007
bude,0.007
budeg,0.007
buka,0.027
bukan,0.02
bulan,0.013
butuh,0.007
cahaya,0.047
campur,0.007
canda,0.013
cara,0.007
cari,0.007
cemil,0.054
cepat,0.007
cerita,0.013
cindy,0.007
coba,0.007
corona,0.007
cuma,0.02
curcol,0.007
currently,0.007
cust,0.007
dada,0.007
dadak,0.007
daging,0.02
daku,0.007
dalam,0.013
dan,0.013
darah,0.013
dari,0.013
darimana,0.007
dasar,0.007
dasbor,0.007
datar,0.007
daya,0.007
days,0.007
deh,0.033
dekat,0.013
dengan,0.007
dengar,0.02
depa,0.007
depan,0.007
dewy,0.007
di,0.047
diajarin,0.007
diapan,0.007
dibalikin,0.007
diganguin,0.007
dihadapin,0.007
dijulidin,0.007
dijutekin,0.007
