term,weight
acak,0.018
ada,0.018
adrenalin,0.009
aduh,0.018
agar,0.018
ah,0.046
ai,0.009
ain,0.009
ajak,0.009
ajar,0.018
akal,0.018
akan,0.018
akhir,0.009
akun,0.018
alarm,0.018
ambil,0.009
ambis,0.009
ambisnya,0.009
amin,0.018
ampuh,0.009
an,0.009
anak,0.018
anda,0.074
angkat,0.009
apa,0.092
aplikasi,0.009
apresiasi,0.009
arti,0.009
asli,0.009
astaga,0.018
atap,0.009
atas,0.018
awam,0.009
awat,0.009
ayo,0.037
babeh,0.009
baca,0.046
backgroundnya,0.009
badan,0.037
bagaimana,0.037
bagus,0.009
bahan,0.009
baik,0.074
baikla,0.009
bak,0.009
balesnya,0.009
balik,0.055
bandung,0.055
bangun,0.037
banyak,0.018
bapak,0.046
baperan,0.018
bara,0.009
barang,0.018
baru,0.074
batas,0.009
batik,0.009
batu,0.009
bawa,0.028
bawah,0.009
beda,0.009
bedan,0.009
begini,0.009
begitu,0.074
belah,0.009
beli,0.028
belum,0.028
benar,0.083
benci,0.009
berapa,0.018
berat,0.018
beri,0.009
berterimakasih,0.009
besar,0.009
besok,0.037
betah,0.018
beterai,0.018
betul,0.009
bias,0.009
biasa,0.037
bicara,0.009
bilang,0.018
bimbing,0.009
bingung,0.009
bioskop,0.018
bisa,0.046
blacklist,0.009
bocor,0.009
bodoh,0.009
bosan,0.018
buah,0.009
buat,0.092
buka,0.028
bukan,0.028
bukber,0.009
buku,0.009
bulan,0.028
caleuy,0.009
caleuynya,0.009
cara,0.009
cari,0.018
catat,0.009
cemil,0.009
cerita,0.037
cerpen,0.009
ciaelah,0.009
cicak,0.009
cimahi,0.009
coba,0.028
coban,0.009
couplean,0.009
creambath,0.009
cuma,0.018
curhat,0.009
da,0.009
dadak,0.009
dalam,0.009
dampak,0.009
dan,0.009
dapat,0.009
dasar,0.028
deadline,0.009
decide,0.009
deh,0.009
dekat,0.028
dengar,0.009
depan,0.009
di,0.046
diajakin,0.009
diangap,0.009
dibandingin,0.009
dibatasin,0.009
dibutuhin,0.009
dijudge,0.009
dikit,0.018
dilema,0.009
dimana,0.009
dimarahin,0.009
dingin,0.009
direkomendasin,0.009
diri,0.037
dis,0.009
disini,0.009
diskon,0.009
ditanyain,0.009
dokumenter,0.009
dong,0.074
dp,0.009
duduk,0.009
duga,0.009
duid,0.009
dulu,0.046
duluan,0.009
duplikat,0.009
durhaka,0.009
edan,0.009
eh,0.028
ekstrim,0.009
elah,0.009
enak,0.018
endgame,0.009
epistaksis,0.018
era,0.009
erti,0.009
euy,0.028
faras,0.009
friends,0.009
gadis,0.009
gaenak,0.009
game,0.018
ganti,0.009
gara,0.009
gasibu,0.009
gawe,0.028
gemas,0.009
gempor,0.009
gercep,0.009
gigi,0.009
gila,0.009
gin,0.018
giur,0.009
goa,0.064
gochujang,0.009
gojek,0.009
golput,0.009
greget,0.009
gugup,0.009
habis,0.064
hadeuh,0.009
hahahahahaha,0.009
hai,0.009
haid,0.018
hal,0.009
halte,0.009
hangus,0.009
hanya,0.046
harap,0.018
hari,0.055
hati,0.009
hehehehehehe,0.009
henti,0.018
hibernasi,0.009
hidup,0.018
hilang,0.018
hilih,0.009
humoris,0.028
ibu,0.074
ikut,0.046
ikuti,0.009
ilangin,0.009
in,0.009
indah,0.009
indonesia,0.009
info,0.009
ingat,0.018
ingin,0.028
ini,0.009
inisiatif,0.018
instagram,0.037
internet,0.018
isi,0.009
istighfar,0.009
itu,0.129
iya,0.064
ja,0.037
jadi,0.12
jadwal,0.009
jakarta,0.028
jaksel,0.009
jalan,0.046
jam,0.055
jamah,0.009
jarak,0.018
jasa,0.009
jatuh,0.009
jauh,0.037
jekardah,0.009
jemput,0.009
jendela,0.028
jomblo,0.009
juga,0.018
jurnal,0.009
kabar,0.009
kadang,0.018
kado,0.009
kalau,0.074
kali,0.018
kamar,0.018
kamera,0.009
kampret,0.009
kampus,0.009
kan,0.074
kandang,0.009
karena,0.018
kasih,0.009
kata,0.037
kayak,0.009
kecil,0.037
keliling,0.009
keluar,0.018
keluh,0.009
kemarin,0.037
kemudian,0.028
ken,0.083
kena,0.009
kenal,0.009
kenapa,0.055
kenyang,0.009
keras,0.009
kereta,0.009
keri,0.009
kerja,0.028
kesal,0.009
kesini,0.018
kesitu,0.009
ketemu,0.009
ketinggalan,0.009
ketriger,0.009
killers,0.009
kira,0.018
komplek,0.009
kompor,0.009
kopel,0.009
koper,0.009
kota,0.018
ktp,0.009
kualitas,0.009
kuat,0.009
kuliah,0.018
kunci,0.028
kursi,0.009
kurus,0.009
kyut,0.009
la,0.009
laboratorium,0.009
laen,0.009
lagi,0.028
lagu,0.009
lah,0.037
laki,0.018
laku,0.009
lalu,0.018
lama,0.018
lamar,0.018
langsung,0.009
laptop,0.009
lari,0.009
lebih,0.028
lelah,0.009
lelap,0.009
lewat,0.028
lewatin,0.009
lgs,0.009
lihat,0.037
lomie,0.009
lucu,0.009
lupa,0.018
maaf,0.009
macet,0.009
madu,0.009
main,0.018
maksud,0.009
malah,0.064
malam,0.009
malas,0.028
malesku,0.009
mall,0.009
malu,0.009
mana,0.055
mandi,0.018
mantan,0.018
manusia,0.018
maps,0.009
masa,0.018
masalah,0.018
masih,0.009
masjid,0.009
masuk,0.018
mata,0.009
mati,0.009
mau,0.166
mauk,0.009
memang,0.018
menbal,0.009
menikah,0.009
menit,0.037
menstruasi,0.009
merauke,0.009
mereka,0.009
mimpi,0.009
minder,0.009
minggu,0.009
mon,0.009
motor,0.018
muat,0.009
muda,0.009
mudah,0.018
mudik,0.009
mul,0.009
mulai,0.018
mumpung,0.009
nafsu,0.009
nah,0.018
naik,0.018
nanti,0.009
nanyain,0.018
nerapin,0.009
ngampus,0.009
ngantrinya,0.009
ngantuk,0.009
ngatur,0.009
ngayal,0.009
ngelewatin,0.018
ngeliatin,0.009
ngendarain,0.009
ngilangin,0.018
ngulang,0.009
ngunyah,0.009
nonaktif,0.009
nongkrong,0.009
normal,0.018
novel,0.009
nya,0.028
nyalahin,0.009
nyante,0.009
nyanyi,0.009
nyata,0.009
nyetir,0.009
nyumbang,0.009
oalah,0.009
oke,0.018
olahraga,0.018
omong,0.018
online,0.028
orang,0.11
pacar,0.009
packing,0.009
padahal,0.037
pagi,0.028
paham,0.009
pakai,0.018
pala,0.009
paling,0.018
panjang,0.028
pantai,0.009
papua,0.009
parfum,0.009
pasang,0.009
pasti,0.009
pawit,0.018
pee,0.009
pelarianya,0.009
penting,0.009
penuh,0.009
peras,0.009
periksa,0.009
pernah,0.009
pertama,0.009
peta,0.009
piara,0.009
pikir,0.046
pilih,0.009
pis,0.009
pltu,0.009
pokok,0.009
positif,0.018
potong,0.009
pria,0.009
produktif,0.009
profil,0.009
properly,0.009
puasa,0.028
pulang,0.018
puncak,0.009
punya,0.018
pusing,0.028
putus,0.018
rada,0.009
raja,0.009
rambut,0.009
rampok,0.009
ras,0.101
rasa,0.037
ratu,0.009
rebah,0.009
rekomendasi,0.009
renang,0.009
retainer,0.009
rif,0.009
rindu,0.009
riuh,0.009
ros,0.009
rudet,0.009
rumah,0.055
rusuh,0.009
saat,0.009
sabang,0.009
sabar,0.009
sabtu,0.009
saf,0.009
saja,0.156
sajadah,0.009
sama,0.074
sampah,0.009
sampai,0.046
samperin,0.009
santai,0.009
satpam,0.009
satu,0.009
saudara,0.018
saya,0.414
sayang,0.028
sebentar,0.018
sebuah,0.018
sedih,0.028
segar,0.018
segera,0.009
sehat,0.009
sejak,0.009
sekali,0.221
sekarang,0.037
sekolah,0.009
seksi,0.009
seliw,0.009
selow,0.009
semangat,0.018
seminar,0.009
sempat,0.009
semua,0.009
semwa,0.009
sen,0.009
senang,0.037
sendiri,0.037
senyum,0.009
senyumin,0.009
seperti,0.083
sepi,0.009
sering,0.028
sesal,0.018
setuju,0.009
sh,0.009
shop,0.028
si,0.028
siang,0.037
siap,0.009
siapa,0.009
sih,0.138
sim,0.009
simnya,0.009
sini,0.018
sisa,0.009
soal,0.009
sok,0.009
solat,0.009
solo,0.009
sore,0.009
sosial,0.018
sotau,0.009
stasiun,0.009
stiker,0.009
suara,0.009
suatu,0.018
subuh,0.018
sudah,0.257
suhu,0.009
suka,0.028
sumpah,0.018
sunda,0.018
suruh,0.009
susah,0.009
syap,0.009
syukur,0.018
tadi,0.009
tahan,0.009
tahu,0.037
takut,0.037
tambah,0.009
tambang,0.009
tampak,0.028
tapi,0.055
taro,0.009
tawa,0.313
teh,0.009
tekan,0.009
telat,0.009
telepon,0.018
teman,0.018
tempat,0.028
tenang,0.009
terimakasih,0.018
terlalu,0.018
terus,0.129
tetap,0.028
thinks,0.009
thx,0.018
tian,0.009
tiba,0.046
tidak,0.349
tidur,0.083
tinggal,0.018
toksik,0.009
tolak,0.009
tolong,0.009
tonton,0.028
total,0.009
tuhan,0.018
tumben,0.009
tunggu,0.009
turun,0.009
twitah,0.009
uang,0.009
ubah,0.009
ududududu,0.009
uji,0.009
ulang,0.009
undang,0.009
untuk,0.009
usah,0.009
usaha,0.009
utama,0.064
video,0.009
viral,0.009
visioner,0.009
wah,0.009
waktu,0.028
walaupun,0.009
wangi,0.028
waskito,0.009
watt,0.009
west,0.009
whatsapp,0.009
wifi,0.009
ya,0.037
yan,0.009
yang,0.239
yap,0.009
yaudahlah,0.009
youtube,0.009
yud,0.009
za,0.009
zona,0.018
