term,weight
able,0.008
acara,0.017
ada,0.066
adab,0.008
adalah,0.091
advisor,0.008
agar,0.066
agung,0.008
ai,0.033
aipon,0.008
air,0.008
ajak,0.017
ajar,0.025
akal,0.008
akan,0.033
akrab,0.008
akun,0.008
ala,0.017
alamat,0.008
alarm,0.017
alas,0.008
alba,0.008
alih,0.017
alir,0.008
allah,0.008
aman,0.017
ambal,0.008
america,0.008
amin,0.008
ampun,0.017
anak,0.058
anda,0.124
aneh,0.017
antre,0.025
apa,0.14
arus,0.008
aslik,0.008
astagyah,0.008
atas,0.017
atau,0.008
auk,0.025
aurat,0.008
awal,0.017
ayo,0.008
baca,0.033
backsound,0.008
badan,0.008
bagai,0.008
bagaimana,0.041
bagak,0.008
bagi,0.008
bahagia,0.008
bahas,0.008
bahasa,0.025
bahkan,0.033
baik,0.025
bajigur,0.008
bajing,0.008
baju,0.008
balas,0.025
bambang,0.008
bangjep,0.008
banting,0.008
bantingtv,0.008
banyak,0.066
bapak,0.033
barang,0.017
barat,0.008
baringan,0.008
baru,0.033
bawa,0.017
bawang,0.008
bayang,0.017
bayangin,0.008
bayar,0.017
bayi,0.017
beberes,0.017
becandanya,0.008
begini,0.008
begitu,0.017
bekal,0.008
belakang,0.017
belanja,0.008
beli,0.017
belikan,0.008
belum,0.017
benar,0.066
benci,0.025
benda,0.008
bendera,0.008
bengek,0.017
bengkel,0.008
bening,0.008
bentar,0.008
ber,0.008
beranda,0.008
beri,0.008
berisik,0.008
berita,0.017
bermesran,0.008
bersih,0.017
besok,0.017
betah,0.008
betahin,0.008
beyond,0.008
biasa,0.025
bib,0.008
bijak,0.008
bikos,0.008
bimbel,0.008
bisa,0.017
bobok,0.008
bodoh,0.041
bom,0.025
boom,0.008
bosan,0.008
boyband,0.008
brambang,0.008
brewok,0.033
brian,0.008
bsd,0.008
bts,0.008
buat,0.173
buaya,0.008
budi,0.008
buibu,0.008
buk,0.008
buka,0.025
bukan,0.017
bulan,0.017
bulu,0.008
buluk,0.008
bungkus,0.008
bunuh,0.008
bunyi,0.008
buriq,0.008
buru,0.017
butuh,0.008
cahaya,0.008
campa,0.008
cantik,0.025
cara,0.017
cardi,0.008
cares,0.008
cari,0.008
cemil,0.008
cepat,0.017
cerita,0.033
chef,0.008
chin,0.008
choliq,0.008
chubby,0.008
cinta,0.017
coba,0.008
cocok,0.017
comes,0.008
corona,0.025
coronanya,0.008
cubit,0.017
cuci,0.008
cukup,0.008
cuma,0.033
cumi,0.008
cuti,0.008
dagang,0.008
daku,0.017
dalam,0.008
dan,0.05
dandan,0.017
dapaneh,0.008
dapat,0.017
darah,0.008
dari,0.05
dasar,0.008
datang,0.008
days,0.008
debating,0.008
dedek,0.008
deh,0.008
dehidrasi,0.008
dekat,0.017
dengan,0.017
depresi,0.008
desa,0.017
dewi,0.008
di,0.008
dia,0.008
diam,0.017
diet,0.008
dijadwalin,0.008
dikit,0.008
dilanjutin,0.008
dimasakin,0.017
dimuterin,0.008
diri,0.017
doang,0.017
does,0.017
doesn,0.008
doing,0.008
dokar,0.008
dokter,0.033
dolo,0.008
dong,0.008
dosbing,0.008
dosen,0.025
downloadin,0.008
drama,0.008
dryer,0.008
dua,0.008
duduk,0.017
duganku,0.008
dulu,0.025
dumbas,0.008
dunia,0.008
dwardwardwar,0.008
dwihanda,0.008
eek,0.017
eh,0.017
eik,0.017
eke,0.008
eksekusi,0.008
ekspresi,0.008
elegan,0.008
else,0.008
enak,0.017
energen,0.008
english,0.008
enyak,0.008
eq,0.017
etc,0.008
every,0.008
eyebag,0.008
farasya,0.008
fave,0.008
files,0.008
film,0.025
fit,0.008
fiver,0.008
fluktuatif,0.008
foto,0.008
gadis,0.008
gagal,0.017
game,0.008
gamers,0.008
ganggu,0.008
geleng,0.017
gemas,0.017
gemesin,0.008
gemey,0.008
getting,0.008
gigi,0.008
gigit,0.008
gigitin,0.008
gila,0.017
gilir,0.008
gimane,0.008
gin,0.017
gobloku,0.008
goreng,0.017
gugup,0.017
guru,0.017
gusti,0.008
gyahahahahaha,0.008
habis,0.008
hahahahahahah,0.008
haid,0.008
hajat,0.008
halah,0.017
hamba,0.008
hanya,0.041
hari,0.116
has,0.008
hati,0.033
hawa,0.017
heist,0.008
heran,0.008
hidup,0.017
hilang,0.008
his,0.008
hitam,0.017
hobi,0.008
hodob,0.008
hooray,0.008
however,0.008
hubung,0.008
hujan,0.008
hujung,0.008
humoris,0.008
ibu,0.05
ide,0.008
identitas,0.008
idiot,0.017
idola,0.008
ih,0.008
iklan,0.025
iklanya,0.017
ikut,0.017
ilmu,0.008
in,0.025
indonesia,0.017
indonesian,0.008
indosiar,0.008
ing,0.008
ingat,0.017
ingin,0.033
ingris,0.008
ini,0.074
injak,0.008
instagram,0.041
instan,0.008
instrumen,0.008
irasional,0.008
isi,0.025
issues,0.008
istirahat,0.017
itu,0.173
itumah,0.008
iu,0.008
iya,0.05
jabat,0.017
jadi,0.173
jaga,0.017
jagat,0.008
jajang,0.008
jajangmyeon,0.008
jalan,0.025
jam,0.058
jametnya,0.008
janda,0.008
jarak,0.017
jarang,0.033
jari,0.008
jauh,0.025
jawab,0.008
jelas,0.008
jeletot,0.008
jem,0.008
jembek,0.017
jempol,0.008
jenis,0.008
jerawat,0.008
jesica,0.008
jika,0.008
jiwa,0.008
jodoh,0.008
joe,0.008
joget,0.008
jom,0.008
jombang,0.008
jong,0.008
jorok,0.008
juang,0.008
judul,0.008
juga,0.008
juna,0.008
jurus,0.017
kabur,0.008
kacang,0.008
kacau,0.008
kadang,0.025
kaet,0.008
kaisar,0.008
kaki,0.008
kalau,0.099
kali,0.025
kalimat,0.008
kampus,0.008
kan,0.017
kapan,0.008
kapten,0.008
karakter,0.008
karena,0.041
karya,0.008
kasih,0.008
kasus,0.008
kata,0.025
kating,0.008
kayak,0.033
kayang,0.017
kdrt,0.008
kebahagian,0.008
kecil,0.008
kedengeran,0.008
kelas,0.017
keliling,0.008
kelompok,0.008
keluar,0.025
keluarga,0.008
kembali,0.025
ken,0.05
kena,0.033
kenapa,0.058
kenyat,0.008
ker,0.008
kerajan,0.008
keranjingan,0.017
keras,0.008
keri,0.008
kerja,0.033
kerudung,0.008
ketagihanya,0.008
ketelen,0.008
ketemu,0.008
ketika,0.017
keyboard,0.008
killer,0.008
kim,0.008
kira,0.033
kita,0.008
klamutin,0.008
kn,0.008
komedo,0.017
kontak,0.008
konyol,0.008
korea,0.008
kotak,0.017
kpu,0.008
kreatif,0.008
kualat,0.008
kuat,0.008
kuatin,0.008
kucing,0.058
kujelasin,0.008
kuliah,0.008
kumplit,0.008
kupi,0.008
kurus,0.008
la,0.025
