term,weight
abisin,0.009
aca,0.009
ada,0.045
adoh,0.009
aduh,0.027
agar,0.027
ah,0.009
air,0.036
ajaib,0.009
ajar,0.009
akhir,0.064
alas,0.009
alis,0.009
aman,0.009
amerika,0.018
amnesia,0.009
ampun,0.027
an,0.018
anak,0.027
anda,0.073
aneh,0.009
anggota,0.009
angkat,0.009
apa,0.055
aplikasi,0.018
arek,0.009
arin,0.009
asal,0.009
ashar,0.009
asi,0.009
asik,0.009
asli,0.027
astaga,0.036
atulah,0.009
atur,0.018
awal,0.018
awm,0.009
ayo,0.027
bac,0.009
baca,0.027
badan,0.018
bagaimana,0.009
bagi,0.018
bagos,0.009
bagus,0.009
bahasa,0.009
baik,0.018
bajing,0.009
balas,0.036
balek,0.018
balik,0.009
bambang,0.009
bang,0.018
banjir,0.018
bantal,0.009
banyak,0.018
bapak,0.027
baru,0.109
batam,0.036
bawang,0.009
beberapa,0.018
beda,0.009
begadang,0.018
begini,0.027
begitu,0.055
beli,0.009
benar,0.018
bencana,0.009
bentar,0.009
beranda,0.009
beranta,0.009
berfikiran,0.009
beri,0.009
bersih,0.009
betol,0.009
betul,0.018
beuh,0.027
bias,0.009
biasa,0.036
biasain,0.009
bingung,0.009
bisa,0.055
bisabisanya,0.009
bl,0.009
blokir,0.018
bnr,0.009
bom,0.009
boru,0.009
bosan,0.009
botek,0.009
botol,0.018
bts,0.009
buah,0.009
buat,0.082
buatin,0.009
bucinin,0.009
budak,0.009
buerad,0.009
buka,0.009
bukan,0.009
bulan,0.009
buru,0.018
butuh,0.009
cangkir,0.009
cari,0.009
cemil,0.018
cepats,0.009
ceriaqu,0.009
cerita,0.027
championships,0.009
cimaw,0.009
cinta,0.027
cipaw,0.018
clone,0.009
coba,0.027
cocok,0.009
cpt,0.009
cukup,0.009
cuma,0.009
daftar,0.018
damai,0.009
dan,0.027
dapat,0.027
dari,0.018
darimana,0.009
debat,0.009
dedek,0.009
deh,0.009
deketnya,0.009
depan,0.009
deuh,0.009
di,0.009
dia,0.073
digiveawayin,0.009
dihide,0.009
dijadin,0.009
dikit,0.009
dikon,0.009
dikongkon,0.018
dikumpulin,0.009
dilema,0.009
dinasehatin,0.009
ding,0.009
dionlineno,0.009
diracunin,0.009
diri,0.009
dispoilerin,0.018
doktet,0.009
dong,0.036
dpat,0.009
drama,0.045
drmn,0.009
dua,0.009
dulinan,0.009
dulu,0.055
dunia,0.018
eda,0.018
edan,0.018
editor,0.009
eh,0.018
emosi,0.009
england,0.009
episode,0.018
fi,0.009
film,0.009
flu,0.009
gadue,0.009
gaenak,0.009
gamungkin,0.009
gangerti,0.009
ganti,0.018
gapake,0.009
gaperna,0.009
gara,0.009
garuk,0.009
gas,0.009
gasehat,0.009
gatal,0.009
gausa,0.009
gawl,0.009
gelut,0.009
gemoi,0.009
gemoiy,0.009
gerbang,0.009
gila,0.055
gils,0.009
gimmick,0.009
gin,0.055
ginting,0.009
gmz,0.009
gosip,0.009
guling,0.009
gulir,0.009
guna,0.018
gunting,0.009
habis,0.009
habisa,0.009
hadap,0.009
hadeu,0.009
hadiah,0.009
haha,0.009
hahahahahahaha,0.009
hai,0.036
halusinasi,0.027
hamdalah,0.009
hari,0.045
harus,0.027
hati,0.036
hihiy,0.009
hilang,0.009
hobi,0.009
homyped,0.009
hopesnya,0.009
horor,0.009
hujan,0.009
humoris,0.009
huni,0.009
hy,0.009
ibu,0.009
ibuke,0.009
ic,0.009
ide,0.009
ikut,0.027
iman,0.009
in,0.009
indah,0.009
indosiar,0.009
ingat,0.009
ingin,0.027
ini,0.1
insto,0.009
itaewon,0.018
itu,0.109
itulo,0.009
iya,0.082
jadi,0.055
jalan,0.045
jam,0.027
jaman,0.009
jantung,0.018
