term,weight
acak,0.007
acep,0.007
ad,0.014
ada,0.014
adalah,0.028
adha,0.007
adli,0.007
admin,0.007
agar,0.021
agk,0.007
ah,0.007
ahay,0.021
air,0.007
ajaib,0.021
ajak,0.035
akademik,0.007
akan,0.007
akang,0.007
akhir,0.028
ala,0.007
alumni,0.007
ambis,0.007
amin,0.007
ampas,0.007
an,0.035
anak,0.014
anda,0.238
anggota,0.007
antena,0.007
ap,0.007
apa,0.056
apacih,0.007
apatis,0.007
api,0.007
arema,0.014
arteta,0.007
arti,0.007
asrama,0.007
aston,0.007
atas,0.021
atau,0.007
awal,0.007
ayo,0.056
backsound,0.007
badminton,0.007
bagaimana,0.028
baik,0.014
baju,0.007
balik,0.035
bambu,0.007
bandara,0.007
bandung,0.049
bang,0.007
bangun,0.021
bantu,0.007
banyak,0.021
bapak,0.035
barakalahu,0.007
barat,0.007
baru,0.028
batas,0.007
batu,0.007
bawa,0.021
bayar,0.007
bayarin,0.007
beberes,0.007
beda,0.007
begini,0.014
bekas,0.063
belakang,0.007
beli,0.021
belum,0.014
benar,0.042
berapa,0.042
bercbang,0.007
berisik,0.007
berita,0.014
besok,0.098
biasa,0.014
bijak,0.007
bilang,0.028
bintang,0.007
biolog,0.021
bisr,0.007
bo,0.007
bola,0.014
bosan,0.007
botol,0.007
brarti,0.007
brg,0.007
broh,0.007
buat,0.035
buka,0.021
bukan,0.014
bulan,0.014
bung,0.007
buruk,0.007
busuk,0.014
butuh,0.014
cabang,0.007
calo,0.007
canda,0.007
cari,0.021
cazorla,0.007
cedera,0.014
cemil,0.007
cerah,0.007
ceramah,0.007
ces,0.035
cgk,0.007
cie,0.035
cisitu,0.021
ciyan,0.007
closing,0.007
co,0.07
coba,0.021
cobek,0.007
coblos,0.007
coconut,0.007
cuk,0.014
culik,0.007
cuma,0.014
curang,0.014
curcol,0.007
dadah,0.007
dalam,0.007
damar,0.014
dan,0.07
dang,0.007
dapat,0.014
dari,0.028
datang,0.028
days,0.007
deep,0.007
deh,0.007
demichelis,0.007
demichelisnya,0.007
dengan,0.021
depan,0.007
desa,0.014
dfb,0.007
di,0.07
diam,0.007
dibalikin,0.007
dibayarin,0.007
dicurangin,0.007
didiemin,0.007
diksi,0.007
dilema,0.014
dingin,0.014
diri,0.007
disiarin,0.021
dlam,0.007
dn,0.007
doang,0.021
dona,0.007
donanya,0.007
dong,0.035
dosen,0.021
doswal,0.007
dqi,0.007
dri,0.014
drumah,0.007
dua,0.007
dude,0.007
dukung,0.007
dulu,0.014
duluan,0.007
dunia,0.014
dut,0.007
edisi,0.007
eh,0.028
ekor,0.007
emas,0.007
empal,0.007
era,0.007
erg,0.007
et,0.007
everton,0.007
fahri,0.007
fc,0.007
fi,0.007
film,0.007
fisika,0.007
foto,0.014
ft,0.021
furqon,0.007
futsal,0.021
futsalan,0.007
gagal,0.014
games,0.007
ganesha,0.014
ganjar,0.007
gas,0.021
gawe,0.014
gaya,0.007
gaza,0.007
ge,0.007
gelas,0.014
gempa,0.007
geng,0.014
gera,0.007
giat,0.007
gibs,0.007
gilir,0.007
