term,weight
acak,0.007
acara,0.007
ada,0.014
adalah,0.02
adat,0.007
admin,0.034
aduh,0.007
agar,0.061
ah,0.02
air,0.007
ajak,0.007
ajar,0.02
aju,0.007
ajuin,0.007
akan,0.02
akhir,0.041
alami,0.007
alfabet,0.007
alhasil,0.007
alig,0.007
alokasi,0.007
ambil,0.027
amin,0.014
ampuh,0.007
an,0.007
anak,0.089
anarkis,0.007
anda,0.027
andal,0.007
anderlecht,0.007
anfield,0.007
angin,0.007
anlene,0.007
anmum,0.007
antan,0.007
antem,0.014
apa,0.089
api,0.007
apps,0.007
arah,0.007
arp,0.007
asal,0.014
asik,0.014
asli,0.014
atas,0.007
atau,0.014
atlet,0.007
atur,0.014
awak,0.014
awal,0.014
awas,0.007
baca,0.007
badan,0.007
badboy,0.007
bagai,0.034
bagaimana,0.034
bagus,0.027
bah,0.014
bahagia,0.014
bahan,0.007
bahas,0.034
bahaya,0.007
bahu,0.007
baik,0.055
bajing,0.007
balekan,0.007
balik,0.02
bandel,0.014
bang,0.048
bangke,0.007
bangkit,0.02
bangun,0.014
bantu,0.027
banyak,0.075
bapak,0.061
bara,0.007
bareng,0.027
baru,0.034
baterai,0.014
bawa,0.027
bawak,0.014
bazeng,0.007
bca,0.014
bebas,0.007
beda,0.014
begini,0.014
begitu,0.109
bela,0.007
belah,0.014
belakang,0.007
belanda,0.007
beli,0.034
belum,0.027
benar,0.041
bentuk,0.007
berapa,0.007
berat,0.007
besar,0.027
betah,0.007
betawi,0.007
betol,0.007
biasa,0.007
biaya,0.007
bibik,0.007
bicara,0.02
bilang,0.048
billiard,0.007
bingung,0.007
bini,0.007
bintang,0.007
bisa,0.041
bnagke,0.007
bni,0.014
bogor,0.034
bola,0.027
bom,0.02
bor,0.007
borobudurnya,0.007
brharap,0.007
bri,0.014
brti,0.007
bruh,0.007
bsrta,0.007
bth,0.007
buah,0.007
buat,0.102
bubar,0.007
bujug,0.014
buka,0.014
bukan,0.068
buku,0.007
bulan,0.007
busyet,0.007
butuh,0.02
cadanganya,0.007
cahaya,0.014
canales,0.007
canda,0.007
capai,0.014
captionya,0.007
cara,0.007
cari,0.027
catat,0.014
ce,0.007
cemil,0.041
centang,0.007
cepat,0.02
cerah,0.007
cerewet,0.007
cerita,0.027
