term,weight
acara,0.012
ada,0.074
adalah,0.074
adalh,0.012
adan,0.012
adil,0.025
aduh,0.012
agar,0.025
agustus,0.012
air,0.012
ajar,0.025
akan,0.049
akhir,0.025
aktivis,0.012
alam,0.012
alamat,0.012
alas,0.037
alat,0.099
alternatif,0.012
ambisi,0.012
amin,0.025
anak,0.037
anda,0.222
android,0.025
angka,0.025
aniaya,0.012
antar,0.025
antara,0.012
anyar,0.012
apa,0.123
apalagi,0.012
api,0.012
aplikasi,0.025
arah,0.049
arti,0.012
artis,0.037
asai,0.012
asal,0.025
asli,0.037
atas,0.025
athena,0.012
awas,0.012
ayah,0.012
ayo,0.049
baca,0.012
bagai,0.012
bagaimana,0.037
bagus,0.012
bahas,0.012
bahasa,0.025
baik,0.099
bajing,0.012
balik,0.012
ban,0.012
bangga,0.012
bangsa,0.012
bangun,0.012
banjir,0.025
banyak,0.086
barang,0.012
bareng,0.012
baru,0.012
baruch,0.012
baso,0.037
bata,0.025
bawa,0.012
bayar,0.012
bebas,0.012
beberapa,0.012
beda,0.012
begitu,0.037
bekas,0.025
bekerjasama,0.012
belah,0.012
belum,0.012
benah,0.012
benang,0.012
benar,0.099
beranda,0.012
berapa,0.012
berat,0.012
berbanga,0.012
berfikir,0.012
beri,0.049
berkas,0.025
besok,0.012
biasa,0.012
bidang,0.012
bidik,0.012
bintang,0.012
bisa,0.037
bismilahirohmanirohim,0.012
boleh,0.012
botol,0.025
bp,0.012
bpm,0.025
buah,0.012
buat,0.086
budak,0.012
buka,0.012
bukan,0.099
bunga,0.025
buruk,0.012
butuh,0.012
cabut,0.037
cangkir,0.012
cara,0.025
cari,0.025
cawkeun,0.012
cemas,0.012
cemil,0.037
cenderung,0.012
ceo,0.025
cicendo,0.012
cinta,0.062
cipta,0.012
cita,0.025
cive,0.012
co,0.012
coba,0.049
cocok,0.012
corona,0.012
cuma,0.012
curhat,0.025
daftar,0.025
dalam,0.012
damri,0.012
dan,0.025
dapat,0.025
darah,0.012
dasar,0.025
datang,0.012
deep,0.012
deh,0.025
dekat,0.025
dengan,0.062
dengar,0.012
depan,0.012
developer,0.012
di,0.037
dia,0.012
difolback,0.012
dingin,0.012
dinosaurus,0.012
dipatiukur,0.012
direspon,0.012
diri,0.025
disampaikanya,0.012
dong,0.062
ds,0.012
dulu,0.037
dunia,0.049
eh,0.037
einstein,0.012
email,0.037
empal,0.012
empar,0.012
empati,0.012
enak,0.012
esok,0.012
euy,0.037
farah,0.049
film,0.012
filosofi,0.012
ftip,0.025
fungsi,0.012
gaji,0.012
game,0.025
ge,0.012
gentong,0.012
gera,0.012
gerilya,0.012
gerobak,0.012
gid,0.037
gigi,0.049
gin,0.012
gmu,0.074
google,0.012
gratis,0.025
grup,0.012
guru,0.012
gus,0.049
hack,0.012
hadap,0.012
hadir,0.025
haha,0.049
hakiki,0.012
hal,0.012
hampa,0.012
hanya,0.012
hari,0.037
harus,0.012
hasil,0.012
hati,0.049
hebat,0.025
hello,0.012
henti,0.012
hesoyam,0.012
hidang,0.012
hidup,0.049
hiji,0.012
hilang,0.012
hingga,0.037
hobes,0.012
homini,0.012
homoseksual,0.012
htp,0.012
hubung,0.012
humoris,0.012
ibu,0.049
ideal,0.012
iga,0.012
ikhlas,0.012
ikut,0.037
ilmu,0.025
ilmuwan,0.025
imanuel,0.012
indah,0.025
indonesia,0.049
industri,0.012
ingat,0.025
ingris,0.012
ini,0.025
insinyur,0.012
instagram,0.012
isu,0.012
itu,0.062
iya,0.185
iyah,0.025
jadi,0.086
jadikeun,0.012
jadwal,0.012
jaga,0.012
jail,0.012
jala,0.012
jalan,0.049
jando,0.012
jang,0.049
jelajah,0.012
jelas,0.012
jera,0.012
jeung,0.012
jiga,0.012
jika,0.012
jobs,0.012
jokes,0.012
juang,0.025
juara,0.037
juga,0.012
jumat,0.012
justru,0.012
kabar,0.012
kaku,0.012
kalah,0.025
kalau,0.074
kalem,0.012
kalkulus,0.012
kan,0.037
kant,0.012
kapan,0.025
kapitalisme,0.012
karya,0.025
kasih,0.037
kata,0.037
kayak,0.012
kayu,0.012
kebahagian,0.025
kedewasan,0.012
kejut,0.049
kekuranganya,0.012
kelak,0.037
kelam,0.012
kelas,0.012
kelinci,0.012
keluarga,0.012
kemanusian,0.012
kembali,0.037
kembang,0.025
kemripik,0.012
ken,0.025
kenapa,0.049
keren,0.012
kereta,0.062
kerikil,0.012
kerja,0.025
ketemu,0.012
ketika,0.012
kir,0.012
kirim,0.049
kita,0.074
kodng,0.012
kompleks,0.012
kondisi,0.012
konsep,0.012
konten,0.012
kontribusi,0.012
korea,0.037
krisis,0.025
kualitas,0.012
kucing,0.025
kuliah,0.012
kunaon,0.037
kurang,0.025
lagu,0.012
lah,0.012
lail,0.012
lain,0.012
laki,0.062
laku,0.012
lalu,0.012
lama,0.025
lamar,0.012
lambat,0.012
lampau,0.012
lamun,0.012
lancar,0.025
lang,0.012
langit,0.012
