term,weight
ada,0.046
adi,0.009
admin,0.009
aduh,0.018
agar,0.009
air,0.009
ajar,0.009
akan,0.028
akhir,0.055
alat,0.028
aman,0.018
ambigu,0.009
amin,0.009
ampun,0.055
an,0.009
anak,0.018
analisis,0.009
anda,0.24
apa,0.074
api,0.009
aplikasi,0.009
apus,0.009
arti,0.028
atas,0.009
awas,0.009
awat,0.009
awkarin,0.009
ayah,0.009
ayam,0.009
ayo,0.009
baca,0.009
badak,0.009
badan,0.009
bagaimana,0.055
bagi,0.009
bagimana,0.009
bagus,0.009
bahas,0.009
baik,0.028
bajing,0.018
bakso,0.028
balik,0.009
bambu,0.018
bangun,0.046
banyak,0.028
baru,0.046
bauk,0.009
bayar,0.018
beberapa,0.009
beda,0.018
begitu,0.083
beli,0.018
belikan,0.009
benang,0.009
benar,0.092
beri,0.009
bermerk,0.009
bersih,0.009
beuh,0.037
biadab,0.009
biasa,0.009
bilang,0.018
biyan,0.009
bodoh,0.009
bonya,0.009
broh,0.009
buang,0.009
buat,0.074
bubuk,0.009
budak,0.009
buka,0.009
bukan,0.046
buku,0.009
bulan,0.009
buru,0.009
butuh,0.009
cabai,0.028
cagak,0.009
cahaya,0.028
campur,0.009
cantik,0.037
capslock,0.009
cara,0.009
cari,0.018
carin,0.009
celaka,0.009
cemil,0.018
cepat,0.018
ceplok,0.009
cicak,0.018
cinta,0.009
cirengnya,0.009
ciwiknya,0.009
coba,0.018
cocok,0.018
comel,0.009
cuci,0.009
cuma,0.018
curhat,0.009
curhatnya,0.009
dapat,0.009
darah,0.009
dari,0.009
deh,0.018
dek,0.009
dekat,0.009
diare,0.046
diket,0.009
dimandin,0.009
dinding,0.009
dinotif,0.009
direfund,0.009
diri,0.028
diskon,0.009
doang,0.028
dokter,0.009
dong,0.065
dp,0.009
drama,0.009
duduk,0.009
dukung,0.009
dulu,0.009
egois,0.009
eh,0.028
ejek,0.009
ekspresi,0.009
enak,0.018
endak,0.009
es,0.018
fansnya,0.018
fokus,0.018
foto,0.028
gadis,0.009
gagak,0.009
galeri,0.009
gambar,0.009
game,0.018
ganti,0.009
gara,0.028
garis,0.009
gatal,0.009
gedek,0.009
gemas,0.018
gemez,0.018
geser,0.009
ghibah,0.009
gia,0.009
gin,0.018
gula,0.037
gurih,0.009
habis,0.046
hadiah,0.009
haha,0.065
hai,0.065
hamil,0.009
hancur,0.018
harap,0.009
harga,0.009
hari,0.009
hati,0.028
hijau,0.009
hilang,0.009
holywings,0.009
hombreng,0.009
hormat,0.009
horor,0.018
hubungan,0.009
hwakakaka,0.009
ibu,0.037
iku,0.009
iman,0.009
imut,0.009
indihome,0.018
info,0.018
ini,0.129
instan,0.009
isi,0.028
isis,0.009
itu,0.046
iya,0.12
jadi,0.074
jarak,0.009
jauh,0.009
jawa,0.009
jawab,0.009
jilat,0.009
jo,0.046
jodoh,0.009
juang,0.009
juga,0.009
kabar,0.009
kakik,0.009
kalah,0.009
kalau,0.111
kali,0.055
kalian,0.009
kalori,0.009
kam,0.009
kamar,0.009
kan,0.074
kanan,0.009
kandung,0.009
kapten,0.009
karena,0.009
kasi,0.009
kayak,0.018
kecewa,0.018
kegiles,0.009
kegilesnya,0.009
kekeyi,0.009
ken,0.018
kenapa,0.074
kental,0.009
kepreset,0.009
keras,0.009
keren,0.018
kereta,0.009
kerih,0.009
kerja,0.028
ketik,0.028
ketimbang,0.009
kfc,0.009
kim,0.009
kira,0.018
komentar,0.018
konteks,0.009
krim,0.009
kristal,0.009
kuah,0.009
kuapus,0.009
kuliah,0.018
kulit,0.009
lah,0.074
lahir,0.018
laki,0.037
laku,0.009
lama,0.009
lampu,0.009
langsung,0.009
lanjut,0.009
lanjutin,0.009
layang,0.009
lebih,0.074
lelah,0.009
lemas,0.018
lempar,0.009
lengkap,0.018
lengkung,0.018
libra,0.009
lihat,0.037
lingkar,0.028
linknya,0.009
loh,0.074
lonyot,0.009
lucu,0.009
ludah,0.018
luncur,0.009
maaf,0.009
macam,0.009
maem,0.037
mager,0.009
mahir,0.028
main,0.018
mainin,0.009
makan,0.009
makaroni,0.009
makas,0.028
makin,0.028
maksud,0.009
maksutnya,0.018
malah,0.018
malam,0.018
malang,0.018
mall,0.009
malu,0.037
mamamnya,0.009
mamel,0.009
mana,0.009
mangap,0.009
mangkanya,0.009
mantap,0.009
mao,0.009
masak,0.018
masalah,0.028
mata,0.009
mati,0.009
matos,0.009
mau,0.055
memang,0.009
menang,0.009
menit,0.028
merk,0.009
mes,0.009
mewah,0.009
mie,0.028
milik,0.009
mimisan,0.009
mimpi,0.009
minder,0.009
minimal,0.009
minta,0.009
miring,0.009
mirip,0.009
mobil,0.046
mocik,0.009
mod,0.009
model,0.009
mog,0.009
mon,0.009
montok,0.009
mot,0.148
motik,0.018
muda,0.009
mudah,0.018
muka,0.009
mules,0.018
mulut,0.009
muncul,0.018
mungkin,0.018
nah,0.009
naik,0.009
nampol,0.009
nang,0.037
nasi,0.009
ndir,0.009
neraka,0.009
ngana,0.009
ngantuk,0.009
ngecek,0.009
ngehe,0.009
ngemal,0.018
ngeplay,0.009
ngimpi,0.009
ngobrol,0.009
ninuninu,0.009
nolak,0.009
nongol,0.009
nope,0.009
notif,0.018
nyakitinya,0.009
nyala,0.009
nyata,0.037
nyawa,0.009
oalah,0.009
obrol,0.009
oke,0.018
olahraga,0.009
omong,0.009
orang,0.009
ovo,0.009
pabrik,0.009
pacar,0.018
pacare,0.009
padahal,0.009
padang,0.009
pagi,0.009
paham,0.028
pakai,0.018
paling,0.028
panggil,0.009
pangsit,0.009
panjang,0.009
parah,0.009
parsel,0.009
pasang,0.046
pedas,0.018
pencernan,0.009
penting,0.018
penuh,0.009
perbarui,0.009
percaya,0.009
periksa,0.009
pernah,0.065
pes,0.009
petis,0.009
peyot,0.009
pikir,0.018
pilih,0.009
pingsan,0.009
pkl,0.009
pokok,0.009
pol,0.009
polo,0.009
pria,0.037
produk,0.009
ps,0.009
punya,0.018
putih,0.009
qta,0.018
rajin,0.009
ramai,0.009
rambut,0.009
ramping,0.009
rasa,0.037
rawat,0.009
refleknya,0.009
rem,0.028
renyah,0.009
resep,0.009
ribu,0.018
rindu,0.009
rspi,0.009
rumah,0.037
sabar,0.018
sadar,0.009
saja,0.101
salah,0.037
sama,0.028
sampai,0.065
santai,0.009
saosnya,0.009
sapa,0.009
sapi,0.018
sarang,0.009
satu,0.009
saudara,0.092
sawah,0.009
saya,0.433
sayang,0.028
sebar,0.009
sebut,0.009
secreto,0.009
sederhana,0.009
sedih,0.009
segar,0.009
sehat,0.009
sekali,0.157
seks,0.009
seksi,0.018
selalu,0.028
semangat,0.009
sembuh,0.009
semua,0.037
senang,0.009
senar,0.009
sendiri,0.028
senyum,0.018
sepeda,0.009
seperti,0.092
sering,0.037
seru,0.018
sesimple,0.009
sesuai,0.009
si,0.009
siang,0.037
siapa,0.018
sibuk,0.009
sih,0.074
silit,0.009
sini,0.009
slengekan,0.009
soal,0.018
sop,0.009
sopanya,0.009
sore,0.009
sosis,0.009
standart,0.009
suami,0.009
sudah,0.148
suka,0.055
sumbang,0.009
sumpah,0.009
surup,0.009
syok,0.009
syukur,0.009
tadi,0.018
tahu,0.055
tahun,0.018
tambahin,0.009
tampar,0.009
tampil,0.009
tang,0.009
tangan,0.009
tara,0.009
tauk,0.009
tawa,0.148
tebu,0.009
tel,0.009
telapak,0.009
telur,0.009
teman,0.055
tempat,0.009
tentang,0.009
terdetect,0.009
terus,0.055
tetangga,0.009
tiap,0.028
tidak,0.544
tidur,0.018
timur,0.009
tinggal,0.009
tinggi,0.009
tingkah,0.018
tingkat,0.018
tipe,0.009
toko,0.018
tolak,0.009
tonton,0.009
tubuh,0.009
tugas,0.055
tulis,0.018
tulisan,0.009
tunjuk,0.009
tut,0.028
tweet,0.018
twitnya,0.009
tytydnya,0.009
uang,0.009
ugh,0.009
ujian,0.009
umur,0.009
unduh,0.009
untuk,0.009
usa,0.009
utama,0.009
valid,0.009
video,0.018
wah,0.018
wajah,0.009
wakeh,0.009
wanita,0.018
warna,0.009
wibawa,0.009
wifi,0.028
wih,0.018
wkek,0.009
wkwkwkwkwkwkwkwk,0.009
woh,0.009
wu,0.009
xixi,0.018
ya,0.018
yaelah,0.009
yah,0.009
yang,0.231
youtube,0.009
yuhu,0.009
