term,weight
abai,0.007
acara,0.007
ada,0.065
adha,0.007
agar,0.007
aidin,0.007
ajak,0.014
akhir,0.029
akrab,0.007
alhamdulilahnya,0.007
alih,0.014
alur,0.007
aman,0.014
ambil,0.036
amin,0.029
ampun,0.007
an,0.043
anak,0.007
anda,0.1
andalanque,0.007
angin,0.007
angot,0.007
aniv,0.007
antara,0.007
anterin,0.007
apa,0.072
arti,0.007
as,0.007
asli,0.022
atas,0.029
awal,0.007
ayah,0.029
ayo,0.029
ba,0.007
baca,0.014
badan,0.014
bagaimana,0.036
bagus,0.036
bahan,0.007
bahkan,0.007
baik,0.036
bailk,0.007
bajo,0.007
balik,0.043
bandara,0.007
bandel,0.007
bangun,0.007
bantu,0.007
banyak,0.036
bapak,0.007
barang,0.036
bareng,0.022
baru,0.036
batin,0.007
bawa,0.022
bawah,0.007
bayang,0.022
bayar,0.014
beberapa,0.014
beda,0.014
bedain,0.007
begini,0.029
begitu,0.029
bekel,0.007
bela,0.007
belakang,0.007
beli,0.036
belum,0.036
benar,0.05
bensin,0.007
berani,0.007
berapa,0.014
berita,0.007
besar,0.014
besok,0.022
betah,0.007
bias,0.007
biasa,0.007
biaya,0.007
bik,0.007
bilang,0.022
bingung,0.007
bisa,0.022
bisnis,0.007
blok,0.007
buat,0.129
bude,0.007
budi,0.007
buka,0.036
bukan,0.029
bulan,0.036
bungsu,0.007
butuh,0.022
ca,0.007
cari,0.007
cat,0.007
ce,0.014
cemil,0.007
cepat,0.029
cerita,0.036
cicil,0.007
cin,0.014
cipta,0.007
clutchnya,0.014
coba,0.029
cukup,0.007
cuma,0.057
cuti,0.007
daftar,0.014
dahayu,0.014
dan,0.05
dapat,0.036
data,0.014
datengin,0.007
debaynya,0.007
degdegan,0.007
deh,0.029
dengan,0.014
depan,0.022
desember,0.007
detail,0.022
di,0.065
diadjust,0.014
diare,0.007
dihide,0.007
dikerjain,0.007
diketawain,0.007
dikit,0.007
dilema,0.007
dipasangin,0.007
diri,0.022
ditambahin,0.007
djiwa,0.007
doa,0.014
doang,0.043
dong,0.014
doyanya,0.007
dukung,0.007
dulu,0.043
duluan,0.007
dunia,0.007
ece,0.007
edamnya,0.007
egois,0.007
eh,0.036
ehe,0.007
ekonomi,0.007
el,0.007
ember,0.007
enak,0.036
eno,0.022
epicentrum,0.007
erwin,0.007
eskrim,0.007
etl,0.007
fase,0.007
feb,0.007
film,0.007
foto,0.022
friends,0.007
gadis,0.007
gaji,0.007
gakmau,0.007
gakpapa,0.029
gaktau,0.029
gaktu,0.007
ganti,0.014
gara,0.007
gas,0.007
gaya,0.007
geblek,0.007
gemesh,0.007
gemez,0.007
gempa,0.007
gengs,0.007
giat,0.007
gila,0.029
gilir,0.007
gilz,0.014
gin,0.029
ginting,0.014
goa,0.179
gocar,0.007
gojek,0.007
habis,0.043
hadiah,0.007
hadir,0.007
haha,0.014
hai,0.022
hampir,0.022
hanya,0.007
harap,0.014
harga,0.007
hari,0.086
haru,0.007
hasil,0.007
hati,0.014
henti,0.014
heran,0.007
hft,0.014
hitam,0.014
hotel,0.007
hujan,0.007
ibu,0.043
idul,0.007
ikat,0.029
ikut,0.014
ikuti,0.007
in,0.043
info,0.007
informatica,0.007
ini,0.05
insya,0.007
isnt,0.007
itikaf,0.014
itu,0.072
itumah,0.007
iya,0.1
iyak,0.014
iyasih,0.007
iza,0.007
izin,0.029
jadi,0.172
jajan,0.007
jakarta,0.007
jalan,0.108
jam,0.172
jamah,0.007
jaman,0.007
jarak,0.014
jauh,0.029
jobdescnya,0.007
jtan,0.007
jual,0.014
juga,0.029
jumat,0.014
justru,0.007
kabah,0.007
kabar,0.007
kaca,0.014
kacau,0.007
kadang,0.029
kalah,0.007
kalau,0.129
kali,0.036
kamgen,0.007
kan,0.043
kantong,0.029
kantor,0.115
kapan,0.036
karena,0.05
kartu,0.007
karyawanya,0.007
kasih,0.007
