term,weight
ada,0.062
aduh,0.021
agar,0.01
akak,0.021
akhir,0.062
alun,0.01
aman,0.01
ampun,0.01
anak,0.021
anda,0.083
ang,0.062
angin,0.01
antaro,0.01
apa,0.093
apak,0.01
apdet,0.01
apo,0.01
arok,0.01
astaga,0.01
ateh,0.01
babat,0.021
badai,0.01
badanyuik,0.01
bagaimana,0.031
bagak,0.01
bagi,0.01
bahasa,0.021
bahkan,0.01
balik,0.041
bamg,0.01
bana,0.021
bang,0.041
banyak,0.031
bapak,0.031
baru,0.021
batanang,0.01
beberapa,0.01
beda,0.021
begitu,0.01
beko,0.031
bel,0.01
beli,0.01
benar,0.01
benci,0.01
berang,0.01
berapa,0.01
berat,0.01
bermanfat,0.01
bersih,0.01
besar,0.01
besok,0.021
bhaiq,0.01
biasa,0.021
bibia,0.01
bicara,0.01
bisa,0.052
bla,0.031
bohong,0.01
boleh,0.01
bom,0.01
buat,0.031
buek,0.01
buka,0.031
buku,0.01
bule,0.01
bungkus,0.01
bunyi,0.01
cahaya,0.021
cakap,0.01
caliak,0.01
cari,0.021
cemil,0.031
cepat,0.01
cik,0.031
cimeh,0.01
cindua,0.01
coba,0.01
coklat,0.01
cubo,0.01
cuma,0.01
daftar,0.01
dahla,0.01
dan,0.031
dari,0.01
daya,0.01
dek,0.021
dekat,0.01
depan,0.01
di,0.01
dia,0.01
diam,0.01
diapain,0.01
dibubarin,0.01
diri,0.041
disiko,0.01
diskrinsut,0.01
doang,0.01
dokter,0.021
dulu,0.031
dunia,0.01
durhako,0.01
ec,0.01
ekspresi,0.01
emgnya,0.01
emosi,0.01
enak,0.031
episode,0.083
esmosi,0.01
favorit,0.021
foto,0.01
gaduah,0.01
galak,0.01
gantung,0.01
gastritis,0.01
gataula,0.01
gausa,0.01
gengs,0.021
gilir,0.01
gin,0.031
gula,0.01
habis,0.062
hahahahababababababa,0.01
hahahahahah,0.01
hahahahahaha,0.073
hahahahahahah,0.01
hahahahahahaha,0.021
hahahahahahahabahahahaha,0.01
hahahahahahahaha,0.01
hahahahahahahahaba,0.01
hahahahahahahahaha,0.01
hahahahahahahahahaha,0.01
hahahahahahahahahahahahahahahahahahaha,0.01
hahahahahahahahahahahahahahahahahahahahahahahah,0.01
hai,0.052
halal,0.01
halusinasi,0.01
hari,0.093
hastag,0.01
hebat,0.01
hepi,0.01
hiduang,0.01
hilang,0.01
houten,0.01
hyuk,0.01
hyun,0.01
ibu,0.01
iko,0.021
ilearn,0.01
ilmiah,0.021
impi,0.01
incek,0.01
ingat,0.01
ingris,0.021
ini,0.021
instan,0.01
isi,0.01
itu,0.166
iya,0.135
iz,0.01
jadi,0.062
jadwal,0.021
jaga,0.01
jalan,0.01
jauh,0.01
je,0.01
jeder,0.031
jig,0.01
jijik,0.01
jiwa,0.021
jntg,0.031
jo,0.041
jokes,0.01
juga,0.031
kacamata,0.01
kalah,0.01
kalau,0.062
kali,0.021
kan,0.01
kasih,0.01
kecil,0.01
keluar,0.01
kemarin,0.021
kenapa,0.062
keren,0.01
kerja,0.041
kini,0.01
kira,0.01
kirim,0.01
kisah,0.01
kn,0.01
komentar,0.01
konflik,0.01
konten,0.01
kopi,0.01
krutuk,0.021
kuciang,0.021
kumpul,0.01
la,0.021
lagi,0.021
lagu,0.01
lah,0.052
lain,0.083
laki,0.218
lalok,0.01
lalu,0.01
lampok,0.01
lampu,0.01
lancar,0.01
lanjutin,0.01
lawak,0.01
lebih,0.01
lebihin,0.01
leher,0.01
lelah,0.031
lengkap,0.01
libur,0.021
lihat,0.031
lilah,0.01
lingkar,0.021
lowkey,0.01
lucu,0.031
lulus,0.01
lupa,0.01
luvyu,0.01
maaf,0.01
macam,0.01
mahasiswa,0.01
main,0.01
makin,0.021
malah,0.01
malam,0.041
mamaik,0.01
mambuek,0.01
mana,0.01
manambah,0.01
mandi,0.01
manga,0.01
manis,0.021
mantul,0.01
marah,0.031
mas,0.021
masa,0.01
masak,0.031
masker,0.01
masuk,0.021
mata,0.01
mati,0.01
mato,0.021
mau,0.073
mck,0.01
memang,0.021
membangakan,0.01
menangys,0.01
mendengarkan,0.01
meni,0.01
mie,0.041
minggu,0.01
minum,0.01
miras,0.01
mirip,0.01
muda,0.01
muka,0.01
mulai,0.01
muncul,0.01
muntah,0.01
muram,0.01
mw,0.01
myihihi,0.01
nan,0.021
nang,0.01
nanyain,0.01
narkoba,0.01
nasar,0.01
nde,0.01
nene,0.01
nenek,0.052
neraka,0.01
netizen,0.01
ngaku,0.01
ngamuk,0.021
ngekis,0.021
nio,0.01
nis,0.01
ntah,0.01
nte,0.01
ntik,0.01
nya,0.01
nyambung,0.01
nyata,0.01
nyo,0.041
nyonya,0.01
omong,0.021
orang,0.021
pacar,0.021
padahal,0.031
pagi,0.01
paham,0.01
pakai,0.031
paling,0.01
palo,0.01
paman,0.052
panggil,0.01
pasang,0.01
patang,0.01
pena,0.01
penasaran,0.021
perlu,0.01
pernah,0.01
pik,0.01
polymigel,0.01
postinganya,0.01
pp,0.01
pria,0.021
prikitiw,0.01
psikopat,0.021
putar,0.01
putri,0.01
rajin,0.01
rambut,0.021
rawit,0.01
remaja,0.01
rengek,0.01
resep,0.01
rewel,0.01
ribu,0.01
ribut,0.041
rim,0.01
riska,0.01
rumah,0.021
rumit,0.01
saat,0.01
saba,0.01
sadap,0.01
sadiah,0.01
saja,0.135
sak,0.01
sakal,0.01
sakampuang,0.01
saking,0.01
salah,0.01
sama,0.083
sambok,0.01
samlekum,0.021
sampai,0.031
satpol,0.01
satu,0.01
sauak,0.01
saudara,0.487
saya,0.197
sayang,0.01
se,0.041
sebuah,0.01
sedang,0.01
sedih,0.01
sejak,0.021
sekali,0.135
sekarang,0.01
selamat,0.01
selesai,0.01
selese,0.01
semangat,0.01
semoga,0.01
semua,0.01
sendi,0.01
sendiri,0.021
seo,0.01
seperti,0.052
seret,0.021
seronyo,0.01
server,0.021
setan,0.01
sial,0.041
siapa,0.01
sibuk,0.01
sih,0.031
siklus,0.01
simpan,0.01
skik,0.01
skipal,0.021
sponsbob,0.01
stase,0.021
sticker,0.01
sudah,0.073
sujud,0.01
sumbarang,0.01
sunwo,0.021
susah,0.021
suzon,0.01
syukur,0.021
tahan,0.031
tahu,0.041
tahun,0.021
takut,0.021
tamat,0.01
tambah,0.01
tanda,0.01
tangan,0.01
tanjung,0.021
tanya,0.021
tapi,0.01
tapuak,0.01
taw,0.01
tawa,0.456
teh,0.01
telapak,0.01
telepon,0.01
tell,0.01
tempat,0.031
temu,0.01
tenang,0.01
ter,0.01
tercyduc,0.01
terima,0.01
terimakasih,0.01
terus,0.041
tetap,0.01
tiap,0.041
tiati,0.01
tiba,0.021
tidak,0.394
tidur,0.01
tikus,0.01
tim,0.01
tiok,0.01
tonton,0.052
topan,0.01
tren,0.01
tres,0.01
tugas,0.031
tuhan,0.031
tulah,0.01
tunggu,0.031
twater,0.01
tweet,0.01
twitter,0.021
