term,weight
abdul,0.015
ada,0.015
adalah,0.06
adding,0.015
admin,0.015
ah,0.03
ajaib,0.015
akan,0.074
akhernya,0.015
akhir,0.045
alam,0.015
alosaurus,0.015
ambulans,0.015
amd,0.015
ampun,0.03
an,0.03
anak,0.03
anda,0.164
andrew,0.015
aneh,0.03
anggar,0.015
apa,0.253
apas,0.045
apik,0.015
apotek,0.015
asal,0.015
asik,0.045
atas,0.015
atau,0.045
atur,0.015
avengers,0.015
awet,0.015
ayam,0.015
ayo,0.015
babysitting,0.015
baca,0.074
bagaimana,0.074
bagus,0.015
bahasa,0.045
bahaya,0.015
baik,0.089
bajing,0.015
balik,0.015
bang,0.089
banning,0.015
bantu,0.015
banyak,0.03
bapak,0.015
bareng,0.015
baru,0.06
bau,0.015
bawa,0.03
beda,0.015
begitu,0.045
belah,0.015
beli,0.015
belum,0.015
benar,0.045
bensin,0.015
berapa,0.015
berat,0.03
berterimakasih,0.015
besok,0.015
bettors,0.015
bilang,0.015
bisa,0.045
bodoh,0.015
bolak,0.015
bos,0.015
both,0.015
bp,0.045
bruh,0.015
buah,0.015
buang,0.015
buat,0.015
buka,0.015
bukan,0.015
buset,0.045
cahaya,0.015
cantik,0.015
cara,0.015
cemas,0.015
cerita,0.03
cetak,0.015
chronocube,0.015
cil,0.015
cium,0.015
coba,0.015
complete,0.015
constantine,0.015
contemplating,0.015
corona,0.015
cuma,0.03
dalam,0.015
dan,0.03
dapat,0.03
dari,0.045
dasar,0.015
datang,0.015
days,0.015
decide,0.015
dengan,0.015
di,0.03
dia,0.045
did,0.03
didn,0.015
diklaksonin,0.015
dilema,0.015
dilemparin,0.015
diri,0.015
disini,0.015
diskon,0.015
diturunin,0.015
dong,0.03
dota,0.045
drama,0.015
duga,0.015
dulu,0.06
duluan,0.015
dumpstered,0.015
eg,0.015
eh,0.015
either,0.015
else,0.015
email,0.015
ember,0.015
en,0.015
episode,0.015
esports,0.045
events,0.015
every,0.015
existential,0.015
favourite,0.015
finest,0.015
fitur,0.015
foto,0.015
freesia,0.015
gambar,0.015
game,0.06
ganti,0.015
gara,0.015
garam,0.015
garfield,0.015
gas,0.015
gaya,0.045
gedor,0.015
gelar,0.015
gelud,0.015
gengsi,0.015
gik,0.015
gila,0.015
godson,0.015
gung,0.03
gyro,0.015
had,0.015
haduh,0.03
hai,0.045
haji,0.015
hancur,0.03
hanya,0.045
happens,0.03
harga,0.03
hari,0.015
haris,0.015
harus,0.015
hati,0.045
hayo,0.03
helping,0.015
hendarto,0.015
henti,0.015
hidup,0.06
hilang,0.015
his,0.015
hiyahiya,0.015
holand,0.015
ibu,0.03
in,0.074
indikator,0.015
informasi,0.03
ini,0.06
io,0.06
item,0.015
itu,0.179
iya,0.045
jadi,0.164
jadul,0.015
jail,0.015
jalan,0.045
jeda,0.015
jempol,0.015
jendela,0.015
jenis,0.03
jet,0.015
joroke,0.015
juga,0.03
jurang,0.015
kabeh,0.015
kabel,0.015
kalau,0.119
kalean,0.015
kalem,0.015
