term,weight
abekani,0.006
abs,0.006
abundantly,0.006
ac,0.006
ada,0.019
adalah,0.081
adalima,0.006
adhya,0.037
adil,0.006
admin,0.012
aduh,0.006
agar,0.019
agen,0.006
agung,0.012
ah,0.012
ajak,0.012
ajar,0.019
akan,0.037
akhir,0.044
akses,0.012
alam,0.006
alamat,0.006
alami,0.006
alhasil,0.006
allah,0.019
alumni,0.006
aman,0.019
ambil,0.019
amin,0.012
amit,0.019
among,0.006
an,0.006
anak,0.1
analisa,0.012
anda,0.174
andal,0.006
angkasa,0.006
anjing,0.012
antasida,0.019
antiseptik,0.006
apa,0.087
apr,0.006
arah,0.006
arep,0.006
arogan,0.006
arus,0.012
asa,0.006
asap,0.025
asas,0.006
asli,0.006
atas,0.006
atau,0.006
awak,0.006
awal,0.006
awareness,0.006
awas,0.006
awet,0.006
ayah,0.012
ayo,0.012
azs,0.006
babyshop,0.006
baca,0.037
baeklah,0.006
bagai,0.019
bagaimana,0.037
bagi,0.006
bagus,0.006
bahahaha,0.006
bahan,0.006
bahas,0.012
bahkan,0.006
baik,0.056
bakar,0.006
balas,0.006
balita,0.006
balon,0.006
bandara,0.006
bangga,0.006
banking,0.031
bantuanya,0.006
banyak,0.025
bapak,0.025
bapake,0.006
baru,0.05
batik,0.006
bawa,0.031
bayang,0.006
bayar,0.012
bayi,0.037
bayitembem,0.006
bbl,0.006
bc,0.006
bca,0.006
bebe,0.006
bebek,0.006
become,0.006
bees,0.006
begini,0.012
bej,0.006
bekal,0.012
belah,0.006
beliau,0.006
belive,0.006
belok,0.006
belum,0.037
benang,0.006
benar,0.044
benci,0.012
benda,0.006
beranda,0.006
berat,0.006
beri,0.006
berita,0.012
besar,0.006
beta,0.006
beut,0.006
beyond,0.006
biasa,0.031
biaya,0.006
bibir,0.006
bicara,0.006
bilang,0.006
bintang,0.006
bioskop,0.006
birds,0.006
bis,0.006
bisa,0.05
blaik,0.006
blokir,0.006
blsan,0.006
bnran,0.006
bodoh,0.012
boleh,0.006
bom,0.006
boncengin,0.012
boneka,0.006
boo,0.006
bookshelf,0.006
bor,0.006
bosan,0.012
breastfeed,0.006
bri,0.012
brkt,0.012
browser,0.006
buat,0.125
budgeting,0.006
buibu,0.006
buka,0.025
buku,0.069
bulan,0.006
bumi,0.012
bungsu,0.006
buruk,0.012
burung,0.006
busui,0.006
butuh,0.012
cahaya,0.006
cakep,0.006
capai,0.012
capex,0.006
cara,0.019
cari,0.019
cc,0.044
cekikik,0.006
celaka,0.019
cemil,0.012
cemilan,0.006
cerita,0.006
cewa,0.006
cha,0.012
challenges,0.006
chatime,0.006
chic,0.006
children,0.006
chips,0.006
chopsticking,0.006
christmas,0.006
cinta,0.037
ciye,0.012
co,0.125
cola,0.006
complete,0.006
containing,0.006
cphnq,0.006
cqh,0.006
cried,0.006
cuma,0.012
curcol,0.006
currently,0.006
dada,0.006
daftar,0.006
dahi,0.006
daku,0.006
dalam,0.012
dampar,0.006
dan,0.118
dapat,0.019
dapur,0.006
darat,0.006
dari,0.206
daripada,0.006
datang,0.019
daughters,0.006
dawgnfk,0.006
dec,0.006
december,0.006
decide,0.006
degirol,0.006
deh,0.012
dengan,0.05
dengar,0.006
depan,0.006
deportasi,0.006
detected,0.006
devoted,0.006
dewa,0.006
dewe,0.006
di,0.037
dia,0.05
diam,0.012
dianterin,0.012
dibilangin,0.006
did,0.012
didpt,0.006
diflmkan,0.006
dikit,0.006
diputerin,0.006
diri,0.006
disini,0.006
disms,0.006
ditolongin,0.006
ditunguin,0.006
doa,0.037
doen,0.006
doing,0.006
dokter,0.006
dom,0.006
donasi,0.006
donat,0.006
dong,0.006
dongengin,0.006
dorprize,0.1
dot,0.006
drama,0.025
dreams,0.006
drew,0.006
drg,0.006
driving,0.006
dua,0.006
duduk,0.006
dulu,0.019
dunia,0.012
duri,0.006
edc,0.006
edisi,0.006
eh,0.012
ekspresi,0.006
email,0.006
emaknya,0.006
empat,0.006
enak,0.012
entah,0.006
euforia,0.006
every,0.006
everytime,0.006
facebook,0.006
facial,0.006
faktor,0.006
fantika,0.006
far,0.006
fast,0.012
ff,0.006
fhomzty,0.006
film,0.012
flies,0.006
following,0.006
foto,0.012
four,0.006
frekuensi,0.006
fresh,0.006
friends,0.006
ftw,0.006
fyuh,0.006
gabung,0.006
gadget,0.006
gadis,0.006
gagal,0.012
gairah,0.006
gaklrn,0.006
galak,0.006
gambar,0.006
ganguan,0.006
ganti,0.019
gara,0.006
garder,0.006
gebyar,0.006
gedung,0.006
gegar,0.006
geladag,0.006
gelap,0.006
gelombang,0.006
geludug,0.006
gembeng,0.006
gendang,0.006
gendhuk,0.012
generik,0.006
gerutu,0.006
gesek,0.006
getting,0.006
giggling,0.006
gila,0.012
gin,0.006
giveaway,0.006
gives,0.006
godreads,0.006
goes,0.006
gofod,0.006
gone,0.006
grad,0.006
gramedia,0.006
gratis,0.019
gts,0.006
guna,0.006
habis,0.025
hadap,0.019
hadiah,0.019
hai,0.012
haleluya,0.006
hambur,0.006
hamil,0.019
hampir,0.006
hanya,0.044
hapy,0.006
harap,0.006
hari,0.062
harus,0.019
hasil,0.012
hati,0.006
hayuk,0.006
heartbreaking,0.006
heaven,0.006
hebat,0.012
hello,0.019
heran,0.012
hewan,0.012
hidup,0.012
hijau,0.006
hilal,0.006
hilang,0.006
himym,0.006
hingga,0.006
his,0.019
hisap,0.006
hitam,0.006
hitung,0.006
hobbit,0.006
hoh,0.006
hoho,0.006
holywod,0.006
hopefully,0.006
htp,0.125
hujan,0.012
humoris,0.019
husband,0.012
hutang,0.006
hzh,0.006
ibanking,0.006
ibarat,0.006
ibu,0.156
icha,0.012
idam,0.006
ied,0.006
igkaye,0.006
ih,0.006
ikih,0.012
ikut,0.019
ilegal,0.006
imajinasi,0.006
importantly,0.006
in,0.044
inap,0.006
indeed,0.006
indomaret,0.006
indonesia,0.012
induk,0.012
info,0.006
ing,0.006
ingat,0.006
ini,0.056
inlaws,0.006
insomnia,0.012
instagram,0.006
instead,0.006
internet,0.031
introvert,0.006
investasi,0.012
ipk,0.006
isap,0.006
isi,0.006
istirahat,0.006
istri,0.019
isu,0.006
itu,0.193
iw,0.006
iya,0.05
jadi,0.093
jakarta,0.006
jala,0.006
jalan,0.025
jam,0.019
janji,0.012
jantung,0.012
jatuh,0.012
jauh,0.025
je,0.006
jebak,0.012
jelas,0.006
jeng,0.012
jne,0.012
jo,0.006
jostein,0.006
jryevsazb,0.006
jual,0.006
juang,0.006
juga,0.031
jur,0.006
jurus,0.006
justru,0.006
jwdwr,0.006
kabut,0.012
kaca,0.006
kadaluarsa,0.006
kagum,0.006
kakehan,0.012
kalah,0.006
kalau,0.087
kali,0.025
kalik,0.006
kamar,0.006
kan,0.019
kanan,0.006
kanon,0.006
kantor,0.025
kantung,0.006
kapan,0.006
karena,0.075
kartu,0.006
karunia,0.006
karya,0.006
kasih,0.006
kasus,0.012
kata,0.006
kati,0.006
ke,0.006
kebahagian,0.012
kece,0.006
kecil,0.012
kekal,0.006
kekeuh,0.006
kelas,0.006
keliyengan,0.006
kelon,0.006
keluar,0.019
keluarga,0.006
kemanusian,0.006
kembali,0.019
ken,0.012
kena,0.025
kenapa,0.037
kendala,0.006
kepala,0.012
keping,0.006
kering,0.006
keringetan,0.006
kerja,0.025
kertas,0.012
kerut,0.006
kesengol,0.006
ketika,0.056
ketrampilan,0.012
ki,0.012
kids,0.019
kilos,0.006
kir,0.006
kira,0.006
kiri,0.006
kirim,0.012
kita,0.143
klik,0.006
klip,0.006
koleksi,0.006
konsisten,0.006
kontak,0.006
kontingen,0.006
kopdar,0.093
kosong,0.031
kota,0.012
kp,0.006
kreatif,0.006
krim,0.006
kuasa,0.012
kuat,0.019
kuatir,0.006
kuda,0.006
kui,0.006
kuliah,0.019
kulon,0.006
kumbara,0.006
kuning,0.012
kurang,0.012
kutuk,0.006
kutukutubuku,0.006
lagi,0.019
lagu,0.012
lagune,0.006
lah,0.012
lahir,0.006
lain,0.012
laki,0.012
laku,0.012
lalu,0.012
lama,0.025
laman,0.006
lambat,0.006
lanang,0.006
langgan,0.006
langit,0.006
langkah,0.006
langsung,0.006
lanjut,0.012
lantai,0.006
lapor,0.006
laptop,0.006
lari,0.006
laut,0.012
lebih,0.037
leceh,0.006
lempeng,0.006
libur,0.006
lihat,0.056
lilin,0.006
link,0.006
lipstik,0.006
listening,0.006
located,0.006
logika,0.006
lor,0.006
luar,0.012
lubang,0.006
luber,0.012
lulus,0.006
lur,0.006
luwih,0.006
maaf,0.006
macam,0.019
macan,0.006
made,0.006
madhep,0.019
mahir,0.012
makan,0.012
makanya,0.006
maksimal,0.006
maksude,0.006
malah,0.019
malam,0.006
mall,0.025
malu,0.012
mampir,0.006
mampu,0.006
mana,0.025
mandi,0.012
mandiri,0.037
mandiricare,0.006
mangayubagya,0.006
manjur,0.006
manusia,0.012
manut,0.006
mao,0.006
mas,0.006
masalah,0.006
mashok,0.006
masih,0.031
masuk,0.019
mati,0.019
mau,0.037
mavio,0.006
mayan,0.006
mbah,0.012
mebel,0.006
mei,0.006
melu,0.006
memang,0.006
memberi,0.006
memories,0.006
menang,0.012
menggunakan,0.006
menghapal,0.006
mengunakan,0.006
menit,0.006
merah,0.006
mereka,0.037
mewek,0.025
mgu,0.006
mik,0.006
milik,0.044
milu,0.006
mimbik,0.006
minggu,0.006
minta,0.025
minum,0.006
minumum,0.006
mirota,0.006
mis,0.006
misi,0.012
mobil,0.025
modal,0.006
mohon,0.012
monique,0.006
months,0.006
mos,0.006
most,0.006
mostly,0.006
motor,0.019
muda,0.006
mulai,0.025
multitasker,0.006
murah,0.012
muram,0.006
murni,0.006
musik,0.012
naik,0.025
naluri,0.019
nama,0.006
nampak,0.006
nampaknya,0.012
nang,0.006
nasgor,0.012
nasib,0.006
natasha,0.006
nay,0.006
ndherek,0.006
ndhuk,0.006
negara,0.1
negri,0.006
nenek,0.012
nengok,0.006
neraka,0.006
nesta,0.006
netflix,0.006
ngadat,0.006
ngalor,0.012
ngangkang,0.006
ngantuk,0.006
