term,weight
acak,0.008
ada,0.024
adalah,0.008
adeganya,0.008
adil,0.016
adjustable,0.016
admin,0.008
aduh,0.024
agar,0.065
agraria,0.008
air,0.016
ajaib,0.008
ajak,0.008
ajar,0.008
akan,0.033
akhir,0.024
aktor,0.008
akuisisi,0.008
akun,0.008
ala,0.024
alesane,0.008
alias,0.008
alim,0.008
ambil,0.008
anak,0.057
anda,0.073
andwaelka,0.008
angetnya,0.008
angkat,0.008
anjing,0.016
antar,0.008
apa,0.171
apapan,0.008
api,0.008
arang,0.008
arsip,0.008
arti,0.008
astaga,0.008
atas,0.008
atur,0.008
awal,0.008
ayam,0.033
ayo,0.008
bablas,0.008
baca,0.057
backpack,0.008
badan,0.016
bagai,0.008
bagaimana,0.065
bagus,0.008
bahagia,0.008
bahan,0.008
bahasa,0.016
bahkan,0.008
baik,0.049
baju,0.024
bak,0.008
bakar,0.008
bala,0.008
balas,0.016
balik,0.016
bandel,0.008
bang,0.008
bangun,0.016
banyak,0.041
bapak,0.171
baru,0.024
basa,0.008
basah,0.008
bayangin,0.008
bayi,0.024
beban,0.008
bebas,0.016
beda,0.008
begini,0.008
begitu,0.065
behind,0.008
belakang,0.016
belanja,0.008
beli,0.041
benang,0.041
benar,0.033
benci,0.008
bentak,0.008
beranta,0.016
berapa,0.008
berat,0.016
berita,0.008
bersih,0.016
besar,0.041
besok,0.016
biasa,0.033
biaya,0.008
bieber,0.008
bilang,0.016
bionya,0.008
bisa,0.024
bittersweet,0.008
blus,0.008
bogosipeo,0.008
bogosipeoseo,0.008
bohong,0.008
bola,0.008
boleh,0.016
bolong,0.016
bona,0.008
bosan,0.041
buat,0.203
buka,0.016
bukan,0.033
buktin,0.008
bulan,0.016
bumbung,0.008
bumi,0.008
bungkus,0.008
bunyi,0.033
burung,0.008
cabai,0.016
cabut,0.033
caket,0.008
cantik,0.008
celaka,0.016
cemil,0.008
cepat,0.016
cerita,0.008
cetak,0.008
cincin,0.008
cinta,0.008
colorful,0.008
corona,0.016
crochet,0.016
cuma,0.081
curang,0.008
curhat,0.008
daftar,0.008
daki,0.008
dakwa,0.008
damai,0.008
dan,0.008
dana,0.008
darah,0.016
dari,0.041
daripada,0.008
dasar,0.016
datang,0.008
definisi,0.008
deh,0.033
dek,0.024
dendam,0.008
dengar,0.008
dentum,0.008
depan,0.008
di,0.033
diajarin,0.008
diapain,0.008
dibolehin,0.008
dicustom,0.008
didengerin,0.008
dih,0.008
dijadin,0.008
diliatin,0.008
dinakalin,0.008
dinput,0.008
dipoto,0.008
diri,0.008
diskon,0.008
ditangung,0.008
ditempelin,0.008
doa,0.024
doang,0.008
dokter,0.016
dong,0.057
dongeng,0.008
drama,0.008
dramatisasi,0.008
duduk,0.008
dulu,0.041
dunia,0.008
edit,0.008
efek,0.008
eh,0.041
ehey,0.008
ekstra,0.008
embak,0.008
emot,0.008
enak,0.024
engap,0.008
eotoke,0.008
estetis,0.008
eug,0.008
euh,0.008
favorit,0.033
felnya,0.008
floyd,0.008
folbek,0.008
foto,0.041
frey,0.008
gabus,0.008
gadis,0.008
gajah,0.016
gambut,0.008
gantung,0.008
gataunya,0.008
gaul,0.008
gelas,0.008
gelombang,0.016
gemas,0.024
gembok,0.008
gemetar,0.008
george,0.008
gera,0.016
getok,0.008
geureonika,0.008
gia,0.008
gibahin,0.008
gin,0.033
goday,0.024
golong,0.008
gowes,0.008
gr,0.041
gulung,0.008
gumun,0.008
gunung,0.008
guru,0.016
gusti,0.008
habis,0.016
hai,0.024
hakim,0.008
hakpen,0.008
hamban,0.008
hampir,0.008
handmade,0.024
hanya,0.016
harga,0.033
hari,0.089
hasil,0.008
hati,0.049
helai,0.008
henti,0.008
hidup,0.008
hilang,0.016
hilih,0.008
hips,0.008
horoskop,0.008
hukum,0.008
hutan,0.008
ibu,0.016
ikhlas,0.008
ikut,0.024
ikuti,0.016
ingat,0.016
ini,0.057
intelektual,0.008
intoleransi,0.008
ipin,0.016
iri,0.008
isi,0.008
istri,0.008
itu,0.057
itumah,0.008
iya,0.065
izin,0.008
jacob,0.008
jadi,0.179
jaga,0.016
jalur,0.008
jam,0.008
james,0.008
jamur,0.008
jati,0.008
jawa,0.016
jebal,0.008
jelas,0.016
jempol,0.008
jeneng,0.008
jeongmal,0.008
jerawat,0.008
jinja,0.008
jual,0.024
juang,0.008
juga,0.016
jujur,0.008
justin,0.008
juta,0.008
kafein,0.008
kain,0.008
kala,0.008
