term,weight
abistu,0.007
abu,0.007
acak,0.015
ada,0.066
adalah,0.154
admin,0.007
aduh,0.022
aduk,0.007
agar,0.015
agung,0.007
agustus,0.007
ah,0.007
ahmad,0.007
ai,0.022
airways,0.007
ajani,0.007
ajar,0.015
akan,0.022
aksi,0.007
alas,0.007
allah,0.007
along,0.007
ambil,0.007
ambyar,0.007
amet,0.007
amin,0.007
an,0.015
anak,0.007
anda,0.316
aneh,0.007
answered,0.007
antem,0.007
any,0.007
apa,0.132
apani,0.007
apas,0.007
aren,0.007
arja,0.007
asek,0.007
asia,0.007
asik,0.029
asked,0.015
astaga,0.007
atau,0.007
atun,0.022
autocad,0.007
awesome,0.022
ayah,0.015
ayo,0.015
bablas,0.007
baca,0.022
bagaimana,0.044
bagus,0.015
bagusni,0.007
bahasa,0.007
bahkan,0.022
baik,0.007
bakat,0.015
balik,0.007
bambang,0.015
banding,0.007
bandingin,0.007
bang,0.007
bangga,0.007
bangkok,0.007
bangkrut,0.007
bantah,0.007
bantet,0.007
bantu,0.007
banyak,0.015
barel,0.007
bareng,0.015
baru,0.022
baso,0.007
batagor,0.007
batin,0.007
batu,0.015
bawah,0.007
bayi,0.007
begini,0.015
begitu,0.044
bejat,0.007
belakang,0.007
beli,0.015
belum,0.007
benang,0.007
benar,0.073
benci,0.007
benda,0.007
bentar,0.007
bentley,0.007
bentuk,0.007
berani,0.007
beranta,0.007
berapa,0.007
beras,0.015
berita,0.007
besar,0.022
besok,0.022
betul,0.007
betumbuk,0.007
biadab,0.007
bias,0.007
bicara,0.007
bilang,0.015
bingung,0.015
bintang,0.007
bisa,0.044
bisadong,0.007
bisajadisi,0.007
bola,0.007
bolu,0.007
bonceng,0.007
bos,0.007
bosan,0.007
bosqu,0.007
brunch,0.007
buat,0.073
budaya,0.015
buka,0.007
bukan,0.007
bukankah,0.007
bulan,0.007
buru,0.007
burung,0.007
cahaya,0.007
called,0.007
campur,0.007
cara,0.022
cari,0.007
cause,0.015
celaka,0.007
cemil,0.015
cepat,0.022
cerah,0.007
cerita,0.015
checkpoint,0.007
children,0.015
cinta,0.029
