term,weight
abad,0.007
absenya,0.007
ada,0.022
aduh,0.037
agar,0.015
air,0.044
ajak,0.015
akhir,0.081
akhlak,0.03
akrab,0.007
akses,0.007
aksk,0.022
ala,0.007
alas,0.015
alhasil,0.007
alias,0.007
alon,0.007
aman,0.007
ambil,0.015
ambyar,0.007
amin,0.007
ampun,0.022
an,0.022
anak,0.052
anda,0.111
andai,0.007
andal,0.007
anjing,0.015
antre,0.007
ap,0.007
apa,0.155
apanih,0.015
aplikasi,0.007
aroma,0.007
arti,0.007
astaga,0.007
ayam,0.007
ayo,0.074
bab,0.007
bablas,0.007
baca,0.022
bagaimana,0.015
bahas,0.007
bahkan,0.007
baik,0.052
balas,0.022
banding,0.007
bang,0.066
bangat,0.007
bangpo,0.007
bangun,0.022
bangunin,0.007
bantu,0.007
banya,0.007
banyak,0.052
bapak,0.037
bapake,0.007
baris,0.007
baru,0.111
batin,0.007
bawah,0.007
bebal,0.007
bebas,0.015
beberapa,0.022
beda,0.007
begini,0.007
begitu,0.037
bel,0.015
belah,0.007
belakang,0.015
beli,0.015
belok,0.007
belum,0.015
benar,0.037
benci,0.007
beranda,0.007
berani,0.015
beri,0.007
berkah,0.007
besar,0.007
betul,0.007
bias,0.007
biasa,0.015
bicara,0.022
bilang,0.03
bini,0.007
bintaro,0.007
bisa,0.03
bismillah,0.007
bodoamat,0.022
boker,0.007
boleh,0.007
bosan,0.007
bpjs,0.007
bpknya,0.007
buah,0.007
buat,0.126
bubur,0.007
buka,0.015
bukit,0.007
bulan,0.03
bunyi,0.007
buram,0.007
butuh,0.007
cakep,0.007
cari,0.015
catat,0.015
cemerlang,0.007
cemil,0.022
cepat,0.015
cerita,0.007
ciwi,0.007
coba,0.015
cocok,0.015
corona,0.007
cukup,0.007
cuma,0.03
curi,0.007
cuti,0.007
cuy,0.007
daftar,0.007
daki,0.007
dalam,0.007
damai,0.007
damar,0.007
dan,0.007
dapat,0.015
dar,0.007
dari,0.007
daripada,0.007
dasar,0.007
daster,0.007
daya,0.007
deadline,0.007
debat,0.015
deh,0.03
