term,weight
abon,0.009
ada,0.027
adalah,0.035
adan,0.009
admin,0.027
adopsi,0.009
aduh,0.018
agar,0.018
ah,0.009
ahlaq,0.009
ailuvpjk,0.009
ajadeh,0.009
ajar,0.009
akan,0.035
akhir,0.044
akun,0.018
alergi,0.009
alias,0.009
aman,0.009
ambil,0.009
ambyar,0.009
amin,0.018
anak,0.035
anda,0.133
andalas,0.018
angak,0.009
antipeluru,0.009
apa,0.23
apas,0.009
aplikasi,0.009
apresiasi,0.009
araseo,0.009
arti,0.027
artwork,0.009
asdkfujdlsourbqudpeubqyrlwufirkwz,0.009
asik,0.009
atas,0.009
atau,0.009
ayo,0.009
baca,0.018
badai,0.009
bagaimana,0.027
bahagia,0.018
bajing,0.009
bak,0.009
balas,0.009
balik,0.018
banding,0.009
bangkrut,0.009
banjir,0.009
banyak,0.035
banyumas,0.009
bapak,0.035
bar,0.009
bareng,0.018
baru,0.053
bati,0.009
bawa,0.009
bawang,0.009
bayi,0.009
beban,0.009
beda,0.027
beduan,0.009
begini,0.018
begitu,0.009
behave,0.009
behind,0.009
beli,0.009
benang,0.027
benar,0.115
benci,0.018
bensu,0.009
berani,0.009
beri,0.009
berkah,0.009
bermanfat,0.009
bersih,0.009
besar,0.027
besok,0.035
betul,0.009
bibit,0.009
bilang,0.018
bingung,0.027
bintang,0.009
bis,0.009
bisa,0.018
bnr,0.009
bodoamat,0.009
bodoh,0.009
boleh,0.009
bom,0.027
bookmark,0.009
brave,0.009
buat,0.115
budak,0.018
buka,0.044
bukan,0.062
bulan,0.044
bundeh,0.044
bunga,0.009
bunuh,0.009
butuh,0.009
cannot,0.009
cara,0.018
cari,0.027
carin,0.009
celaka,0.009
cemil,0.08
cepat,0.027
cilacs,0.009
cinta,0.027
coba,0.018
cole,0.009
colok,0.009
congratulations,0.009
cpr,0.009
dagang,0.009
dalih,0.009
damai,0.009
dan,0.035
dapat,0.018
dari,0.018
datang,0.009
deep,0.009
deh,0.009
dekat,0.018
del,0.018
dela,0.009
dengan,0.044
dengar,0.018
depa,0.009
desa,0.009
dgr,0.009
di,0.018
dia,0.009
did,0.009
dikosanku,0.009
dinamain,0.009
diri,0.018
disini,0.009
diskon,0.009
disruh,0.009
doa,0.018
dopelgnger,0.009
dosa,0.018
dram,0.009
drama,0.018
dua,0.009
dulu,0.053
dunia,0.009
each,0.009
eh,0.018
ekor,0.009
elah,0.009
elektrik,0.009
emaknya,0.009
enak,0.018
eoma,0.009
episode,0.053
erti,0.009
esensi,0.009
eun,0.009
evriwer,0.009
faktor,0.009
favorit,0.009
fleksibel,0.009
gaberani,0.009
gadapet,0.009
gadis,0.027
gajah,0.009
gaje,0.009
gakuat,0.009
galak,0.009
gapaham,0.009
gd,0.009
gedeg,0.009
gek,0.009
getir,0.009
gigi,0.009
gigit,0.009
goin,0.009
gomawo,0.009
gulir,0.009
gumapsemida,0.009
habis,0.062
hadap,0.009
hai,0.009
haiyo,0.009
hamil,0.018
hari,0.071
harus,0.018
hasil,0.009
hayo,0.009
helpdesk,0.009
hiatus,0.009
hidung,0.009
hidup,0.018
hilang,0.009
hindia,0.009
hiu,0.009
hukum,0.009
huwa,0.009
hv,0.009
hwa,0.009
ibu,0.071
ielts,0.009
ikan,0.018
ikanya,0.009
ikut,0.009
imbas,0.009
in,0.027
info,0.009
ingin,0.027
ini,0.044
inspirasi,0.009
instagram,0.018
inves,0.009
irene,0.009
