term,weight
abisin,0.006
acak,0.006
aci,0.018
ada,0.031
adalah,0.018
aduh,0.018
agak,0.006
agar,0.025
ah,0.012
air,0.018
ajar,0.006
aka,0.006
akan,0.018
akh,0.006
akhir,0.037
akhlak,0.012
akhlakles,0.006
akrab,0.012
akun,0.018
alam,0.006
alias,0.006
alun,0.012
aman,0.006
ampuh,0.006
amuk,0.006
an,0.018
anak,0.025
anda,0.099
angkutan,0.006
antem,0.012
anugerah,0.006
apa,0.074
apalagi,0.006
asa,0.006
asal,0.006
ashar,0.012
asia,0.006
asik,0.006
asisten,0.006
asli,0.031
astaga,0.006
atas,0.012
atm,0.006
awan,0.006
awas,0.006
awkwkw,0.006
awkwkwk,0.018
ayo,0.025
baca,0.025
bada,0.006
badan,0.012
baduduy,0.006
bagai,0.006
bagaimana,0.031
bahana,0.006
bahasa,0.012
bahkan,0.025
baik,0.062
bajing,0.006
balap,0.006
balas,0.018
balik,0.006
bangun,0.006
bankjk,0.006
banyak,0.049
bapak,0.031
bar,0.012
bareng,0.006
baru,0.006
baso,0.018
batik,0.006
bau,0.006
bayangin,0.006
beasiswa,0.006
beda,0.006
begitu,0.068
bela,0.006
belah,0.006
belakang,0.025
belanja,0.006
beli,0.012
belum,0.018
bem,0.012
benang,0.012
benar,0.037
benci,0.018
benda,0.012
bentar,0.012
bentuk,0.006
berapa,0.018
bersih,0.006
berterimakasih,0.006
besar,0.012
besok,0.018
betapa,0.006
biasa,0.025
bicara,0.006
bilang,0.012
bingitz,0.006
bingung,0.006
biokimia,0.006
bioteknologi,0.006
bisa,0.018
bisnis,0.006
bk,0.006
blok,0.006
bobonya,0.006
boja,0.006
boro,0.006
buat,0.068
bubar,0.006
buchen,0.006
budak,0.006
bude,0.012
buka,0.006
bukan,0.025
buku,0.006
bulan,0.006
bungkus,0.006
bunyi,0.006
burger,0.006
burjo,0.006
butuh,0.006
bwu,0.006
campur,0.006
cara,0.018
cari,0.018
catat,0.006
ceker,0.006
cemil,0.018
cerita,0.031
chungah,0.006
cinta,0.012
cit,0.012
cium,0.006
coba,0.018
coklat,0.006
corona,0.006
coroni,0.006
