term,weight
abadi,0.009
acara,0.034
ada,0.017
aduh,0.051
aduk,0.009
agar,0.043
ager,0.009
air,0.043
ajak,0.009
ajar,0.017
akan,0.026
akhir,0.094
akmen,0.009
aktiva,0.009
akuntansi,0.009
alias,0.009
alon,0.017
amburadul,0.009
amin,0.026
ampun,0.026
anak,0.017
anda,0.06
angkring,0.009
antara,0.009
anti,0.009
apa,0.137
aqu,0.009
arti,0.009
asal,0.009
astaga,0.017
asyik,0.009
awal,0.009
awas,0.009
ayo,0.06
baca,0.034
bagai,0.009
bagaimana,0.051
bagi,0.009
bagibagi,0.009
bagus,0.009
bahagia,0.017
bahas,0.009
bahkan,0.009
baik,0.069
baiqla,0.009
baiqlah,0.009
balik,0.009
ban,0.009
banyak,0.103
bapak,0.026
bareng,0.009
baru,0.043
batuk,0.009
baw,0.009
bawa,0.009
bawah,0.009
bawain,0.009
bayar,0.017
bayarin,0.009
beban,0.009
beberapa,0.009
bedebah,0.009
begitu,0.069
bekel,0.009
beli,0.009
beliau,0.009
belum,0.009
benar,0.051
beningbening,0.009
berani,0.009
berapa,0.009
berita,0.017
besar,0.043
besok,0.017
betul,0.009
biasa,0.043
bicara,0.009
bik,0.009
bisa,0.077
bodoh,0.009
boleh,0.026
bolos,0.009
bom,0.009
bos,0.017
bosan,0.017
buat,0.137
bubar,0.009
buka,0.026
bukan,0.026
bukber,0.009
buku,0.026
bulan,0.009
buluk,0.009
bumbu,0.009
butuh,0.009
ca,0.009
cacing,0.009
cahaya,0.017
campur,0.009
cara,0.026
cari,0.017
cemas,0.009
cemil,0.034
cepat,0.017
cerita,0.06
coba,0.026
cocok,0.009
coklat,0.009
contohin,0.009
corona,0.017
cukup,0.009
cuma,0.017
daftar,0.009
dalam,0.017
dan,0.017
dandananya,0.009
dapat,0.017
dasa,0.009
data,0.009
debat,0.017
deh,0.043
deng,0.009
dengar,0.009
desa,0.009
dewasa,0.009
diam,0.017
dibilangin,0.009
diceritain,0.009
dinas,0.009
dingat,0.009
dinget,0.009
dintip,0.009
dipingirin,0.009
diri,0.034
ditanyain,0.017
ditunjukin,0.009
diturutin,0.017
doa,0.017
doang,0.009
dong,0.043
drescode,0.009
duduk,0.009
dulu,0.111
duluan,0.017
dunia,0.009
eh,0.009
eskrim,0.017
everywhere,0.009
facial,0.009
fesyel,0.009
film,0.009
fir,0.077
fira,0.017
gaberani,0.009
gajelas,0.009
galeri,0.009
galon,0.017
ganti,0.017
gapake,0.009
gapengen,0.017
gapercaya,0.009
gaperlu,0.009
gara,0.017
gas,0.009
gaspol,0.009
gebu,0.009
gel,0.009
gih,0.009
gin,0.026
gofut,0.009
gosip,0.009
gratis,0.009
habede,0.017
hadu,0.009
haha,0.009
hamster,0.009
harap,0.034
harga,0.009
hari,0.026
harus,0.034
hati,0.017
hayulah,0.009
heran,0.017
hidup,0.009
hilang,0.017
hindar,0.009
hobi,0.026
horor,0.009
hujan,0.009
humoris,0.009
ibu,0.034
idh,0.009
ih,0.009
ikut,0.051
ilangan,0.009
infus,0.009
ingat,0.017
ingin,0.009
ini,0.026
inimah,0.009
input,0.009
istighfar,0.009
itu,0.069
iya,0.051
jadi,0.154
jalan,0.009
jalur,0.009
jari,0.009
jaring,0.009
jauh,0.026
jawab,0.009
jdu,0.009
jelas,0.009
jelasin,0.017
jimat,0.009
jiwa,0.009
joni,0.017
juga,0.026
juni,0.009
justru,0.017
kabar,0.017
kabarin,0.009
kabur,0.009
kadang,0.009
kalau,0.197
kalem,0.026
kali,0.043
kalian,0.009
kalimat,0.009
kamar,0.009
kan,0.026
kapan,0.017
karena,0.009
kasi,0.026
kasih,0.009
kata,0.009
kawan,0.009
ke,0.009
kebumen,0.009
kecewa,0.017
kecil,0.026
kelakar,0.017
kelompoku,0.009
keluar,0.043
keluarga,0.017
kemarin,0.026
kembali,0.009
ken,0.077
kenapa,0.017
kenya,0.009
kepala,0.009
keras,0.009
keren,0.009
kesal,0.017
ketemu,0.026
khusus,0.009
kibulin,0.009
kilo,0.009
kira,0.017
kita,0.017
klean,0.009
komentar,0.009
kompaq,0.009
kompor,0.009
konsul,0.009
krik,0.017
kucing,0.017
kulit,0.009
kumpul,0.026
kurang,0.009
laba,0.009
lafyu,0.009
lagi,0.017
lagune,0.009
lah,0.034
lahir,0.017
lain,0.017
laju,0.009
laki,0.009
lalu,0.009
lama,0.069
lancar,0.009
langsung,0.026
lanjut,0.009
lari,0.009
lawan,0.017
layar,0.009
lebih,0.017
lemah,0.009
lemak,0.009
lengkap,0.017
lewat,0.017
libur,0.009
lihat,0.069
lirik,0.009
loh,0.017
luap,0.009
lupa,0.034
made,0.009
magang,0.009
maha,0.009
mahal,0.017
mahir,0.017
makanya,0.009
makin,0.026
malah,0.043
malas,0.017
mamenit,0.009
mamih,0.009
mampir,0.017
mana,0.026
mangats,0.009
mantel,0.009
masa,0.017
masak,0.009
masalah,0.051
masmas,0.009
masuk,0.017
mata,0.017
matin,0.009
mau,0.103
mblayang,0.009
meetup,0.017
melow,0.009
memang,0.051
mendarahdaging,0.009
mendengarkan,0.009
mengebu,0.017
menikah,0.009
menu,0.009
mewek,0.009
mimpi,0.009
mineral,0.009
minggu,0.009
misi,0.009
misionku,0.009
monangis,0.009
monas,0.017
monmap,0.017
mudah,0.026
mulai,0.017
mundur,0.017
mungkin,0.009
mupon,0.009
muslimah,0.017
naik,0.009
nama,0.017
nang,0.009
nangung,0.017
negeri,0.009
ngabubureadku,0.009
ngajarin,0.009
ngakaklah,0.009
ngakaknya,0.009
ngalih,0.009
ngaretnya,0.017
ngefilter,0.009
ngobrol,0.017
niat,0.009
nikahanya,0.009
nilai,0.017
nimbrung,0.009
nktchi,0.009
nolak,0.009
nyanyi,0.009
nyata,0.026
nyender,0.009
nyisain,0.009
nyolot,0.009
nyonya,0.009
offline,0.009
oke,0.009
oleh,0.009
oleng,0.009
omong,0.017
online,0.017
oprek,0.009
orang,0.069
otak,0.009
pa,0.009
pada,0.034
padahal,0.043
paguyuban,0.009
paham,0.009
pakai,0.06
paling,0.026
panik,0.009
pantas,0.009
pasang,0.009
payah,0.009
pelan,0.026
peluk,0.009
penasaran,0.009
pengirim,0.026
penting,0.034
penuh,0.009
perbarui,0.009
pergi,0.009
perilaku,0.009
pernah,0.009
pertama,0.017
pesan,0.009
peta,0.009
pikir,0.06
pilih,0.034
pindah,0.017
pintar,0.009
pokok,0.017
presentasi,0.009
privat,0.017
proses,0.009
puasa,0.009
pulang,0.009
punya,0.017
pusing,0.009
putih,0.034
putus,0.009
ramping,0.009
ran,0.034
rana,0.009
rangin,0.009
rasa,0.026
rawat,0.009
rayu,0.009
rekor,0.009
renti,0.009
retweet,0.009
ribu,0.009
rindu,0.051
ros,0.009
rugi,0.009
rumah,0.017
sabar,0.009
sadar,0.009
sahabat,0.009
saja,0.223
saking,0.009
sakit,0.026
salah,0.026
salur,0.009
sama,0.06
sambat,0.009
sambut,0.009
sampai,0.094
sangat,0.009
satu,0.026
saudara,0.086
saya,0.309
sayang,0.009
sc,0.009
sebentar,0.009
seblak,0.009
sederhana,0.009
sedih,0.009
segala,0.009
sehat,0.009
sekali,0.163
sekarang,0.043
sekitar,0.009
selalu,0.077
selamat,0.034
semangat,0.026
sembuh,0.009
seminar,0.009
seminggu,0.017
semoga,0.009
sempat,0.009
semua,0.043
sen,0.034
senang,0.009
sendiri,0.034
seperti,0.086
sepi,0.009
serakah,0.009
sering,0.051
seringkali,0.017
sesuai,0.009
setia,0.009
si,0.077
siapa,0.009
simpan,0.009
singkat,0.017
sini,0.043
sinyal,0.034
siomaynya,0.009
sisi,0.017
sita,0.009
suara,0.009
suasana,0.009
sudah,0.154
suhu,0.009
suka,0.026
sumampir,0.009
suply,0.009
survei,0.009
susah,0.009
syok,0.009
syukur,0.034
syuro,0.009
tadi,0.017
tahu,0.094
tahun,0.009
takut,0.034
tambah,0.009
tampak,0.009
tanam,0.009
taneman,0.009
tangalnya,0.009
tanggal,0.009
tanggung,0.009
tangis,0.017
tara,0.009
tawa,0.326
tekan,0.009
telah,0.009
telepon,0.009
telinga,0.017
teman,0.009
temenya,0.009
tenan,0.009
tengah,0.009
ter,0.026
terimakasih,0.017
teringat,0.009
terkadang,0.009
terlalu,0.017
terus,0.051
tetangaku,0.009
tetap,0.017
tiada,0.009
tiap,0.009
tiba,0.017
tidak,0.515
tidur,0.017
tiga,0.009
tiktokan,0.009
tinggi,0.009
tipsnya,0.009
tombo,0.009
tonton,0.017
tos,0.009
traktir,0.026
tugas,0.009
tuhan,0.026
tular,0.009
tulisan,0.009
tumpeng,0.009
turun,0.009
tutup,0.009
ubah,0.009
udu,0.009
ujanan,0.009
ul,0.043
ulya,0.009
umur,0.009
unduh,0.009
uninstal,0.009
untuk,0.051
urut,0.009
usaha,0.009
utama,0.009
valid,0.009
wah,0.017
waktu,0.009
wanita,0.043
wasap,0.009
waternya,0.009
whatsap,0.009
wis,0.009
wkwkwkwkwkwk,0.009
wujud,0.009
ya,0.043
yah,0.026
yang,0.111
yaudalaya,0.009
yeay,0.009
yoi,0.009
zar,0.009
