term,weight
abu,0.006
acak,0.006
acesnya,0.006
acu,0.012
ada,0.036
adalagi,0.006
adalah,0.018
adhitia,0.006
adzab,0.006
agar,0.03
agen,0.006
ah,0.006
aidin,0.006
ain,0.006
air,0.006
ajak,0.012
ajar,0.006
akan,0.024
akar,0.006
akhir,0.006
akronim,0.006
akses,0.006
alat,0.006
alhamdulila,0.006
alquran,0.006
amazon,0.006
amin,0.006
an,0.012
anabulku,0.006
anabulnya,0.006
anak,0.048
anda,0.101
andai,0.006
andang,0.006
aneh,0.006
angan,0.006
angkutan,0.006
anonim,0.006
anonymously,0.006
any,0.006
anya,0.006
anymore,0.006
apa,0.066
apani,0.012
apas,0.006
aplikasi,0.012
apresiasi,0.006
arum,0.006
ashley,0.006
asik,0.006
asiq,0.006
asuransi,0.006
asyiq,0.006
atas,0.018
atau,0.012
atik,0.006
aurel,0.006
awal,0.012
awat,0.006
awet,0.012
ayo,0.06
aza,0.006
babies,0.006
baca,0.012
bada,0.006
bagaimana,0.012
bageur,0.006
bagi,0.012
bagos,0.006
bagus,0.018
bahagia,0.012
bahas,0.024
baik,0.012
bajo,0.006
baju,0.042
balik,0.006
banci,0.012
bang,0.012
banganya,0.006
bangun,0.006
bantet,0.006
banyak,0.095
bapak,0.012
bapake,0.006
barang,0.006
baru,0.03
barutau,0.006
bas,0.006
basa,0.006
basi,0.006
batagor,0.006
bau,0.006
bawah,0.006
bawain,0.006
bawang,0.006
bayar,0.006
bayi,0.012
bcs,0.006
bebek,0.006
beberapa,0.006
beda,0.006
begini,0.018
begitu,0.072
bekas,0.024
bekuin,0.006
belah,0.006
beli,0.054
belio,0.006
belum,0.048
benar,0.036
benarkan,0.006
benda,0.006
benih,0.042
bentuk,0.006
beranda,0.006
berangan,0.012
berapa,0.012
berkata,0.018
besar,0.03
besok,0.006
betina,0.006
between,0.006
beuh,0.006
bgtsi,0.006
biadab,0.006
bic,0.006
bicara,0.006
bidang,0.006
bijak,0.006
biji,0.012
bikinin,0.03
bila,0.012
biru,0.006
bisa,0.042
bismillah,0.006
bljr,0.006
bodoh,0.018
boleh,0.006
bolong,0.012
bom,0.012
botak,0.012
bought,0.006
bowlnya,0.006
brand,0.006
bsh,0.006
buah,0.006
buang,0.006
buat,0.167
buaya,0.006
buguru,0.006
buka,0.042
bukan,0.012
bulan,0.018
bulat,0.006
bumerang,0.006
bumi,0.006
bunga,0.006
buram,0.006
burit,0.006
buruk,0.006
buset,0.006
busway,0.006
butek,0.006
cabai,0.006
called,0.006
cameras,0.006
campur,0.006
cangih,0.006
cangkol,0.006
cantik,0.006
cara,0.03
cari,0.012
catgras,0.006
cemil,0.042
cepat,0.036
cerita,0.006
ceu,0.006
chicago,0.006
chord,0.012
cilik,0.012
cing,0.006
cinta,0.012
ciptain,0.006
cirebon,0.006
coba,0.036
comist,0.006
condenser,0.006
congkel,0.006
contoh,0.006
cookies,0.006
corona,0.012
cpunya,0.006
cried,0.006
cuci,0.006
cucu,0.006
cuil,0.006
cukup,0.006
cuma,0.03
curi,0.006
customernya,0.006
dalam,0.012
damping,0.006
dan,0.042
danau,0.006
dapat,0.012
dapetnya,0.006
dar,0.012
dari,0.054
daridulu,0.006
daripada,0.012
dat,0.006
daun,0.006
dayat,0.006
days,0.012
deep,0.006
deh,0.012
dengan,0.024
dengar,0.006
depan,0.006
desain,0.012
detail,0.006
dgr,0.006
di,0.018
dia,0.006
diam,0.006
dibandingin,0.006
dibekuin,0.006
dibolehin,0.006
did,0.006
didnt,0.006
digadoin,0.006
digger,0.006
dijait,0.006
dikirimin,0.03
dikit,0.012
dilustrasikan,0.006
dimana,0.006
dingin,0.006
dinyanyin,0.006
dir,0.006
diri,0.018
disaranin,0.006
disini,0.006
diskusi,0.006
disuruh,0.006
ditanem,0.006
ditanyain,0.006
ditaro,0.006
ditunguin,0.006
doang,0.018
dokumentasi,0.012
domisili,0.006
dong,0.012
doyan,0.012
drdulu,0.006
drh,0.006
drkmrn,0.006
dsn,0.006
dulu,0.06
duta,0.006
easier,0.006
efek,0.006
ehiyak,0.006
eid,0.006
ekpektasi,0.006
