term,weight
abc,0.011
abo,0.011
acapela,0.021
acara,0.011
aceh,0.011
ada,0.021
adalah,0.074
adlan,0.011
adults,0.011
agents,0.011
ah,0.011
ahqfwm,0.011
air,0.021
ajar,0.011
akan,0.042
akhem,0.011
akhir,0.074
aksarxh,0.011
aktivitas,0.011
alex,0.011
allergies,0.011
alpukat,0.011
alyson,0.011
amal,0.011
ambil,0.011
an,0.021
anda,0.19
antropometria,0.011
aos,0.011
apa,0.084
arah,0.063
archives,0.011
ariana,0.011
arsitektur,0.011
asa,0.011
asal,0.021
asik,0.011
asyik,0.011
atas,0.021
awakens,0.011
awk,0.011
ayam,0.021
ayo,0.032
ayunda,0.011
bagaimana,0.021
bagi,0.021
bahan,0.011
baik,0.021
baker,0.011
bandung,0.021
bangsa,0.011
bangun,0.021
banyak,0.011
bapak,0.011
barang,0.011
bareng,0.021
baru,0.042
based,0.011
bebas,0.011
beberapa,0.011
become,0.011
begitu,0.042
behind,0.011
bel,0.032
belah,0.011
benar,0.053
benih,0.011
bentar,0.011
beri,0.011
berita,0.011
berkas,0.011
bermanfat,0.011
betul,0.021
beyonc,0.011
beyonce,0.011
biasa,0.011
bicara,0.011
biking,0.011
bil,0.158
binatang,0.011
bintang,0.021
bisa,0.042
bisnis,0.011
blah,0.021
blingy,0.011
bofice,0.011
bojong,0.011
bola,0.021
bom,0.011
bor,0.011
borong,0.011
bosan,0.032
botol,0.011
brainwars,0.011
breaking,0.011
bright,0.011
brock,0.011
bruno,0.021
bts,0.032
buakpxh,0.011
buat,0.053
buka,0.011
bulan,0.021
buruk,0.011
burung,0.011
buts,0.011
cahaya,0.011
cakar,0.021
cakuenya,0.011
called,0.011
capela,0.011
cara,0.011
cari,0.011
carpool,0.011
cause,0.011
cepat,0.021
cerita,0.011
cfi,0.011
ckx,0.011
co,0.158
coba,0.032
coldplay,0.011
comes,0.011
controlwdbhgkis,0.011
da,0.011
dadah,0.021
dadak,0.011
daftar,0.011
dalam,0.032
dan,0.169
danang,0.011
dang,0.021
dapat,0.021
darah,0.021
darat,0.011
dari,0.158
darto,0.011
datang,0.032
decor,0.011
definisi,0.011
deng,0.011
dengan,0.063
depresi,0.011
desah,0.011
desain,0.011
desta,0.011
detik,0.021
dghwed,0.011
di,0.053
did,0.011
dihereyan,0.011
dilema,0.011
dimensi,0.011
directioners,0.011
diri,0.032
disini,0.011
disney,0.011
diving,0.011
dogstep,0.011
donuts,0.011
draconian,0.011
drawingnya,0.011
dreams,0.011
dubai,0.011
dulu,0.021
dunia,0.011
duty,0.011
earwormusic,0.021
eaten,0.011
ed,0.011
edit,0.021
eh,0.011
electronics,0.011
elie,0.011
emas,0.011
enak,0.011
epik,0.011
episode,0.011
er,0.011
ergonomia,0.011
errors,0.011
es,0.011
eskimo,0.011
euy,0.011
everywhere,0.011
evolusi,0.011
explodes,0.011
faces,0.011
fail,0.021
fails,0.011
fajar,0.011
falon,0.011
far,0.011
fase,0.011
fatherhood,0.011
favorit,0.011
fbyz,0.011
feb,0.011
film,0.011
fine,0.021
flower,0.011
foster,0.011
foto,0.032
fx,0.011
gambar,0.011
game,0.063
gelisah,0.011
gempal,0.011
gera,0.011
gila,0.011
gin,0.011
ginianya,0.011
giring,0.011
goals,0.021
gone,0.011
gordon,0.021
gramy,0.011
grande,0.011
gratis,0.032
gulung,0.011
gunung,0.011
hadap,0.011
haha,0.074
hahahahahahahahah,0.011
hai,0.032
halftime,0.021
hanagami,0.011
hancur,0.011
hanya,0.042
harap,0.021
hari,0.021
harry,0.011
harus,0.032
hasil,0.011
hastuti,0.011
hati,0.011
hayo,0.011
hd,0.011
hebat,0.021
henti,0.011
heran,0.011
herey,0.011
heroes,0.011
hfsjpqzlsk,0.011
hidup,0.021
hilang,0.011
hoh,0.011
hormat,0.011
horrendous,0.011
houz,0.011
htp,0.158
huahuahu,0.011
hujan,0.021
hukum,0.011
hyl,0.011
ibu,0.095
idap,0.011
iei,0.011
ikut,0.011
imposibru,0.011
in,0.106
indah,0.011
indonesia,0.011
indy,0.011
ingat,0.011
ingin,0.021
ini,0.095
inten,0.011
io,0.011
ipkas,0.011
ironis,0.011
ismail,0.011
itu,0.306
iya,0.032
izinrzy,0.011
jack,0.011
jackson,0.021
jadi,0.148
jam,0.021
januari,0.011
jauh,0.011
jembatan,0.011
jenis,0.011
jenius,0.011
jimmy,0.011
jiwa,0.011
joel,0.011
juga,0.021
julius,0.011
jung,0.021
kabisat,0.011
kacau,0.011
kalah,0.021
kalau,0.021
kali,0.011
kalian,0.021
kamar,0.011
kan,0.021
kantor,0.011
karaoke,0.011
kasih,0.042
kate,0.032
ke,0.011
kebun,0.011
kecil,0.011
kelas,0.011
keluar,0.021
keluarga,0.011
kembali,0.021
ken,0.011
kena,0.011
kenapa,0.032
kenur,0.011
keprok,0.011
keran,0.011
keren,0.011
kerja,0.011
ketika,0.032
keupload,0.011
kicks,0.011
kira,0.011
kita,0.011
kj,0.011
kode,0.011
komersial,0.011
konsen,0.011
kopi,0.021
kristen,0.011
kuat,0.021
kucing,0.021
kuku,0.011
kuliah,0.011
kurang,0.011
kyle,0.011
la,0.011
lads,0.011
lagi,0.021
lah,0.063
lain,0.011
laki,0.011
laku,0.021
lampu,0.011
langsung,0.032
laundromat,0.011
layar,0.011
lebar,0.011
lebih,0.011
lelucon,0.011
lemonade,0.011
lempar,0.011
less,0.011
leuser,0.011
lewat,0.021
libat,0.011
libur,0.011
licik,0.011
lihat,0.042
lingkar,0.011
lipa,0.011
ll,0.021
london,0.011
look,0.011
loop,0.011
luar,0.011
lupa,0.011
maaf,0.011
made,0.021
mahasiswa,0.011
main,0.021
maju,0.011
makers,0.011
maket,0.011
malam,0.011
malas,0.011
mana,0.021
manga,0.011
mangkuk,0.011
mantap,0.011
manusia,0.011
mars,0.021
martin,0.011
marty,0.011
marzuki,0.011
masa,0.011
mashups,0.011
masih,0.011
masing,0.021
mati,0.021
mau,0.042
maudy,0.011
medley,0.021
mehehe,0.011
memang,0.042
menit,0.011
merah,0.021
mereka,0.042
mereun,0.011
mes,0.011
michael,0.011
milik,0.021
mini,0.021
minta,0.011
misi,0.011
moana,0.011
mohon,0.011
monwalker,0.011
mr,0.021
muda,0.011
mudah,0.011
mudal,0.011
mufliato,0.021
muggles,0.011
mulai,0.011
mulus,0.011
munafik,0.011
mungkin,0.032
museum,0.011
musikal,0.011
naik,0.011
nanti,0.011
napas,0.011
neduh,0.011
negara,0.021
ngevine,0.011
ngitung,0.011
niat,0.011
nick,0.011
nikmatin,0.011
ningalin,0.011
ninja,0.011
nobody,0.021
nononton,0.011
nyala,0.063
nyamuk,0.021
nyanyi,0.011
nyata,0.011
nyebut,0.011
ohahahahahahaha,0.011
oke,0.032
oleh,0.137
orang,0.011
otak,0.011
over,0.011
oy,0.021
padahal,0.021
paham,0.021
paid,0.011
pakai,0.011
paksa,0.011
paling,0.011
panero,0.011
panggil,0.011
panjang,0.032
paradise,0.011
paraf,0.011
parah,0.032
pasu,0.011
pb,0.011
pdf,0.011
pendek,0.011
penjara,0.011
penuh,0.021
peoples,0.011
perang,0.011
performances,0.011
performs,0.011
perhaps,0.011
periksa,0.011
pernah,0.011
petisi,0.011
pft,0.011
pikir,0.021
pilot,0.011
pindah,0.011
pintar,0.011
pis,0.011
pixar,0.011
poghyacmq,0.011
polisi,0.011
pop,0.032
possible,0.011
posted,0.021
potter,0.011
pov,0.011
pranks,0.011
primananda,0.011
pro,0.011
pt,0.011
pulang,0.011
pumped,0.011
pun,0.021
punwk,0.011
punya,0.032
putih,0.021
qanun,0.011
qbvo,0.011
qc,0.011
rahasia,0.011
raja,0.011
ramadan,0.011
ramsay,0.011
ramsays,0.011
rasa,0.011
reacting,0.011
reaksi,0.042
relin,0.011
remaja,0.021
remix,0.021
renovasi,0.011
reryan,0.032
retak,0.032
retro,0.011
revisi,0.011
rewind,0.011
rh,0.011
rindu,0.011
ronsons,0.011
roots,0.011
rsud,0.011
ruang,0.011
rumah,0.042
rusuh,0.011
ry,0.011
ryan,0.021
saat,0.011
saja,0.063
salah,0.032
salju,0.011
sampai,0.095
santai,0.011
satu,0.084
saudara,0.042
saya,0.274
sayang,0.032
scallops,0.011
screenwriter,0.011
seadnya,0.011
sebuah,0.169
sederhana,0.011
sejarah,0.011
sekali,0.011
sekarang,0.042
sekolah,0.011
selalu,0.021
selamat,0.042
selfless,0.011
sembilan,0.032
seminggu,0.011
semoga,0.011
sempurna,0.011
semua,0.063
senang,0.011
sendiri,0.021
seperti,0.074
sepuh,0.011
serab,0.011
seret,0.011
seri,0.011
serikat,0.021
sfauis,0.011
shenanigans,0.011
sheran,0.011
si,0.011
sianida,0.011
siap,0.021
siapa,0.042
sidang,0.011
sih,0.011
sihir,0.011
sike,0.011
simpan,0.011
sinar,0.011
sivan,0.011
skitzo,0.011
skor,0.011
slither,0.011
smhakmcw,0.011
snopavision,0.011
sombong,0.011
somebody,0.011
somehow,0.011
sore,0.011
spilled,0.011
sprinkles,0.011
stevie,0.011
stoner,0.011
suasana,0.011
sudah,0.074
sungguh,0.021
sungha,0.021
super,0.011
superbowl,0.011
survived,0.011
