term,weight
ada,0.071
aduh,0.004
agar,0.013
agen,0.004
ah,0.04
ahli,0.004
air,0.004
ajak,0.018
ajar,0.004
akan,0.027
akhir,0.031
aktifin,0.004
akumah,0.004
akuntansi,0.004
al,0.004
alam,0.018
alkohol,0.004
allah,0.004
alungin,0.004
aman,0.009
ambul,0.004
amin,0.004
aminin,0.004
ampun,0.004
an,0.022
anak,0.004
anda,0.058
anday,0.004
aneh,0.013
antislam,0.004
antre,0.004
apa,0.142
apain,0.004
aplikasi,0.009
arti,0.004
asal,0.004
atas,0.004
atau,0.009
awal,0.013
ayah,0.004
ayo,0.053
azhar,0.004
baca,0.044
badan,0.004
bagaimana,0.049
bahagia,0.004
baik,0.013
balas,0.004
balik,0.018
bandara,0.009
banding,0.009
bandung,0.044
bangun,0.018
banjir,0.004
bantu,0.009
banyak,0.066
bara,0.004
barang,0.009
bareng,0.013
baru,0.053
bawa,0.022
bawah,0.004
bayang,0.009
bayar,0.004
beberapa,0.031
beda,0.049
begini,0.013
begitu,0.093
beh,0.004
belanja,0.004
beli,0.018
belum,0.004
benar,0.066
benci,0.009
beranta,0.009
berat,0.009
berita,0.004
besar,0.004
besok,0.009
besties,0.004
betah,0.004
biasa,0.053
bibit,0.004
bibits,0.004
bicara,0.013
bilang,0.044
bingung,0.013
bisa,0.04
blok,0.004
bodoh,0.013
bodonya,0.004
bola,0.009
bom,0.044
botol,0.009
buat,0.066
buka,0.013
bukan,0.027
bukber,0.013
buku,0.031
bulak,0.004
buru,0.004
butuh,0.04
ca,0.027
caca,0.009
cacat,0.004
california,0.004
cara,0.009
cari,0.004
cases,0.004
casesnya,0.004
cawkang,0.004
cc,0.009
celaka,0.004
cemil,0.013
ceo,0.004
cepat,0.027
cerita,0.004
ceu,0.004
cewenya,0.004
checkin,0.004
chicago,0.004
cianjur,0.004
cinta,0.013
ciodeng,0.004
cit,0.031
citra,0.009
cius,0.004
co,0.004
coba,0.035
corona,0.004
couldnt,0.004
cpt,0.004
crackers,0.004
cuci,0.004
culi,0.004
cuma,0.022
curhat,0.004
curhatanya,0.004
curious,0.004
cus,0.004
da,0.031
daftar,0.009
dago,0.004
dahar,0.009
dalam,0.004
dalet,0.004
damar,0.004
dampak,0.004
dan,0.009
dapat,0.027
dari,0.009
darurat,0.004
dasar,0.004
datang,0.013
datar,0.004
dc,0.004
deh,0.022
dekat,0.009
deng,0.004
dengan,0.013
dengar,0.022
dengernya,0.004
depan,0.004
di,0.018
dia,0.004
dibenerin,0.004
dicarin,0.004
didinya,0.009
dikeluarin,0.004
dikit,0.009
dimatin,0.004
dinabila,0.004
dingin,0.004
dipelajarin,0.004
dipendem,0.004
dipolres,0.004
dirasain,0.009
diri,0.018
disimpen,0.004
diskriminasi,0.009
doang,0.009
dong,0.106
donuts,0.004
dt,0.004
dua,0.009
duduk,0.004
dulu,0.031
duluan,0.009
dunia,0.009
dunkin,0.004
dzikir,0.004
edan,0.009
efek,0.009
eh,0.018
ehe,0.004
email,0.004
enak,0.018
encok,0.004
entah,0.013
er,0.027
erlinda,0.004
euy,0.009
eweuh,0.004
fe,0.009
formalitas,0.004
foto,0.009
foya,0.009
francisco,0.009
gadis,0.009
gaenak,0.013
gajak,0.009
gakuat,0.009
ganti,0.004
gara,0.035
garing,0.004
garis,0.013
gasabar,0.004
gaya,0.004
ge,0.009
gelap,0.004
gembira,0.009
gemeteran,0.004
getah,0.044
gih,0.004
gilir,0.009
gin,0.066
gr,0.004
gugup,0.009
habis,0.004
haduh,0.009
haha,0.106
hai,0.018
halal,0.004
hampir,0.004
hany,0.004
hanya,0.009
harap,0.004
hari,0.049
haru,0.004
harus,0.013
hati,0.009
hatur,0.004
hay,0.004
hemat,0.004
henteu,0.009
heuh,0.004
heula,0.004
hidup,0.004
hilang,0.009
hingga,0.018
his,0.004
hotel,0.009
htp,0.004
hubungan,0.004
hukum,0.004
humoris,0.004
hutang,0.004
hyper,0.004
hypermart,0.004
ibu,0.097
icbp,0.004
ih,0.044
ika,0.009
ikut,0.027
indf,0.004
indofod,0.004
indonesia,0.004
ingat,0.013
ingin,0.009
ini,0.035
insya,0.022
internet,0.009
inti,0.004
introvert,0.004
introverted,0.004
isi,0.018
isnt,0.004
istilah,0.004
itu,0.071
iya,0.133
iyaih,0.009
jadi,0.106
jadwal,0.004
jail,0.009
jakarta,0.004
jalan,0.053
jam,0.058
jarak,0.004
jarang,0.009
jari,0.004
jauh,0.018
jawa,0.004
jco,0.004
jelas,0.004
jelek,0.009
jeng,0.004
jenius,0.013
jenuh,0.004
jepang,0.053
jet,0.004
jika,0.004
juga,0.022
jujur,0.009
jumat,0.004
kabar,0.004
kadang,0.018
kadieu,0.004
kaditu,0.004
kagoda,0.004
kaki,0.004
kalau,0.182
kali,0.04
kalian,0.013
kamana,0.013
kamar,0.004
kampus,0.004
kan,0.022
kapan,0.031
karakter,0.004
karantina,0.004
karaoke,0.004
karena,0.08
karuan,0.004
kas,0.004
kasar,0.004
kasih,0.004
kasus,0.013
kata,0.062
kawan,0.004
kbndg,0.004
ke,0.013
kebahagian,0.004
kebalikanya,0.004
kebesaranya,0.004
kebut,0.004
kece,0.004
kecil,0.004
kegiatanya,0.004
keilangan,0.004
kelas,0.004
keliatanya,0.004
keluar,0.022
keluarin,0.004
kemans,0.004
kemarin,0.08
kemas,0.004
kembali,0.009
kembang,0.004
ken,0.031
kenal,0.009
kenanga,0.009
kenapa,0.031
kenyang,0.004
kenyat,0.004
kepakenya,0.004
kepala,0.004
keran,0.004
kerja,0.004
kerudung,0.027
kesan,0.004
kesana,0.018
kesini,0.018
ketemu,0.018
keun,0.004
khusus,0.004
kieu,0.009
kilo,0.004
kilogram,0.004
kios,0.004
kira,0.009
kita,0.035
kitu,0.004
koas,0.004
koma,0.004
konsul,0.004
koper,0.004
kopi,0.004
kosong,0.009
ktp,0.009
kualitas,0.004
kuat,0.004
kuliah,0.009
kurang,0.013
kursus,0.004
ladies,0.004
lagi,0.009
lah,0.058
lain,0.009
laku,0.004
lama,0.031
lampu,0.009
langsung,0.022
lapar,0.004
latar,0.004
lebih,0.04
lee,0.004
lega,0.004
leher,0.004
lel,0.009
lelah,0.004
lewat,0.022
liatin,0.009
libur,0.022
lihat,0.066
lilan,0.004
lima,0.004
lingkar,0.004
lipat,0.004
lisan,0.004
ln,0.004
lonjak,0.004
luar,0.009
lup,0.004
lupa,0.004
lutfiyah,0.004
maaf,0.009
maafin,0.004
mabals,0.004
macemnya,0.004
maha,0.009
main,0.009
makan,0.027
makanya,0.009
makin,0.018
malah,0.058
malam,0.027
malas,0.013
malu,0.009
mana,0.066
mandi,0.004
mantau,0.004
marah,0.004
masa,0.004
masalah,0.004
masih,0.018
masker,0.018
masuk,0.027
matahari,0.004
mati,0.013
mau,0.137
mbung,0.004
memang,0.071
mendem,0.004
mendengarkan,0.013
menikah,0.004
merah,0.004
mereka,0.009
mesin,0.004
mh,0.009
mimpi,0.004
minggu,0.009
minjem,0.004
minjemin,0.004
minta,0.013
minum,0.009
misal,0.004
misi,0.009
mongolia,0.004
mpit,0.009
mudah,0.004
mudik,0.004
muka,0.004
mulai,0.027
mun,0.004
mungkin,0.022
muslim,0.035
na,0.018
nabila,0.013
nabung,0.013
nagih,0.004
nah,0.009
nahanya,0.004
naik,0.004
nama,0.004
nang,0.013
nanganinya,0.004
nanyanya,0.004
negara,0.022
negri,0.004
neken,0.004
nelf,0.004
nempel,0.004
nerapin,0.004
newyork,0.004
ngadepin,0.004
ngan,0.004
ngangap,0.004
ngangkat,0.004
ngantri,0.004
ngantuk,0.004
ngaret,0.004
ngebayangin,0.009
ngebut,0.004
ngegumpal,0.004
ngehambatnya,0.004
ngejar,0.004
ngeremehin,0.004
ngertin,0.004
ngetik,0.004
ngilu,0.004
ngira,0.004
ngirimnya,0.004
ngomongnya,0.004
ngomongpun,0.004
ngumpul,0.004
niat,0.004
niatin,0.004
nikmat,0.004
nleyi,0.004
nol,0.004
nongkrong,0.004
notes,0.004
novel,0.004
nu,0.009
nuhun,0.004
nunduk,0.009
nv,0.004
nya,0.066
nyaman,0.022
nyapa,0.004
nyata,0.049
oiya,0.004
omi,0.004
omong,0.004
ongkosin,0.004
online,0.004
orang,0.155
pa,0.004
pacar,0.004
packing,0.009
pada,0.004
padahal,0.062
padalarang,0.004
padet,0.009
pagi,0.009
paham,0.018
pakai,0.049
pakenya,0.004
paling,0.018
palsu,0.004
panas,0.004
panembong,0.004
parah,0.004
paris,0.004
parno,0.004
pasti,0.013
pasu,0.004
pegang,0.004
pemeriksan,0.004
pena,0.004
penting,0.004
penuh,0.009
per,0.009
peran,0.004
perang,0.009
peras,0.004
percaya,0.004
pergi,0.031
periksa,0.009
pernah,0.027
pertangal,0.004
pesantren,0.004
pikir,0.097
pilih,0.004
pin,0.009
pindah,0.009
pinehil,0.004
pinggang,0.004
pintar,0.004
plek,0.009
pokok,0.018
portabel,0.004
pos,0.004
psikis,0.004
psikolog,0.013
pulang,0.044
pulau,0.004
pulsa,0.004
pun,0.004
punya,0.018
pusing,0.004
putar,0.004
rada,0.004
ramah,0.004
rasa,0.066
rban,0.004
rdpu,0.004
reda,0.004
rendah,0.004
responsif,0.009
ribu,0.009
rindu,0.066
romantis,0.004
rugi,0.004
rumah,0.049
rumit,0.004
saat,0.009
saba,0.004
sabandar,0.004
sabar,0.004
sabaraha,0.004
sabtu,0.013
saf,0.009
saja,0.213
sakit,0.013
salah,0.013
salam,0.013
saling,0.004
sama,0.133
sampai,0.097
san,0.009
sana,0.035
sangat,0.013
santi,0.009
sapa,0.004
sapi,0.004
satu,0.009
saudara,0.04
saya,0.248
sayang,0.004
sebagai,0.004
sebuah,0.027
sedang,0.009
sedih,0.009
sedikit,0.027
segala,0.004
segera,0.004
sehat,0.009
sejak,0.004
sejuk,0.004
sekali,0.133
sekarang,0.022
sekolah,0.004
selalu,0.031
selamat,0.004
selesai,0.013
semoga,0.009
sempat,0.004
semsem,0.004
semua,0.027
sendiri,0.009
senganya,0.004
senin,0.009
sent,0.004
seperti,0.164
sering,0.04
serius,0.013
seru,0.013
sesak,0.004
sesal,0.013
seseorang,0.004
set,0.004
si,0.018
siang,0.009
siap,0.004
siapa,0.022
sibuk,0.013
sih,0.089
sini,0.04
sms,0.009
soal,0.009
sok,0.004
sombong,0.013
someday,0.004
sore,0.004
soybean,0.004
starbucks,0.004
steak,0.009
stepped,0.004
suasana,0.009
sudah,0.235
suhu,0.004
suka,0.066
sulit,0.004
suruh,0.013
susah,0.009
susahin,0.004
swalayan,0.004
swasta,0.004
syarat,0.009
syariah,0.004
syok,0.009
syukur,0.004
tabung,0.004
tadi,0.022
tafakur,0.004
tahu,0.062
tahun,0.009
takut,0.018
tal,0.013
tambah,0.035
tan,0.044
tanam,0.004
tangan,0.009
tanggal,0.022
tanjung,0.009
tante,0.018
tanya,0.013
tapi,0.035
tarung,0.004
tawa,0.084
tayamum,0.004
tebang,0.004
tegang,0.004
teh,0.004
telat,0.013
telepon,0.009
telfonin,0.004
temenin,0.004
tempat,0.004
temu,0.018
tengah,0.004
tentu,0.009
tepat,0.004
terapi,0.004
terbaik,0.004
terbang,0.004
terconect,0.004
