term,weight
ada,0.053
adha,0.008
agar,0.023
ah,0.008
ajak,0.008
ajar,0.008
ajasi,0.008
akan,0.015
akhir,0.015
akses,0.008
akun,0.015
alas,0.008
alih,0.008
alir,0.008
aman,0.008
ambil,0.023
amin,0.045
an,0.015
anak,0.068
anda,0.015
andai,0.008
anggur,0.008
apa,0.098
astaga,0.008
atas,0.015
atau,0.008
awal,0.008
awat,0.008
ayo,0.053
baca,0.076
bagaimana,0.038
bagus,0.008
bahagia,0.008
baik,0.03
baju,0.038
bakar,0.015
balas,0.023
balesinya,0.008
balik,0.015
bangun,0.023
banyak,0.03
bapak,0.023
bar,0.008
barang,0.008
baru,0.053
batas,0.008
batin,0.008
bawa,0.015
bayangin,0.023
beda,0.03
begini,0.03
begitu,0.136
belah,0.008
belanja,0.008
beli,0.061
belum,0.008
benang,0.008
benar,0.03
benci,0.03
benda,0.008
bengok,0.008
berani,0.008
berapa,0.008
bermanfat,0.008
bersih,0.008
besar,0.015
besok,0.008
betul,0.008
biasa,0.03
bicara,0.008
bijine,0.008
bilang,0.015
bingung,0.03
bioskop,0.008
bisa,0.03
blok,0.008
blokir,0.008
bodoh,0.03
bojomu,0.008
bosan,0.008
bringsik,0.008
buaik,0.008
buang,0.015
buat,0.068
budhe,0.008
buka,0.008
bukan,0.023
buku,0.015
bulan,0.023
buodo,0.008
burger,0.008
butuh,0.023
cantik,0.015
cara,0.008
cari,0.008
cekit,0.015
celana,0.008
cemil,0.038
cenayang,0.008
cerita,0.023
cheese,0.008
cicik,0.008
cilok,0.008
confidentiality,0.015
corona,0.015
cowoku,0.008
cringa,0.008
culek,0.008
cuma,0.015
cumi,0.008
cuy,0.008
dadi,0.008
dapat,0.015
dapetin,0.008
dari,0.008
daripada,0.008
days,0.008
deh,0.023
dekat,0.008
del,0.038
deng,0.008
dengan,0.008
dengar,0.008
depa,0.015
depan,0.015
dewe,0.008
di,0.045
dia,0.008
diam,0.015
dias,0.008
diceritain,0.008
didik,0.015
digawe,0.008
dikit,0.015
dikon,0.008
dilema,0.008
diliatin,0.015
dipisoh,0.008
diri,0.023
disalahke,0.008
doang,0.023
dokter,0.03
dosen,0.061
dramaqu,0.008
duduk,0.008
dulu,0.03
duluan,0.015
efek,0.023
efektif,0.008
eh,0.03
elek,0.008
els,0.008
elsa,0.008
embuh,0.023
emoh,0.008
emosi,0.008
enak,0.023
engap,0.008
entah,0.015
ewoh,0.008
faedah,0.008
far,0.023
fokus,0.008
foto,0.023
fungsi,0.008
gabul,0.008
gadis,0.008
gaenak,0.008
gandeng,0.008
ganguanya,0.008
ganti,0.038
gara,0.008
gas,0.008
gaya,0.008
geli,0.008
gemas,0.015
gendut,0.015
gera,0.008
gigi,0.015
gin,0.083
gobal,0.008
grapyak,0.008
gur,0.008
habis,0.015
hadap,0.008
haduh,0.015
haha,0.008
hai,0.038
halaman,0.008
handscon,0.03
hanya,0.008
harga,0.008
hari,0.053
harus,0.023
hasil,0.008
healah,0.008
heran,0.015
hewan,0.008
hidup,0.008
hih,0.008
hijau,0.008
hikmah,0.008
hilang,0.008
hingga,0.008
hormat,0.008
hujat,0.008
hypermart,0.008
ibu,0.023
idul,0.008
ie,0.008
ikut,0.015
imsya,0.008
indonesah,0.008
indonesia,0.038
ingat,0.015
ingin,0.015
ini,0.061
instagram,0.008
isi,0.015
isin,0.008
isone,0.008
item,0.008
itu,0.076
iya,0.023
ja,0.008
jadi,0.121
jadwal,0.015
jajan,0.023
jalan,0.038
jalar,0.008
jamanya,0.008
jane,0.008
jarak,0.008
jarjit,0.008
jauh,0.023
jawab,0.015
jeh,0.008
jelas,0.015
jelek,0.015
jeruk,0.008
jijik,0.023
jorok,0.015
jrx,0.008
jual,0.015
juga,0.053
jumat,0.008
kabar,0.008
kabeh,0.015
kalah,0.008
kalau,0.182
kali,0.008
kamar,0.008
kampus,0.015
kan,0.061
kaos,0.008
kapan,0.023
karena,0.008
kasar,0.008
kasi,0.015
kasih,0.008
kasihan,0.015
kata,0.015
kayak,0.061
ke,0.015
kecewa,0.008
kecil,0.023
kejut,0.015
kekanak,0.008
kelam,0.008
kelengkeng,0.008
kelilip,0.008
keluar,0.015
keluarga,0.008
kemari,0.008
kemarin,0.045
kembali,0.008
kemranyas,0.015
ken,0.129
kena,0.008
kenal,0.015
kenapa,0.106
kenopo,0.008
kerja,0.008
kesal,0.023
kesini,0.008
ketawa,0.023
ketemu,0.015
keuwuan,0.008
khalayak,0.008
ki,0.023
kolor,0.008
komedi,0.008
komentar,0.008
kos,0.015
kotoranya,0.008
kualitas,0.008
kuatir,0.008
kui,0.03
kupake,0.008
kurang,0.008
