term,weight
abistu,0.007
abu,0.007
acara,0.007
ada,0.063
adjie,0.007
agar,0.021
ah,0.014
ajade,0.007
ajadeh,0.007
ajak,0.007
ajar,0.014
aji,0.007
akan,0.028
akhir,0.007
alas,0.007
alis,0.007
amigos,0.007
amin,0.014
amizah,0.007
an,0.007
anak,0.09
anda,0.222
andai,0.007
aneh,0.028
angek,0.007
antem,0.021
anti,0.014
anu,0.007
apa,0.09
apalage,0.007
aris,0.007
asik,0.007
astaga,0.007
atas,0.007
atur,0.014
awal,0.049
ayaflu,0.007
ayah,0.007
ayahable,0.007
ayam,0.007
badan,0.007
bagai,0.007
bagaimana,0.056
bah,0.007
bahagia,0.063
baik,0.097
baju,0.021
bakarin,0.007
bakpau,0.007
bakwan,0.007
balas,0.007
balik,0.014
bambank,0.014
bana,0.007
bandara,0.007
bang,0.007
bangun,0.014
bantu,0.021
banyak,0.014
bareng,0.014
baru,0.035
basah,0.007
batin,0.007
bawa,0.014
baya,0.007
bayang,0.007
bayi,0.007
bayik,0.014
beban,0.007
bebqu,0.007
beby,0.021
beda,0.007
begadoh,0.007
begitu,0.028
bek,0.014
belah,0.007
belawan,0.021
beli,0.007
belum,0.021
benar,0.014
ber,0.007
berani,0.007
berapa,0.007
berfikir,0.007
berita,0.007
besar,0.042
bhaiq,0.007
biasa,0.042
bicara,0.014
bihun,0.007
bila,0.007
bilang,0.021
bisa,0.035
bkg,0.007
blabla,0.014
blokir,0.007
bodoh,0.014
boleh,0.021
brownies,0.007
buang,0.014
buat,0.042
bujuk,0.007
buka,0.007
bukan,0.042
bullying,0.007
buruk,0.007
buryam,0.007
butuh,0.007
cakap,0.007
cakep,0.014
capri,0.007
cara,0.014
cari,0.021
celana,0.007
cemil,0.063
cepat,0.014
cerita,0.014
cewenya,0.007
chatnya,0.014
chin,0.007
cinta,0.014
cium,0.007
ciyin,0.007
cuci,0.028
cukup,0.007
cuma,0.021
dadak,0.007
dalam,0.014
dapat,0.007
dari,0.028
dasar,0.014
datang,0.014
deh,0.028
dek,0.007
dengan,0.035
dengar,0.014
dengernya,0.007
depan,0.014
