term,weight
ada,0.048
adab,0.006
adan,0.006
adepin,0.006
aduh,0.006
agak,0.006
agar,0.036
ah,0.018
ahelah,0.006
ajar,0.024
akan,0.048
akhir,0.012
akun,0.012
ala,0.024
alahuma,0.006
alam,0.006
alas,0.024
alexandria,0.006
alfalaq,0.006
alfamart,0.006
alhamdulilahnya,0.006
alih,0.006
alikhlas,0.006
aman,0.006
ambil,0.018
amin,0.006
ampun,0.006
an,0.03
anak,0.024
anda,0.048
aneh,0.018
angkat,0.006
apa,0.119
apalagi,0.006
arah,0.006
arti,0.018
asa,0.006
asam,0.006
asik,0.012
asing,0.006
asli,0.006
atas,0.006
awal,0.006
ayo,0.012
baca,0.042
bagai,0.006
bagaimana,0.018
bagi,0.006
bahagia,0.006
bahas,0.006
bahasa,0.006
bahaya,0.006
bahkan,0.012
baik,0.214
bakat,0.006
bakuhantam,0.006
balas,0.024
balesan,0.006
balesanya,0.012
balik,0.006
bang,0.006
bangat,0.006
bangga,0.012
bantu,0.006
banyak,0.054
bapak,0.012
baru,0.012
basa,0.006
basi,0.006
bawah,0.006
bebal,0.006
beban,0.012
bebas,0.006
beberapa,0.018
beda,0.024
begadang,0.006
begini,0.012
begitu,0.083
begy,0.006
belang,0.006
belanja,0.006
beli,0.012
belum,0.03
benang,0.006
benar,0.054
benci,0.006
berani,0.012
berapa,0.006
beri,0.024
besar,0.006
betapa,0.006
biadab,0.006
bias,0.006
biasa,0.018
bicara,0.018
bijak,0.012
bilang,0.024
bingung,0.024
bisa,0.03
bisu,0.006
bohong,0.006
bola,0.006
boleh,0.018
bosan,0.012
buat,0.155
buka,0.012
bukan,0.054
bulan,0.018
bulanya,0.006
bulu,0.006
buru,0.036
buruk,0.006
cantik,0.006
cari,0.03
cashback,0.006
cemil,0.024
cepat,0.018
cerah,0.006
ceramah,0.012
cerdas,0.006
cerita,0.012
cermatin,0.006
cetak,0.006
cil,0.006
cinta,0.006
coba,0.03
cocok,0.006
cogan,0.006
contoh,0.006
ctak,0.006
cukup,0.012
cuma,0.054
curhat,0.006
da,0.006
dahal,0.006
dalam,0.012
dan,0.012
dapat,0.012
dar,0.012
darah,0.006
dari,0.012
dasar,0.006
data,0.006
datang,0.006
deh,0.012
dengan,0.006
dengar,0.006
depan,0.012
desa,0.006
di,0.024
dia,0.012
diam,0.012
dian,0.006
diangap,0.006
dibiarin,0.006
didenger,0.006
difolow,0.006
dihack,0.006
dikit,0.012
diklaksonin,0.006
dilema,0.012
dilunasin,0.006
dimanfatin,0.006
dingatkan,0.006
dinstal,0.006
dipelajarin,0.006
dipisahin,0.006
diri,0.03
ditemplokin,0.006
diungkapin,0.006
doa,0.024
doang,0.024
dolog,0.006
dong,0.006
dosa,0.012
dsistem,0.006
duga,0.012
dukung,0.018
dulu,0.042
duniamaya,0.006
dunianyata,0.006
eh,0.012
em,0.006
emen,0.006
enak,0.018
energen,0.006
eskrim,0.006
fisik,0.006
foto,0.006
freezer,0.006
frekuensi,0.012
gadis,0.018
galou,0.012
ganti,0.012
gara,0.024
gasih,0.006
gebog,0.006
gembira,0.006
gertak,0.006
gin,0.006
goa,0.185
google,0.006
gopay,0.006
habis,0.03
hadapin,0.006
haha,0.024
hai,0.012
hakim,0.006
hal,0.018
halal,0.006
halang,0.006
hancur,0.006
hantam,0.006
hanya,0.024
harap,0.036
harapanya,0.006
harga,0.006
hari,0.024
harus,0.018
hatam,0.006
hati,0.024
henti,0.006
heran,0.012
heu,0.006
hidup,0.024
hih,0.06
hilang,0.018
hina,0.006
hiragana,0.006
hitam,0.006
hobi,0.006
hormat,0.006
hua,0.006
hujan,0.012
ibadah,0.006
ibarat,0.006
ibu,0.054
ikut,0.036
imbang,0.006
impi,0.006
in,0.006
indocafe,0.006
indonesia,0.006
indosat,0.006
ingat,0.024
ingin,0.012
ini,0.048
inj,0.006
insekyur,0.006
inspirasi,0.006
instagram,0.012
instastory,0.006
insya,0.006
internet,0.012
inti,0.006
iri,0.012
isi,0.012
islamic,0.006
item,0.006
itu,0.071
iya,0.077
izin,0.006
jadi,0.083
jadin,0.006
jaga,0.006
jahe,0.006
