term,weight
ac,0.009
acak,0.009
ada,0.037
adalah,0.028
adan,0.009
admin,0.047
aduh,0.019
aera,0.009
agar,0.019
agresip,0.009
air,0.009
ajar,0.028
aju,0.009
akhir,0.037
ala,0.009
aladin,0.009
alang,0.019
alir,0.009
alpukat,0.009
ambek,0.019
an,0.009
anak,0.009
anda,0.131
anggota,0.009
apa,0.075
apart,0.009
apas,0.009
apik,0.009
arek,0.037
areke,0.009
arep,0.009
aroma,0.009
arti,0.009
asek,0.009
astaga,0.009
asw,0.019
atau,0.009
atensi,0.009
atur,0.009
ayo,0.028
backstage,0.009
bacyot,0.009
bagaimana,0.056
bahagia,0.009
baik,0.056
baju,0.009
bakso,0.009
balik,0.019
balon,0.009
bangun,0.037
bangunin,0.019
banjir,0.009
banyak,0.009
bar,0.009
baru,0.056
bau,0.009
bawang,0.009
bebal,0.009
beda,0.009
bedan,0.009
begitu,0.019
beku,0.009
belakang,0.009
belanja,0.009
belum,0.028
benar,0.028
benci,0.028
berani,0.009
beri,0.019
besar,0.009
biasa,0.019
bijaksana,0.009
bila,0.009
bilang,0.009
bir,0.009
bisa,0.009
bkal,0.009
bnar,0.009
bodoh,0.009
bojo,0.009
bolak,0.009
boleh,0.028
bor,0.009
buat,0.065
buka,0.019
bukan,0.047
bukane,0.009
burung,0.009
butuh,0.019
cahaya,0.019
canda,0.009
candu,0.009
canggung,0.009
cara,0.009
cari,0.009
cat,0.009
catfish,0.009
celana,0.009
cemburu,0.019
cemil,0.047
cepat,0.009
cerita,0.037
cerito,0.009
cha,0.009
chanelnya,0.009
cheese,0.009
choi,0.009
ciwi,0.009
ciye,0.009
ciyusan,0.009
cloy,0.009
coba,0.009
coban,0.009
cola,0.009
copas,0.009
cuma,0.019
cung,0.009
cuy,0.009
cwenya,0.009
da,0.009
dadar,0.009
dal,0.009
dalam,0.019
dan,0.019
dar,0.009
dari,0.028
dasar,0.009
data,0.009
dedin,0.009
denotasi,0.009
di,0.037
dia,0.009
diarani,0.009
dibangunin,0.009
didatengin,0.009
didik,0.009
dikei,0.009
diketawain,0.009
dimana,0.009
diminumin,0.009
ding,0.019
dingin,0.009
dini,0.009
dipikirin,0.009
dipinjem,0.009
diri,0.009
disave,0.009
disik,0.009
diturutin,0.009
doang,0.009
doesn,0.009
dong,0.019
dongman,0.009
dor,0.009
dora,0.019
dosen,0.009
drama,0.009
dulinan,0.019
dulu,0.009
dumbo,0.009
eh,0.019
elsa,0.009
em,0.019
enak,0.037
eneh,0.009
