term,weight
abk,0.008
ada,0.092
adab,0.008
adalah,0.008
adan,0.008
adeq,0.008
adl,0.015
admin,0.031
administrasi,0.008
aduh,0.008
agar,0.008
ah,0.023
aiman,0.015
ajar,0.008
akal,0.015
akan,0.031
akhir,0.061
akhlak,0.008
alamat,0.008
alias,0.008
alon,0.015
alpukat,0.015
ambil,0.031
amin,0.008
ampuh,0.015
ampun,0.008
amunisi,0.008
anak,0.092
anda,0.146
angkat,0.008
anis,0.008
antar,0.008
antero,0.008
apa,0.108
apas,0.008
ari,0.008
arsip,0.008
asal,0.023
asli,0.008
astagfirloh,0.008
atas,0.008
ateng,0.008
awal,0.008
awam,0.023
awat,0.015
ayam,0.015
ayo,0.023
azek,0.015
babi,0.008
baca,0.038
backsong,0.008
badai,0.008
bagaimana,0.023
bagi,0.008
bahagia,0.008
bahasa,0.008
baik,0.038
bajaj,0.008
bakat,0.008
balik,0.023
bandot,0.008
bang,0.015
bangsa,0.008
bangun,0.008
bantu,0.008
bantuanya,0.008
banyak,0.069
bapak,0.023
bapaknye,0.008
bareng,0.008
baris,0.008
baru,0.061
batam,0.008
batin,0.015
bawa,0.023
bawah,0.008
bayar,0.023
bayi,0.038
bcs,0.008
beda,0.008
begini,0.008
begitu,0.038
bejat,0.008
bekas,0.008
belakang,0.008
belum,0.038
benar,0.038
beranin,0.008
berapa,0.008
berita,0.015
besar,0.008
besok,0.015
betul,0.008
bgsd,0.031
biadab,0.008
biarin,0.008
biasa,0.015
bicara,0.015
bidan,0.008
bilang,0.008
bingung,0.008
bintang,0.015
bisa,0.038
bithday,0.008
blok,0.015
bodoh,0.015
bokapnya,0.008
boleh,0.008
boneka,0.015
bos,0.008
bosan,0.008
botol,0.008
british,0.008
buang,0.023
buat,0.115
bubar,0.008
buka,0.031
bukan,0.015
bukber,0.015
bulan,0.008
busuk,0.008
caina,0.008
cakep,0.023
cakwe,0.008
cantik,0.015
cara,0.008
cari,0.023
ceklis,0.008
cemil,0.054
centong,0.008
cepat,0.015
cerewet,0.008
cerita,0.008
chatnya,0.008
coba,0.008
corona,0.008
coronasu,0.008
couo,0.008
cpt,0.008
crushnya,0.008
cucu,0.008
cuma,0.038
curhat,0.008
curi,0.008
cus,0.015
daging,0.008
dalam,0.008
dapat,0.015
dari,0.023
dasar,0.008
daun,0.008
dave,0.008
dayak,0.008
debaynya,0.008
debut,0.008
deh,0.008
dekat,0.008
demit,0.008
dengan,0.015
dengar,0.023
dengernya,0.008
dengkul,0.008
depa,0.008
depan,0.015
deras,0.008
desa,0.008
detektif,0.008
di,0.015
dia,0.015
diam,0.008
dibikinin,0.008
dido,0.015
dihargain,0.008
dihp,0.008
dikatain,0.008
dil,0.008
dila,0.008
dimsum,0.008
dines,0.008
dipingir,0.008
diri,0.008
disminor,0.008
dit,0.008
ditotalin,0.008
doa,0.008
doang,0.015
dokter,0.023
domba,0.008
donat,0.008
dong,0.046
dosa,0.008
doyan,0.008
dri,0.031
drumah,0.008
duduk,0.008
duka,0.008
dulu,0.015
dund,0.008
dunia,0.023
eh,0.015
ehtapi,0.008
ejek,0.008
enak,0.061
endorsan,0.008
episode,0.015
etapi,0.008
fakboi,0.008
femeli,0.008
fitri,0.008
fotoin,0.008
gaberani,0.008
gadis,0.008
gamesnya,0.008
gamo,0.008
gamungkin,0.008
garut,0.008
gasalah,0.008
gasebagus,0.008
gatao,0.008
gaya,0.008
gem,0.008
gemas,0.008
gemeshin,0.008
gemey,0.015
gerah,0.008
geser,0.008
gin,0.069
goa,0.108
gone,0.008
goreng,0.008
greb,0.008
grup,0.008
gud,0.008
guoblok,0.008
habis,0.023
haha,0.008
hai,0.031
haji,0.008
halusinasi,0.008
harap,0.008
harga,0.015
hari,0.038
harus,0.008
hati,0.031
hawa,0.008
heri,0.008
hewan,0.008
hidup,0.015
hikmah,0.008
hilang,0.015
hubung,0.008
hujan,0.023
humoris,0.008
husnul,0.008
ibadah,0.008
ibu,0.123
iedul,0.008
ih,0.008
ikut,0.008
imbang,0.008
in,0.008
indah,0.015
indonesia,0.023
ingat,0.015
ingris,0.008
ini,0.038
insyaloh,0.008
intel,0.008
iship,0.008
istri,0.015
itaewon,0.008
ite,0.008
itu,0.085
itungin,0.008
iya,0.061
izin,0.008
jabingan,0.008
jadi,0.092
jaga,0.008
jagad,0.008
jagain,0.008
jakarta,0.008
jalan,0.031
jam,0.061
jamet,0.008
jamur,0.008
jantung,0.008
jari,0.008
jasa,0.008
jatuh,0.008
jay,0.008
jelang,0.008
jelek,0.008
jenuh,0.008
jerome,0.015
jiwa,0.008
jm,0.008
jodoh,0.008
jongh,0.008
jual,0.008
judul,0.008
juga,0.046
jujur,0.008
juta,0.008
kabur,0.008
kaki,0.008
kalah,0.015
kalau,0.154
kali,0.023
kam,0.008
kamar,0.008
kan,0.031
kanan,0.008
kane,0.008
kapal,0.008
kapan,0.008
karakter,0.008
karena,0.023
kasi,0.038
kasih,0.015
kata,0.015
kayu,0.008
kecap,0.008
kecil,0.023
kedengeran,0.008
keke,0.008
kelakuanya,0.008
kelas,0.023
kelelawar,0.008
kelihatanya,0.008
kelompok,0.015
keluar,0.015
keluarga,0.023
kemarin,0.031
kematianya,0.008
kemtank,0.008
kena,0.008
kenal,0.008
kenang,0.008
kenapa,0.077
kepel,0.008
keren,0.015
kereta,0.008
kerja,0.015
kes,0.008
kesal,0.008
kesan,0.008
ketangkep,0.008
ketemu,0.015
ketimbang,0.015
ketupat,0.008
khotimah,0.008
kimbab,0.008
kira,0.008
kirim,0.023
kiyowo,0.008
klender,0.008
klg,0.008
klinik,0.015
koas,0.008
kol,0.008
kopi,0.023
korban,0.008
korea,0.031
korting,0.008
kreatip,0.008
ksiah,0.008
kuat,0.008
kuliah,0.008
kumpulin,0.008
kurang,0.015
kyot,0.008
laen,0.008
lagi,0.069
lah,0.015
lahir,0.008
lahiranya,0.008
lahor,0.008
laki,0.061
laku,0.015
lakuin,0.008
lalu,0.023
lama,0.046
lampir,0.008
lampung,0.008
lancar,0.015
langsung,0.046
lanjut,0.015
lantai,0.008
lapor,0.008
laut,0.015
lawan,0.008
lebaran,0.015
lebih,0.015
